,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
1750,25,Advance Auto Parts,AAP,116.34,119.22,115.4,118.55,2.57,2.22,"760,946",151.72,78.81,0.24,0.20,18.47,18.92,Thursday,Thursday,2018/03/29
1751,25,Advance Auto Parts,AAP,111.16,112.32,110.14,110.93,-1.21,-1.08,"572,968",151.72,78.81,0.24,0.22,17.28,11.27,Wednesday,Wednesday,2018/04/11
1752,25,Advance Auto Parts,AAP,111.46,112.59,110.36,110.57,-0.36,-0.32,"810,576",151.72,78.81,0.24,0.22,17.22,10.91,Thursday,Thursday,2018/04/12
1753,25,Advance Auto Parts,AAP,108.75,109.93,106.78,108.2,1.75,1.64,"1,166,380",151.72,78.81,0.24,0.22,16.85,8.54,Tuesday,Tuesday,2018/04/17
1754,25,Advance Auto Parts,AAP,108.85,109.72,106.55,107.39,-0.81,-0.75,"1,276,165",151.72,78.81,0.24,0.22,16.73,7.72,Wednesday,Wednesday,2018/04/18
1755,25,Advance Auto Parts,AAP,107.55,108.21,103.49,105.18,-2.21,-2.06,"1,447,489",151.72,78.81,0.24,0.23,16.38,5.51,Thursday,Thursday,2018/04/19
1756,25,Advance Auto Parts,AAP,105.28,106.45,102.9,103.76,-1.42,-1.35,"1,027,093",151.72,78.81,0.24,0.23,16.16,4.08,Friday,Friday,2018/04/20
1757,25,Advance Auto Parts,AAP,105.76,107.83,105.2,106.93,1.41,1.34,"1,111,426",151.72,78.81,0.24,0.22,16.66,7.26,Tuesday,Tuesday,2018/04/24
1758,25,Advance Auto Parts,AAP,106.82,109.31,106.44,107.82,0.89,0.83,"1,004,275",151.72,78.81,0.24,0.22,16.79,8.16,Wednesday,Wednesday,2018/04/25
1759,25,Advance Auto Parts,AAP,113.15,116.61,112.65,116.34,3.16,2.79,"1,142,820",151.72,78.81,0.24,0.21,18.12,16.70,Friday,Friday,2018/04/27
1760,25,Advance Auto Parts,AAP,116.46,116.68,113.86,114.45,-1.89,-1.62,"1,045,659",151.72,78.81,0.24,0.21,17.83,14.81,Monday,Monday,2018/04/30
1761,25,Advance Auto Parts,AAP,113.86,115.7,113.09,115.58,1.13,0.99,"768,809",151.72,78.81,0.24,0.21,18.00,15.94,Tuesday,Tuesday,2018/05/01
1762,25,Advance Auto Parts,AAP,115.58,116.61,114.54,115.43,-0.47,-0.41,"689,151",151.72,78.81,0.24,0.21,17.98,15.79,Thursday,Thursday,2018/05/03
1763,25,Advance Auto Parts,AAP,115.0,117.73,113.84,116.67,1.24,1.07,"848,085",151.72,78.81,0.24,0.21,18.17,17.03,Friday,Friday,2018/05/04
1764,25,Advance Auto Parts,AAP,116.99,117.5,115.09,116.14,-0.53,-0.45,"635,615",151.72,78.81,0.24,0.21,18.09,16.50,Monday,Monday,2018/05/07
