,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
4941,2,Ability,ABIL,4.05,4.05,3.08,3.28,-0.03,-0.91,"129,348",21.50,2.64,...,...,...,-25.45,Thursday,Thursday,2018/03/29
4942,2,Ability,ABIL,2.98,3.12,2.87,2.95,-0.06,-1.99,"12,264",16.90,2.37,...,...,...,-32.95,Wednesday,Wednesday,2018/04/11
4943,2,Ability,ABIL,2.9,3.85,2.9,3.19,0.24,8.14,"97,404",16.9,2.37,...,...,...,-27.50,Thursday,Thursday,2018/04/12
4944,2,Ability,ABIL,3.35,3.39,2.98,3.11,-0.24,-7.16,"11,222",16.9,2.37,...,...,...,-29.32,Tuesday,Tuesday,2018/04/17
4945,2,Ability,ABIL,3.11,3.23,3.01,3.13,0.02,0.64,"3,770",16.90,2.37,...,...,...,-28.86,Wednesday,Wednesday,2018/04/18
4946,1,Ability,ABIL,3.02,3.02,2.92,2.98,-0.15,-4.79,"8,246",16.9,2.37,...,...,...,-32.27,Thursday,Thursday,2018/04/19
4947,2,Ability,ABIL,2.95,2.95,2.87,2.89,-0.09,-3.02,"5,518",16.90,2.37,...,...,...,-34.32,Friday,Friday,2018/04/20
4948,2,Ability,ABIL,2.9,3.48,2.53,2.63,-0.23,-8.04,"257,452",16.9,2.37,...,...,...,-40.23,Tuesday,Tuesday,2018/04/24
4949,2,Ability,ABIL,2.68,2.96,2.53,2.89,0.26,9.87,"53,394",16.90,2.37,...,...,...,-34.33,Wednesday,Wednesday,2018/04/25
4950,2,Ability,ABIL,2.73,2.76,2.56,2.64,-0.02,-0.75,"11,334",16.9,2.37,...,...,...,-40.00,Friday,Friday,2018/04/27
4951,1,Ability,ABIL,2.68,2.86,2.55,2.63,-0.01,-0.38,"67,422",16.9,2.37,...,...,...,-40.23,Monday,Monday,2018/04/30
4952,2,Ability,ABIL,2.67,3.18,2.67,2.84,0.21,7.98,"143,448",16.90,2.37,...,...,...,-35.45,Tuesday,Tuesday,2018/05/01
4953,2,Ability,ABIL,3.0,3.2,2.75,2.83,-0.20,-6.44,"48,436",16.90,2.37,...,...,...,-35.57,Thursday,Thursday,2018/05/03
4954,2,Ability,ABIL,2.93,2.93,2.77,2.82,-0.02,-0.53,"22,913",16.90,2.37,...,...,...,-35.91,Friday,Friday,2018/05/04
4955,2,Ability,ABIL,2.56,2.77,2.56,2.59,-0.23,-8.16,"18,996",16.90,2.37,...,...,...,-41.14,Monday,Monday,2018/05/07
4956,2,Ability,ABIL,2.67,2.98,2.59,2.84,0.25,9.72,"118,666",16.9,2.37,...,...,...,-35.41,Tuesday,Tuesday,2018/05/08
4957,1,Ability,ABIL,2.83,2.83,2.68,2.71,-0.13,-4.64,"28,712",16.9,2.37,...,...,...,-38.41,Wednesday,Wednesday,2018/05/09
4958,1,Ability,ABIL,2.71,2.84,2.70,2.77,0.06,2.21,"24,302",16.9,2.37,...,...,...,-37.05,Thursday,Thursday,2018/05/10
4959,1,Ability,ABIL,2.71,2.8,2.7,2.75,-0.02,-0.72,"14,315",16.90,2.37,...,...,...,-37.50,Friday,Friday,2018/05/11
4960,2,Ability,ABIL,2.72,2.72,2.61,2.64,-0.11,-4.00,"19,317",16.9,2.37,...,...,...,-40.00,Monday,Monday,2018/05/14
4961,2,Ability,ABIL,2.69,2.76,2.61,2.61,-0.03,-1.13,"28,295",16.9,2.37,...,...,...,-40.68,Tuesday,Tuesday,2018/05/15
4962,2,Ability,ABIL,2.62,2.68,2.35,2.48,-0.13,-4.98,"43,709",16.90,2.35,...,...,...,-43.64,Wednesday,Wednesday,2018/05/16
4963,2,Ability,ABIL,2.49,2.58,2.49,2.54,0.06,2.52,"13,739",16.90,2.35,...,...,...,-42.22,Thursday,Thursday,2018/05/17
4964,2,Ability,ABIL,2.6,2.88,2.48,2.75,0.21,8.16,"59,500",16.9,2.35,...,...,...,-37.50,Friday,Friday,2018/05/18
4965,2,Ability,ABIL,2.76,2.76,2.66,2.66,-0.09,-3.27,"3,190",16.9,2.35,...,...,...,-39.55,Monday,Monday,2018/05/21
4966,2,Ability,ABIL,2.66,2.69,2.66,2.69,0.03,1.13,"2,099",16.90,2.35,...,...,...,-38.86,Tuesday,Tuesday,2018/05/22
4967,2,Ability,ABIL,2.58,2.62,2.42,2.44,-0.25,-9.29,"22,696",16.9,2.35,...,...,...,-44.55,Wednesday,Wednesday,2018/05/23
4968,1,Ability,ABIL,2.48,2.49,2.45,2.49,0.05,2.05,"6,460",16.90,2.35,...,...,...,-43.41,Thursday,Thursday,2018/05/24
