,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
9228,14,Acacia Communications,ACIA,37.51,38.9,36.29,38.46,1.20,3.22,"549,422",61.15,33.68,...,...,43.21,6.16,Thursday,Thursday,2018/03/29
9229,14,Acacia Communications,ACIA,36.85,39.53,36.56,38.5,1.47,3.97,"452,759",56.38,33.68,...,...,43.26,6.27,Wednesday,Wednesday,2018/04/11
9230,14,Acacia Communications,ACIA,38.86,39.63,38.12,39.35,0.85,2.21,"393,897",56.38,33.68,...,...,44.21,8.61,Thursday,Thursday,2018/04/12
9231,14,Acacia Communications,ACIA,25.51,27.0,25.0,26.43,0.80,3.12,"4,325,669",54.37,24.72,...,...,29.70,-27.05,Tuesday,Tuesday,2018/04/17
9232,14,Acacia Communications,ACIA,26.61,26.7,25.47,25.57,-0.86,-3.25,"2,575,781",54.37,24.72,...,...,28.73,-29.42,Wednesday,Wednesday,2018/04/18
9233,14,Acacia Communications,ACIA,25.66,27.42,25.55,26.48,0.91,3.56,"2,017,464",54.37,24.72,...,...,29.75,-26.91,Thursday,Thursday,2018/04/19
9234,14,Acacia Communications,ACIA,26.73,28.04,26.24,27.56,1.08,4.08,"1,487,176",54.37,24.72,...,...,30.97,-23.93,Friday,Friday,2018/04/20
9235,14,Acacia Communications,ACIA,27.87,29.77,27.7,29.36,1.82,6.61,"1,549,793",54.37,24.72,...,...,32.99,-18.96,Tuesday,Tuesday,2018/04/24
9236,14,Acacia Communications,ACIA,29.22,29.45,27.2,28.19,-1.17,-3.99,"1,646,067",54.37,24.72,...,...,31.67,-22.19,Wednesday,Wednesday,2018/04/25
9237,14,Acacia Communications,ACIA,29.17,29.39,27.95,28.28,0.30,1.07,"907,525",50.10,24.72,...,...,31.78,-21.94,Friday,Friday,2018/04/27
9238,13,Acacia Communications,ACIA,28.3,28.47,27.52,28.15,-0.13,-0.46,"542,355",50.1,24.72,...,...,31.63,-22.30,Monday,Monday,2018/04/30
9239,14,Acacia Communications,ACIA,28.23,28.95,27.37,28.77,0.62,2.20,"938,805",50.1,24.72,...,...,32.33,-20.59,Tuesday,Tuesday,2018/05/01
9240,14,Acacia Communications,ACIA,29.05,29.93,28.47,29.08,0.04,0.14,"1,323,885",50.10,24.72,...,...,32.67,-19.74,Thursday,Thursday,2018/05/03
9241,14,Acacia Communications,ACIA,29.77,31.14,29.17,29.3,0.22,0.76,"1,976,918",50.10,24.72,...,...,...,-19.13,Friday,Friday,2018/05/04
9242,14,Acacia Communications,ACIA,29.8,32.03,29.75,30.97,1.67,5.70,"1,890,258",50.1,24.72,...,...,...,-14.52,Monday,Monday,2018/05/07
9243,14,Acacia Communications,ACIA,31.0,31.44,30.07,30.97,...,...,"836,026",50.10,24.72,...,...,...,-14.52,Tuesday,Tuesday,2018/05/08
9244,14,Acacia Communications,ACIA,30.83,31.87,30.28,31.17,0.20,0.65,"955,264",50.10,24.72,...,...,...,-13.97,Wednesday,Wednesday,2018/05/09
9245,14,Acacia Communications,ACIA,31.17,31.21,30.36,30.96,-0.21,-0.67,"403,644",50.1,24.72,...,...,...,-14.55,Thursday,Thursday,2018/05/10
9246,14,Acacia Communications,ACIA,30.76,31.91,30.73,31.5,0.54,1.74,"666,381",50.1,24.72,...,...,...,-13.06,Friday,Friday,2018/05/11
9247,14,Acacia Communications,ACIA,37.18,37.36,33.95,34.25,2.75,8.73,"4,633,045",50.1,24.72,...,...,...,-5.47,Monday,Monday,2018/05/14
9248,14,Acacia Communications,ACIA,33.76,33.9,32.55,33.08,-1.17,-3.42,"1,584,155",50.1,24.72,...,...,...,-8.69,Tuesday,Tuesday,2018/05/15
9249,14,Acacia Communications,ACIA,32.35,33.41,32.12,33.33,0.25,0.76,"1,328,359",50.1,24.72,...,...,...,-8.00,Wednesday,Wednesday,2018/05/16
9250,14,Acacia Communications,ACIA,33.35,33.39,32.36,32.55,-0.78,-2.34,"1,077,105",50.10,24.72,...,...,...,-10.16,Thursday,Thursday,2018/05/17
9251,14,Acacia Communications,ACIA,32.58,33.59,32.49,33.0,0.45,1.38,"749,094",50.1,24.72,...,...,...,-8.92,Friday,Friday,2018/05/18
9252,14,Acacia Communications,ACIA,34.1,34.25,32.64,33.21,0.21,0.64,"797,864",50.10,24.72,...,...,...,-8.34,Monday,Monday,2018/05/21
9253,14,Acacia Communications,ACIA,34.7,34.85,32.89,33.49,0.28,0.84,"1,615,189",50.1,24.72,...,...,...,-7.56,Tuesday,Tuesday,2018/05/22
9254,14,Acacia Communications,ACIA,33.47,33.47,32.32,32.4,-1.09,-3.25,"705,938",50.10,24.72,...,...,...,-10.57,Wednesday,Wednesday,2018/05/23
9255,14,Acacia Communications,ACIA,32.35,32.6,31.77,32.19,-0.21,-0.65,"526,067",50.10,24.72,...,...,...,-11.15,Thursday,Thursday,2018/05/24
9256,14,Acacia Communications,ACIA,32.11,34.27,31.85,33.62,1.43,4.44,"1,439,063",50.10,24.72,...,...,...,-7.20,Friday,Friday,2018/05/25
9257,14,Acacia Communications,ACIA,34.14,34.18,32.92,33.47,-0.15,-0.45,"700,782",50.10,24.72,...,...,...,-7.62,Tuesday,Tuesday,2018/05/29
9258,14,Acacia Communications,ACIA,33.4,33.51,32.02,32.87,-0.60,-1.79,"799,464",50.10,24.72,...,...,...,-9.27,Wednesday,Wednesday,2018/05/30
9259,14,Acacia Communications,ACIA,32.99,33.01,31.8,32.34,-0.53,-1.61,"679,302",50.1,24.72,...,...,...,-10.74,Thursday,Thursday,2018/05/31
9260,14,Acacia Communications,ACIA,32.48,33.02,32.37,32.79,0.45,1.39,"577,667",50.10,24.72,...,...,...,-9.49,Friday,Friday,2018/06/01
9261,14,Acacia Communications,ACIA,32.9,33.19,32.4,32.79,...,...,"468,287",50.10,24.72,...,...,...,-9.49,Monday,Monday,2018/06/04
9262,14,Acacia Communications,ACIA,32.79,33.83,32.32,33.34,0.55,1.68,"1,095,008",50.1,24.72,...,...,...,-7.98,Tuesday,Tuesday,2018/06/05
9263,14,Acacia Communications,ACIA,34.19,34.89,33.53,33.87,0.53,1.59,"1,462,021",50.10,24.72,...,...,...,-6.51,Wednesday,Wednesday,2018/06/06
9264,14,Acacia Communications,ACIA,35.31,35.4,33.17,33.53,-0.34,-1.00,"1,767,775",50.10,24.72,...,...,...,-7.45,Thursday,Thursday,2018/06/07
9265,13,Acacia Communications,ACIA,33.67,34.06,33.21,33.93,0.40,1.19,"1,161,511",50.10,24.72,...,...,...,-6.35,Friday,Friday,2018/06/08
9266,14,Acacia Communications,ACIA,34.24,34.83,33.6,34.72,0.79,2.33,"802,230",50.1,24.72,...,...,...,-4.17,Monday,Monday,2018/06/11
9267,14,Acacia Communications,ACIA,34.05,35.66,34.01,35.24,0.52,1.50,"970,660",50.1,24.72,...,...,...,-2.73,Tuesday,Tuesday,2018/06/12
9268,13,Acacia Communications,ACIA,35.03,35.5,34.75,35.2,-0.04,-0.11,"700,209",50.1,24.72,...,...,...,-2.84,Wednesday,Wednesday,2018/06/13
9269,13,Acacia Communications,ACIA,35.41,35.64,35.01,35.32,0.12,0.34,"434,191",50.1,24.72,...,...,...,-2.51,Thursday,Thursday,2018/06/14
9270,13,Acacia Communications,ACIA,35.03,35.22,34.57,34.98,-0.34,-0.96,"517,449",50.10,24.72,...,...,...,-3.45,Friday,Friday,2018/06/15
9271,13,Acacia Communications,ACIA,34.74,35.41,34.15,35.26,0.28,0.80,"415,688",50.10,24.72,...,...,...,-2.68,Monday,Monday,2018/06/18
9272,13,Acacia Communications,ACIA,33.9,34.81,33.37,33.94,-1.32,-3.74,"494,897",50.1,24.72,...,...,...,-6.32,Tuesday,Tuesday,2018/06/19
9273,12,Acacia Communications,ACIA,34.22,35.11,34.08,34.65,0.71,2.09,"369,628",50.10,24.72,...,...,...,-4.36,Wednesday,Wednesday,2018/06/20
