,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
17813,18,Aethlon Medical,AEMD,1.19,1.2,1.12,1.19,0.02,1.71,"234,852",3.85,0.79,...,...,...,5.31,Thursday,Thursday,2018/03/29
17814,17,Aethlon Medical,AEMD,1.24,1.24,1.19,1.21,-0.04,-3.20,"187,241",3.85,0.79,...,...,...,7.08,Wednesday,Wednesday,2018/04/11
17815,17,Aethlon Medical,AEMD,1.23,1.28,1.22,1.27,0.06,4.88,"53,476",3.85,0.79,...,...,...,12.30,Thursday,Thursday,2018/04/12
17816,17,Aethlon Medical,AEMD,1.32,1.46,1.32,1.39,0.07,5.03,"338,342",3.85,0.79,...,...,...,23.01,Tuesday,Tuesday,2018/04/17
17817,16,Aethlon Medical,AEMD,1.37,1.38,1.28,1.35,-0.04,-2.88,"96,568",3.85,0.79,...,...,...,19.47,Wednesday,Wednesday,2018/04/18
17818,15,Aethlon Medical,AEMD,1.36,1.38,1.3,1.33,-0.02,-1.48,"82,360",3.85,0.79,...,...,...,17.70,Thursday,Thursday,2018/04/19
17819,17,Aethlon Medical,AEMD,1.33,1.38,1.28,1.29,-0.04,-3.01,"111,015",3.85,0.79,...,...,...,14.16,Friday,Friday,2018/04/20
17820,17,Aethlon Medical,AEMD,1.3,1.33,1.28,1.3,0.02,1.56,"44,643",3.85,0.79,...,...,...,15.04,Tuesday,Tuesday,2018/04/24
17821,17,Aethlon Medical,AEMD,1.3,1.33,1.28,1.31,0.01,0.77,"71,853",3.85,0.79,...,...,...,15.93,Wednesday,Wednesday,2018/04/25
17822,16,Aethlon Medical,AEMD,1.29,1.34,1.29,1.34,0.03,2.29,"36,373",3.85,0.79,...,...,...,18.58,Friday,Friday,2018/04/27
17823,15,Aethlon Medical,AEMD,1.32,1.39,1.32,1.34,...,...,"130,977",3.85,0.79,...,...,...,18.58,Monday,Monday,2018/04/30
17824,17,Aethlon Medical,AEMD,1.34,1.39,1.34,1.38,0.04,2.99,"61,423",3.85,0.79,...,...,...,22.12,Tuesday,Tuesday,2018/05/01
17825,17,Aethlon Medical,AEMD,1.45,1.5,1.37,1.39,-0.03,-2.33,"95,034",3.85,0.79,...,...,...,22.92,Thursday,Thursday,2018/05/03
17826,17,Aethlon Medical,AEMD,1.37,1.37,1.33,1.36,-0.03,-2.09,"52,433",3.85,0.79,...,...,...,20.35,Friday,Friday,2018/05/04
17827,16,Aethlon Medical,AEMD,1.37,1.37,1.31,1.32,-0.04,-2.94,"151,273",3.85,0.79,...,...,...,16.81,Monday,Monday,2018/05/07
17828,16,Aethlon Medical,AEMD,1.32,1.44,1.32,1.41,0.09,6.83,"351,436",3.85,0.79,...,...,...,24.79,Tuesday,Tuesday,2018/05/08
17829,15,Aethlon Medical,AEMD,1.44,1.44,1.31,1.35,-0.06,-4.11,"262,889",3.85,0.79,...,...,...,19.66,Wednesday,Wednesday,2018/05/09
17830,16,Aethlon Medical,AEMD,1.38,1.38,1.33,1.33,-0.02,-1.64,"154,458",3.85,0.79,...,...,...,17.70,Thursday,Thursday,2018/05/10
17831,16,Aethlon Medical,AEMD,1.34,1.36,1.33,1.35,0.02,1.50,"50,772",3.85,0.79,...,...,...,19.47,Friday,Friday,2018/05/11
17832,16,Aethlon Medical,AEMD,1.33,1.36,1.29,1.31,-0.04,-2.96,"89,666",3.85,0.79,...,...,...,15.93,Monday,Monday,2018/05/14
17833,17,Aethlon Medical,AEMD,1.3,1.33,1.29,1.3,-0.01,-0.76,"60,680",3.85,0.79,...,...,...,15.04,Tuesday,Tuesday,2018/05/15
17834,17,Aethlon Medical,AEMD,1.3,1.35,1.3,1.32,0.02,1.54,"140,353",3.85,0.79,...,...,...,16.81,Wednesday,Wednesday,2018/05/16
17835,16,Aethlon Medical,AEMD,1.31,1.34,1.23,1.26,-0.06,-4.17,"247,057",3.85,0.79,...,...,...,11.95,Thursday,Thursday,2018/05/17
17836,17,Aethlon Medical,AEMD,1.3,1.35,1.25,1.33,0.07,5.14,"175,856",3.85,0.79,...,...,...,17.70,Friday,Friday,2018/05/18
17837,17,Aethlon Medical,AEMD,1.36,1.37,1.33,1.34,0.01,1.12,"146,201",3.85,0.79,...,...,...,19.02,Monday,Monday,2018/05/21
17838,17,Aethlon Medical,AEMD,1.36,1.36,1.29,1.29,-0.05,-4.08,"139,125",3.85,0.79,...,...,...,14.16,Tuesday,Tuesday,2018/05/22
17839,17,Aethlon Medical,AEMD,1.29,1.3,1.25,1.26,-0.03,-2.33,"86,351",3.85,0.79,...,...,...,11.50,Wednesday,Wednesday,2018/05/23
17840,15,Aethlon Medical,AEMD,1.23,1.24,1.18,1.2,-0.06,-4.62,"255,553",3.85,0.79,...,...,...,6.35,Thursday,Thursday,2018/05/24
17841,16,Aethlon Medical,AEMD,1.19,1.23,1.18,1.21,0.01,0.68,"79,350",3.85,0.79,...,...,...,7.08,Friday,Friday,2018/05/25
17842,16,Aethlon Medical,AEMD,1.26,1.26,1.2,1.22,0.01,0.83,"44,302",3.85,0.79,...,...,...,7.96,Tuesday,Tuesday,2018/05/29
17843,17,Aethlon Medical,AEMD,1.23,1.28,1.21,1.26,0.04,3.28,"55,604",3.85,0.79,...,...,...,11.50,Wednesday,Wednesday,2018/05/30
17844,16,Aethlon Medical,AEMD,1.25,1.27,1.23,1.25,-0.01,-0.79,"34,343",3.85,0.79,...,...,...,10.62,Thursday,Thursday,2018/05/31
17845,17,Aethlon Medical,AEMD,1.24,1.25,1.22,1.25,...,...,"27,472",3.85,0.79,...,...,...,10.62,Friday,Friday,2018/06/01
17846,17,Aethlon Medical,AEMD,1.25,1.29,1.23,1.26,0.01,0.80,"47,539",3.85,0.79,...,...,...,11.50,Monday,Monday,2018/06/04
17847,16,Aethlon Medical,AEMD,1.26,1.32,1.26,1.30,0.04,3.10,"120,351",3.85,0.79,...,...,...,14.96,Tuesday,Tuesday,2018/06/05
17848,16,Aethlon Medical,AEMD,1.3,1.32,1.27,1.27,-0.03,-2.23,"58,222",3.85,0.79,...,...,...,12.39,Wednesday,Wednesday,2018/06/06
17849,17,Aethlon Medical,AEMD,1.29,1.29,1.21,1.23,-0.04,-2.87,"55,971",3.85,0.79,...,...,...,9.17,Thursday,Thursday,2018/06/07
17850,17,Aethlon Medical,AEMD,1.23,1.31,1.23,1.3,0.07,5.38,"207,025",3.85,0.79,...,...,...,15.04,Friday,Friday,2018/06/08
17851,16,Aethlon Medical,AEMD,1.32,1.32,1.22,1.29,-0.01,-0.77,"182,267",3.85,0.79,...,...,...,14.16,Monday,Monday,2018/06/11
17852,15,Aethlon Medical,AEMD,1.3,1.35,1.26,1.32,0.03,2.33,"129,625",3.85,0.79,...,...,...,16.81,Tuesday,Tuesday,2018/06/12
17853,16,Aethlon Medical,AEMD,1.3,1.36,1.3,1.33,0.01,0.76,"74,862",3.85,0.79,...,...,...,17.70,Wednesday,Wednesday,2018/06/13
17854,16,Aethlon Medical,AEMD,1.35,1.35,1.32,1.32,-0.01,-0.75,"62,558",3.85,0.79,...,...,...,16.81,Thursday,Thursday,2018/06/14
17855,16,Aethlon Medical,AEMD,1.29,1.33,1.28,1.31,-0.01,-0.76,"81,435",3.85,0.79,...,...,...,15.93,Friday,Friday,2018/06/15
17856,17,Aethlon Medical,AEMD,1.28,1.35,1.28,1.3,-0.01,-0.76,"74,996",3.85,0.79,...,...,...,15.04,Monday,Monday,2018/06/18
17857,16,Aethlon Medical,AEMD,1.29,1.34,1.27,1.27,-0.03,-2.31,"83,218",3.85,0.79,...,...,...,12.39,Tuesday,Tuesday,2018/06/19
17858,16,Aethlon Medical,AEMD,1.35,1.35,1.24,1.27,...,0.11,"84,679",3.85,0.79,...,...,...,12.51,Wednesday,Wednesday,2018/06/20
17859,16,Aethlon Medical,AEMD,1.3,1.32,1.28,1.32,0.05,3.81,"59,674",3.85,0.79,...,...,...,16.81,Thursday,Thursday,2018/06/21
17860,16,Aethlon Medical,AEMD,1.32,1.32,1.26,1.3,-0.02,-1.52,"72,711",3.85,0.79,...,...,...,15.04,Friday,Friday,2018/06/22
17861,17,Aethlon Medical,AEMD,1.28,1.31,1.26,1.29,-0.00,-0.38,"93,500",3.85,0.79,...,...,...,14.60,Monday,Monday,2018/06/25
17862,17,Aethlon Medical,AEMD,1.3,1.33,1.26,1.28,-0.01,-1.16,"182,810",3.85,0.79,...,...,...,13.27,Tuesday,Tuesday,2018/06/26
17863,16,Aethlon Medical,AEMD,1.25,1.3,1.25,1.28,...,0.20,"93,644",3.85,0.79,...,...,...,13.50,Wednesday,Wednesday,2018/06/27
17864,18,Aethlon Medical,AEMD,1.28,1.32,1.26,1.27,-0.01,-1.06,"20,736",3.85,0.79,...,...,...,12.30,Thursday,Thursday,2018/06/28
17865,16,Aethlon Medical,AEMD,1.28,1.29,1.26,1.28,0.01,0.87,"48,136",3.85,0.79,...,...,...,13.27,Friday,Friday,2018/06/29
17866,17,Aethlon Medical,AEMD,1.3,1.31,1.28,1.3,0.02,1.56,"21,981",3.85,0.79,...,...,...,15.04,Monday,Monday,2018/07/02
17867,17,Aethlon Medical,AEMD,1.28,1.35,1.28,1.32,0.02,1.62,"103,658",3.85,0.79,...,...,...,16.90,Tuesday,Tuesday,2018/07/03
17868,16,Aethlon Medical,AEMD,1.34,1.35,1.3,1.33,0.01,0.68,"80,199",3.85,0.79,...,...,...,17.70,Thursday,Thursday,2018/07/05
17869,16,Aethlon Medical,AEMD,1.34,1.35,1.31,1.34,0.01,0.75,"23,179",3.85,0.79,...,...,...,18.58,Friday,Friday,2018/07/06
