,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
18792,37,AES,AES,11.24,11.43,11.14,11.37,0.14,1.25,"8,609,559",12.05,9.87,0.52,4.57,...,4.99,Thursday,Thursday,2018/03/29
18793,37,AES,AES,11.38,11.5,11.38,11.42,-0.01,-0.09,"3,555,845",12.05,9.87,0.52,4.55,...,5.45,Wednesday,Wednesday,2018/04/11
18794,37,AES,AES,11.41,11.43,11.25,11.29,-0.13,-1.14,"4,372,616",12.05,9.87,0.52,4.61,...,4.25,Thursday,Thursday,2018/04/12
18795,37,AES,AES,11.57,11.83,11.46,11.74,0.17,1.47,"6,333,220",12.05,9.87,0.52,4.43,...,8.40,Tuesday,Tuesday,2018/04/17
18796,36,AES,AES,11.78,11.8,11.71,11.75,0.01,0.09,"5,630,830",12.05,9.87,0.52,4.43,...,8.49,Wednesday,Wednesday,2018/04/18
18797,36,AES,AES,11.72,11.77,11.64,11.75,...,...,"3,849,317",12.05,9.87,0.52,4.43,...,8.49,Thursday,Thursday,2018/04/19
18798,36,AES,AES,11.74,11.74,11.58,11.62,-0.13,-1.11,"3,214,575",12.05,9.87,0.52,4.48,...,7.29,Friday,Friday,2018/04/20
18799,36,AES,AES,11.86,12.11,11.83,12.0,0.14,1.18,"8,157,404",12.11,9.87,0.52,4.33,...,10.80,Tuesday,Tuesday,2018/04/24
18800,36,AES,AES,11.95,12.05,11.9,12.03,0.03,0.25,"5,167,375",12.11,9.87,0.52,4.32,...,11.08,Wednesday,Wednesday,2018/04/25
18801,36,AES,AES,12.16,12.45,12.14,12.31,0.14,1.15,"6,303,578",12.45,9.87,0.52,4.22,...,13.67,Friday,Friday,2018/04/27
18802,36,AES,AES,12.21,12.31,12.17,12.24,0.06,0.49,"7,627,132",12.45,9.87,0.52,4.25,...,13.02,Monday,Monday,2018/04/30
18803,36,AES,AES,12.25,12.26,12.1,12.21,-0.03,-0.25,"5,371,973",12.45,9.87,0.52,4.26,...,12.74,Tuesday,Tuesday,2018/05/01
18804,36,AES,AES,12.19,12.32,12.05,12.3,0.11,0.90,"5,743,869",12.45,9.87,0.52,4.23,...,13.57,Thursday,Thursday,2018/05/03
18805,36,AES,AES,12.28,12.4,12.24,12.33,0.03,0.24,"3,285,480",12.45,9.87,0.52,4.22,...,13.85,Friday,Friday,2018/05/04
18806,36,AES,AES,12.32,12.38,12.19,12.37,0.04,0.32,"12,274,114",12.45,9.87,0.52,4.20,...,14.22,Monday,Monday,2018/05/07
18807,36,AES,AES,12.15,12.17,11.66,11.73,-0.64,-5.17,"15,331,892",12.45,9.87,0.52,4.43,...,8.31,Tuesday,Tuesday,2018/05/08
18808,36,AES,AES,11.87,12.09,11.77,12.07,0.34,2.90,"7,848,776",12.45,9.87,0.52,4.31,51.78,11.45,Wednesday,Wednesday,2018/05/09
18809,36,AES,AES,12.1,12.32,12.07,12.31,0.24,1.99,"4,033,297",12.45,9.87,0.52,4.22,52.81,13.67,Thursday,Thursday,2018/05/10
18810,36,AES,AES,12.34,12.38,12.24,12.29,-0.02,-0.16,"3,936,821",12.45,9.87,0.52,4.23,52.72,13.48,Friday,Friday,2018/05/11
18811,36,AES,AES,12.32,12.4,12.29,12.35,0.06,0.49,"5,219,755",12.45,9.87,0.52,4.21,52.98,14.04,Monday,Monday,2018/05/14
18812,36,AES,AES,12.3,12.34,12.22,12.3,-0.05,-0.40,"5,954,446",12.45,9.87,0.52,4.23,52.77,13.57,Tuesday,Tuesday,2018/05/15
18813,36,AES,AES,12.19,12.32,12.11,12.28,-0.02,-0.16,"4,920,858",12.45,9.87,0.52,4.23,52.68,13.39,Wednesday,Wednesday,2018/05/16
18814,36,AES,AES,12.28,12.32,12.01,12.05,-0.23,-1.87,"7,785,640",12.45,9.87,0.52,4.32,51.69,11.27,Thursday,Thursday,2018/05/17
18815,36,AES,AES,12.06,12.06,11.8,11.93,-0.12,-1.00,"6,671,867",12.45,9.87,0.52,4.36,51.18,10.16,Friday,Friday,2018/05/18
18816,36,AES,AES,11.99,12.13,11.94,12.06,0.13,1.09,"5,559,719",12.45,9.87,0.52,4.31,51.74,11.36,Monday,Monday,2018/05/21
18817,36,AES,AES,12.12,12.26,12.1,12.2,0.14,1.16,"5,261,577",12.45,9.87,0.52,4.26,52.34,12.65,Tuesday,Tuesday,2018/05/22
18818,36,AES,AES,12.13,12.22,12.07,12.19,-0.01,-0.08,"4,965,309",12.45,9.87,0.52,4.27,52.30,12.56,Wednesday,Wednesday,2018/05/23
18819,36,AES,AES,12.22,12.43,12.15,12.39,0.20,1.64,"4,045,924",12.45,9.87,0.52,4.20,53.15,14.40,Thursday,Thursday,2018/05/24
18820,36,AES,AES,12.39,12.5,12.36,12.41,0.02,0.16,"3,605,979",12.50,9.87,0.52,4.19,53.24,14.59,Friday,Friday,2018/05/25
18821,36,AES,AES,12.37,12.49,12.3,12.41,...,...,"4,671,539",12.50,9.87,0.52,4.19,53.24,14.59,Tuesday,Tuesday,2018/05/29
18822,36,AES,AES,12.43,12.71,12.35,12.67,0.26,2.10,"7,535,826",12.71,9.87,0.52,4.10,54.35,16.99,Wednesday,Wednesday,2018/05/30
18823,36,AES,AES,12.62,12.86,12.62,12.75,0.08,0.63,"6,639,230",12.86,9.87,0.52,4.08,54.70,17.73,Thursday,Thursday,2018/05/31
18824,36,AES,AES,12.71,12.84,12.63,12.79,0.04,0.31,"5,706,138",12.86,9.87,0.52,4.07,54.87,18.10,Friday,Friday,2018/06/01
18825,36,AES,AES,12.86,13.09,12.81,12.93,0.14,1.09,"8,120,582",13.09,9.87,0.52,4.02,55.47,19.39,Monday,Monday,2018/06/04
18826,36,AES,AES,13.0,13.25,12.87,12.93,...,...,"12,927,420",13.25,9.87,0.52,4.02,55.47,19.39,Tuesday,Tuesday,2018/06/05
18827,36,AES,AES,12.96,12.98,12.47,12.51,-0.42,-3.25,"6,726,488",13.25,9.87,0.52,4.16,53.67,15.51,Wednesday,Wednesday,2018/06/06
18828,36,AES,AES,12.53,12.79,12.51,12.72,0.21,1.68,"5,949,309",13.25,9.87,0.52,4.09,54.57,17.45,Thursday,Thursday,2018/06/07
18829,36,AES,AES,12.71,12.77,12.6,12.77,0.05,0.39,"5,523,098",13.25,9.87,0.52,4.07,54.78,17.91,Friday,Friday,2018/06/08
18830,36,AES,AES,12.8,12.9,12.65,12.83,0.06,0.47,"3,606,611",13.25,9.87,0.52,4.05,55.04,18.47,Monday,Monday,2018/06/11
18831,36,AES,AES,12.86,13.07,12.81,13.04,0.21,1.64,"5,727,476",13.25,9.87,0.52,3.99,55.94,20.41,Tuesday,Tuesday,2018/06/12
18832,36,AES,AES,13.1,13.16,13.05,13.13,0.09,0.69,"6,014,935",13.25,9.87,0.52,3.96,56.33,21.24,Wednesday,Wednesday,2018/06/13
