,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
23608,173,Assured Guaranty,AGO,36.44,36.53,35.94,36.2,0.10,0.28,"782,111",45.73,32.97,0.64,1.77,6.14,6.88,Thursday,Thursday,2018/03/29
23609,174,Assured Guaranty,AGO,37.31,37.93,37.31,37.74,0.29,0.77,"680,056",45.73,32.97,0.64,1.70,6.40,11.43,Wednesday,Wednesday,2018/04/11
23610,173,Assured Guaranty,AGO,37.95,38.3,37.84,38.18,0.44,1.17,"681,827",45.73,32.97,0.64,1.68,6.47,12.73,Thursday,Thursday,2018/04/12
23611,172,Assured Guaranty,AGO,37.36,37.41,36.84,36.96,-0.29,-0.78,"776,303",45.73,32.97,0.64,1.73,6.26,9.12,Tuesday,Tuesday,2018/04/17
23612,172,Assured Guaranty,AGO,37.04,37.21,36.31,36.37,-0.59,-1.60,"1,007,918",45.73,32.97,0.64,1.76,6.16,7.38,Wednesday,Wednesday,2018/04/18
23613,173,Assured Guaranty,AGO,36.36,36.94,36.36,36.85,0.48,1.32,"1,011,087",45.73,32.97,0.64,1.74,6.25,8.80,Thursday,Thursday,2018/04/19
23614,172,Assured Guaranty,AGO,36.92,37.03,36.42,36.7,-0.15,-0.41,"955,081",45.73,32.97,0.64,1.74,6.22,8.36,Friday,Friday,2018/04/20
23615,171,Assured Guaranty,AGO,35.0,37.17,34.95,36.83,0.90,2.50,"2,736,781",45.73,32.97,0.64,1.74,6.24,8.74,Tuesday,Tuesday,2018/04/24
23616,172,Assured Guaranty,AGO,36.88,37.1,36.19,36.4,-0.43,-1.17,"940,716",45.73,32.97,0.64,1.76,6.17,7.47,Wednesday,Wednesday,2018/04/25
23617,171,Assured Guaranty,AGO,36.67,37.1,36.46,36.86,0.26,0.71,"530,966",45.73,32.97,0.64,1.74,6.25,8.83,Friday,Friday,2018/04/27
23618,172,Assured Guaranty,AGO,37.03,37.1,36.29,36.29,-0.57,-1.55,"480,980",45.73,32.97,0.64,1.76,6.15,7.14,Monday,Monday,2018/04/30
23619,172,Assured Guaranty,AGO,36.31,36.65,36.13,36.52,0.23,0.63,"451,081",45.73,32.97,0.64,1.75,6.19,7.82,Tuesday,Tuesday,2018/05/01
23620,172,Assured Guaranty,AGO,35.48,35.71,34.99,35.6,0.04,0.11,"779,879",45.73,32.97,0.64,1.80,6.03,5.11,Thursday,Thursday,2018/05/03
23621,172,Assured Guaranty,AGO,36.24,36.84,35.36,36.13,0.53,1.49,"1,465,819",45.73,32.97,0.64,1.77,6.12,6.67,Friday,Friday,2018/05/04
23622,173,Assured Guaranty,AGO,36.16,36.33,35.57,35.6,-0.53,-1.47,"832,305",45.73,32.97,0.64,1.80,6.03,5.11,Monday,Monday,2018/05/07
23623,172,Assured Guaranty,AGO,35.53,35.82,34.96,35.0,-0.60,-1.69,"1,049,284",45.73,32.97,0.64,1.83,5.03,3.34,Tuesday,Tuesday,2018/05/08
23624,174,Assured Guaranty,AGO,35.05,35.33,34.94,35.06,0.06,0.17,"743,648",45.73,32.97,0.64,1.83,6.89,3.51,Wednesday,Wednesday,2018/05/09
23625,173,Assured Guaranty,AGO,35.02,35.23,34.47,35.15,0.09,0.26,"1,010,098",45.73,32.97,0.64,1.82,6.91,3.78,Thursday,Thursday,2018/05/10
23626,174,Assured Guaranty,AGO,35.29,35.7,34.98,34.99,-0.16,-0.46,"694,688",45.73,32.97,0.64,1.83,6.87,3.31,Friday,Friday,2018/05/11
23627,173,Assured Guaranty,AGO,35.77,35.79,34.88,35.39,0.40,1.14,"1,226,173",45.73,32.97,0.64,1.81,6.95,4.49,Monday,Monday,2018/05/14
23628,174,Assured Guaranty,AGO,35.2,35.63,35.16,35.54,0.31,0.88,"669,038",45.73,32.97,0.64,1.80,6.98,4.93,Tuesday,Tuesday,2018/05/15
23629,174,Assured Guaranty,AGO,35.37,35.95,35.37,35.54,...,...,"616,340",45.73,32.97,0.64,1.80,6.98,4.93,Wednesday,Wednesday,2018/05/16
23630,174,Assured Guaranty,AGO,35.37,35.63,35.18,35.5,-0.04,-0.11,"471,992",45.73,32.97,0.64,1.80,6.97,4.81,Thursday,Thursday,2018/05/17
23631,174,Assured Guaranty,AGO,35.53,35.71,35.39,35.64,0.14,0.39,"739,508",45.73,32.97,0.64,1.80,7.00,5.23,Friday,Friday,2018/05/18
23632,174,Assured Guaranty,AGO,35.74,36.3,35.7,36.16,0.52,1.46,"579,455",45.73,32.97,0.64,1.77,7.10,6.76,Monday,Monday,2018/05/21
23633,174,Assured Guaranty,AGO,36.14,36.4,36.06,36.08,-0.08,-0.22,"671,059",45.73,32.97,0.64,1.77,7.09,6.52,Tuesday,Tuesday,2018/05/22
23634,173,Assured Guaranty,AGO,36.08,36.3,35.87,36.07,-0.01,-0.03,"513,954",45.73,32.97,0.64,1.77,7.09,6.50,Wednesday,Wednesday,2018/05/23
23635,174,Assured Guaranty,AGO,36.03,36.36,35.76,36.19,0.12,0.33,"444,709",45.73,32.97,0.64,1.77,7.11,6.85,Thursday,Thursday,2018/05/24
23636,175,Assured Guaranty,AGO,36.05,36.47,35.95,36.32,0.13,0.36,"518,263",45.73,32.97,0.64,1.76,7.14,7.23,Friday,Friday,2018/05/25
23637,175,Assured Guaranty,AGO,36.0,36.19,35.84,36.09,-0.23,-0.63,"762,664",45.73,32.97,0.64,1.77,7.09,6.55,Tuesday,Tuesday,2018/05/29
23638,175,Assured Guaranty,AGO,36.26,36.57,35.66,35.73,-0.36,-1.00,"807,785",45.73,32.97,0.64,1.79,7.02,5.49,Wednesday,Wednesday,2018/05/30
23639,175,Assured Guaranty,AGO,35.68,35.75,35.28,35.49,-0.24,-0.67,"572,179",45.73,32.97,0.64,1.80,6.97,4.78,Thursday,Thursday,2018/05/31
23640,175,Assured Guaranty,AGO,35.82,36.33,35.64,35.95,0.46,1.30,"557,198",45.73,32.97,0.64,1.78,7.06,6.14,Friday,Friday,2018/06/01
23641,175,Assured Guaranty,AGO,36.02,36.25,35.77,36.0,0.05,0.14,"666,983",45.73,32.97,0.64,1.78,7.07,6.29,Monday,Monday,2018/06/04
23642,174,Assured Guaranty,AGO,35.94,36.0,35.63,35.93,-0.07,-0.19,"516,302",45.73,32.97,0.64,1.78,7.06,6.08,Tuesday,Tuesday,2018/06/05
