,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
39492,93,AMAG Pharmaceuticals,AMAG,18.65,20.52,18.4,20.15,1.60,8.63,"1,729,370",24.85,11.93,...,...,...,52.08,Thursday,Thursday,2018/03/29
39493,92,AMAG Pharmaceuticals,AMAG,20.65,21.25,19.85,21.2,0.35,1.68,"620,621",24.85,11.93,...,...,...,60.00,Wednesday,Wednesday,2018/04/11
39494,92,AMAG Pharmaceuticals,AMAG,21.35,21.95,21.1,21.7,0.50,2.36,"946,310",24.85,11.93,...,...,...,63.77,Thursday,Thursday,2018/04/12
39495,92,AMAG Pharmaceuticals,AMAG,21.0,21.5,20.7,21.25,0.30,1.43,"568,143",24.85,11.93,...,...,...,60.38,Tuesday,Tuesday,2018/04/17
39496,92,AMAG Pharmaceuticals,AMAG,21.2,21.4,20.7,20.8,-0.45,-2.12,"362,341",24.85,11.93,...,...,...,56.98,Wednesday,Wednesday,2018/04/18
39497,92,AMAG Pharmaceuticals,AMAG,20.8,20.85,19.8,19.85,-0.95,-4.57,"527,171",24.85,11.93,...,...,...,49.81,Thursday,Thursday,2018/04/19
39498,92,AMAG Pharmaceuticals,AMAG,19.8,19.95,19.0,19.35,-0.50,-2.52,"516,842",24.85,11.93,...,...,...,46.04,Friday,Friday,2018/04/20
39499,92,AMAG Pharmaceuticals,AMAG,19.6,19.8,19.0,19.35,-0.35,-1.78,"518,278",24.85,11.93,...,...,...,46.04,Tuesday,Tuesday,2018/04/24
39500,92,AMAG Pharmaceuticals,AMAG,19.85,20.05,19.1,20.0,0.65,3.36,"610,482",24.85,11.93,...,...,...,50.94,Wednesday,Wednesday,2018/04/25
39501,92,AMAG Pharmaceuticals,AMAG,20.35,20.85,20.05,20.65,0.40,1.98,"550,534",24.65,11.93,...,...,...,55.85,Friday,Friday,2018/04/27
39502,91,AMAG Pharmaceuticals,AMAG,20.7,20.9,20.25,20.55,-0.10,-0.48,"534,151",24.65,11.93,...,...,...,55.09,Monday,Monday,2018/04/30
39503,92,AMAG Pharmaceuticals,AMAG,20.55,21.43,20.3,21.25,0.70,3.41,"673,755",24.4,11.93,...,...,...,60.38,Tuesday,Tuesday,2018/05/01
39504,92,AMAG Pharmaceuticals,AMAG,21.25,21.7,18.95,19.2,-1.50,-7.25,"1,435,978",22.25,11.93,...,...,...,44.91,Thursday,Thursday,2018/05/03
39505,92,AMAG Pharmaceuticals,AMAG,19.15,20.38,18.75,20.1,0.90,4.69,"1,190,326",22.25,11.93,...,...,...,51.70,Friday,Friday,2018/05/04
39506,92,AMAG Pharmaceuticals,AMAG,20.3,21.65,20.2,20.7,0.60,2.99,"1,225,574",22.25,11.93,...,...,...,56.23,Monday,Monday,2018/05/07
39507,92,AMAG Pharmaceuticals,AMAG,20.4,21.95,20.4,21.8,1.10,5.31,"1,155,824",22.25,11.93,...,...,...,64.53,Tuesday,Tuesday,2018/05/08
39508,92,AMAG Pharmaceuticals,AMAG,21.85,23.15,21.8,23.05,1.25,5.73,"1,258,485",23.15,11.93,...,...,...,73.96,Wednesday,Wednesday,2018/05/09
39509,91,AMAG Pharmaceuticals,AMAG,23.25,24.25,23.05,23.6,0.55,2.39,"1,731,419",24.25,11.93,...,...,...,78.11,Thursday,Thursday,2018/05/10
39510,92,AMAG Pharmaceuticals,AMAG,23.7,24.15,23.05,24.0,0.40,1.69,"1,010,951",24.25,11.93,...,...,...,81.13,Friday,Friday,2018/05/11
39511,92,AMAG Pharmaceuticals,AMAG,24.05,24.55,22.85,22.95,-1.05,-4.38,"790,762",24.55,11.93,...,...,...,73.21,Monday,Monday,2018/05/14
39512,92,AMAG Pharmaceuticals,AMAG,22.75,23.25,22.55,23.18,0.23,0.98,"422,103",24.55,11.93,...,...,...,74.91,Tuesday,Tuesday,2018/05/15
39513,92,AMAG Pharmaceuticals,AMAG,23.45,24.45,23.3,24.05,0.88,3.78,"628,488",24.55,11.93,...,...,...,81.51,Wednesday,Wednesday,2018/05/16
39514,92,AMAG Pharmaceuticals,AMAG,23.9,24.85,23.9,24.65,0.60,2.49,"577,656",24.85,11.93,...,...,...,86.04,Thursday,Thursday,2018/05/17
39515,92,AMAG Pharmaceuticals,AMAG,24.75,24.93,24.38,24.65,...,...,"545,438",24.93,11.93,...,...,...,86.04,Friday,Friday,2018/05/18
39516,92,AMAG Pharmaceuticals,AMAG,24.7,24.9,23.9,24.1,-0.55,-2.23,"360,076",24.93,11.93,...,...,...,81.89,Monday,Monday,2018/05/21
39517,92,AMAG Pharmaceuticals,AMAG,24.1,24.25,23.45,23.6,-0.50,-2.07,"355,798",24.93,11.93,...,...,...,78.11,Tuesday,Tuesday,2018/05/22
39518,92,AMAG Pharmaceuticals,AMAG,23.5,23.9,23.0,23.15,-0.45,-1.91,"469,350",24.93,11.93,...,...,...,74.72,Wednesday,Wednesday,2018/05/23
39519,92,AMAG Pharmaceuticals,AMAG,23.15,23.4,22.65,23.1,-0.05,-0.22,"732,322",24.93,11.93,...,...,...,74.34,Thursday,Thursday,2018/05/24
39520,92,AMAG Pharmaceuticals,AMAG,23.0,23.75,22.93,23.7,0.60,2.60,"367,398",24.93,11.93,...,...,...,78.87,Friday,Friday,2018/05/25
