,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
40392,98,Ambac Financial Group WT,AMBCW,6.95,7.24,6.72,6.99,0.19,2.79,"7,800",12.50,5.04,...,...,...,21.78,Thursday,Thursday,2018/03/29
40393,97,Ambac Financial Group WT,AMBCW,7.96,8.44,7.89,8.15,0.18,2.26,"93,327",12.50,5.04,...,...,...,41.99,Wednesday,Wednesday,2018/04/11
40394,97,Ambac Financial Group WT,AMBCW,8.25,8.87,8.15,8.7,0.55,6.75,"12,094",12.5,5.04,...,...,...,51.57,Thursday,Thursday,2018/04/12
40395,97,Ambac Financial Group WT,AMBCW,8.75,8.97,8.29,8.84,-0.01,-0.11,"18,001",12.50,5.04,...,...,...,54.01,Tuesday,Tuesday,2018/04/17
40396,97,Ambac Financial Group WT,AMBCW,8.97,8.97,8.56,8.84,...,...,"7,301",12.5,5.04,...,...,...,54.01,Wednesday,Wednesday,2018/04/18
40397,97,Ambac Financial Group WT,AMBCW,8.87,8.88,8.51,8.84,...,...,"7,549",12.50,5.04,...,...,...,54.01,Thursday,Thursday,2018/04/19
40398,97,Ambac Financial Group WT,AMBCW,8.75,8.93,8.55,8.9,0.06,0.68,"2,503",12.50,5.04,...,...,...,55.05,Friday,Friday,2018/04/20
40399,97,Ambac Financial Group WT,AMBCW,8.75,8.95,8.67,8.89,0.18,2.07,"4,650",12.5,5.04,...,...,...,54.88,Tuesday,Tuesday,2018/04/24
40400,97,Ambac Financial Group WT,AMBCW,8.61,8.81,8.35,8.72,-0.17,-1.91,"3,317",12.5,5.04,...,...,...,51.92,Wednesday,Wednesday,2018/04/25
40401,97,Ambac Financial Group WT,AMBCW,8.86,8.9,8.37,8.37,-0.45,-5.10,"3,150",12.50,5.04,...,...,...,45.82,Friday,Friday,2018/04/27
40402,96,Ambac Financial Group WT,AMBCW,8.78,8.78,8.35,8.35,-0.02,-0.24,"1,650",12.5,5.04,...,...,...,45.47,Monday,Monday,2018/04/30
40403,97,Ambac Financial Group WT,AMBCW,8.35,8.81,8.03,8.42,0.07,0.84,"17,100",12.5,5.04,...,...,...,46.69,Tuesday,Tuesday,2018/05/01
40404,97,Ambac Financial Group WT,AMBCW,7.82,7.99,7.77,7.84,-0.65,-7.68,"11,262",12.50,5.04,...,...,...,36.55,Thursday,Thursday,2018/05/03
40405,97,Ambac Financial Group WT,AMBCW,8.12,8.38,8.0,8.36,0.52,6.66,"7,040",12.50,5.04,...,...,...,45.64,Friday,Friday,2018/05/04
40406,97,Ambac Financial Group WT,AMBCW,8.53,8.98,7.9,8.25,-0.11,-1.32,"17,650",12.5,5.04,...,...,...,43.73,Monday,Monday,2018/05/07
40407,97,Ambac Financial Group WT,AMBCW,8.28,8.48,8.12,8.2,-0.05,-0.61,"3,406",12.50,5.04,...,...,...,42.86,Tuesday,Tuesday,2018/05/08
40408,97,Ambac Financial Group WT,AMBCW,8.72,9.45,8.61,9.23,1.03,12.56,"16,974",12.50,5.04,...,...,...,60.80,Wednesday,Wednesday,2018/05/09
40409,96,Ambac Financial Group WT,AMBCW,9.25,9.48,9.1,9.4,0.17,1.84,"17,412",12.5,5.04,...,...,...,63.76,Thursday,Thursday,2018/05/10
40410,97,Ambac Financial Group WT,AMBCW,9.47,9.5,9.11,9.5,0.10,1.06,"23,650",12.5,5.04,...,...,...,65.51,Friday,Friday,2018/05/11
40411,97,Ambac Financial Group WT,AMBCW,9.5,9.99,9.19,9.7,0.20,2.11,"13,232",12.5,5.04,...,...,...,68.99,Monday,Monday,2018/05/14
40412,97,Ambac Financial Group WT,AMBCW,9.8,9.99,9.51,9.98,0.28,2.89,"14,524",12.5,5.04,...,...,...,73.87,Tuesday,Tuesday,2018/05/15
