,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
51621,135,Ansys,ANSS,156.01,158.91,154.18,156.69,1.82,1.18,"563,830",171.92,104.65,...,...,52.40,6.17,Thursday,Thursday,2018/03/29
51622,133,Ansys,ANSS,156.69,158.83,156.67,157.01,-0.91,-0.58,"266,506",171.92,104.65,...,...,52.51,6.38,Wednesday,Wednesday,2018/04/11
51623,133,Ansys,ANSS,157.84,159.75,157.07,159.04,2.03,1.29,"203,730",171.92,104.66,...,...,53.19,7.76,Thursday,Thursday,2018/04/12
51624,134,Ansys,ANSS,161.27,164.95,160.9,164.58,4.59,2.87,"551,483",171.92,105.76,...,...,55.04,11.51,Tuesday,Tuesday,2018/04/17
51625,134,Ansys,ANSS,164.67,166.6,162.96,166.5,1.92,1.17,"563,622",171.92,105.76,...,...,55.69,12.81,Wednesday,Wednesday,2018/04/18
51626,134,Ansys,ANSS,165.9,166.89,164.5,165.48,-1.02,-0.61,"914,480",171.92,107.35,...,...,55.34,12.12,Thursday,Thursday,2018/04/19
51627,134,Ansys,ANSS,165.39,165.46,162.18,163.78,-1.70,-1.03,"874,004",171.92,107.63,...,...,54.78,10.97,Friday,Friday,2018/04/20
51628,134,Ansys,ANSS,163.45,166.18,159.7,160.95,-1.63,-1.00,"307,731",171.92,109.4,...,...,53.83,9.05,Tuesday,Tuesday,2018/04/24
51629,134,Ansys,ANSS,160.65,161.19,157.17,159.86,-1.09,-0.68,"295,873",171.92,109.4,...,...,53.46,8.31,Wednesday,Wednesday,2018/04/25
51630,134,Ansys,ANSS,163.07,164.31,161.85,162.8,0.20,0.12,"239,675",171.92,109.40,...,...,54.45,10.31,Friday,Friday,2018/04/27
51631,133,Ansys,ANSS,162.97,163.98,161.42,161.66,-1.14,-0.70,"313,373",171.92,109.63,...,...,54.07,9.53,Monday,Monday,2018/04/30
51632,134,Ansys,ANSS,161.58,162.94,159.66,161.11,-0.55,-0.34,"297,595",171.92,109.63,...,...,53.88,9.16,Tuesday,Tuesday,2018/05/01
51633,134,Ansys,ANSS,160.08,163.38,156.1,161.02,0.41,0.26,"672,739",171.92,114.00,...,...,53.85,9.10,Thursday,Thursday,2018/05/03
51634,133,Ansys,ANSS,160.9,164.55,156.25,164.15,3.13,1.94,"486,034",171.92,118.00,...,...,50.66,11.22,Friday,Friday,2018/05/04
51635,134,Ansys,ANSS,164.84,166.7,164.2,165.73,1.58,0.96,"391,784",171.92,119.11,...,...,51.15,12.29,Monday,Monday,2018/05/07
51636,134,Ansys,ANSS,163.24,167.68,163.24,167.48,1.75,1.06,"459,800",171.92,119.11,...,...,51.69,13.48,Tuesday,Tuesday,2018/05/08
51637,134,Ansys,ANSS,168.33,171.95,167.44,171.5,4.02,2.40,"460,354",171.95,119.11,...,...,52.93,16.20,Wednesday,Wednesday,2018/05/09
51638,132,Ansys,ANSS,171.97,173.11,171.17,172.31,0.81,0.47,"403,879",173.11,119.11,...,...,53.18,16.75,Thursday,Thursday,2018/05/10
51639,134,Ansys,ANSS,172.56,173.2,171.0,172.13,-0.18,-0.10,"424,662",173.2,119.14,...,...,53.13,16.63,Friday,Friday,2018/05/11
51640,134,Ansys,ANSS,172.3,172.63,166.57,166.97,-5.16,-3.00,"304,138",173.2,119.14,...,...,51.53,13.13,Monday,Monday,2018/05/14
51641,134,Ansys,ANSS,165.9,165.9,163.78,165.48,-1.49,-0.89,"478,884",173.2,119.14,...,...,51.07,12.12,Tuesday,Tuesday,2018/05/15
51642,134,Ansys,ANSS,165.27,166.23,164.06,165.28,-0.20,-0.12,"357,416",173.2,119.14,...,...,51.01,11.99,Wednesday,Wednesday,2018/05/16
51643,134,Ansys,ANSS,165.48,165.99,163.54,164.58,-0.70,-0.42,"260,510",173.20,119.14,...,...,50.80,11.51,Thursday,Thursday,2018/05/17
51644,134,Ansys,ANSS,164.32,165.95,163.25,164.93,0.35,0.21,"315,549",173.2,119.2,...,...,50.90,11.75,Friday,Friday,2018/05/18
51645,134,Ansys,ANSS,165.81,166.76,163.41,164.52,-0.41,-0.25,"231,036",173.20,119.20,...,...,50.78,11.47,Monday,Monday,2018/05/21
51646,134,Ansys,ANSS,164.58,164.93,163.17,163.45,-1.07,-0.65,"336,358",173.2,119.2,...,...,50.45,10.75,Tuesday,Tuesday,2018/05/22
51647,134,Ansys,ANSS,162.32,164.17,161.1,164.16,0.71,0.43,"367,392",173.20,119.20,...,...,50.67,11.23,Wednesday,Wednesday,2018/05/23
51648,133,Ansys,ANSS,164.01,164.61,161.85,163.22,-0.94,-0.57,"516,324",173.20,119.20,...,...,50.38,10.59,Thursday,Thursday,2018/05/24
51649,133,Ansys,ANSS,163.06,163.74,161.74,162.32,-0.90,-0.55,"301,037",173.20,119.20,...,...,50.10,9.98,Friday,Friday,2018/05/25
51650,134,Ansys,ANSS,161.2,162.86,160.49,161.59,-0.73,-0.45,"334,089",173.20,119.20,...,...,49.87,9.49,Tuesday,Tuesday,2018/05/29
51651,134,Ansys,ANSS,158.87,164.45,158.87,162.89,1.30,0.80,"386,244",173.20,119.20,...,...,50.27,10.37,Wednesday,Wednesday,2018/05/30
51652,133,Ansys,ANSS,162.99,163.98,161.79,162.8,-0.09,-0.06,"835,339",173.2,119.2,...,...,50.25,10.31,Thursday,Thursday,2018/05/31
51653,133,Ansys,ANSS,163.81,166.19,163.0,165.8,3.00,1.84,"469,544",173.20,119.20,...,...,51.17,12.34,Friday,Friday,2018/06/01
51654,133,Ansys,ANSS,165.81,168.2,165.56,168.09,2.29,1.38,"271,261",173.20,119.20,...,...,51.88,13.89,Monday,Monday,2018/06/04
