,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
57239,146,Apptio Cl A,APTI,28.05,28.73,27.84,28.34,0.44,1.58,"393,564",30.83,10.77,...,...,...,20.49,Thursday,Thursday,2018/03/29
57240,144,Apptio Cl A,APTI,28.34,29.48,28.23,28.78,0.34,1.20,"269,371",30.83,11.23,...,...,...,22.36,Wednesday,Wednesday,2018/04/11
57241,144,Apptio Cl A,APTI,28.94,29.61,28.77,29.46,0.68,2.36,"379,167",30.83,11.24,...,...,...,25.26,Thursday,Thursday,2018/04/12
57242,145,Apptio Cl A,APTI,30.15,30.39,29.95,30.12,0.16,0.53,"379,985",30.83,11.24,...,...,...,28.06,Tuesday,Tuesday,2018/04/17
57243,145,Apptio Cl A,APTI,30.21,30.69,30.01,30.35,0.23,0.76,"246,061",30.83,11.51,...,...,...,29.04,Wednesday,Wednesday,2018/04/18
57244,145,Apptio Cl A,APTI,30.12,30.32,29.5,29.98,-0.37,-1.22,"1,112,587",30.83,11.75,...,...,...,27.47,Thursday,Thursday,2018/04/19
57245,145,Apptio Cl A,APTI,29.99,30.63,29.75,30.25,0.27,0.90,"265,442",30.83,11.91,...,...,...,28.61,Friday,Friday,2018/04/20
57246,145,Apptio Cl A,APTI,30.47,30.72,29.42,29.81,-0.44,-1.45,"586,761",30.83,12.53,...,...,...,26.74,Tuesday,Tuesday,2018/04/24
57247,145,Apptio Cl A,APTI,29.6,29.85,28.62,28.93,-0.88,-2.95,"604,215",30.83,12.67,...,...,...,23.00,Wednesday,Wednesday,2018/04/25
57248,145,Apptio Cl A,APTI,28.36,29.55,27.82,28.88,-1.34,-4.43,"873,877",30.83,12.67,...,...,...,22.79,Friday,Friday,2018/04/27
57249,144,Apptio Cl A,APTI,29.05,30.08,29.05,29.51,0.63,2.18,"1,032,093",30.83,12.74,...,...,...,25.47,Monday,Monday,2018/04/30
57250,145,Apptio Cl A,APTI,32.65,33.28,30.01,30.83,1.32,4.47,"1,965,896",33.28,12.74,...,...,...,31.08,Tuesday,Tuesday,2018/05/01
57251,145,Apptio Cl A,APTI,31.85,32.53,31.34,32.28,0.30,0.94,"595,444",33.28,12.86,...,...,...,37.24,Thursday,Thursday,2018/05/03
57252,144,Apptio Cl A,APTI,32.3,32.74,31.95,32.17,-0.11,-0.34,"821,535",33.28,12.94,...,...,...,36.78,Friday,Friday,2018/05/04
57253,145,Apptio Cl A,APTI,32.06,32.26,31.6,31.74,-0.43,-1.34,"535,324",33.28,12.94,...,...,...,34.95,Monday,Monday,2018/05/07
57254,145,Apptio Cl A,APTI,31.67,32.2,31.12,32.17,0.43,1.35,"399,529",33.28,13.02,...,...,...,36.78,Tuesday,Tuesday,2018/05/08
57255,145,Apptio Cl A,APTI,32.04,32.76,31.8,32.74,0.57,1.77,"479,753",33.28,13.49,...,...,...,39.20,Wednesday,Wednesday,2018/05/09
57256,143,Apptio Cl A,APTI,32.83,32.91,31.37,31.45,-1.29,-3.94,"730,672",33.28,13.6,...,...,...,33.72,Thursday,Thursday,2018/05/10
57257,145,Apptio Cl A,APTI,30.76,30.82,29.42,30.66,-0.79,-2.51,"1,127,233",33.28,13.72,...,...,...,30.36,Friday,Friday,2018/05/11
57258,145,Apptio Cl A,APTI,30.8,31.09,30.45,30.65,-0.01,-0.03,"590,186",33.28,14.09,...,...,...,30.31,Monday,Monday,2018/05/14
57259,145,Apptio Cl A,APTI,30.0,30.62,30.0,30.5,-0.15,-0.49,"498,496",33.28,14.52,...,...,...,29.68,Tuesday,Tuesday,2018/05/15
57260,145,Apptio Cl A,APTI,30.58,31.38,30.58,31.34,0.84,2.75,"358,957",33.28,14.52,...,...,...,33.25,Wednesday,Wednesday,2018/05/16
57261,145,Apptio Cl A,APTI,31.24,32.09,31.18,31.33,-0.01,-0.03,"340,025",33.28,14.56,...,...,...,33.21,Thursday,Thursday,2018/05/17
57262,145,Apptio Cl A,APTI,31.2,31.84,30.84,31.73,0.40,1.28,"584,922",33.28,15.05,...,...,...,34.91,Friday,Friday,2018/05/18
57263,145,Apptio Cl A,APTI,31.85,31.89,31.04,31.5,-0.23,-0.72,"457,484",33.28,15.21,...,...,...,33.93,Monday,Monday,2018/05/21
57264,145,Apptio Cl A,APTI,31.48,31.64,31.26,31.32,-0.18,-0.57,"391,445",33.28,15.56,...,...,...,33.16,Tuesday,Tuesday,2018/05/22
57265,145,Apptio Cl A,APTI,31.16,31.66,31.01,31.66,0.34,1.09,"355,175",33.28,15.69,...,...,...,34.61,Wednesday,Wednesday,2018/05/23
