,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
59324,46,Aqua Metals,AQMS,2.54,2.68,2.46,2.59,0.10,4.02,"345,341",20.23,1.42,...,...,...,21.60,Thursday,Thursday,2018/03/29
59325,46,Aqua Metals,AQMS,2.29,2.4,2.29,2.36,0.06,2.61,"229,432",18.70,1.42,...,...,...,10.80,Wednesday,Wednesday,2018/04/11
59326,44,Aqua Metals,AQMS,2.36,2.4,2.32,2.33,-0.03,-1.27,"233,990",18.7,1.42,...,...,...,9.39,Thursday,Thursday,2018/04/12
59327,45,Aqua Metals,AQMS,2.27,2.34,2.21,2.28,0.02,0.88,"215,925",18.7,1.42,...,...,...,7.04,Tuesday,Tuesday,2018/04/17
59328,44,Aqua Metals,AQMS,2.3,2.62,2.3,2.6,0.32,14.04,"585,441",18.70,1.42,...,...,...,22.07,Wednesday,Wednesday,2018/04/18
59329,43,Aqua Metals,AQMS,2.6,2.64,2.38,2.5,-0.10,-3.85,"335,107",18.7,1.42,...,...,...,17.37,Thursday,Thursday,2018/04/19
59330,45,Aqua Metals,AQMS,2.47,2.64,2.4,2.62,0.12,4.80,"634,086",18.70,1.42,...,...,...,23.00,Friday,Friday,2018/04/20
59331,46,Aqua Metals,AQMS,2.54,2.61,2.4,2.52,0.06,2.44,"596,592",18.7,1.42,...,...,...,18.31,Tuesday,Tuesday,2018/04/24
59332,46,Aqua Metals,AQMS,2.51,2.62,2.42,2.6,0.08,3.17,"469,985",18.70,1.42,...,...,...,22.07,Wednesday,Wednesday,2018/04/25
59333,46,Aqua Metals,AQMS,2.79,3.56,2.75,3.37,0.54,19.08,"5,099,047",18.7,1.42,...,...,...,58.22,Friday,Friday,2018/04/27
59334,44,Aqua Metals,AQMS,3.46,3.55,2.89,3.13,-0.24,-7.12,"2,815,657",18.7,1.42,...,...,...,46.95,Monday,Monday,2018/04/30
59335,47,Aqua Metals,AQMS,3.09,3.24,2.9,3.16,0.03,0.96,"1,080,806",18.70,1.42,...,...,...,48.36,Tuesday,Tuesday,2018/05/01
59336,46,Aqua Metals,AQMS,3.9,4.22,3.67,4.14,0.27,6.98,"2,738,311",18.70,1.42,...,...,...,94.37,Thursday,Thursday,2018/05/03
59337,45,Aqua Metals,AQMS,4.05,4.13,3.8,3.93,-0.21,-5.07,"1,437,501",18.70,1.42,...,...,...,84.51,Friday,Friday,2018/05/04
59338,45,Aqua Metals,AQMS,3.98,3.99,3.5,3.72,-0.21,-5.34,"1,208,726",18.70,1.42,...,...,...,74.65,Monday,Monday,2018/05/07
59339,44,Aqua Metals,AQMS,3.72,4.03,3.7,3.82,0.10,2.69,"634,729",17.21,1.42,...,...,...,79.34,Tuesday,Tuesday,2018/05/08
59340,45,Aqua Metals,AQMS,3.81,3.89,3.5,3.53,-0.29,-7.59,"1,108,006",15.39,1.42,...,...,...,65.73,Wednesday,Wednesday,2018/05/09
59341,46,Aqua Metals,AQMS,3.6,3.6,3.11,3.12,-0.41,-11.61,"1,633,629",13.85,1.42,...,...,...,46.48,Thursday,Thursday,2018/05/10
59342,46,Aqua Metals,AQMS,3.1,3.38,2.98,3.22,0.10,3.21,"803,133",13.85,1.42,...,...,...,51.17,Friday,Friday,2018/05/11
59343,44,Aqua Metals,AQMS,3.19,3.4,3.16,3.19,-0.03,-0.93,"507,173",13.85,1.42,...,...,...,49.77,Monday,Monday,2018/05/14
59344,45,Aqua Metals,AQMS,3.15,3.25,3.11,3.18,-0.01,-0.31,"290,853",13.85,1.42,...,...,...,49.30,Tuesday,Tuesday,2018/05/15
59345,47,Aqua Metals,AQMS,3.18,3.25,3.05,3.16,-0.02,-0.63,"365,145",13.85,1.42,...,...,...,48.36,Wednesday,Wednesday,2018/05/16
59346,46,Aqua Metals,AQMS,3.19,3.27,3.16,3.22,0.06,1.90,"267,014",13.85,1.42,...,...,...,51.17,Thursday,Thursday,2018/05/17
59347,46,Aqua Metals,AQMS,3.24,3.75,3.23,3.55,0.33,10.25,"780,301",13.85,1.42,...,...,...,66.67,Friday,Friday,2018/05/18
59348,45,Aqua Metals,AQMS,3.6,3.97,3.55,3.97,0.42,11.83,"971,302",13.85,1.42,...,...,...,86.38,Monday,Monday,2018/05/21
59349,46,Aqua Metals,AQMS,4.0,4.09,3.63,3.66,-0.31,-7.81,"911,697",13.85,1.42,...,...,...,71.83,Tuesday,Tuesday,2018/05/22
59350,46,Aqua Metals,AQMS,3.61,3.71,3.51,3.62,-0.04,-1.09,"403,141",13.85,1.42,...,...,...,69.95,Wednesday,Wednesday,2018/05/23
59351,44,Aqua Metals,AQMS,3.6,3.62,3.29,3.32,-0.30,-8.29,"588,606",13.85,1.42,...,...,...,55.87,Thursday,Thursday,2018/05/24
59352,44,Aqua Metals,AQMS,3.3,3.41,3.13,3.16,-0.16,-4.82,"431,236",13.85,1.42,...,...,...,48.36,Friday,Friday,2018/05/25
59353,44,Aqua Metals,AQMS,3.17,3.5,3.12,3.22,0.06,1.90,"510,084",13.85,1.42,...,...,...,51.17,Tuesday,Tuesday,2018/05/29
59354,46,Aqua Metals,AQMS,3.43,3.54,3.25,3.45,0.23,7.14,"555,163",13.85,1.42,...,...,...,61.97,Wednesday,Wednesday,2018/05/30
59355,46,Aqua Metals,AQMS,3.51,3.53,3.4,3.47,0.02,0.58,"244,874",13.85,1.42,...,...,...,62.91,Thursday,Thursday,2018/05/31
59356,46,Aqua Metals,AQMS,3.5,3.5,3.31,3.36,-0.11,-3.17,"285,721",13.85,1.42,...,...,...,57.75,Friday,Friday,2018/06/01
59357,46,Aqua Metals,AQMS,3.36,3.5,3.26,3.32,-0.04,-1.19,"471,791",13.85,1.42,...,...,...,55.87,Monday,Monday,2018/06/04
59358,46,Aqua Metals,AQMS,3.29,3.44,3.25,3.28,-0.04,-1.20,"398,145",13.85,1.42,...,...,...,53.99,Tuesday,Tuesday,2018/06/05
59359,46,Aqua Metals,AQMS,3.3,3.32,3.11,3.23,-0.05,-1.52,"626,269",13.85,1.42,...,...,...,51.64,Wednesday,Wednesday,2018/06/06
59360,47,Aqua Metals,AQMS,3.24,3.24,3.01,3.02,-0.21,-6.50,"648,776",13.85,1.42,...,...,...,41.78,Thursday,Thursday,2018/06/07
59361,46,Aqua Metals,AQMS,3.02,3.04,2.78,2.94,-0.08,-2.65,"884,340",13.85,1.42,...,...,...,38.03,Friday,Friday,2018/06/08
59362,45,Aqua Metals,AQMS,3.04,3.23,2.93,3.03,0.09,3.06,"1,368,128",13.85,1.42,...,...,...,42.25,Monday,Monday,2018/06/11
