,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
61757,148,Arcos Dorados Holdings Cl A,ARCO,8.85,9.2,8.75,9.15,0.40,4.57,"569,541",10.8,7.40,0.20,2.19,...,-11.59,Thursday,Thursday,2018/03/29
61758,148,Arcos Dorados Holdings Cl A,ARCO,8.7,9.05,8.7,8.8,0.05,0.57,"545,926",10.80,7.40,0.20,2.27,...,-14.98,Wednesday,Wednesday,2018/04/11
61759,147,Arcos Dorados Holdings Cl A,ARCO,8.9,9.15,8.9,9.05,0.25,2.84,"442,444",10.80,7.40,0.20,2.21,...,-12.56,Thursday,Thursday,2018/04/12
61760,146,Arcos Dorados Holdings Cl A,ARCO,9.3,9.45,9.2,9.35,0.10,1.08,"287,308",10.80,7.40,0.20,2.14,...,-9.66,Tuesday,Tuesday,2018/04/17
61761,146,Arcos Dorados Holdings Cl A,ARCO,9.35,9.6,9.2,9.4,0.05,0.53,"298,690",10.8,7.4,0.20,2.13,...,-9.18,Wednesday,Wednesday,2018/04/18
61762,147,Arcos Dorados Holdings Cl A,ARCO,9.4,9.4,9.15,9.15,-0.25,-2.66,"229,333",10.80,7.40,0.20,2.19,...,-11.59,Thursday,Thursday,2018/04/19
61763,146,Arcos Dorados Holdings Cl A,ARCO,9.1,9.4,9.05,9.35,0.20,2.19,"384,075",10.80,7.40,0.20,2.14,...,-9.66,Friday,Friday,2018/04/20
61764,146,Arcos Dorados Holdings Cl A,ARCO,9.4,9.5,9.25,9.4,0.05,0.53,"304,934",10.80,7.40,0.20,2.13,...,-9.18,Tuesday,Tuesday,2018/04/24
61765,147,Arcos Dorados Holdings Cl A,ARCO,9.4,9.4,9.05,9.2,-0.20,-2.13,"693,803",10.8,7.40,0.20,2.17,...,-11.11,Wednesday,Wednesday,2018/04/25
61766,146,Arcos Dorados Holdings Cl A,ARCO,9.3,9.4,9.1,9.2,-0.10,-1.08,"1,021,930",10.80,7.40,0.20,2.17,...,-11.11,Friday,Friday,2018/04/27
61767,147,Arcos Dorados Holdings Cl A,ARCO,9.25,9.4,9.05,9.1,-0.10,-1.09,"849,961",10.80,7.40,0.20,2.20,...,-12.08,Monday,Monday,2018/04/30
61768,147,Arcos Dorados Holdings Cl A,ARCO,9.1,9.35,9.1,9.35,0.25,2.75,"505,497",10.80,7.40,0.20,2.14,...,-9.66,Tuesday,Tuesday,2018/05/01
61769,147,Arcos Dorados Holdings Cl A,ARCO,9.05,9.15,8.55,8.65,-0.45,-4.95,"1,128,433",10.80,7.40,0.20,2.31,...,-16.43,Thursday,Thursday,2018/05/03
61770,147,Arcos Dorados Holdings Cl A,ARCO,8.7,9.0,8.65,8.85,0.20,2.31,"727,111",10.8,7.40,0.20,2.26,...,-14.49,Friday,Friday,2018/05/04
61771,147,Arcos Dorados Holdings Cl A,ARCO,8.9,8.95,8.65,8.7,-0.15,-1.69,"548,590",10.8,7.40,0.20,2.30,...,-15.94,Monday,Monday,2018/05/07
61772,146,Arcos Dorados Holdings Cl A,ARCO,8.7,8.8,7.95,8.1,-0.60,-6.90,"2,498,592",10.8,7.4,0.20,2.47,13.28,-21.74,Tuesday,Tuesday,2018/05/08
61773,148,Arcos Dorados Holdings Cl A,ARCO,8.3,8.6,8.25,8.35,0.25,3.09,"1,587,719",10.8,7.40,0.20,2.40,13.69,-19.32,Wednesday,Wednesday,2018/05/09
61774,147,Arcos Dorados Holdings Cl A,ARCO,8.35,8.6,8.3,8.5,0.15,1.80,"640,771",10.80,7.40,0.20,2.35,13.93,-17.87,Thursday,Thursday,2018/05/10
61775,148,Arcos Dorados Holdings Cl A,ARCO,8.5,8.6,8.1,8.15,-0.35,-4.12,"1,043,047",10.80,7.40,0.20,2.45,13.36,-21.26,Friday,Friday,2018/05/11
61776,147,Arcos Dorados Holdings Cl A,ARCO,8.05,8.15,7.7,7.75,-0.40,-4.91,"2,132,605",10.8,7.40,0.20,2.58,12.70,-25.12,Monday,Monday,2018/05/14
61777,148,Arcos Dorados Holdings Cl A,ARCO,7.65,7.8,7.28,7.4,-0.35,-4.52,"2,651,746",10.8,7.28,0.20,2.70,17.52,-28.50,Tuesday,Tuesday,2018/05/15
61778,148,Arcos Dorados Holdings Cl A,ARCO,7.4,7.6,7.33,7.4,...,...,"3,041,090",10.80,7.28,0.20,2.70,17.52,-28.50,Wednesday,Wednesday,2018/05/16
