,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
67675,168,Arvinas,ARVN,21.00,21.25,16.00,16.05,0.05,0.31,"3,419,015",...,...,...,...,...,...,Thursday,Thursday,2018/09/27
67676,168,Arvinas,ARVN,15.98,16.99,15.94,16.87,0.82,5.11,"315,794",...,...,...,...,...,...,Friday,Friday,2018/09/28
67677,167,Arvinas,ARVN,16.88,17.24,16.0,16.01,-0.86,-5.10,"78,721",21.25,15.94,...,...,...,...,Monday,Monday,2018/10/01
67678,165,Arvinas,ARVN,16.0,16.11,14.00,14.81,-1.20,-7.50,"523,967",21.25,14.00,...,...,...,...,Tuesday,Tuesday,2018/10/02
67679,166,Arvinas,ARVN,15.25,15.65,14.81,15.65,0.84,5.67,"86,402",21.25,14.00,...,...,...,...,Wednesday,Wednesday,2018/10/03
67680,166,Arvinas,ARVN,15.54,15.85,15.00,15.40,-0.25,-1.60,"136,932",21.25,14.00,...,...,...,...,Thursday,Thursday,2018/10/04
67681,165,Arvinas,ARVN,15.50,15.9,15.00,15.01,-0.39,-2.53,"115,683",21.25,14.00,...,...,...,...,Friday,Friday,2018/10/05
67682,164,Arvinas,ARVN,15.21,15.3,14.50,14.87,-0.14,-0.93,"125,097",21.25,14.00,...,...,...,...,Monday,Monday,2018/10/08
67683,166,Arvinas,ARVN,14.75,15.4,14.75,14.79,-0.08,-0.54,"27,750",21.25,14.00,...,...,...,...,Tuesday,Tuesday,2018/10/09
67684,166,Arvinas,ARVN,14.86,15.33,14.39,14.44,-0.35,-2.37,"122,416",21.25,14.00,...,...,...,...,Wednesday,Wednesday,2018/10/10
67685,167,Arvinas,ARVN,14.46,14.6,13.70,13.70,-0.74,-5.12,"110,847",21.25,13.70,...,...,...,...,Thursday,Thursday,2018/10/11
67686,166,Arvinas,ARVN,13.87,14.75,13.75,14.45,0.75,5.47,"123,411",21.25,13.70,...,...,...,...,Friday,Friday,2018/10/12
67687,168,Arvinas,ARVN,14.45,15.51,14.45,15.00,0.55,3.81,"120,328",21.25,13.70,...,...,...,...,Monday,Monday,2018/10/15
