,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
86061,210,Aware,AWRE,4.2,4.2,4.13,4.15,-0.05,-1.19,"13,118",5.40,3.70,...,...,69.17,-7.78,Thursday,Thursday,2018/03/29
86062,207,Aware,AWRE,4.05,4.1,4.0,4.1,...,...,"9,150",5.40,3.70,...,...,68.33,-8.89,Wednesday,Wednesday,2018/04/11
86063,208,Aware,AWRE,4.05,4.1,4.0,4.1,...,...,"26,987",5.4,3.7,...,...,68.33,-8.89,Thursday,Thursday,2018/04/12
86064,208,Aware,AWRE,4.05,4.2,4.05,4.2,0.09,2.26,"14,392",5.40,3.70,...,...,70.00,-6.67,Tuesday,Tuesday,2018/04/17
86065,209,Aware,AWRE,4.15,4.25,4.15,4.15,-0.05,-1.19,"3,484",5.4,3.7,...,...,69.17,-7.78,Wednesday,Wednesday,2018/04/18
86066,209,Aware,AWRE,4.1,4.15,4.1,4.13,-0.02,-0.52,"6,243",5.40,3.70,...,...,68.81,-8.26,Thursday,Thursday,2018/04/19
86067,209,Aware,AWRE,4.1,4.15,4.1,4.13,-0.00,-0.08,"5,594",5.40,3.70,...,...,68.75,-8.33,Friday,Friday,2018/04/20
86068,208,Aware,AWRE,4.1,4.14,4.05,4.05,-0.10,-2.41,"6,781",5.4,3.7,...,...,67.50,-10.00,Tuesday,Tuesday,2018/04/24
86069,209,Aware,AWRE,4.05,4.1,3.9,3.95,-0.10,-2.47,"14,129",5.4,3.7,...,...,197.50,-12.22,Wednesday,Wednesday,2018/04/25
86070,208,Aware,AWRE,3.9,3.95,3.9,3.95,0.05,1.28,"5,201",5.40,3.70,...,...,197.50,-12.22,Friday,Friday,2018/04/27
86071,206,Aware,AWRE,3.9,4.0,3.9,3.9,-0.05,-1.27,"7,940",5.4,3.7,...,...,195.00,-13.33,Monday,Monday,2018/04/30
86072,207,Aware,AWRE,3.9,4.0,3.9,4.0,0.10,2.56,"3,996",5.4,3.7,...,...,200.00,-11.11,Tuesday,Tuesday,2018/05/01
86073,205,Aware,AWRE,4.05,4.1,3.95,4.05,...,...,"8,071",5.40,3.70,...,...,202.50,-10.00,Thursday,Thursday,2018/05/03
86074,205,Aware,AWRE,4.0,4.2,4.0,4.2,0.15,3.70,"5,086",5.40,3.70,...,...,210.00,-6.67,Friday,Friday,2018/05/04
86075,207,Aware,AWRE,4.1,4.2,4.1,4.15,-0.05,-1.19,"5,203",5.4,3.7,...,...,207.50,-7.78,Monday,Monday,2018/05/07
86076,209,Aware,AWRE,4.05,4.05,4.05,4.05,-0.10,-2.41,"1,415",5.40,3.70,...,...,202.50,-10.00,Tuesday,Tuesday,2018/05/08
86077,208,Aware,AWRE,4.0,4.15,4.0,4.05,...,...,"5,224",5.40,3.70,...,...,202.50,-10.00,Wednesday,Wednesday,2018/05/09
86078,206,Aware,AWRE,4.02,4.1,4.02,4.1,0.05,1.23,"4,998",5.4,3.7,...,...,205.00,-8.89,Thursday,Thursday,2018/05/10
86079,209,Aware,AWRE,4.05,4.25,4.0,4.2,0.10,2.44,"19,961",5.4,3.7,...,...,210.00,-6.67,Friday,Friday,2018/05/11
86080,207,Aware,AWRE,4.1,4.2,4.1,4.2,...,...,"4,229",5.4,3.7,...,...,210.00,-6.67,Monday,Monday,2018/05/14
86081,207,Aware,AWRE,4.0,4.03,4.0,4.03,-0.17,-4.03,786,5.4,3.7,...,...,201.54,-10.43,Tuesday,Tuesday,2018/05/15
86082,208,Aware,AWRE,4.2,4.22,4.0,4.0,-0.03,-0.76,"6,848",5.4,3.7,...,...,200.00,-11.11,Wednesday,Wednesday,2018/05/16
86083,207,Aware,AWRE,4.0,4.02,4.0,4.0,...,...,833,5.40,3.70,...,...,200.00,-11.11,Thursday,Thursday,2018/05/17
86084,208,Aware,AWRE,4.04,4.05,4.0,4.05,0.05,1.25,"1,200",5.4,3.7,...,...,202.50,-10.00,Friday,Friday,2018/05/18
86085,208,Aware,AWRE,4.0,4.0,3.85,3.95,-0.10,-2.47,"11,269",5.40,3.70,...,...,197.50,-12.22,Monday,Monday,2018/05/21
86086,207,Aware,AWRE,3.9,3.95,3.9,3.93,-0.02,-0.54,"4,677",5.4,3.7,...,...,196.43,-12.70,Tuesday,Tuesday,2018/05/22
86087,207,Aware,AWRE,4.0,4.0,3.9,3.95,0.02,0.54,"7,786",5.40,3.70,...,...,197.50,-12.22,Wednesday,Wednesday,2018/05/23
86088,207,Aware,AWRE,3.9,4.0,3.9,3.9,-0.05,-1.27,"4,557",5.40,3.70,...,...,195.00,-13.33,Thursday,Thursday,2018/05/24
86089,207,Aware,AWRE,3.85,4.0,3.85,3.95,0.05,1.28,"4,665",5.40,3.70,...,...,197.50,-12.22,Friday,Friday,2018/05/25
86090,207,Aware,AWRE,3.95,4.0,3.95,4.0,0.05,1.27,"3,051",5.40,3.70,...,...,200.00,-11.11,Tuesday,Tuesday,2018/05/29
86091,207,Aware,AWRE,4.0,4.05,3.9,3.9,-0.10,-2.50,"5,907",5.40,3.70,...,...,195.00,-13.33,Wednesday,Wednesday,2018/05/30
86092,206,Aware,AWRE,4.0,4.0,3.9,4.0,0.10,2.56,"4,321",5.4,3.7,...,...,200.00,-11.11,Thursday,Thursday,2018/05/31
86093,206,Aware,AWRE,3.95,4.0,3.95,3.95,-0.05,-1.25,"7,926",5.40,3.70,...,...,197.50,-12.22,Friday,Friday,2018/06/01
86094,206,Aware,AWRE,3.9,3.95,3.9,3.9,-0.05,-1.27,"1,817",5.40,3.70,...,...,195.00,-13.33,Monday,Monday,2018/06/04
86095,205,Aware,AWRE,3.9,3.95,3.9,3.9,...,...,"9,993",5.4,3.7,...,...,195.00,-13.33,Tuesday,Tuesday,2018/06/05
86096,206,Aware,AWRE,3.9,4.0,3.9,3.9,...,...,"8,940",5.40,3.70,...,...,195.00,-13.33,Wednesday,Wednesday,2018/06/06
86097,206,Aware,AWRE,3.95,4.0,3.95,3.95,0.05,1.28,"2,347",5.40,3.70,...,...,197.50,-12.22,Thursday,Thursday,2018/06/07
86098,205,Aware,AWRE,3.95,4.0,3.9,3.9,-0.05,-1.27,"3,554",5.40,3.70,...,...,195.00,-13.33,Friday,Friday,2018/06/08
86099,206,Aware,AWRE,3.9,4.0,3.9,3.9,...,...,"4,373",5.4,3.7,...,...,195.00,-13.33,Monday,Monday,2018/06/11
86100,206,Aware,AWRE,3.85,3.92,3.85,3.9,...,...,"2,090",5.4,3.7,...,...,195.00,-13.33,Tuesday,Tuesday,2018/06/12
86101,204,Aware,AWRE,3.9,3.95,3.9,3.95,0.05,1.28,"2,828",5.4,3.7,...,...,197.50,-12.22,Wednesday,Wednesday,2018/06/13
86102,205,Aware,AWRE,3.9,3.95,3.9,3.95,...,...,"4,493",5.4,3.7,...,...,197.50,-12.22,Thursday,Thursday,2018/06/14
86103,205,Aware,AWRE,3.92,3.95,3.92,3.95,...,...,"2,435",5.40,3.70,...,...,197.50,-12.22,Friday,Friday,2018/06/15
86104,205,Aware,AWRE,3.95,4.0,3.9,3.95,...,...,"19,873",5.40,3.70,...,...,197.50,-12.22,Monday,Monday,2018/06/18
86105,204,Aware,AWRE,3.85,4.0,3.85,3.9,-0.05,-1.27,"7,629",5.4,3.7,...,...,195.00,-13.33,Tuesday,Tuesday,2018/06/19
86106,202,Aware,AWRE,3.9,4.0,3.9,3.95,0.05,1.28,"8,015",5.40,3.70,...,...,197.50,-12.22,Wednesday,Wednesday,2018/06/20
86107,205,Aware,AWRE,3.9,3.95,3.9,3.92,-0.03,-0.63,"1,543",5.4,3.7,...,...,196.25,-12.78,Thursday,Thursday,2018/06/21
86108,206,Aware,AWRE,3.9,3.95,3.9,3.95,0.03,0.64,"17,705",5.4,3.7,...,...,197.50,-12.22,Friday,Friday,2018/06/22
86109,205,Aware,AWRE,3.92,3.95,3.9,3.92,-0.03,-0.63,"3,362",5.4,3.7,...,...,196.25,-12.78,Monday,Monday,2018/06/25
86110,204,Aware,AWRE,3.95,3.95,3.9,3.9,-0.02,-0.64,"2,132",5.4,3.7,...,...,195.00,-13.33,Tuesday,Tuesday,2018/06/26
86111,205,Aware,AWRE,3.9,3.95,3.9,3.9,...,...,"4,794",5.35,3.70,...,...,195.00,-13.33,Wednesday,Wednesday,2018/06/27
86112,204,Aware,AWRE,3.9,4.58,3.83,4.25,0.35,8.97,"178,901",5.35,3.70,...,...,212.50,-5.56,Thursday,Thursday,2018/06/28
86113,205,Aware,AWRE,4.25,4.25,3.75,4.05,-0.20,-4.71,"60,613",5.30,3.70,...,...,202.50,-10.00,Friday,Friday,2018/06/29
86114,205,Aware,AWRE,3.95,4.05,3.95,4.05,...,...,"3,774",5.3,3.7,...,...,202.50,-10.00,Monday,Monday,2018/07/02
86115,203,Aware,AWRE,4.05,4.05,3.97,4.0,-0.05,-1.23,"5,548",5.25,3.7,...,...,200.00,-11.11,Tuesday,Tuesday,2018/07/03
86116,205,Aware,AWRE,4.0,4.1,3.9,4.05,0.05,1.25,"52,427",5.25,3.7,...,...,202.50,-10.00,Thursday,Thursday,2018/07/05
86117,205,Aware,AWRE,4.0,4.05,4.0,4.05,...,...,"1,390",5.25,3.7,...,...,202.50,-10.00,Friday,Friday,2018/07/06
86118,205,Aware,AWRE,4.0,4.05,4.0,4.05,...,...,"3,120",5.25,3.7,...,...,202.50,-10.00,Monday,Monday,2018/07/09
86119,205,Aware,AWRE,4.05,4.1,4.0,4.0,-0.05,-1.23,"6,855",5.2,3.7,...,...,200.00,-11.11,Tuesday,Tuesday,2018/07/10
86120,204,Aware,AWRE,3.97,4.05,3.95,4.05,0.05,1.25,"4,131",5.2,3.7,...,...,202.50,-10.00,Wednesday,Wednesday,2018/07/11
86121,204,Aware,AWRE,3.95,3.95,3.95,3.95,-0.10,-2.47,"1,666",5.2,3.7,...,...,197.50,-12.22,Thursday,Thursday,2018/07/12
86122,205,Aware,AWRE,4.0,4.05,3.95,4.03,0.08,1.90,"3,475",5.2,3.7,...,...,201.25,-10.56,Friday,Friday,2018/07/13
86123,204,Aware,AWRE,4.0,4.0,3.95,3.98,-0.05,-1.24,"3,572",5.2,3.7,...,...,198.75,-11.67,Monday,Monday,2018/07/16
86124,204,Aware,AWRE,3.97,4.0,3.95,4.0,0.02,0.63,"1,459",5.2,3.7,...,...,200.00,-11.11,Tuesday,Tuesday,2018/07/17
86125,204,Aware,AWRE,3.95,4.0,3.95,3.95,-0.05,-1.25,"7,697",5.2,3.7,...,...,197.50,-12.22,Wednesday,Wednesday,2018/07/18
86126,207,Aware,AWRE,4.0,4.0,3.95,3.95,...,...,"7,035",5.20,3.70,...,...,197.50,-12.22,Thursday,Thursday,2018/07/19
86127,206,Aware,AWRE,3.95,4.0,3.95,4.0,0.05,1.27,"6,030",5.2,3.7,...,...,200.00,-11.11,Friday,Friday,2018/07/20
86128,207,Aware,AWRE,4.0,4.05,3.96,4.0,...,...,"3,564",5.2,3.7,...,...,200.00,-11.11,Monday,Monday,2018/07/23
86129,206,Aware,AWRE,3.95,3.95,3.9,3.9,-0.10,-2.50,"17,277",5.2,3.7,...,...,195.00,-13.33,Tuesday,Tuesday,2018/07/24
86130,208,Aware,AWRE,4.0,4.0,3.9,3.9,...,...,"8,144",5.2,3.7,...,...,...,-13.33,Wednesday,Wednesday,2018/07/25
86131,208,Aware,AWRE,3.9,3.95,3.65,3.81,-0.09,-2.34,"32,222",5.20,3.65,...,...,...,-15.36,Thursday,Thursday,2018/07/26
86132,208,Aware,AWRE,3.75,3.76,3.75,3.76,-0.05,-1.22,"1,138",5.2,3.65,...,...,...,-16.39,Friday,Friday,2018/07/27
86133,209,Aware,AWRE,3.75,3.8,3.7,3.7,-0.06,-1.66,"7,216",5.2,3.65,...,...,...,-17.78,Monday,Monday,2018/07/30
86134,208,Aware,AWRE,3.65,3.9,3.65,3.75,0.05,1.35,"4,588",5.2,3.65,...,...,...,-16.67,Tuesday,Tuesday,2018/07/31
86135,207,Aware,AWRE,3.79,3.9,3.79,3.8,0.05,1.33,"1,798",5.2,3.65,...,...,...,-15.56,Wednesday,Wednesday,2018/08/01
86136,207,Aware,AWRE,3.74,3.8,3.7,3.8,...,...,"4,666",5.20,3.65,...,...,...,-15.56,Thursday,Thursday,2018/08/02
86137,206,Aware,AWRE,3.75,3.85,3.7,3.7,-0.10,-2.63,"7,200",5.20,3.65,...,...,...,-17.78,Friday,Friday,2018/08/03
86138,206,Aware,AWRE,3.65,3.77,3.65,3.77,0.07,1.89,"4,816",5.2,3.65,...,...,...,-16.23,Monday,Monday,2018/08/06
86139,206,Aware,AWRE,3.85,3.85,3.8,3.85,0.08,2.13,"1,433",5.2,3.65,...,...,...,-14.44,Tuesday,Tuesday,2018/08/07
86140,207,Aware,AWRE,3.75,3.77,3.0,3.75,-0.10,-2.60,"16,626",5.2,3.0,...,...,...,-16.67,Wednesday,Wednesday,2018/08/08
86141,207,Aware,AWRE,3.8,3.85,3.8,3.85,0.10,2.67,"2,475",5.2,3.0,...,...,...,-14.44,Thursday,Thursday,2018/08/09
86142,209,Aware,AWRE,3.9,3.9,3.69,3.75,-0.10,-2.60,"4,328",5.20,3.00,...,...,...,-16.67,Friday,Friday,2018/08/10
86143,209,Aware,AWRE,3.65,3.9,3.65,3.7,-0.05,-1.33,"2,977",5.20,3.00,...,...,...,-17.78,Monday,Monday,2018/08/13
86144,208,Aware,AWRE,3.6,3.62,3.6,3.62,-0.08,-2.19,642,5.2,3.0,...,...,...,-19.58,Tuesday,Tuesday,2018/08/14
86145,209,Aware,AWRE,3.7,3.75,3.5,3.5,-0.12,-3.29,"6,507",5.2,3.0,...,...,...,-22.22,Wednesday,Wednesday,2018/08/15
86146,210,Aware,AWRE,3.50,3.58,3.5,3.55,0.05,1.43,"3,867",5.2,3.0,...,...,...,-21.11,Thursday,Thursday,2018/08/16
86147,209,Aware,AWRE,3.5,3.75,3.5,3.6,0.05,1.41,"4,849",5.2,3.0,...,...,...,-20.00,Friday,Friday,2018/08/17
86148,210,Aware,AWRE,3.6,3.65,3.5,3.5,-0.10,-2.78,"4,422",5.2,3.0,...,...,...,-22.22,Monday,Monday,2018/08/20
86149,208,Aware,AWRE,3.6,3.65,3.5,3.5,...,...,"3,951",5.2,3.0,...,...,...,-22.22,Tuesday,Tuesday,2018/08/21
