,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
138384,238,Beazer Homes USA,BZH,15.9,16.08,15.73,15.95,0.15,0.95,"560,978",23.24,11.58,...,...,...,-16.97,Thursday,Thursday,2018/03/29
138385,239,Beazer Homes USA,BZH,16.27,16.55,16.01,16.04,-0.43,-2.61,"286,432",23.24,11.78,...,...,...,-16.50,Wednesday,Wednesday,2018/04/11
138386,238,Beazer Homes USA,BZH,16.08,16.13,15.6,15.92,-0.12,-0.75,"458,143",23.24,11.82,...,...,...,-17.13,Thursday,Thursday,2018/04/12
138387,237,Beazer Homes USA,BZH,16.31,16.5,16.11,16.38,0.19,1.17,"213,102",23.24,11.87,...,...,...,-14.73,Tuesday,Tuesday,2018/04/17
138388,236,Beazer Homes USA,BZH,16.54,16.77,16.46,16.52,0.14,0.85,"263,612",23.24,11.87,...,...,...,-14.00,Wednesday,Wednesday,2018/04/18
138389,237,Beazer Homes USA,BZH,16.4,16.4,15.13,15.49,-1.03,-6.23,"820,963",23.24,11.87,...,...,...,-19.36,Thursday,Thursday,2018/04/19
138390,236,Beazer Homes USA,BZH,15.48,15.76,15.27,15.34,-0.15,-0.97,"310,377",23.24,11.87,...,...,...,-20.15,Friday,Friday,2018/04/20
138391,235,Beazer Homes USA,BZH,14.95,15.28,14.68,14.77,0.03,0.20,"451,902",23.24,11.87,...,...,...,-23.11,Tuesday,Tuesday,2018/04/24
138392,237,Beazer Homes USA,BZH,14.75,15.13,14.34,14.91,0.14,0.95,"444,942",23.24,11.87,...,...,...,-22.38,Wednesday,Wednesday,2018/04/25
138393,236,Beazer Homes USA,BZH,15.27,15.45,15.05,15.24,-0.03,-0.20,"268,291",23.24,11.87,...,...,...,-20.67,Friday,Friday,2018/04/27
138394,237,Beazer Homes USA,BZH,15.23,15.34,14.62,14.68,-0.56,-3.67,"377,815",23.24,11.87,...,...,...,-23.58,Monday,Monday,2018/04/30
138395,237,Beazer Homes USA,BZH,14.58,15.26,14.53,15.25,0.57,3.88,"492,758",23.24,11.87,...,...,...,-20.61,Tuesday,Tuesday,2018/05/01
138396,237,Beazer Homes USA,BZH,16.04,17.23,15.77,16.11,0.67,4.34,"1,425,759",23.24,11.95,...,...,...,-16.14,Thursday,Thursday,2018/05/03
138397,236,Beazer Homes USA,BZH,16.02,16.16,15.67,15.9,-0.21,-1.30,"552,425",23.24,11.95,...,...,...,-17.23,Friday,Friday,2018/05/04
138398,238,Beazer Homes USA,BZH,16.27,16.55,16.03,16.53,0.63,3.96,"871,517",23.24,11.95,...,...,...,-13.95,Monday,Monday,2018/05/07
138399,236,Beazer Homes USA,BZH,16.44,16.72,15.74,15.87,-0.66,-3.99,"590,862",23.24,11.95,...,...,...,-17.39,Tuesday,Tuesday,2018/05/08
138400,238,Beazer Homes USA,BZH,15.84,15.91,15.23,15.47,-0.40,-2.52,"566,783",23.24,11.95,...,...,...,-19.47,Wednesday,Wednesday,2018/05/09
138401,238,Beazer Homes USA,BZH,15.48,15.91,15.46,15.66,0.19,1.23,"998,098",23.24,11.95,...,...,...,-18.48,Thursday,Thursday,2018/05/10
138402,239,Beazer Homes USA,BZH,15.66,15.94,15.51,15.59,-0.07,-0.45,"458,731",23.24,11.95,...,...,...,-18.84,Friday,Friday,2018/05/11
138403,238,Beazer Homes USA,BZH,15.59,15.65,15.15,15.29,-0.30,-1.92,"334,219",23.24,11.95,...,...,...,-20.41,Monday,Monday,2018/05/14
138404,238,Beazer Homes USA,BZH,15.05,15.08,14.27,14.38,-0.91,-5.95,"658,366",23.24,11.95,...,...,...,-25.14,Tuesday,Tuesday,2018/05/15
138405,238,Beazer Homes USA,BZH,14.52,14.83,14.15,14.82,0.44,3.06,"803,427",23.24,11.95,...,...,...,-22.85,Wednesday,Wednesday,2018/05/16
138406,239,Beazer Homes USA,BZH,14.82,15.17,14.72,15.12,0.30,2.02,"447,436",23.24,11.95,...,...,...,-21.29,Thursday,Thursday,2018/05/17
138407,239,Beazer Homes USA,BZH,15.13,15.37,15.01,15.31,0.19,1.26,"529,284",23.24,11.95,...,...,...,-20.30,Friday,Friday,2018/05/18
138408,239,Beazer Homes USA,BZH,15.24,15.46,15.13,15.35,0.04,0.26,"255,155",23.24,11.95,...,...,...,-20.09,Monday,Monday,2018/05/21
138409,239,Beazer Homes USA,BZH,15.21,15.25,14.81,15.05,-0.30,-1.95,"554,605",23.24,11.95,...,...,...,-21.66,Tuesday,Tuesday,2018/05/22
138410,238,Beazer Homes USA,BZH,14.94,15.38,14.82,15.26,0.21,1.40,"327,337",23.24,11.95,...,...,...,-20.56,Wednesday,Wednesday,2018/05/23
138411,239,Beazer Homes USA,BZH,15.26,15.37,14.96,15.32,0.06,0.39,"311,131",23.24,11.95,...,...,...,-20.25,Thursday,Thursday,2018/05/24
138412,240,Beazer Homes USA,BZH,15.3,15.68,15.24,15.47,0.15,0.98,"307,282",23.24,11.95,...,...,...,-19.47,Friday,Friday,2018/05/25
138413,240,Beazer Homes USA,BZH,15.41,15.91,15.36,15.65,0.18,1.16,"419,628",23.24,11.95,...,...,...,-18.53,Tuesday,Tuesday,2018/05/29
138414,240,Beazer Homes USA,BZH,15.78,15.95,15.31,15.36,-0.29,-1.85,"503,317",23.24,11.95,...,...,...,-20.04,Wednesday,Wednesday,2018/05/30
138415,240,Beazer Homes USA,BZH,15.41,15.42,15.06,15.1,-0.26,-1.69,"238,917",23.24,11.95,...,...,...,-21.40,Thursday,Thursday,2018/05/31
138416,240,Beazer Homes USA,BZH,15.18,15.2,14.85,15.15,0.05,0.33,"264,207",23.24,11.95,...,...,...,-21.13,Friday,Friday,2018/06/01
138417,240,Beazer Homes USA,BZH,15.2,15.42,15.03,15.08,-0.07,-0.46,"237,043",23.24,11.95,...,...,...,-21.50,Monday,Monday,2018/06/04
138418,239,Beazer Homes USA,BZH,15.11,15.22,14.97,14.98,-0.10,-0.66,"210,345",23.24,11.95,...,...,...,-22.02,Tuesday,Tuesday,2018/06/05
138419,240,Beazer Homes USA,BZH,15.02,15.19,14.71,15.16,0.18,1.20,"441,174",23.24,11.95,...,...,...,-21.08,Wednesday,Wednesday,2018/06/06
138420,239,Beazer Homes USA,BZH,15.32,15.63,15.2,15.5,0.34,2.24,"346,273",23.24,11.95,...,...,...,-19.31,Thursday,Thursday,2018/06/07
138421,239,Beazer Homes USA,BZH,15.44,16.02,15.41,15.94,0.44,2.84,"563,359",23.24,11.95,...,...,...,-17.02,Friday,Friday,2018/06/08
138422,239,Beazer Homes USA,BZH,16.04,16.04,15.59,15.8,-0.14,-0.88,"282,173",23.24,11.99,...,...,...,-17.75,Monday,Monday,2018/06/11
138423,238,Beazer Homes USA,BZH,15.8,16.01,15.65,15.96,0.16,1.01,"181,639",23.24,11.99,...,...,...,-16.92,Tuesday,Tuesday,2018/06/12
138424,238,Beazer Homes USA,BZH,15.94,15.94,14.95,15.02,-0.94,-5.89,"577,509",23.24,12.15,...,...,...,-21.81,Wednesday,Wednesday,2018/06/13
138425,238,Beazer Homes USA,BZH,15.1,15.21,14.85,15.18,0.16,1.07,"277,048",23.24,12.43,...,...,...,-20.98,Thursday,Thursday,2018/06/14
138426,239,Beazer Homes USA,BZH,15.1,15.21,14.87,15.09,-0.09,-0.59,"326,228",23.24,12.43,...,...,...,-21.45,Friday,Friday,2018/06/15
138427,239,Beazer Homes USA,BZH,14.94,15.14,14.56,14.63,-0.46,-3.05,"460,747",23.24,12.68,...,...,...,-23.84,Monday,Monday,2018/06/18
