,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
146847,329,Catabasis Pharmaceuticals,CATB,1.79,1.86,1.76,1.81,0.01,0.56,"181,636",3.78,1.09,...,...,...,21.48,Thursday,Thursday,2018/03/29
146848,323,Catabasis Pharmaceuticals,CATB,1.79,1.87,1.76,1.79,-0.03,-1.65,"88,471",3.78,1.09,...,...,...,20.13,Wednesday,Wednesday,2018/04/11
146849,326,Catabasis Pharmaceuticals,CATB,1.82,1.87,1.81,1.85,0.06,3.35,"136,409",3.78,1.09,...,...,...,24.16,Thursday,Thursday,2018/04/12
146850,326,Catabasis Pharmaceuticals,CATB,1.79,1.84,1.73,1.78,-0.01,-0.56,"294,187",3.78,1.09,...,...,...,19.46,Tuesday,Tuesday,2018/04/17
146851,327,Catabasis Pharmaceuticals,CATB,1.76,1.85,1.75,1.81,0.03,1.69,"237,299",3.78,1.09,...,...,...,21.48,Wednesday,Wednesday,2018/04/18
146852,328,Catabasis Pharmaceuticals,CATB,1.82,1.84,1.72,1.72,-0.09,-4.97,"263,173",3.78,1.09,...,...,...,15.44,Thursday,Thursday,2018/04/19
146853,328,Catabasis Pharmaceuticals,CATB,1.73,1.75,1.65,1.66,-0.06,-3.49,"224,410",3.78,1.09,...,...,...,11.41,Friday,Friday,2018/04/20
146854,325,Catabasis Pharmaceuticals,CATB,1.66,1.66,1.55,1.64,-0.01,-0.61,"379,898",3.78,1.09,...,...,...,10.06,Tuesday,Tuesday,2018/04/24
146855,326,Catabasis Pharmaceuticals,CATB,1.63,1.65,1.58,1.61,-0.03,-1.82,"191,590",3.78,1.09,...,...,...,8.05,Wednesday,Wednesday,2018/04/25
146856,322,Catabasis Pharmaceuticals,CATB,1.61,1.73,1.61,1.65,0.04,2.48,"321,256",3.78,1.09,...,...,...,10.74,Friday,Friday,2018/04/27
146857,322,Catabasis Pharmaceuticals,CATB,1.68,1.72,1.61,1.62,-0.03,-1.82,"113,251",3.78,1.09,...,...,...,8.72,Monday,Monday,2018/04/30
146858,322,Catabasis Pharmaceuticals,CATB,1.63,1.64,1.57,1.6,-0.02,-1.23,"131,905",3.78,1.09,...,...,...,7.38,Tuesday,Tuesday,2018/05/01
146859,319,Catabasis Pharmaceuticals,CATB,1.61,1.72,1.58,1.6,...,...,"74,746",3.78,1.09,...,...,...,7.38,Thursday,Thursday,2018/05/03
146860,323,Catabasis Pharmaceuticals,CATB,1.59,1.7,1.58,1.63,0.03,1.87,"77,742",3.78,1.09,...,...,...,9.40,Friday,Friday,2018/05/04
146861,326,Catabasis Pharmaceuticals,CATB,1.7,1.74,1.67,1.7,0.07,4.29,"357,327",3.78,1.09,...,...,...,14.09,Monday,Monday,2018/05/07
146862,328,Catabasis Pharmaceuticals,CATB,1.71,1.73,1.65,1.67,-0.03,-1.76,"182,975",3.78,1.09,...,...,...,12.08,Tuesday,Tuesday,2018/05/08
146863,327,Catabasis Pharmaceuticals,CATB,1.67,1.81,1.66,1.79,0.12,7.19,"523,135",3.78,1.09,...,...,...,20.13,Wednesday,Wednesday,2018/05/09
146864,324,Catabasis Pharmaceuticals,CATB,1.72,1.75,1.56,1.63,-0.16,-8.94,"512,174",3.78,1.09,...,...,...,9.40,Thursday,Thursday,2018/05/10
146865,326,Catabasis Pharmaceuticals,CATB,1.67,1.67,1.57,1.63,...,...,"170,956",3.78,1.09,...,...,...,9.40,Friday,Friday,2018/05/11
146866,326,Catabasis Pharmaceuticals,CATB,1.64,1.67,1.6,1.64,0.01,0.61,"116,771",3.78,1.09,...,...,...,10.07,Monday,Monday,2018/05/14
146867,325,Catabasis Pharmaceuticals,CATB,1.64,1.64,1.59,1.6,-0.04,-2.44,"153,861",3.78,1.09,...,...,...,7.38,Tuesday,Tuesday,2018/05/15
146868,326,Catabasis Pharmaceuticals,CATB,1.59,1.61,1.59,1.6,...,...,"144,044",3.78,1.09,...,...,...,7.38,Wednesday,Wednesday,2018/05/16
146869,325,Catabasis Pharmaceuticals,CATB,1.6,1.61,1.58,1.59,-0.01,-0.63,"88,921",3.78,1.09,...,...,...,6.71,Thursday,Thursday,2018/05/17
146870,326,Catabasis Pharmaceuticals,CATB,1.57,1.63,1.57,1.62,0.03,1.89,"96,804",3.78,1.09,...,...,...,8.72,Friday,Friday,2018/05/18
146871,325,Catabasis Pharmaceuticals,CATB,1.64,1.65,1.61,1.63,0.01,0.62,"58,614",3.78,1.09,...,...,...,9.40,Monday,Monday,2018/05/21
