,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
153746,440,Churchill Capital Cl A,CCC,9.70,9.70,9.60,9.60,-0.10,-1.03,"261,100",...,...,...,...,...,...,Monday,Monday,2018/10/29
153747,441,Churchill Capital Cl A,CCC,9.60,9.60,9.60,9.60,...,...,"20,101",...,...,...,...,...,...,Tuesday,Tuesday,2018/10/30
153748,441,Churchill Capital Cl A,CCC,9.54,9.61,9.54,9.61,0.01,0.10,"1,000,109",9.7,9.54,...,...,...,...,Friday,Friday,2018/11/02
153749,440,Churchill Capital Cl A,CCC,9.60,9.60,9.54,9.60,-0.01,-0.10,"251,200",9.7,9.54,...,...,...,...,Monday,Monday,2018/11/05
153750,443,Churchill Capital Cl A,CCC,9.62,9.62,9.55,9.60,...,...,"107,307",9.7,9.54,...,...,...,...,Tuesday,Tuesday,2018/11/06
153751,440,Churchill Capital Cl A,CCC,9.55,9.58,9.53,9.56,-0.04,-0.42,"131,007",9.7,9.53,...,...,...,...,Thursday,Thursday,2018/11/08
153752,439,Churchill Capital Cl A,CCC,9.60,9.60,9.60,9.60,0.04,0.42,400,9.70,9.53,...,...,...,...,Friday,Friday,2018/11/09
153753,438,Churchill Capital Cl A,CCC,9.58,9.58,9.58,9.58,-0.02,-0.17,"2,000",9.7,9.53,...,...,...,...,Tuesday,Tuesday,2018/11/13
153754,439,Churchill Capital Cl A,CCC,9.54,9.59,9.54,9.58,-0.00,-0.03,"6,910",9.7,9.53,...,...,...,...,Wednesday,Wednesday,2018/11/14
153755,439,Churchill Capital Cl A,CCC,9.56,9.56,9.56,9.56,-0.02,-0.21,109,9.7,9.53,...,...,...,...,Friday,Friday,2018/11/16
153756,442,Churchill Capital Cl A,CCC,9.55,9.56,9.55,9.55,-0.01,-0.06,"210,625",9.7,9.53,...,...,...,...,Monday,Monday,2018/11/19
153757,441,Churchill Capital Cl A,CCC,9.56,9.56,9.56,9.56,...,0.02,"1,715",9.70,9.53,...,...,...,...,Tuesday,Tuesday,2018/11/20
153758,440,Churchill Capital Cl A,CCC,9.63,9.63,9.58,9.58,0.02,0.24,"2,005",9.7,9.53,...,...,...,...,Wednesday,Wednesday,2018/11/21
153759,438,Churchill Capital Cl A,CCC,9.55,9.57,9.55,9.55,-0.03,-0.31,"530,102",9.7,9.53,...,...,...,...,Friday,Friday,2018/11/23
153760,440,Churchill Capital Cl A,CCC,9.58,9.58,9.50,9.56,0.01,0.10,"90,010",9.70,9.50,...,...,...,...,Monday,Monday,2018/11/26
153761,441,Churchill Capital Cl A,CCC,9.55,9.55,9.55,9.55,-0.01,-0.10,"36,756",9.7,9.5,...,...,...,...,Tuesday,Tuesday,2018/11/27
153762,441,Churchill Capital Cl A,CCC,9.56,9.56,9.55,9.56,0.01,0.10,"37,140",9.7,9.5,...,...,...,...,Wednesday,Wednesday,2018/11/28
153763,440,Churchill Capital Cl A,CCC,9.55,9.6,9.55,9.55,-0.01,-0.10,"377,085",9.7,9.5,...,...,...,...,Thursday,Thursday,2018/11/29
153764,442,Churchill Capital Cl A,CCC,9.57,9.57,9.57,9.57,0.02,0.21,205,9.7,9.5,...,...,...,...,Friday,Friday,2018/11/30
153765,442,Churchill Capital Cl A,CCC,9.52,9.6,9.52,9.57,...,...,"52,710",9.7,9.5,...,...,...,...,Tuesday,Tuesday,2018/12/04
153766,440,Churchill Capital Cl A,CCC,9.6,9.6,9.56,9.56,-0.01,-0.10,"369,224",9.70,9.50,...,...,...,...,Thursday,Thursday,2018/12/06
153767,439,Churchill Capital Cl A,CCC,9.57,9.57,9.57,9.57,0.01,0.10,"1,000",9.7,9.5,...,...,...,...,Friday,Friday,2018/12/07
153768,442,Churchill Capital Cl A,CCC,9.56,9.56,9.54,9.54,-0.03,-0.31,"110,989",9.70,9.50,...,...,...,...,Monday,Monday,2018/12/10
153769,442,Churchill Capital Cl A,CCC,9.6,9.6,9.54,9.55,0.01,0.10,"1,546,403",9.7,9.5,...,...,...,...,Tuesday,Tuesday,2018/12/11
153770,440,Churchill Capital Cl A,CCC,9.56,9.58,9.55,9.56,0.01,0.10,"95,005",9.7,9.50,...,...,...,...,Wednesday,Wednesday,2018/12/12
153771,443,Churchill Capital Cl A,CCC,9.56,9.57,9.56,9.56,...,...,"35,961",9.70,9.50,...,...,...,...,Thursday,Thursday,2018/12/13
153772,440,Churchill Capital Cl A,CCC,9.56,9.56,9.56,9.56,...,...,"138,628",9.7,9.50,...,...,...,...,Friday,Friday,2018/12/14
153773,441,Churchill Capital Cl A,CCC,9.53,9.56,9.52,9.55,-0.01,-0.10,"904,225",9.7,9.50,...,...,...,...,Monday,Monday,2018/12/17
153774,439,Churchill Capital Cl A,CCC,9.54,9.55,9.54,9.54,-0.01,-0.10,"666,900",9.7,9.50,...,...,...,...,Tuesday,Tuesday,2018/12/18
153775,442,Churchill Capital Cl A,CCC,9.54,9.56,9.54,9.54,...,...,"111,175",9.70,9.50,...,...,...,...,Wednesday,Wednesday,2018/12/19
153776,440,Churchill Capital Cl A,CCC,9.55,9.57,9.54,9.57,0.03,0.31,"4,130",9.7,9.50,...,...,...,...,Thursday,Thursday,2018/12/20
153777,442,Churchill Capital Cl A,CCC,9.56,9.57,9.54,9.54,-0.03,-0.31,"74,686",9.7,9.50,...,...,...,...,Friday,Friday,2018/12/21
153778,440,Churchill Capital Cl A,CCC,9.57,9.57,9.54,9.54,...,...,"6,240",9.70,9.50,...,...,...,...,Monday,Monday,2018/12/24
153779,443,Churchill Capital Cl A,CCC,9.54,9.54,9.54,9.54,...,...,"1,309",9.7,9.50,...,...,...,...,Wednesday,Wednesday,2018/12/26
153780,442,Churchill Capital Cl A,CCC,9.53,9.57,9.53,9.57,0.03,0.31,"6,439",9.7,9.5,...,...,...,...,Thursday,Thursday,2018/12/27
153781,440,Churchill Capital Cl A,CCC,9.56,9.57,9.55,9.55,-0.02,-0.21,"39,094",9.7,9.50,...,...,...,...,Friday,Friday,2018/12/28
153782,442,Churchill Capital Cl A,CCC,9.57,9.57,9.54,9.55,...,...,"4,529",9.7,9.5,...,...,...,...,Monday,Monday,2018/12/31
153783,438,Churchill Capital Cl A,CCC,9.53,9.58,9.53,9.58,0.03,0.31,"229,837",9.7,9.5,...,...,...,0.31,Wednesday,Wednesday,2019/01/02
153784,440,Churchill Capital Cl A,CCC,9.58,9.6,9.56,9.58,...,...,"354,115",9.7,9.5,...,...,...,0.31,Thursday,Thursday,2019/01/03
153785,439,Churchill Capital Cl A,CCC,9.55,9.6,9.55,9.6,0.02,0.21,"38,058",9.7,9.50,...,...,...,0.52,Friday,Friday,2019/01/04
153786,440,Churchill Capital Cl A,CCC,9.61,9.61,9.56,9.58,-0.02,-0.21,"44,742",9.70,9.50,...,...,...,0.31,Monday,Monday,2019/01/07
153787,439,Churchill Capital Cl A,CCC,9.6,9.6,9.57,9.59,0.01,0.10,"289,260",9.7,9.5,...,...,...,0.42,Tuesday,Tuesday,2019/01/08
153788,439,Churchill Capital Cl A,CCC,9.6,9.6,9.57,9.59,...,...,"2,098,315",9.7,9.5,...,...,...,0.42,Wednesday,Wednesday,2019/01/09
153789,442,Churchill Capital Cl A,CCC,9.6,9.6,9.6,9.6,0.01,0.10,"1,150",9.7,9.5,...,...,...,0.52,Thursday,Thursday,2019/01/10
153790,440,Churchill Capital Cl A,CCC,9.6,9.6,9.57,9.59,-0.01,-0.10,"58,656",9.70,9.50,...,...,...,0.42,Friday,Friday,2019/01/11
153791,442,Churchill Capital Cl A,CCC,10.0,10.0,9.89,9.9,0.31,3.23,"5,603,563",10.0,9.5,...,...,...,3.66,Monday,Monday,2019/01/14
