,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
154365,483,Collier Creek Holdings Cl A,CCH,9.75,9.80,9.63,9.63,-0.12,-1.23,"100,700",...,...,...,...,...,...,Monday,Monday,2018/11/26
154366,484,Collier Creek Holdings Cl A,CCH,9.63,9.63,9.63,9.63,...,...,809,9.8,9.63,...,...,...,...,Thursday,Thursday,2018/11/29
154367,486,Collier Creek Holdings Cl A,CCH,9.6,9.63,9.6,9.63,...,...,"590,200",9.8,9.6,...,...,...,...,Friday,Friday,2018/11/30
154368,483,Collier Creek Holdings Cl A,CCH,9.63,9.63,9.63,9.63,...,...,"1,201",9.8,9.6,...,...,...,...,Monday,Monday,2018/12/03
154369,486,Collier Creek Holdings Cl A,CCH,9.6,9.71,9.6,9.63,...,...,"120,200",9.8,9.6,...,...,...,...,Tuesday,Tuesday,2018/12/04
154370,484,Collier Creek Holdings Cl A,CCH,9.75,9.88,9.61,9.63,...,...,"279,400",9.88,9.60,...,...,...,...,Thursday,Thursday,2018/12/06
154371,482,Collier Creek Holdings Cl A,CCH,9.63,9.63,9.63,9.63,...,...,815,9.88,9.6,...,...,...,...,Friday,Friday,2018/12/07
154372,486,Collier Creek Holdings Cl A,CCH,9.62,9.63,9.6,9.63,...,...,"206,400",9.88,9.60,...,...,...,...,Monday,Monday,2018/12/10
154373,484,Collier Creek Holdings Cl A,CCH,9.64,9.64,9.63,9.63,...,...,"1,040",9.88,9.6,...,...,...,...,Tuesday,Tuesday,2018/12/11
154374,483,Collier Creek Holdings Cl A,CCH,9.75,9.75,9.75,9.75,0.12,1.25,205,9.88,9.60,...,...,...,...,Wednesday,Wednesday,2018/12/12
154375,486,Collier Creek Holdings Cl A,CCH,9.63,9.63,9.63,9.63,-0.12,-1.23,"1,400",9.88,9.60,...,...,...,...,Thursday,Thursday,2018/12/13
154376,484,Collier Creek Holdings Cl A,CCH,9.64,9.69,9.64,9.65,0.02,0.21,"13,800",9.88,9.60,...,...,...,...,Friday,Friday,2018/12/14
154377,484,Collier Creek Holdings Cl A,CCH,9.57,9.65,9.57,9.6,-0.05,-0.52,"599,696",9.88,9.57,...,...,...,...,Monday,Monday,2018/12/17
154378,482,Collier Creek Holdings Cl A,CCH,9.66,9.66,9.57,9.57,-0.03,-0.31,"5,204",9.88,9.57,...,...,...,...,Tuesday,Tuesday,2018/12/18
154379,485,Collier Creek Holdings Cl A,CCH,9.57,9.57,9.55,9.55,-0.02,-0.21,"9,800",9.88,9.55,...,...,...,...,Wednesday,Wednesday,2018/12/19
154380,485,Collier Creek Holdings Cl A,CCH,9.64,9.65,9.63,9.64,0.09,0.94,"100,361",9.88,9.55,...,...,...,...,Friday,Friday,2018/12/21
154381,483,Collier Creek Holdings Cl A,CCH,9.64,9.64,9.64,9.64,...,...,400,9.88,9.55,...,...,...,...,Monday,Monday,2018/12/24
154382,486,Collier Creek Holdings Cl A,CCH,9.64,9.64,9.64,9.64,...,...,140,9.88,9.55,...,...,...,...,Wednesday,Wednesday,2018/12/26
154383,484,Collier Creek Holdings Cl A,CCH,9.65,9.65,9.65,9.65,0.01,0.10,805,9.88,9.55,...,...,...,...,Thursday,Thursday,2018/12/27
154384,483,Collier Creek Holdings Cl A,CCH,9.6,9.65,9.6,9.65,...,...,451,9.88,9.55,...,...,...,...,Friday,Friday,2018/12/28
154385,482,Collier Creek Holdings Cl A,CCH,9.65,9.65,9.64,9.65,...,...,538,9.88,9.55,...,...,...,...,Wednesday,Wednesday,2019/01/02
154386,483,Collier Creek Holdings Cl A,CCH,9.63,9.63,9.63,9.63,-0.02,-0.21,"1,700",9.88,9.55,...,...,...,-0.21,Thursday,Thursday,2019/01/03
154387,483,Collier Creek Holdings Cl A,CCH,9.64,9.64,9.64,9.64,0.01,0.10,"1,511",9.88,9.55,...,...,...,-0.10,Friday,Friday,2019/01/04
154388,483,Collier Creek Holdings Cl A,CCH,9.64,9.64,9.64,9.64,...,...,"1,000",9.88,9.55,...,...,...,-0.10,Monday,Monday,2019/01/07
154389,482,Collier Creek Holdings Cl A,CCH,9.63,9.63,9.63,9.63,-0.01,-0.10,"186,586",9.88,9.55,...,...,...,-0.21,Tuesday,Tuesday,2019/01/08
154390,485,Collier Creek Holdings Cl A,CCH,9.71,9.71,9.71,9.71,0.08,0.86,100,9.88,9.55,...,...,...,0.65,Thursday,Thursday,2019/01/10
154391,484,Collier Creek Holdings Cl A,CCH,9.71,9.71,9.7,9.7,-0.01,-0.13,593,9.88,9.55,...,...,...,0.52,Friday,Friday,2019/01/11
154392,484,Collier Creek Holdings Cl A,CCH,9.7,9.7,9.7,9.7,...,...,100,9.88,9.55,...,...,...,0.52,Tuesday,Tuesday,2019/01/15
154393,484,Collier Creek Holdings Cl A,CCH,9.71,9.71,9.63,9.63,-0.07,-0.72,200,9.88,9.55,...,...,...,-0.21,Wednesday,Wednesday,2019/01/16
154394,485,Collier Creek Holdings Cl A,CCH,9.7,9.7,9.7,9.7,0.07,0.73,"150,000",9.88,9.55,...,...,...,0.52,Thursday,Thursday,2019/01/17
154395,484,Collier Creek Holdings Cl A,CCH,9.73,9.78,9.73,9.75,0.05,0.52,"78,247",9.88,9.55,...,...,...,1.04,Friday,Friday,2019/01/18
154396,484,Collier Creek Holdings Cl A,CCH,9.77,9.79,9.77,9.79,0.04,0.45,"100,100",9.88,9.55,...,...,...,1.49,Tuesday,Tuesday,2019/01/22
154397,485,Collier Creek Holdings Cl A,CCH,9.8,9.8,9.78,9.78,-0.01,-0.14,"1,000",9.88,9.55,...,...,...,1.35,Wednesday,Wednesday,2019/01/23
154398,486,Collier Creek Holdings Cl A,CCH,9.77,9.77,9.7,9.7,-0.08,-0.82,"1,001",9.88,9.55,...,...,...,0.52,Thursday,Thursday,2019/01/24
