,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
160233,165,ChromaDex,CDXC,4.2,4.65,4.15,4.20,0.15,3.70,"902,653",7.24,2.26,...,...,...,-28.57,Thursday,Thursday,2018/03/29
160234,171,ChromaDex,CDXC,4.22,4.48,4.18,4.43,0.19,4.48,"253,997",7.24,2.26,...,...,...,-24.66,Wednesday,Wednesday,2018/04/11
160235,163,ChromaDex,CDXC,4.47,4.47,4.16,4.18,-0.25,-5.64,"276,155",7.24,2.26,...,...,...,-28.91,Thursday,Thursday,2018/04/12
160236,166,ChromaDex,CDXC,4.31,4.49,4.02,4.05,-0.26,-6.03,"352,898",7.24,2.26,...,...,...,-31.12,Tuesday,Tuesday,2018/04/17
160237,164,ChromaDex,CDXC,4.1,4.24,4.03,4.24,0.19,4.69,"162,219",7.24,2.26,...,...,...,-27.89,Wednesday,Wednesday,2018/04/18
160238,162,ChromaDex,CDXC,4.21,4.28,4.15,4.22,-0.02,-0.47,"100,633",7.24,2.26,...,...,...,-28.23,Thursday,Thursday,2018/04/19
160239,162,ChromaDex,CDXC,4.17,4.22,4.12,4.15,-0.07,-1.66,"143,202",7.24,2.26,...,...,...,-29.42,Friday,Friday,2018/04/20
160240,167,ChromaDex,CDXC,4.21,4.27,3.91,3.99,-0.25,-5.90,"366,320",7.24,2.3,...,...,...,-32.14,Tuesday,Tuesday,2018/04/24
160241,161,ChromaDex,CDXC,4.01,4.04,3.9,3.96,-0.03,-0.75,"246,639",7.24,2.32,...,...,...,-32.65,Wednesday,Wednesday,2018/04/25
160242,160,ChromaDex,CDXC,4.09,4.12,3.9,3.92,-0.15,-3.69,"189,731",7.24,2.86,...,...,...,-33.33,Friday,Friday,2018/04/27
160243,161,ChromaDex,CDXC,3.95,3.99,3.23,3.51,-0.41,-10.46,"846,342",7.24,2.86,...,...,...,-40.31,Monday,Monday,2018/04/30
160244,160,ChromaDex,CDXC,3.52,3.72,3.51,3.57,0.06,1.71,"385,737",7.24,2.86,...,...,...,-39.29,Tuesday,Tuesday,2018/05/01
160245,160,ChromaDex,CDXC,3.85,3.91,3.55,3.57,-0.24,-6.30,"349,600",7.24,2.86,...,...,...,-39.29,Thursday,Thursday,2018/05/03
160246,161,ChromaDex,CDXC,3.58,3.73,3.51,3.71,0.14,3.92,"127,046",7.24,2.86,...,...,...,-36.90,Friday,Friday,2018/05/04
160247,171,ChromaDex,CDXC,3.78,3.78,3.58,3.61,-0.10,-2.70,"135,850",7.24,2.86,...,...,...,-38.61,Monday,Monday,2018/05/07
160248,160,ChromaDex,CDXC,3.55,3.68,3.47,3.52,-0.09,-2.49,"219,038",7.24,2.86,...,...,...,-40.14,Tuesday,Tuesday,2018/05/08
160249,168,ChromaDex,CDXC,3.53,3.84,3.53,3.81,0.29,8.24,"246,977",7.24,2.86,...,...,...,-35.20,Wednesday,Wednesday,2018/05/09
160250,161,ChromaDex,CDXC,3.83,3.83,3.65,3.7,-0.11,-2.89,"142,302",7.24,2.86,...,...,...,-37.07,Thursday,Thursday,2018/05/10
160251,167,ChromaDex,CDXC,3.58,3.72,3.33,3.48,-0.22,-5.95,"592,948",7.24,2.86,...,...,...,-40.82,Friday,Friday,2018/05/11
160252,161,ChromaDex,CDXC,3.46,3.74,3.46,3.65,0.17,4.89,"191,818",7.24,2.86,...,...,...,-37.93,Monday,Monday,2018/05/14
160253,166,ChromaDex,CDXC,3.69,3.69,3.53,3.61,-0.04,-1.10,"152,978",7.24,2.86,...,...,...,-38.61,Tuesday,Tuesday,2018/05/15
160254,164,ChromaDex,CDXC,3.61,3.74,3.51,3.51,-0.10,-2.77,"287,328",7.24,2.86,...,...,...,-40.31,Wednesday,Wednesday,2018/05/16
160255,164,ChromaDex,CDXC,3.76,3.79,3.52,3.72,0.21,5.98,"244,836",7.24,2.86,...,...,...,-36.73,Thursday,Thursday,2018/05/17
160256,161,ChromaDex,CDXC,3.78,3.89,3.76,3.88,0.16,4.30,"265,123",7.24,2.86,...,...,...,-34.01,Friday,Friday,2018/05/18
160257,168,ChromaDex,CDXC,3.83,3.94,3.61,3.7,-0.18,-4.64,"178,538",7.24,2.86,...,...,...,-37.07,Monday,Monday,2018/05/21
160258,165,ChromaDex,CDXC,3.73,3.76,3.61,3.66,-0.04,-1.08,"125,984",7.24,2.86,...,...,...,-37.76,Tuesday,Tuesday,2018/05/22
160259,166,ChromaDex,CDXC,3.73,3.87,3.68,3.83,0.17,4.64,"187,122",7.24,2.86,...,...,...,-34.86,Wednesday,Wednesday,2018/05/23
160260,166,ChromaDex,CDXC,3.84,3.85,3.61,3.61,-0.22,-5.74,"225,798",7.24,2.86,...,...,...,-38.61,Thursday,Thursday,2018/05/24
160261,159,ChromaDex,CDXC,3.56,3.66,3.44,3.44,-0.17,-4.71,"448,990",7.24,2.86,...,...,...,-41.50,Friday,Friday,2018/05/25
160262,158,ChromaDex,CDXC,3.4,3.55,3.2,3.22,-0.22,-6.40,"539,669",7.24,2.86,...,...,...,-45.24,Tuesday,Tuesday,2018/05/29
160263,166,ChromaDex,CDXC,3.22,3.45,3.19,3.33,0.11,3.42,"297,732",7.24,2.86,...,...,...,-43.37,Wednesday,Wednesday,2018/05/30
160264,164,ChromaDex,CDXC,3.33,3.47,3.33,3.37,0.04,1.20,"258,600",7.24,2.86,...,...,...,-42.69,Thursday,Thursday,2018/05/31
160265,167,ChromaDex,CDXC,3.43,3.67,3.36,3.59,0.22,6.53,"287,818",7.24,2.86,...,...,...,-38.95,Friday,Friday,2018/06/01
160266,160,ChromaDex,CDXC,3.62,3.62,3.40,3.45,-0.14,-3.90,"191,302",7.24,2.86,...,...,...,-41.33,Monday,Monday,2018/06/04
160267,161,ChromaDex,CDXC,3.44,3.76,3.44,3.73,0.28,8.12,"245,095",7.24,2.86,...,...,...,-36.56,Tuesday,Tuesday,2018/06/05
160268,161,ChromaDex,CDXC,3.79,3.95,3.71,3.94,0.21,5.63,"413,995",7.24,2.86,...,...,...,-32.99,Wednesday,Wednesday,2018/06/06
160269,164,ChromaDex,CDXC,3.93,3.97,3.71,3.87,-0.07,-1.78,"313,471",7.24,2.86,...,...,...,-34.18,Thursday,Thursday,2018/06/07
160270,164,ChromaDex,CDXC,3.89,4.06,3.77,3.77,-0.10,-2.58,"227,018",7.24,2.86,...,...,...,-35.88,Friday,Friday,2018/06/08
160271,165,ChromaDex,CDXC,3.82,3.95,3.74,3.82,0.05,1.33,"218,311",7.24,2.86,...,...,...,-35.03,Monday,Monday,2018/06/11
160272,163,ChromaDex,CDXC,3.84,3.97,3.58,3.61,-0.21,-5.50,"427,654",7.24,2.86,...,...,...,-38.61,Tuesday,Tuesday,2018/06/12
160273,161,ChromaDex,CDXC,3.6,3.77,3.53,3.77,0.16,4.43,"175,628",7.24,2.86,...,...,...,-35.88,Wednesday,Wednesday,2018/06/13
160274,162,ChromaDex,CDXC,3.74,3.75,3.6,3.7,-0.07,-1.86,"172,128",7.24,2.86,...,...,...,-37.07,Thursday,Thursday,2018/06/14
160275,160,ChromaDex,CDXC,3.69,3.74,3.64,3.71,0.01,0.27,"114,102",7.24,2.86,...,...,...,-36.90,Friday,Friday,2018/06/15
160276,160,ChromaDex,CDXC,3.73,3.73,3.61,3.64,-0.07,-1.89,"121,039",7.24,2.86,...,...,...,-38.10,Monday,Monday,2018/06/18
160277,157,ChromaDex,CDXC,3.64,3.67,3.53,3.56,-0.08,-2.20,"176,823",7.24,2.86,...,...,...,-39.46,Tuesday,Tuesday,2018/06/19
160278,159,ChromaDex,CDXC,3.60,3.64,3.45,3.46,-0.10,-2.81,"214,369",7.24,2.86,...,...,...,-41.16,Wednesday,Wednesday,2018/06/20
160279,156,ChromaDex,CDXC,3.47,3.61,3.38,3.61,0.15,4.34,"329,788",7.24,2.86,...,...,...,-38.61,Thursday,Thursday,2018/06/21
160280,162,ChromaDex,CDXC,3.6,3.88,3.53,3.83,0.22,6.09,"3,699,114",7.24,2.86,...,...,...,-34.86,Friday,Friday,2018/06/22
160281,167,ChromaDex,CDXC,3.8,3.95,3.63,3.67,-0.16,-4.18,"518,596",7.24,2.86,...,...,...,-37.59,Monday,Monday,2018/06/25
160282,171,ChromaDex,CDXC,3.63,3.88,3.62,3.83,0.16,4.36,"284,165",7.24,2.86,...,...,...,-34.86,Tuesday,Tuesday,2018/06/26
160283,162,ChromaDex,CDXC,3.78,3.8,3.66,3.68,-0.15,-3.92,"257,610",7.24,2.86,...,...,...,-37.41,Wednesday,Wednesday,2018/06/27
160284,165,ChromaDex,CDXC,3.76,3.83,3.65,3.79,0.11,2.99,"211,498",7.24,2.86,...,...,...,-35.54,Thursday,Thursday,2018/06/28
