,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
170027,380,Churchill Downs,CHDN,243.6,245.8,241.75,244.05,2.00,0.83,"133,962",279.45,154.60,1.52,0.62,27.80,4.88,Thursday,Thursday,2018/03/29
170028,375,Churchill Downs,CHDN,235.95,238.35,235.15,236.8,-0.40,-0.17,"79,108",279.45,154.65,1.52,0.64,26.98,1.76,Wednesday,Wednesday,2018/04/11
170029,378,Churchill Downs,CHDN,237.85,237.85,234.4,235.95,-0.85,-0.36,"78,649",279.45,154.65,1.52,0.64,26.88,1.40,Thursday,Thursday,2018/04/12
170030,378,Churchill Downs,CHDN,243.4,245.8,242.0,244.3,2.40,0.99,"83,814",279.45,158.50,1.52,0.62,27.83,4.98,Tuesday,Tuesday,2018/04/17
170031,379,Churchill Downs,CHDN,245.5,253.7,245.5,253.4,9.10,3.72,"128,680",279.45,162.25,1.52,0.60,28.87,8.90,Wednesday,Wednesday,2018/04/18
170032,380,Churchill Downs,CHDN,254.05,254.05,249.8,251.5,-1.90,-0.75,"93,794",279.45,162.25,1.52,0.60,28.65,8.08,Thursday,Thursday,2018/04/19
170033,380,Churchill Downs,CHDN,251.95,253.5,250.3,252.6,1.10,0.44,"76,961",279.45,162.25,1.52,0.60,28.78,8.55,Friday,Friday,2018/04/20
170034,377,Churchill Downs,CHDN,255.3,256.25,251.5,256.0,1.75,0.69,"86,079",279.45,162.25,1.52,0.59,29.16,10.01,Tuesday,Tuesday,2018/04/24
170035,378,Churchill Downs,CHDN,255.45,256.6,251.45,253.6,-2.40,-0.94,"88,800",279.45,162.25,1.52,0.60,28.89,8.98,Wednesday,Wednesday,2018/04/25
170036,373,Churchill Downs,CHDN,275.15,276.35,271.05,273.95,-0.90,-0.33,"78,058",285.70,162.25,1.52,0.55,29.49,17.73,Friday,Friday,2018/04/27
170037,374,Churchill Downs,CHDN,274.65,277.7,274.35,274.6,0.65,0.24,"90,858",285.7,162.25,1.52,0.55,29.56,18.01,Monday,Monday,2018/04/30
170038,373,Churchill Downs,CHDN,274.4,277.85,270.6,277.15,2.55,0.93,"65,461",285.7,162.25,1.52,0.55,29.84,19.10,Tuesday,Tuesday,2018/05/01
170039,371,Churchill Downs,CHDN,274.35,276.2,270.95,274.85,0.05,0.02,"61,962",285.70,162.25,1.52,0.55,29.59,18.11,Thursday,Thursday,2018/05/03
170040,375,Churchill Downs,CHDN,274.05,278.75,273.02,276.75,1.90,0.69,"68,664",285.70,162.25,1.52,0.55,29.79,18.93,Friday,Friday,2018/05/04
170041,377,Churchill Downs,CHDN,279.9,281.75,277.75,278.4,1.65,0.60,"84,133",285.7,162.25,1.52,0.55,29.97,19.64,Monday,Monday,2018/05/07
170042,380,Churchill Downs,CHDN,278.55,279.95,277.9,278.85,0.45,0.16,"79,372",285.70,162.25,1.52,0.55,30.02,19.83,Tuesday,Tuesday,2018/05/08
170043,379,Churchill Downs,CHDN,278.6,279.8,277.43,279.0,0.15,0.05,"55,422",285.70,162.25,1.52,0.54,30.04,19.90,Wednesday,Wednesday,2018/05/09
170044,376,Churchill Downs,CHDN,279.6,282.0,278.5,279.9,0.90,0.32,"128,425",285.7,162.25,1.52,0.54,30.13,20.28,Thursday,Thursday,2018/05/10
170045,378,Churchill Downs,CHDN,280.5,281.13,278.15,279.0,-0.90,-0.32,"95,716",285.7,162.25,1.52,0.54,30.04,19.90,Friday,Friday,2018/05/11
170046,378,Churchill Downs,CHDN,279.6,296.75,277.25,292.6,13.60,4.87,"370,855",296.75,162.25,1.52,0.52,31.50,25.74,Monday,Monday,2018/05/14
170047,377,Churchill Downs,CHDN,293.35,301.6,290.6,297.7,5.10,1.74,"207,083",301.6,162.25,1.52,0.51,32.05,27.93,Tuesday,Tuesday,2018/05/15
170048,378,Churchill Downs,CHDN,299.3,314.6,299.02,306.4,8.70,2.92,"292,153",314.6,162.25,1.52,0.50,32.99,31.67,Wednesday,Wednesday,2018/05/16
170049,376,Churchill Downs,CHDN,306.25,310.8,305.65,309.85,3.45,1.13,"164,275",314.60,162.25,1.52,0.49,33.36,33.15,Thursday,Thursday,2018/05/17
170050,378,Churchill Downs,CHDN,311.95,313.57,309.06,309.65,-0.20,-0.06,"242,013",314.6,163.25,1.52,0.49,33.34,33.07,Friday,Friday,2018/05/18
170051,377,Churchill Downs,CHDN,311.5,312.98,305.55,310.55,0.90,0.29,"119,287",314.60,165.30,1.52,0.49,33.43,33.46,Monday,Monday,2018/05/21
170052,378,Churchill Downs,CHDN,310.85,311.35,306.55,309.15,-1.40,-0.45,"83,257",314.6,165.3,1.52,0.49,33.28,32.85,Tuesday,Tuesday,2018/05/22
170053,376,Churchill Downs,CHDN,307.95,309.9,307.4,308.75,-0.40,-0.13,"88,296",314.60,165.30,1.52,0.49,33.24,32.68,Wednesday,Wednesday,2018/05/23
170054,377,Churchill Downs,CHDN,308.2,309.55,305.5,308.35,-0.40,-0.13,"59,465",314.60,165.30,1.52,0.49,33.20,32.51,Thursday,Thursday,2018/05/24
170055,376,Churchill Downs,CHDN,308.9,309.54,305.5,306.6,-1.75,-0.57,"68,284",314.60,165.30,1.52,0.50,33.01,31.76,Friday,Friday,2018/05/25
170056,374,Churchill Downs,CHDN,305.7,306.85,302.8,305.45,-1.15,-0.38,"86,079",314.60,165.30,1.52,0.50,32.88,31.26,Tuesday,Tuesday,2018/05/29
170057,375,Churchill Downs,CHDN,305.7,309.0,303.95,304.7,-0.75,-0.25,"115,499",314.60,165.30,1.52,0.50,32.80,30.94,Wednesday,Wednesday,2018/05/30
