,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
172114,365,Cherokee,CHKE,1.3,1.35,1.25,1.3,0.03,1.96,"44,037",10.70,1.15,0.20,15.38,...,-31.58,Thursday,Thursday,2018/03/29
172115,360,Cherokee,CHKE,1.35,1.4,1.3,1.3,-0.05,-3.70,"6,673",10.70,1.15,0.20,15.38,...,-31.58,Wednesday,Wednesday,2018/04/11
172116,363,Cherokee,CHKE,1.3,1.4,1.3,1.35,0.05,3.85,"6,392",10.7,1.15,0.20,14.81,...,-28.95,Thursday,Thursday,2018/04/12
172117,363,Cherokee,CHKE,1.35,1.45,1.35,1.35,...,...,"21,092",10.70,1.15,0.20,14.81,...,-28.95,Tuesday,Tuesday,2018/04/17
172118,364,Cherokee,CHKE,1.45,1.45,1.35,1.35,...,...,"41,286",10.7,1.15,0.20,14.81,...,-28.95,Wednesday,Wednesday,2018/04/18
172119,365,Cherokee,CHKE,1.35,1.65,1.35,1.45,0.10,7.41,"141,737",10.70,1.15,0.20,13.79,...,-23.68,Thursday,Thursday,2018/04/19
172120,365,Cherokee,CHKE,1.4,1.4,0.85,0.94,-0.51,-35.24,"541,778",10.70,0.85,0.20,21.30,...,-50.58,Friday,Friday,2018/04/20
172121,362,Cherokee,CHKE,0.95,0.95,0.85,0.93,0.03,3.32,"103,027",10.7,0.85,0.20,21.51,...,-51.05,Tuesday,Tuesday,2018/04/24
172122,363,Cherokee,CHKE,0.93,0.93,0.85,0.88,-0.05,-5.46,"69,246",10.7,0.85,0.20,22.75,...,-53.73,Wednesday,Wednesday,2018/04/25
172123,358,Cherokee,CHKE,0.73,0.8,0.71,0.74,0.05,7.23,"69,527",10.70,0.62,0.20,27.03,...,-61.05,Friday,Friday,2018/04/27
172124,359,Cherokee,CHKE,0.74,0.76,0.71,0.72,-0.02,-2.51,"26,141",10.7,0.62,0.20,27.72,...,-62.03,Monday,Monday,2018/04/30
172125,358,Cherokee,CHKE,0.72,0.75,0.71,0.74,0.02,2.30,"26,491",10.7,0.62,0.20,27.10,...,-61.16,Tuesday,Tuesday,2018/05/01
172126,356,Cherokee,CHKE,0.71,0.72,0.68,0.68,-0.03,-4.62,"28,328",10.70,0.62,0.20,29.35,...,-64.14,Thursday,Thursday,2018/05/03
172127,360,Cherokee,CHKE,0.69,0.69,0.67,0.69,0.01,0.97,"20,659",10.70,0.62,0.20,29.07,...,-63.79,Friday,Friday,2018/05/04
172128,362,Cherokee,CHKE,0.71,0.71,0.69,0.7,0.01,1.74,"41,897",10.7,0.62,0.20,28.57,...,-63.16,Monday,Monday,2018/05/07
172129,365,Cherokee,CHKE,0.71,0.74,0.7,0.7,...,...,"49,767",10.70,0.62,0.20,28.57,...,-63.16,Tuesday,Tuesday,2018/05/08
172130,364,Cherokee,CHKE,0.7,0.74,0.7,0.73,0.03,4.29,"45,345",10.70,0.62,0.20,27.40,...,-61.58,Wednesday,Wednesday,2018/05/09
172131,361,Cherokee,CHKE,0.74,1.05,0.73,0.94,0.21,28.77,"319,137",10.7,0.62,0.20,21.28,...,-50.53,Thursday,Thursday,2018/05/10
172132,363,Cherokee,CHKE,0.95,0.98,0.8,0.8,-0.14,-14.88,"137,186",10.7,0.62,0.20,25.00,...,-57.89,Friday,Friday,2018/05/11
172133,363,Cherokee,CHKE,0.84,0.85,0.78,0.78,-0.02,-3.01,"25,433",10.7,0.62,0.20,25.77,...,-59.16,Monday,Monday,2018/05/14
