,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
174416,404,Chesapeake Lodging Trust,CHSP,27.85,28.19,27.71,27.81,0.08,0.29,"534,460",29.36,22.55,1.60,5.75,23.50,2.66,Thursday,Thursday,2018/03/29
174417,403,Chesapeake Lodging Trust,CHSP,27.73,28.28,27.7,28.23,0.38,1.36,"219,438",29.36,22.55,1.60,5.67,23.85,4.21,Wednesday,Wednesday,2018/04/11
174418,403,Chesapeake Lodging Trust,CHSP,28.44,28.67,27.93,28.62,0.39,1.38,"277,501",29.36,22.55,1.60,5.59,24.18,5.65,Thursday,Thursday,2018/04/12
174419,402,Chesapeake Lodging Trust,CHSP,29.24,29.49,29.12,29.37,0.25,0.86,"262,622",29.49,22.55,1.60,5.45,24.81,8.42,Tuesday,Tuesday,2018/04/17
174420,402,Chesapeake Lodging Trust,CHSP,29.54,29.98,29.43,29.6,0.23,0.78,"323,843",29.98,22.55,1.60,5.41,25.01,9.27,Wednesday,Wednesday,2018/04/18
174421,404,Chesapeake Lodging Trust,CHSP,29.65,29.68,29.17,29.4,-0.20,-0.68,"305,560",29.98,22.55,1.60,5.44,24.84,8.53,Thursday,Thursday,2018/04/19
174422,401,Chesapeake Lodging Trust,CHSP,29.37,29.63,29.28,29.34,-0.06,-0.20,"203,554",29.98,22.55,1.60,5.45,24.79,8.31,Friday,Friday,2018/04/20
174423,403,Chesapeake Lodging Trust,CHSP,29.63,29.63,29.26,29.41,-0.07,-0.24,"197,378",29.98,22.55,1.60,5.44,24.85,8.56,Tuesday,Tuesday,2018/04/24
174424,405,Chesapeake Lodging Trust,CHSP,29.41,29.57,29.1,29.27,-0.14,-0.48,"185,239",29.98,22.55,1.60,5.47,24.73,8.05,Wednesday,Wednesday,2018/04/25
174425,404,Chesapeake Lodging Trust,CHSP,29.11,29.64,29.11,29.48,0.36,1.24,"369,846",29.98,22.55,1.60,5.43,24.91,8.82,Friday,Friday,2018/04/27
174426,404,Chesapeake Lodging Trust,CHSP,29.65,29.68,29.36,29.54,0.06,0.20,"410,941",29.98,22.55,1.60,5.42,24.96,9.04,Monday,Monday,2018/04/30
174427,408,Chesapeake Lodging Trust,CHSP,29.5,30.09,29.24,29.98,0.44,1.49,"381,135",30.09,22.55,1.60,5.34,25.33,10.67,Tuesday,Tuesday,2018/05/01
174428,406,Chesapeake Lodging Trust,CHSP,29.62,29.75,29.35,29.57,-0.13,-0.44,"533,996",30.09,22.55,1.60,5.41,24.57,9.15,Thursday,Thursday,2018/05/03
174429,403,Chesapeake Lodging Trust,CHSP,29.64,30.21,29.6,30.1,0.53,1.79,"429,071",30.21,22.55,1.60,5.32,25.01,11.11,Friday,Friday,2018/05/04
174430,408,Chesapeake Lodging Trust,CHSP,30.26,30.63,30.18,30.42,0.32,1.06,"660,006",30.63,22.55,1.60,5.26,25.27,12.29,Monday,Monday,2018/05/07
174431,406,Chesapeake Lodging Trust,CHSP,30.56,30.85,30.35,30.59,0.17,0.56,"373,977",30.85,22.55,1.60,5.23,25.42,12.92,Tuesday,Tuesday,2018/05/08
174432,408,Chesapeake Lodging Trust,CHSP,30.65,31.04,30.53,30.96,0.37,1.21,"294,805",31.04,22.55,1.60,5.17,25.72,14.29,Wednesday,Wednesday,2018/05/09
174433,408,Chesapeake Lodging Trust,CHSP,31.13,31.41,31.11,31.41,0.45,1.45,"268,698",31.41,22.55,1.60,5.09,26.10,15.95,Thursday,Thursday,2018/05/10
174434,408,Chesapeake Lodging Trust,CHSP,31.38,31.48,30.83,30.87,-0.54,-1.72,"488,450",31.48,22.55,1.60,5.18,25.65,13.95,Friday,Friday,2018/05/11
174435,407,Chesapeake Lodging Trust,CHSP,30.54,30.67,29.68,29.79,-1.08,-3.50,"855,097",31.48,22.55,1.60,5.37,24.75,9.97,Monday,Monday,2018/05/14
174436,408,Chesapeake Lodging Trust,CHSP,29.64,29.92,29.52,29.67,-0.12,-0.40,"471,981",31.48,22.55,1.60,5.39,24.65,9.52,Tuesday,Tuesday,2018/05/15
174437,409,Chesapeake Lodging Trust,CHSP,29.8,29.92,29.65,29.8,0.13,0.44,"312,888",31.48,22.55,1.60,5.37,24.76,10.00,Wednesday,Wednesday,2018/05/16
174438,408,Chesapeake Lodging Trust,CHSP,29.92,30.11,29.78,29.89,0.09,0.30,"379,020",31.48,22.55,1.60,5.35,24.83,10.34,Thursday,Thursday,2018/05/17
174439,408,Chesapeake Lodging Trust,CHSP,30.01,30.52,29.89,30.44,0.55,1.84,"345,984",31.48,22.88,1.60,5.26,25.29,12.37,Friday,Friday,2018/05/18
174440,407,Chesapeake Lodging Trust,CHSP,30.71,30.91,30.64,30.89,0.45,1.48,"276,367",31.48,22.88,1.60,5.18,25.66,14.03,Monday,Monday,2018/05/21
174441,409,Chesapeake Lodging Trust,CHSP,30.99,31.13,30.79,30.93,0.04,0.13,"276,399",31.48,22.88,1.60,5.17,25.70,14.17,Tuesday,Tuesday,2018/05/22
174442,409,Chesapeake Lodging Trust,CHSP,30.93,31.2,30.76,31.13,0.20,0.65,"286,859",31.48,22.88,1.60,5.14,25.86,14.91,Wednesday,Wednesday,2018/05/23
174443,408,Chesapeake Lodging Trust,CHSP,31.21,31.52,31.12,31.48,0.35,1.12,"255,287",31.52,22.88,1.60,5.08,26.15,16.21,Thursday,Thursday,2018/05/24
174444,411,Chesapeake Lodging Trust,CHSP,31.52,31.58,31.29,31.54,0.06,0.19,"218,376",31.58,22.88,1.60,5.07,26.20,16.43,Friday,Friday,2018/05/25
174445,408,Chesapeake Lodging Trust,CHSP,31.38,31.69,31.32,31.63,0.09,0.29,"457,564",31.69,22.88,1.60,5.06,26.28,16.76,Tuesday,Tuesday,2018/05/29
174446,410,Chesapeake Lodging Trust,CHSP,31.75,32.41,31.6,32.29,0.66,2.09,"575,150",32.41,22.88,1.60,4.96,26.83,19.20,Wednesday,Wednesday,2018/05/30
174447,410,Chesapeake Lodging Trust,CHSP,32.25,32.39,32.01,32.23,-0.06,-0.19,"292,631",32.41,22.90,1.60,4.96,26.78,18.97,Thursday,Thursday,2018/05/31
174448,410,Chesapeake Lodging Trust,CHSP,32.37,32.78,32.27,32.48,0.25,0.78,"338,422",32.78,23.04,1.60,4.93,26.99,19.90,Friday,Friday,2018/06/01
174449,410,Chesapeake Lodging Trust,CHSP,32.57,32.84,32.36,32.76,0.28,0.86,"284,439",32.84,23.04,1.60,4.88,27.22,20.93,Monday,Monday,2018/06/04
174450,408,Chesapeake Lodging Trust,CHSP,32.74,32.74,32.4,32.5,-0.26,-0.79,"223,851",32.84,23.04,1.60,4.92,27.00,19.97,Tuesday,Tuesday,2018/06/05
174451,411,Chesapeake Lodging Trust,CHSP,32.6,32.63,32.24,32.6,0.10,0.31,"225,803",32.84,23.37,1.60,4.91,27.09,20.34,Wednesday,Wednesday,2018/06/06
174452,410,Chesapeake Lodging Trust,CHSP,32.57,32.58,32.28,32.4,-0.20,-0.61,"304,978",32.84,23.37,1.60,4.94,26.92,19.60,Thursday,Thursday,2018/06/07
174453,409,Chesapeake Lodging Trust,CHSP,32.45,32.62,32.14,32.18,-0.22,-0.68,"342,656",32.84,23.72,1.60,4.97,26.74,18.79,Friday,Friday,2018/06/08
174454,409,Chesapeake Lodging Trust,CHSP,32.28,32.28,31.7,31.84,-0.34,-1.06,"163,658",32.84,24.08,1.60,5.03,26.45,17.53,Monday,Monday,2018/06/11
174455,406,Chesapeake Lodging Trust,CHSP,32.0,32.29,31.69,32.03,0.19,0.60,"291,067",32.84,24.08,1.60,5.00,26.61,18.24,Tuesday,Tuesday,2018/06/12
174456,408,Chesapeake Lodging Trust,CHSP,32.11,32.16,31.36,31.39,-0.64,-2.00,"268,053",32.84,24.08,1.60,5.10,26.08,15.87,Wednesday,Wednesday,2018/06/13
174457,408,Chesapeake Lodging Trust,CHSP,31.48,32.02,31.32,31.85,0.46,1.47,"215,714",32.84,24.08,1.60,5.02,26.46,17.57,Thursday,Thursday,2018/06/14
174458,408,Chesapeake Lodging Trust,CHSP,31.82,31.91,31.63,31.8,-0.05,-0.16,"456,857",32.84,24.08,1.60,5.03,26.42,17.39,Friday,Friday,2018/06/15
174459,409,Chesapeake Lodging Trust,CHSP,31.66,32.04,31.55,31.9,0.10,0.31,"232,227",32.84,24.08,1.60,5.02,26.50,17.76,Monday,Monday,2018/06/18
174460,410,Chesapeake Lodging Trust,CHSP,31.73,31.86,31.54,31.63,-0.27,-0.85,"311,896",32.84,24.08,1.60,5.06,26.28,16.76,Tuesday,Tuesday,2018/06/19
174461,409,Chesapeake Lodging Trust,CHSP,31.85,32.31,31.85,32.26,0.63,1.99,"257,337",32.84,24.08,1.60,4.96,26.80,19.08,Wednesday,Wednesday,2018/06/20
174462,411,Chesapeake Lodging Trust,CHSP,32.25,32.25,31.74,32.07,-0.19,-0.59,"237,287",32.84,24.08,1.60,4.99,26.65,18.38,Thursday,Thursday,2018/06/21
174463,411,Chesapeake Lodging Trust,CHSP,32.31,32.71,32.2,32.49,0.42,1.31,"504,338",32.84,24.08,1.60,4.92,26.99,19.93,Friday,Friday,2018/06/22
