,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
183033,447,Clean Harbors,CLH,48.75,49.24,48.72,48.81,0.38,0.78,"384,234",61.62,46.62,...,...,27.58,-9.94,Thursday,Thursday,2018/03/29
183034,446,Clean Harbors,CLH,48.32,48.43,47.87,48.2,-0.40,-0.82,"697,877",61.62,46.62,...,...,27.23,-11.07,Wednesday,Wednesday,2018/04/11
183035,446,Clean Harbors,CLH,48.56,49.04,48.47,48.7,0.50,1.04,"276,324",61.62,46.62,...,...,27.51,-10.15,Thursday,Thursday,2018/04/12
183036,445,Clean Harbors,CLH,48.94,49.34,48.57,48.72,0.14,0.29,"341,142",61.62,46.62,...,...,27.53,-10.11,Tuesday,Tuesday,2018/04/17
183037,445,Clean Harbors,CLH,48.79,49.31,48.59,48.6,-0.12,-0.25,"401,046",61.62,46.62,...,...,27.46,-10.33,Wednesday,Wednesday,2018/04/18
183038,447,Clean Harbors,CLH,48.57,48.8,48.2,48.32,-0.28,-0.58,"335,383",61.62,46.62,...,...,27.30,-10.85,Thursday,Thursday,2018/04/19
183039,444,Clean Harbors,CLH,48.5,48.79,47.98,48.2,-0.12,-0.25,"213,559",61.62,46.62,...,...,27.23,-11.07,Friday,Friday,2018/04/20
183040,446,Clean Harbors,CLH,48.89,49.08,48.05,48.24,-0.34,-0.70,"374,815",61.62,46.62,...,...,27.25,-11.00,Tuesday,Tuesday,2018/04/24
183041,448,Clean Harbors,CLH,48.18,48.45,47.96,48.16,-0.08,-0.17,"235,909",61.62,46.62,...,...,27.21,-11.14,Wednesday,Wednesday,2018/04/25
183042,447,Clean Harbors,CLH,47.8,48.23,47.56,47.6,-0.12,-0.25,"306,766",61.62,46.62,...,...,26.89,-12.18,Friday,Friday,2018/04/27
183043,447,Clean Harbors,CLH,47.65,47.92,45.78,45.8,-1.80,-3.78,"453,256",61.62,45.78,...,...,25.88,-15.50,Monday,Monday,2018/04/30
183044,451,Clean Harbors,CLH,45.62,45.7,44.74,45.45,-0.35,-0.76,"515,086",61.62,44.74,...,...,25.68,-16.14,Tuesday,Tuesday,2018/05/01
183045,449,Clean Harbors,CLH,51.06,54.15,50.56,51.21,2.03,4.13,"1,060,544",61.62,44.74,...,...,26.67,-5.52,Thursday,Thursday,2018/05/03
183046,446,Clean Harbors,CLH,51.0,51.76,50.79,51.42,0.21,0.41,"453,587",61.62,44.74,...,...,26.78,-5.13,Friday,Friday,2018/05/04
183047,450,Clean Harbors,CLH,51.4,51.77,50.78,51.61,0.19,0.37,"374,154",61.49,44.74,...,...,26.88,-4.78,Monday,Monday,2018/05/07
183048,449,Clean Harbors,CLH,51.63,52.53,51.37,52.23,0.62,1.20,"413,124",60.17,44.74,...,...,27.20,-3.63,Tuesday,Tuesday,2018/05/08
183049,451,Clean Harbors,CLH,52.28,52.51,51.69,51.77,-0.46,-0.88,"407,921",60.17,44.74,...,...,26.96,-4.48,Wednesday,Wednesday,2018/05/09
183050,451,Clean Harbors,CLH,51.96,52.39,51.63,52.19,0.42,0.81,"314,923",59.86,44.74,...,...,27.18,-3.71,Thursday,Thursday,2018/05/10
183051,450,Clean Harbors,CLH,52.07,52.81,52.07,52.57,0.38,0.73,"268,380",59.86,44.74,...,...,27.38,-3.01,Friday,Friday,2018/05/11
183052,449,Clean Harbors,CLH,52.64,52.84,51.89,51.99,-0.58,-1.10,"384,031",59.86,44.74,...,...,27.08,-4.08,Monday,Monday,2018/05/14
183053,450,Clean Harbors,CLH,51.9,52.42,51.68,52.06,0.07,0.13,"315,395",59.86,44.74,...,...,27.11,-3.95,Tuesday,Tuesday,2018/05/15
