,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
186402,1639,Town Sports International Holdings,CLUB,7.85,8.15,7.4,7.6,-0.25,-3.18,"201,005",8.15,3.15,...,...,58.46,36.94,Thursday,Thursday,2018/03/29
186403,1616,Town Sports International Holdings,CLUB,8.65,8.8,8.4,8.55,-0.20,-2.29,"94,462",8.85,3.15,...,...,65.77,54.05,Wednesday,Wednesday,2018/04/11
186404,1618,Town Sports International Holdings,CLUB,8.5,8.7,8.3,8.5,-0.05,-0.58,"101,811",8.85,3.15,...,...,65.38,53.15,Thursday,Thursday,2018/04/12
186405,1624,Town Sports International Holdings,CLUB,8.05,8.35,7.75,8.25,0.15,1.85,"93,956",8.85,3.15,...,...,63.46,48.65,Tuesday,Tuesday,2018/04/17
186406,1628,Town Sports International Holdings,CLUB,8.35,8.75,8.32,8.35,0.10,1.21,"141,995",8.85,3.15,...,...,64.23,50.45,Wednesday,Wednesday,2018/04/18
186407,1628,Town Sports International Holdings,CLUB,8.35,8.45,8.15,8.15,-0.20,-2.40,"56,020",8.85,3.20,...,...,62.69,46.85,Thursday,Thursday,2018/04/19
186408,1628,Town Sports International Holdings,CLUB,8.25,8.65,8.2,8.45,0.30,3.68,"149,305",8.85,3.25,...,...,65.00,52.25,Friday,Friday,2018/04/20
186409,1627,Town Sports International Holdings,CLUB,8.75,9.2,8.75,9.0,0.20,2.27,"230,938",9.2,3.4,...,...,69.23,62.16,Tuesday,Tuesday,2018/04/24
186410,1630,Town Sports International Holdings,CLUB,9.05,9.35,9.03,9.1,0.10,1.11,"185,944",9.35,3.4,...,...,70.00,63.96,Wednesday,Wednesday,2018/04/25
186411,1627,Town Sports International Holdings,CLUB,9.5,9.5,9.15,9.35,0.15,1.63,"337,042",9.50,3.80,...,...,71.92,68.47,Friday,Friday,2018/04/27
186412,1629,Town Sports International Holdings,CLUB,9.3,9.4,9.15,9.3,-0.05,-0.53,"138,532",9.5,3.8,...,...,33.21,67.57,Monday,Monday,2018/04/30
186413,1623,Town Sports International Holdings,CLUB,9.3,9.6,9.3,9.55,0.25,2.69,"169,886",9.6,3.8,...,...,34.11,72.07,Tuesday,Tuesday,2018/05/01
186414,1620,Town Sports International Holdings,CLUB,10.05,10.25,9.9,10.25,0.25,2.50,"174,516",10.25,3.80,...,...,36.61,84.68,Thursday,Thursday,2018/05/03
186415,1626,Town Sports International Holdings,CLUB,10.15,11.0,10.15,11.0,0.75,7.32,"710,925",11.00,3.80,...,...,39.29,98.20,Friday,Friday,2018/05/04
186416,1629,Town Sports International Holdings,CLUB,11.1,11.39,10.8,10.9,-0.10,-0.91,"330,993",11.39,3.8,...,...,38.93,96.40,Monday,Monday,2018/05/07
186417,1627,Town Sports International Holdings,CLUB,10.9,11.5,10.9,11.5,0.60,5.50,"393,826",11.50,3.80,...,...,41.07,107.21,Tuesday,Tuesday,2018/05/08
186418,1636,Town Sports International Holdings,CLUB,11.7,11.95,11.45,11.75,0.25,2.17,"225,727",11.95,3.80,...,...,41.96,111.71,Wednesday,Wednesday,2018/05/09
186419,1621,Town Sports International Holdings,CLUB,11.75,11.95,11.35,11.55,-0.20,-1.70,"263,632",11.95,3.8,...,...,41.25,108.11,Thursday,Thursday,2018/05/10
186420,1633,Town Sports International Holdings,CLUB,11.5,11.5,10.1,10.45,-1.10,-9.52,"463,222",11.95,3.8,...,...,37.32,88.29,Friday,Friday,2018/05/11
186421,1635,Town Sports International Holdings,CLUB,10.55,11.2,10.55,10.8,0.35,3.35,"315,874",11.95,3.8,...,...,38.57,94.59,Monday,Monday,2018/05/14
186422,1630,Town Sports International Holdings,CLUB,10.75,10.85,10.5,10.85,0.05,0.46,"238,781",11.95,3.8,...,...,38.75,95.50,Tuesday,Tuesday,2018/05/15
186423,1638,Town Sports International Holdings,CLUB,10.85,10.85,10.25,10.75,-0.10,-0.92,"281,629",11.95,3.8,...,...,38.39,93.69,Wednesday,Wednesday,2018/05/16
186424,1633,Town Sports International Holdings,CLUB,10.75,10.8,10.25,10.75,...,...,"181,384",11.95,3.80,...,...,38.39,93.69,Thursday,Thursday,2018/05/17
186425,1633,Town Sports International Holdings,CLUB,10.85,10.85,10.35,10.65,-0.10,-0.93,"169,015",11.95,3.8,...,...,38.04,91.89,Friday,Friday,2018/05/18
186426,1631,Town Sports International Holdings,CLUB,10.75,11.1,10.7,10.95,0.30,2.82,"219,565",11.95,3.80,...,...,39.11,97.30,Monday,Monday,2018/05/21
186427,1634,Town Sports International Holdings,CLUB,11.05,11.05,10.4,10.45,-0.50,-4.57,"173,979",11.95,3.8,...,...,37.32,88.29,Tuesday,Tuesday,2018/05/22
186428,1626,Town Sports International Holdings,CLUB,10.45,11.0,10.35,10.9,0.45,4.31,"147,633",11.95,3.80,...,...,38.93,96.40,Wednesday,Wednesday,2018/05/23
186429,1633,Town Sports International Holdings,CLUB,10.95,11.05,10.88,11.0,0.10,0.92,"184,139",11.95,3.80,...,...,39.29,98.20,Thursday,Thursday,2018/05/24
186430,1639,Town Sports International Holdings,CLUB,11.0,11.0,10.53,10.72,-0.28,-2.50,"193,905",11.95,3.80,...,...,38.30,93.24,Friday,Friday,2018/05/25
186431,1632,Town Sports International Holdings,CLUB,10.5,11.2,10.45,11.15,0.43,3.96,"224,906",11.95,3.80,...,...,39.82,100.90,Tuesday,Tuesday,2018/05/29
186432,1639,Town Sports International Holdings,CLUB,11.2,11.4,11.15,11.35,0.20,1.79,"206,007",11.95,3.80,...,...,40.54,104.50,Wednesday,Wednesday,2018/05/30
186433,1630,Town Sports International Holdings,CLUB,11.35,11.4,11.1,11.4,0.05,0.44,"200,751",11.95,3.8,...,...,40.71,105.41,Thursday,Thursday,2018/05/31
186434,1642,Town Sports International Holdings,CLUB,11.35,11.6,11.12,11.5,0.10,0.88,"178,197",11.95,3.80,...,...,41.07,107.21,Friday,Friday,2018/06/01
186435,1641,Town Sports International Holdings,CLUB,11.5,11.6,11.3,11.4,-0.10,-0.87,"120,053",11.95,3.80,...,...,40.71,105.41,Monday,Monday,2018/06/04
186436,1638,Town Sports International Holdings,CLUB,11.4,11.85,11.4,11.85,0.45,3.95,"168,025",11.95,3.8,...,...,42.32,113.51,Tuesday,Tuesday,2018/06/05
186437,1648,Town Sports International Holdings,CLUB,11.8,11.85,11.65,11.8,-0.05,-0.42,"152,015",11.95,3.80,...,...,42.14,112.61,Wednesday,Wednesday,2018/06/06
186438,1645,Town Sports International Holdings,CLUB,11.8,11.95,11.8,11.9,0.10,0.85,"135,400",11.95,3.80,...,...,42.50,114.41,Thursday,Thursday,2018/06/07
186439,1641,Town Sports International Holdings,CLUB,11.9,11.9,11.45,11.5,-0.40,-3.36,"84,987",11.95,3.80,...,...,41.07,107.21,Friday,Friday,2018/06/08
186440,1639,Town Sports International Holdings,CLUB,11.45,11.75,11.3,11.5,...,...,"113,267",11.95,3.8,...,...,41.07,107.21,Monday,Monday,2018/06/11
186441,1635,Town Sports International Holdings,CLUB,11.5,11.78,11.45,11.65,0.15,1.30,"165,705",11.95,3.85,...,...,41.61,109.91,Tuesday,Tuesday,2018/06/12
186442,1639,Town Sports International Holdings,CLUB,11.65,11.7,11.5,11.6,-0.05,-0.43,"117,256",11.95,3.85,...,...,41.43,109.01,Wednesday,Wednesday,2018/06/13
186443,1640,Town Sports International Holdings,CLUB,11.7,11.7,11.45,11.5,-0.10,-0.86,"110,562",11.95,3.85,...,...,41.07,107.21,Thursday,Thursday,2018/06/14
186444,1639,Town Sports International Holdings,CLUB,11.45,11.7,11.38,11.6,0.10,0.87,"143,908",11.95,3.85,...,...,41.43,109.01,Friday,Friday,2018/06/15
186445,1638,Town Sports International Holdings,CLUB,11.6,12.2,11.0,11.0,-0.60,-5.17,"390,643",12.20,3.95,...,...,39.29,98.20,Monday,Monday,2018/06/18
186446,1633,Town Sports International Holdings,CLUB,11.2,11.75,11.1,11.75,0.75,6.82,"166,959",12.2,4.2,...,...,41.96,111.71,Tuesday,Tuesday,2018/06/19
186447,1630,Town Sports International Holdings,CLUB,11.7,12.1,11.35,11.65,-0.10,-0.85,"134,998",12.20,4.28,...,...,41.61,109.91,Wednesday,Wednesday,2018/06/20
186448,1640,Town Sports International Holdings,CLUB,11.65,11.7,11.25,11.45,-0.20,-1.72,"156,831",12.2,4.28,...,...,40.89,106.31,Thursday,Thursday,2018/06/21
186449,1643,Town Sports International Holdings,CLUB,11.45,12.0,11.45,11.95,0.50,4.37,"1,585,330",12.2,4.28,...,...,42.68,115.32,Friday,Friday,2018/06/22
186450,1638,Town Sports International Holdings,CLUB,11.9,12.85,11.6,12.8,0.85,7.11,"561,236",12.85,4.28,...,...,45.71,130.63,Monday,Monday,2018/06/25
186451,1638,Town Sports International Holdings,CLUB,12.85,13.55,12.57,12.9,0.10,0.78,"198,677",13.55,4.28,...,...,46.07,132.43,Tuesday,Tuesday,2018/06/26
186452,1640,Town Sports International Holdings,CLUB,13.05,13.7,13.05,13.45,0.55,4.26,"399,073",13.70,4.28,...,...,48.04,142.34,Wednesday,Wednesday,2018/06/27
186453,1646,Town Sports International Holdings,CLUB,13.45,13.95,13.25,13.9,0.45,3.35,"312,449",13.95,4.28,...,...,49.64,150.45,Thursday,Thursday,2018/06/28
186454,1651,Town Sports International Holdings,CLUB,13.95,14.55,13.65,14.55,0.65,4.68,"469,045",14.55,4.28,...,...,51.96,162.16,Friday,Friday,2018/06/29
186455,1649,Town Sports International Holdings,CLUB,14.75,14.85,13.65,13.85,-0.70,-4.81,"382,423",14.85,4.28,...,...,49.46,149.55,Monday,Monday,2018/07/02
186456,1631,Town Sports International Holdings,CLUB,14.0,14.4,13.9,14.1,0.25,1.81,"179,673",14.85,4.28,...,...,50.36,154.05,Tuesday,Tuesday,2018/07/03
186457,1643,Town Sports International Holdings,CLUB,14.25,14.75,14.16,14.75,0.65,4.61,"289,144",14.85,4.28,...,...,52.68,165.77,Thursday,Thursday,2018/07/05
186458,1641,Town Sports International Holdings,CLUB,14.75,14.75,13.3,13.8,-0.95,-6.44,"464,977",14.85,4.28,...,...,49.29,148.65,Friday,Friday,2018/07/06
186459,1641,Town Sports International Holdings,CLUB,13.8,14.0,13.6,13.75,-0.05,-0.36,"258,507",14.85,4.28,...,...,49.11,147.75,Monday,Monday,2018/07/09
186460,1646,Town Sports International Holdings,CLUB,13.75,13.9,13.45,13.55,-0.20,-1.45,"170,350",14.85,4.28,...,...,48.39,144.14,Tuesday,Tuesday,2018/07/10
186461,1635,Town Sports International Holdings,CLUB,13.4,13.55,13.05,13.45,-0.10,-0.74,"137,335",14.85,4.28,...,...,48.04,142.34,Wednesday,Wednesday,2018/07/11
