,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
206360,310,Capital Product Partners,CPLP,3.11,3.15,3.1,3.12,...,...,"380,077",4.00,2.98,0.32,10.26,14.77,-7.14,Thursday,Thursday,2018/03/29
206361,304,Capital Product Partners,CPLP,3.17,3.22,3.16,3.17,-0.02,-0.47,"209,878",4.00,2.98,0.32,10.09,15.01,-5.65,Wednesday,Wednesday,2018/04/11
206362,307,Capital Product Partners,CPLP,3.16,3.21,3.15,3.19,0.02,0.63,"248,372",4.0,2.98,0.32,10.03,15.10,-5.06,Thursday,Thursday,2018/04/12
206363,307,Capital Product Partners,CPLP,3.29,3.31,3.24,3.25,-0.05,-1.52,"264,987",4.00,2.98,0.32,9.85,15.39,-3.27,Tuesday,Tuesday,2018/04/17
206364,308,Capital Product Partners,CPLP,3.27,3.3,3.26,3.29,0.04,1.23,"183,002",4.0,2.98,0.32,9.73,15.58,-2.08,Wednesday,Wednesday,2018/04/18
206365,309,Capital Product Partners,CPLP,3.3,3.3,3.24,3.25,-0.04,-1.22,"211,163",4.00,2.98,0.32,9.85,15.39,-3.27,Thursday,Thursday,2018/04/19
206366,309,Capital Product Partners,CPLP,3.28,3.3,3.21,3.28,0.03,0.92,"275,958",4.00,2.98,0.32,9.76,15.53,-2.38,Friday,Friday,2018/04/20
206367,306,Capital Product Partners,CPLP,3.31,3.31,3.21,3.22,-0.07,-2.13,"258,259",4.0,2.98,0.32,9.94,15.25,-4.17,Tuesday,Tuesday,2018/04/24
206368,307,Capital Product Partners,CPLP,3.25,3.25,3.22,3.24,0.02,0.62,"179,967",4.0,2.98,0.32,9.88,15.34,-3.57,Wednesday,Wednesday,2018/04/25
206369,303,Capital Product Partners,CPLP,3.25,3.26,3.21,3.23,-0.01,-0.31,"240,048",4.00,2.98,0.32,9.91,15.29,-3.87,Friday,Friday,2018/04/27
206370,303,Capital Product Partners,CPLP,3.2,3.25,3.19,3.24,0.01,0.31,"769,165",4.0,2.98,0.32,9.88,15.34,-3.57,Monday,Monday,2018/04/30
206371,303,Capital Product Partners,CPLP,3.18,3.18,3.08,3.09,-0.07,-2.22,"681,503",4.0,2.98,0.32,10.36,14.63,-8.04,Tuesday,Tuesday,2018/05/01
206372,300,Capital Product Partners,CPLP,3.08,3.11,3.06,3.07,-0.01,-0.32,"357,278",4.00,2.98,0.32,10.42,19.53,-8.63,Thursday,Thursday,2018/05/03
206373,303,Capital Product Partners,CPLP,3.07,3.12,3.07,3.08,0.01,0.33,"345,207",4.00,2.98,0.32,10.39,...,-8.33,Friday,Friday,2018/05/04
206374,306,Capital Product Partners,CPLP,3.18,3.18,3.08,3.09,0.01,0.32,"236,570",4.0,2.98,0.32,10.36,...,-8.04,Monday,Monday,2018/05/07
206375,308,Capital Product Partners,CPLP,3.1,3.13,3.09,3.11,0.02,0.65,"230,256",4.00,2.98,0.32,10.29,...,-7.44,Tuesday,Tuesday,2018/05/08
206376,307,Capital Product Partners,CPLP,3.12,3.14,3.1,3.12,0.01,0.16,"228,432",4.00,2.98,0.32,10.27,...,-7.29,Wednesday,Wednesday,2018/05/09
206377,304,Capital Product Partners,CPLP,3.12,3.15,3.1,3.13,0.01,0.48,"172,790",4.0,2.98,0.32,10.22,...,-6.85,Thursday,Thursday,2018/05/10
206378,306,Capital Product Partners,CPLP,3.14,3.2,3.13,3.13,...,...,"299,832",4.0,2.98,0.32,10.22,...,-6.85,Friday,Friday,2018/05/11
206379,306,Capital Product Partners,CPLP,3.18,3.19,3.13,3.16,0.03,0.96,"313,078",4.0,2.98,0.32,10.13,...,-5.95,Monday,Monday,2018/05/14
206380,305,Capital Product Partners,CPLP,3.15,3.18,3.12,3.13,-0.04,-1.11,"441,274",4.0,2.98,0.32,10.24,...,-6.99,Tuesday,Tuesday,2018/05/15
