,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
214206,535,CryoLife,CRY,19.9,20.25,19.88,20.05,0.25,1.26,"129,157",24.0,14.03,...,...,200.50,4.70,Thursday,Thursday,2018/03/29
214207,534,CryoLife,CRY,21.05,21.4,21.05,21.15,-0.05,-0.24,"59,019",24.00,14.03,...,...,211.50,10.44,Wednesday,Wednesday,2018/04/11
214208,535,CryoLife,CRY,21.25,21.5,21.2,21.4,0.25,1.18,"50,446",24.00,14.03,...,...,214.00,11.75,Thursday,Thursday,2018/04/12
214209,532,CryoLife,CRY,22.4,23.65,22.15,23.35,1.10,4.94,"179,882",24.00,14.03,...,...,233.50,21.93,Tuesday,Tuesday,2018/04/17
214210,534,CryoLife,CRY,23.35,24.0,23.15,23.75,0.40,1.71,"128,197",24.0,14.03,...,...,237.50,24.02,Wednesday,Wednesday,2018/04/18
214211,534,CryoLife,CRY,23.7,23.8,23.32,23.4,-0.35,-1.47,"79,068",24.00,14.50,...,...,234.00,22.19,Thursday,Thursday,2018/04/19
214212,531,CryoLife,CRY,23.3,23.55,23.2,23.3,-0.10,-0.43,"62,181",24.00,15.35,...,...,233.00,21.67,Friday,Friday,2018/04/20
214213,533,CryoLife,CRY,23.4,23.45,22.75,23.15,-0.20,-0.86,"85,035",24.00,16.05,...,...,231.50,20.89,Tuesday,Tuesday,2018/04/24
214214,536,CryoLife,CRY,23.1,23.4,22.9,23.05,-0.10,-0.43,"107,935",24.0,16.25,...,...,230.50,20.37,Wednesday,Wednesday,2018/04/25
214215,535,CryoLife,CRY,23.1,23.1,22.65,22.8,-0.30,-1.30,"78,840",24.00,16.80,...,...,228.00,19.06,Friday,Friday,2018/04/27
214216,535,CryoLife,CRY,22.9,22.9,22.45,22.45,-0.35,-1.54,"114,692",24.00,16.80,...,...,224.50,17.23,Monday,Monday,2018/04/30
214217,538,CryoLife,CRY,22.45,22.8,22.3,22.7,0.25,1.11,"213,157",24.00,16.80,...,...,227.00,18.54,Tuesday,Tuesday,2018/05/01
214218,537,CryoLife,CRY,21.9,24.45,21.35,24.1,1.00,4.33,"239,793",24.45,16.80,...,...,241.00,25.85,Thursday,Thursday,2018/05/03
214219,535,CryoLife,CRY,24.05,24.55,23.75,24.45,0.35,1.45,"116,546",24.55,16.80,...,...,...,27.68,Friday,Friday,2018/05/04
214220,538,CryoLife,CRY,24.45,25.65,24.0,25.5,1.05,4.29,"209,923",25.65,16.80,...,...,...,33.16,Monday,Monday,2018/05/07
214221,537,CryoLife,CRY,25.35,26.25,25.32,25.85,0.35,1.37,"232,018",26.25,16.8,...,...,...,34.99,Tuesday,Tuesday,2018/05/08
214222,539,CryoLife,CRY,26.0,26.07,25.25,25.3,-0.55,-2.13,"195,390",26.25,16.80,...,...,...,32.11,Wednesday,Wednesday,2018/05/09
214223,537,CryoLife,CRY,25.3,25.5,24.95,25.45,0.15,0.59,"132,787",26.25,16.80,...,...,...,32.90,Thursday,Thursday,2018/05/10
214224,538,CryoLife,CRY,25.4,25.6,25.1,25.2,-0.25,-0.98,"69,387",26.25,16.80,...,...,...,31.59,Friday,Friday,2018/05/11
214225,538,CryoLife,CRY,25.2,25.25,24.45,24.85,-0.35,-1.39,"85,000",26.25,16.80,...,...,...,29.77,Monday,Monday,2018/05/14
214226,539,CryoLife,CRY,24.75,25.65,24.7,25.6,0.75,3.02,"133,627",26.25,16.80,...,...,...,33.68,Tuesday,Tuesday,2018/05/15
214227,540,CryoLife,CRY,26.0,27.1,25.85,25.95,0.35,1.37,"249,741",27.10,16.80,...,...,...,35.51,Wednesday,Wednesday,2018/05/16
214228,537,CryoLife,CRY,25.85,26.1,25.35,25.4,-0.55,-2.12,"106,049",27.10,16.80,...,...,...,32.64,Thursday,Thursday,2018/05/17
214229,539,CryoLife,CRY,25.55,26.8,25.45,26.75,1.35,5.31,"415,163",27.1,16.80,...,...,...,39.69,Friday,Friday,2018/05/18
214230,539,CryoLife,CRY,26.85,27.25,26.35,26.7,-0.05,-0.19,"81,739",27.25,16.80,...,...,...,39.43,Monday,Monday,2018/05/21
214231,538,CryoLife,CRY,26.7,26.75,26.3,26.45,-0.25,-0.94,"62,988",27.25,16.80,...,...,...,38.12,Tuesday,Tuesday,2018/05/22
214232,539,CryoLife,CRY,26.35,26.9,26.35,26.75,0.30,1.13,"85,557",27.25,16.80,...,...,...,39.69,Wednesday,Wednesday,2018/05/23
214233,538,CryoLife,CRY,26.7,27.15,26.6,26.95,0.20,0.75,"52,279",27.25,16.80,...,...,...,40.73,Thursday,Thursday,2018/05/24
214234,543,CryoLife,CRY,27.0,27.45,26.75,26.9,-0.05,-0.19,"77,331",27.45,16.80,...,...,...,40.47,Friday,Friday,2018/05/25
214235,540,CryoLife,CRY,26.7,26.9,26.3,26.75,-0.15,-0.56,"96,509",27.45,16.80,...,...,...,39.69,Tuesday,Tuesday,2018/05/29
214236,540,CryoLife,CRY,26.9,27.5,26.9,27.5,0.75,2.80,"78,603",27.5,16.80,...,...,...,43.60,Wednesday,Wednesday,2018/05/30
214237,542,CryoLife,CRY,27.45,27.75,27.05,27.55,0.05,0.18,"133,952",27.75,16.80,...,...,...,43.86,Thursday,Thursday,2018/05/31
214238,543,CryoLife,CRY,27.8,28.45,27.55,27.9,0.35,1.27,"196,957",28.45,16.80,...,...,...,45.69,Friday,Friday,2018/06/01
214239,544,CryoLife,CRY,28.0,28.25,27.4,27.55,-0.35,-1.25,"179,114",28.45,16.8,...,...,...,43.86,Monday,Monday,2018/06/04
214240,540,CryoLife,CRY,27.7,27.7,27.2,27.4,-0.15,-0.54,"125,219",28.45,16.80,...,...,...,43.08,Tuesday,Tuesday,2018/06/05
