,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
218514,480,CSX,CSX,54.52,56.39,54.31,55.71,1.40,2.58,"4,517,126",60.04,46.04,0.88,1.58,9.18,1.27,Thursday,Thursday,2018/03/29
218515,471,CSX,CSX,54.95,55.35,54.65,55.01,-0.25,-0.45,"4,761,198",60.04,46.04,0.88,1.60,9.06,...,Wednesday,Wednesday,2018/04/11
218516,475,CSX,CSX,55.4,56.47,55.22,56.11,1.10,2.00,"6,443,485",60.04,46.04,0.88,1.57,9.24,2.00,Thursday,Thursday,2018/04/12
218517,475,CSX,CSX,56.49,57.15,56.1,56.57,0.16,0.28,"6,359,790",60.04,46.52,0.88,1.56,9.32,2.84,Tuesday,Tuesday,2018/04/17
218518,477,CSX,CSX,59.19,61.17,59.19,61.01,4.44,7.85,"20,112,705",61.17,46.68,0.88,1.44,10.05,10.91,Wednesday,Wednesday,2018/04/18
218519,476,CSX,CSX,61.1,61.42,60.34,61.19,0.18,0.30,"7,057,928",61.42,47.99,0.88,1.44,9.47,11.23,Thursday,Thursday,2018/04/19
218520,478,CSX,CSX,60.98,61.5,59.94,60.04,-1.15,-1.88,"5,304,046",61.50,47.99,0.88,1.47,9.29,9.14,Friday,Friday,2018/04/20
218521,475,CSX,CSX,60.62,61.11,58.57,59.19,-1.15,-1.91,"5,154,809",61.5,47.99,0.88,1.49,9.16,7.60,Tuesday,Tuesday,2018/04/24
218522,476,CSX,CSX,59.28,60.18,58.93,59.99,0.80,1.35,"5,730,815",61.5,47.99,0.88,1.47,9.29,9.05,Wednesday,Wednesday,2018/04/25
218523,472,CSX,CSX,59.02,60.36,59.02,60.28,1.04,1.76,"4,252,285",61.50,47.99,0.88,1.46,9.33,9.58,Friday,Friday,2018/04/27
218524,473,CSX,CSX,60.57,61.07,59.38,59.39,-0.89,-1.48,"4,462,297",61.5,47.99,0.88,1.48,9.19,7.96,Monday,Monday,2018/04/30
218525,470,CSX,CSX,59.29,60.1,59.03,59.85,0.46,0.77,"4,706,708",61.5,47.99,0.88,1.47,9.26,8.80,Tuesday,Tuesday,2018/05/01
218526,469,CSX,CSX,59.1,59.52,57.97,59.09,-0.29,-0.49,"5,190,397",61.50,47.99,0.88,1.49,9.15,7.42,Thursday,Thursday,2018/05/03
218527,474,CSX,CSX,58.69,60.41,58.58,59.97,0.88,1.49,"3,945,853",61.50,47.99,0.88,1.47,9.28,9.02,Friday,Friday,2018/05/04
218528,474,CSX,CSX,60.26,60.75,60.12,60.5,0.53,0.88,"3,418,781",61.5,47.99,0.88,1.45,9.37,9.98,Monday,Monday,2018/05/07
218529,480,CSX,CSX,60.33,61.17,60.14,60.57,0.07,0.12,"4,219,037",61.50,47.99,0.88,1.45,9.38,10.11,Tuesday,Tuesday,2018/05/08
218530,477,CSX,CSX,60.86,62.45,60.63,62.25,1.68,2.77,"5,409,638",62.45,47.99,0.88,1.41,9.64,13.16,Wednesday,Wednesday,2018/05/09
218531,475,CSX,CSX,62.79,63.03,62.07,62.81,0.56,0.90,"4,238,348",63.03,47.99,0.88,1.40,9.72,14.18,Thursday,Thursday,2018/05/10
218532,476,CSX,CSX,62.96,63.88,62.8,63.09,0.28,0.45,"4,288,912",63.88,47.99,0.88,1.39,9.77,14.69,Friday,Friday,2018/05/11
