,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
220800,518,Contura Energy,CTRA,79.0,79.0,75.0,75.0,-4.00,-5.06,"8,998",81.00,54.00,...,...,3.30,26.31,Friday,Friday,2018/11/09
220801,515,Contura Energy,CTRA,76.5,76.5,72.51,75.08,0.08,0.11,"8,166",81.0,54.00,...,...,3.30,26.44,Monday,Monday,2018/11/12
220802,516,Contura Energy,CTRA,73.11,75.47,73.0,74.45,-0.63,-0.84,"11,785",81.0,54.00,...,...,3.27,25.38,Tuesday,Tuesday,2018/11/13
220803,517,Contura Energy,CTRA,74.02,74.47,71.5,73.0,-1.45,-1.95,"25,777",81.0,54.00,...,...,3.21,22.94,Wednesday,Wednesday,2018/11/14
220804,518,Contura Energy,CTRA,72.95,73.9,71.5,71.67,-1.33,-1.82,"100,383",81.00,54.00,...,...,3.12,20.70,Thursday,Thursday,2018/11/15
220805,518,Contura Energy,CTRA,71.5,71.5,70.12,70.5,-1.17,-1.63,"63,227",81.0,55.75,...,...,3.07,18.73,Friday,Friday,2018/11/16
220806,521,Contura Energy,CTRA,69.55,70.99,66.38,68.46,-2.04,-2.89,"77,319",81.0,55.75,...,...,2.98,15.29,Monday,Monday,2018/11/19
220807,519,Contura Energy,CTRA,67.95,68.25,64.55,65.25,-3.21,-4.69,"106,306",81.00,55.75,...,...,2.84,9.89,Tuesday,Tuesday,2018/11/20
220808,519,Contura Energy,CTRA,64.86,68.18,64.17,65.21,-0.04,-0.06,"72,395",81.0,55.80,...,...,2.84,9.82,Wednesday,Wednesday,2018/11/21
220809,518,Contura Energy,CTRA,65.0,65.0,62.25,64.0,-1.21,-1.86,"52,689",81.0,56.00,...,...,2.79,7.78,Friday,Friday,2018/11/23
220810,520,Contura Energy,CTRA,65.06,65.33,63.02,63.5,-0.50,-0.78,"51,108",81.00,56.99,...,...,2.77,6.94,Monday,Monday,2018/11/26
220811,519,Contura Energy,CTRA,63.14,63.14,61.02,62.0,-1.50,-2.36,"119,560",81.0,57.49,...,...,2.70,4.41,Tuesday,Tuesday,2018/11/27
220812,519,Contura Energy,CTRA,62.0,62.49,60.78,62.0,...,...,"131,047",81.0,57.95,...,...,2.70,4.41,Wednesday,Wednesday,2018/11/28
220813,519,Contura Energy,CTRA,61.53,64.62,60.87,63.9,1.90,3.06,"89,494",81.0,57.95,...,...,2.78,7.61,Thursday,Thursday,2018/11/29
220814,522,Contura Energy,CTRA,64.21,64.5,62.14,64.2,0.30,0.47,"121,559",81.0,57.95,...,...,2.80,8.12,Friday,Friday,2018/11/30
220815,519,Contura Energy,CTRA,64.02,66.15,63.88,64.94,0.74,1.15,"108,937",81.0,57.95,...,...,2.83,9.36,Monday,Monday,2018/12/03
220816,522,Contura Energy,CTRA,64.84,65.95,64.29,64.68,-0.26,-0.40,"75,382",81.0,57.95,...,...,2.82,8.93,Tuesday,Tuesday,2018/12/04
220817,520,Contura Energy,CTRA,64.29,64.32,60.76,64.32,-0.36,-0.56,"259,796",81.00,57.95,...,...,2.80,8.32,Thursday,Thursday,2018/12/06
220818,518,Contura Energy,CTRA,64.69,65.0,64.14,65.0,0.68,1.06,"93,793",81.0,57.95,...,...,2.83,9.46,Friday,Friday,2018/12/07
220819,522,Contura Energy,CTRA,64.76,65.5,64.61,65.25,0.25,0.38,"196,527",81.00,57.95,...,...,2.84,9.89,Monday,Monday,2018/12/10
220820,520,Contura Energy,CTRA,65.14,67.63,65.14,67.26,2.01,3.08,"183,697",81.0,57.95,...,...,2.93,13.27,Tuesday,Tuesday,2018/12/11
220821,519,Contura Energy,CTRA,67.46,69.0,67.46,68.16,0.90,1.34,"225,883",81.0,57.95,...,...,2.97,14.79,Wednesday,Wednesday,2018/12/12
220822,521,Contura Energy,CTRA,68.99,69.0,67.94,68.39,0.23,0.34,"141,109",81.00,57.95,...,...,2.98,15.17,Thursday,Thursday,2018/12/13
220823,520,Contura Energy,CTRA,68.0,69.29,67.81,68.24,-0.15,-0.22,"115,885",81.0,57.95,...,...,2.97,14.92,Friday,Friday,2018/12/14
220824,520,Contura Energy,CTRA,68.5,68.72,66.96,67.97,-0.27,-0.40,"352,118",81.0,59.00,...,...,2.96,14.47,Monday,Monday,2018/12/17
220825,518,Contura Energy,CTRA,68.0,68.25,65.75,66.84,-1.13,-1.66,"364,124",81.0,59.00,...,...,2.91,12.56,Tuesday,Tuesday,2018/12/18
220826,521,Contura Energy,CTRA,66.78,68.95,66.73,67.5,0.66,0.99,"466,200",81.00,59.00,...,...,2.94,13.67,Wednesday,Wednesday,2018/12/19
220827,518,Contura Energy,CTRA,67.32,68.61,65.87,66.4,-1.10,-1.63,"444,969",81.0,59.00,...,...,2.89,11.82,Thursday,Thursday,2018/12/20
220828,522,Contura Energy,CTRA,66.4,66.6,64.27,64.27,-2.13,-3.21,"451,963",81.0,59.10,...,...,2.80,8.24,Friday,Friday,2018/12/21
220829,519,Contura Energy,CTRA,63.79,65.8,63.79,64.73,0.46,0.72,"39,606",81.00,59.10,...,...,2.82,9.01,Monday,Monday,2018/12/24
220830,522,Contura Energy,CTRA,64.81,65.9,64.7,65.9,1.17,1.81,"39,777",81.0,59.20,...,...,2.87,10.98,Wednesday,Wednesday,2018/12/26
220831,520,Contura Energy,CTRA,65.24,66.25,65.03,65.75,-0.15,-0.23,"45,975",81.0,59.2,...,...,2.86,10.73,Thursday,Thursday,2018/12/27
220832,520,Contura Energy,CTRA,65.46,66.0,65.39,65.48,-0.27,-0.41,"79,983",81.0,59.20,...,...,2.85,10.27,Friday,Friday,2018/12/28
220833,518,Contura Energy,CTRA,65.55,66.0,64.85,65.74,0.26,0.40,"60,948",81.0,60.76,...,...,2.86,10.71,Monday,Monday,2018/12/31
220834,519,Contura Energy,CTRA,64.98,66.0,64.19,65.98,0.24,0.37,"56,543",81.0,60.76,...,...,2.87,0.37,Wednesday,Wednesday,2019/01/02
220835,520,Contura Energy,CTRA,65.94,66.0,64.47,64.52,-1.46,-2.21,"17,202",81.0,60.76,...,...,2.81,-1.86,Thursday,Thursday,2019/01/03
220836,520,Contura Energy,CTRA,65.16,65.75,64.24,64.98,0.46,0.71,"72,494",81.0,60.76,...,...,2.83,-1.16,Friday,Friday,2019/01/04
220837,519,Contura Energy,CTRA,65.33,65.33,64.35,64.99,0.01,0.02,"50,153",81.00,60.76,...,...,2.83,-1.14,Monday,Monday,2019/01/07
220838,518,Contura Energy,CTRA,64.99,65.39,63.44,64.22,-0.77,-1.18,"46,407",81.0,60.76,...,...,2.80,-2.31,Tuesday,Tuesday,2019/01/08
220839,517,Contura Energy,CTRA,64.38,65.0,63.58,64.92,0.70,1.09,"86,086",81.0,60.76,...,...,2.83,-1.25,Wednesday,Wednesday,2019/01/09
220840,521,Contura Energy,CTRA,64.26,65.0,63.26,64.47,-0.45,-0.69,"85,678",81.0,60.76,...,...,2.81,-1.93,Thursday,Thursday,2019/01/10
220841,519,Contura Energy,CTRA,64.11,64.5,62.95,63.76,-0.71,-1.10,"49,846",81.00,60.76,...,...,2.78,-3.01,Friday,Friday,2019/01/11
220842,521,Contura Energy,CTRA,63.18,63.71,62.11,63.05,-0.71,-1.11,"35,648",81.0,60.76,...,...,2.75,-4.09,Monday,Monday,2019/01/14
220843,520,Contura Energy,CTRA,63.0,63.05,62.74,62.88,-0.17,-0.27,"45,772",81.0,60.76,...,...,2.74,-4.35,Tuesday,Tuesday,2019/01/15
220844,519,Contura Energy,CTRA,62.9,64.3,62.9,64.3,1.42,2.26,"88,458",81.0,60.76,...,...,2.80,-2.19,Wednesday,Wednesday,2019/01/16
220845,522,Contura Energy,CTRA,64.01,64.72,63.53,63.95,-0.35,-0.54,"76,118",81.0,60.76,...,...,2.78,-2.72,Thursday,Thursday,2019/01/17
220846,520,Contura Energy,CTRA,64.59,65.29,64.21,64.75,0.80,1.25,"74,412",81.0,60.76,...,...,2.82,-1.51,Friday,Friday,2019/01/18
220847,521,Contura Energy,CTRA,64.06,65.21,63.4,64.86,0.11,0.17,"115,598",81.0,60.76,...,...,2.82,-1.34,Tuesday,Tuesday,2019/01/22
220848,521,Contura Energy,CTRA,64.95,65.28,64.16,64.16,-0.70,-1.08,"91,153",81.0,60.76,...,...,2.79,-2.40,Wednesday,Wednesday,2019/01/23
220849,521,Contura Energy,CTRA,64.37,64.38,62.5,63.88,-0.28,-0.44,"91,229",81.0,60.76,...,...,2.78,-2.83,Thursday,Thursday,2019/01/24
220850,518,Contura Energy,CTRA,64.27,65.0,63.68,64.99,1.11,1.74,"89,758",81.0,60.76,...,...,2.83,-1.14,Friday,Friday,2019/01/25
