,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
231201,377,China XD Plastics,CXDC,4.15,4.25,4.15,4.25,0.05,1.19,"34,986",5.00,4.09,...,...,8.85,-7.61,Thursday,Thursday,2018/03/29
231202,372,China XD Plastics,CXDC,4.2,4.25,4.2,4.2,0.05,1.20,"20,612",5.00,4.05,...,...,8.75,-8.70,Wednesday,Wednesday,2018/04/11
231203,375,China XD Plastics,CXDC,4.2,4.2,4.14,4.15,-0.05,-1.19,"9,938",5.0,4.05,...,...,8.65,-9.78,Thursday,Thursday,2018/04/12
231204,375,China XD Plastics,CXDC,4.05,4.15,4.05,4.1,...,...,"10,027",5.00,4.05,...,...,8.54,-10.87,Tuesday,Tuesday,2018/04/17
231205,376,China XD Plastics,CXDC,4.1,4.15,4.1,4.1,...,...,"14,186",5.0,4.05,...,...,8.54,-10.87,Wednesday,Wednesday,2018/04/18
231206,377,China XD Plastics,CXDC,4.15,4.15,4.05,4.15,0.05,1.22,"18,430",5.00,4.05,...,...,8.65,-9.78,Thursday,Thursday,2018/04/19
231207,377,China XD Plastics,CXDC,4.15,4.15,4.1,4.1,-0.05,-1.20,"7,954",5.00,4.05,...,...,8.54,-10.87,Friday,Friday,2018/04/20
231208,374,China XD Plastics,CXDC,4.1,4.13,4.05,4.1,-0.05,-1.20,"12,909",5.0,4.05,...,...,8.54,-10.87,Tuesday,Tuesday,2018/04/24
231209,375,China XD Plastics,CXDC,4.1,4.1,4.05,4.1,...,...,"4,585",5.0,4.05,...,...,8.54,-10.87,Wednesday,Wednesday,2018/04/25
231210,370,China XD Plastics,CXDC,4.05,4.1,4.0,4.05,...,...,"5,255",5.00,4.00,...,...,8.44,-11.96,Friday,Friday,2018/04/27
231211,371,China XD Plastics,CXDC,4.05,4.1,4.0,4.05,...,...,"40,669",5.0,4.0,...,...,8.44,-11.96,Monday,Monday,2018/04/30
231212,370,China XD Plastics,CXDC,4.0,4.1,4.0,4.05,...,...,"22,017",5.0,4.0,...,...,8.44,-11.96,Tuesday,Tuesday,2018/05/01
231213,368,China XD Plastics,CXDC,4.0,4.0,3.85,3.85,-0.18,-4.35,"110,621",5.00,3.85,...,...,8.02,-16.30,Thursday,Thursday,2018/05/03
231214,372,China XD Plastics,CXDC,3.9,4.0,3.9,3.95,0.10,2.60,"26,903",5.00,3.85,...,...,8.23,-14.13,Friday,Friday,2018/05/04
231215,374,China XD Plastics,CXDC,4.0,4.0,3.95,4.0,0.05,1.27,"15,749",5.0,3.85,...,...,8.33,-13.04,Monday,Monday,2018/05/07
231216,377,China XD Plastics,CXDC,3.7,3.9,3.55,3.85,-0.15,-3.75,"99,924",5.00,3.55,...,...,8.02,-16.30,Tuesday,Tuesday,2018/05/08
231217,376,China XD Plastics,CXDC,3.9,4.0,3.85,3.95,0.10,2.60,"33,128",5.00,3.55,...,...,8.23,-14.13,Wednesday,Wednesday,2018/05/09
231218,373,China XD Plastics,CXDC,3.95,4.0,3.9,4.0,0.05,1.27,"76,612",5.0,3.55,...,...,8.33,-13.04,Thursday,Thursday,2018/05/10
231219,375,China XD Plastics,CXDC,4.1,4.25,3.91,4.0,...,...,"15,396",5.0,3.55,...,...,8.33,-13.04,Friday,Friday,2018/05/11
231220,375,China XD Plastics,CXDC,4.0,4.0,3.95,4.0,...,...,"8,098",5.0,3.55,...,...,8.33,-13.04,Monday,Monday,2018/05/14
231221,374,China XD Plastics,CXDC,4.0,4.05,4.0,4.0,...,...,"4,110",5.0,3.55,...,...,8.33,-13.04,Tuesday,Tuesday,2018/05/15
231222,375,China XD Plastics,CXDC,4.0,4.0,3.98,3.98,-0.02,-0.62,"5,235",5.0,3.55,...,...,6.41,-13.59,Wednesday,Wednesday,2018/05/16
231223,373,China XD Plastics,CXDC,4.0,4.0,3.95,3.95,-0.02,-0.63,"18,072",5.00,3.55,...,...,6.37,-14.13,Thursday,Thursday,2018/05/17
231224,375,China XD Plastics,CXDC,4.0,4.0,3.95,4.0,0.05,1.27,"19,403",5.0,3.55,...,...,6.45,-13.04,Friday,Friday,2018/05/18
231225,374,China XD Plastics,CXDC,4.0,4.0,3.9,3.9,-0.10,-2.50,"9,723",5.00,3.55,...,...,6.29,-15.22,Monday,Monday,2018/05/21
231226,375,China XD Plastics,CXDC,4.0,4.0,3.9,3.95,0.05,1.28,"5,143",5.0,3.55,...,...,6.37,-14.13,Tuesday,Tuesday,2018/05/22
231227,373,China XD Plastics,CXDC,3.95,3.95,3.9,3.9,-0.05,-1.27,"9,926",5.00,3.55,...,...,6.29,-15.22,Wednesday,Wednesday,2018/05/23
231228,374,China XD Plastics,CXDC,3.94,3.95,3.9,3.9,...,...,"3,450",5.00,3.55,...,...,6.29,-15.22,Thursday,Thursday,2018/05/24
231229,373,China XD Plastics,CXDC,3.9,3.95,3.87,3.95,0.05,1.28,"8,952",5.00,3.55,...,...,6.37,-14.13,Friday,Friday,2018/05/25
231230,371,China XD Plastics,CXDC,4.0,4.0,3.94,3.95,...,...,"15,735",5.00,3.55,...,...,6.37,-14.13,Tuesday,Tuesday,2018/05/29
231231,372,China XD Plastics,CXDC,3.95,4.0,3.95,3.98,0.02,0.63,"8,569",5.00,3.55,...,...,6.41,-13.59,Wednesday,Wednesday,2018/05/30
