,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
243014,501,DepoMed,DEPO,6.62,6.67,6.44,6.59,...,...,"591,268",13.90,4.31,...,...,...,-18.14,Thursday,Thursday,2018/03/29
243015,492,DepoMed,DEPO,6.45,6.78,6.39,6.64,0.17,2.63,"3,363,540",12.87,4.31,...,...,...,-17.52,Wednesday,Wednesday,2018/04/11
243016,496,DepoMed,DEPO,6.7,6.98,6.54,6.85,0.21,3.16,"1,986,003",12.79,4.31,...,...,...,-14.91,Thursday,Thursday,2018/04/12
243017,496,DepoMed,DEPO,6.96,7.03,6.85,6.96,0.06,0.87,"635,178",12.49,4.31,...,...,...,-13.54,Tuesday,Tuesday,2018/04/17
243018,498,DepoMed,DEPO,7.01,7.2,6.92,7.02,0.06,0.86,"1,249,671",12.49,4.31,...,...,...,-12.80,Wednesday,Wednesday,2018/04/18
243019,497,DepoMed,DEPO,6.97,7.08,6.67,6.78,-0.24,-3.42,"1,008,335",12.49,4.31,...,...,...,-15.78,Thursday,Thursday,2018/04/19
243020,499,DepoMed,DEPO,6.72,6.86,6.64,6.68,-0.10,-1.47,"619,187",12.49,4.31,...,...,...,-17.02,Friday,Friday,2018/04/20
243021,496,DepoMed,DEPO,6.86,6.97,6.74,6.83,0.04,0.59,"1,197,542",12.49,4.31,...,...,...,-15.16,Tuesday,Tuesday,2018/04/24
243022,497,DepoMed,DEPO,6.8,6.83,6.57,6.67,-0.16,-2.34,"864,198",12.49,4.31,...,...,...,-17.14,Wednesday,Wednesday,2018/04/25
243023,493,DepoMed,DEPO,6.68,6.77,6.5,6.6,-0.03,-0.45,"860,948",12.34,4.31,...,...,...,-18.01,Friday,Friday,2018/04/27
243024,494,DepoMed,DEPO,6.59,6.72,6.19,6.28,-0.32,-4.85,"1,408,011",12.3,4.31,...,...,...,-21.99,Monday,Monday,2018/04/30
243025,491,DepoMed,DEPO,6.24,6.42,6.23,6.36,0.08,1.27,"1,373,775",12.3,4.31,...,...,...,-20.99,Tuesday,Tuesday,2018/05/01
243026,490,DepoMed,DEPO,6.28,6.36,5.94,5.99,-0.29,-4.62,"1,202,932",12.30,4.31,...,...,...,-25.59,Thursday,Thursday,2018/05/03
243027,495,DepoMed,DEPO,5.97,6.1,5.88,5.93,-0.06,-1.00,"950,860",12.30,4.31,...,...,...,-26.34,Friday,Friday,2018/05/04
243028,495,DepoMed,DEPO,5.98,6.23,5.98,6.13,0.20,3.37,"985,153",12.3,4.31,...,...,...,-23.85,Monday,Monday,2018/05/07
243029,501,DepoMed,DEPO,6.13,6.26,5.95,6.08,-0.05,-0.82,"1,227,310",12.30,4.31,...,...,...,-24.47,Tuesday,Tuesday,2018/05/08
243030,498,DepoMed,DEPO,6.05,6.21,5.89,5.96,-0.12,-1.97,"2,825,413",12.30,4.31,...,...,...,-25.96,Wednesday,Wednesday,2018/05/09
243031,496,DepoMed,DEPO,6.57,7.5,6.34,7.34,1.38,23.15,"5,959,934",12.3,4.31,...,...,...,-8.82,Thursday,Thursday,2018/05/10
243032,497,DepoMed,DEPO,7.35,7.59,7.01,7.54,0.20,2.72,"2,522,305",11.97,4.31,...,...,...,-6.34,Friday,Friday,2018/05/11
243033,499,DepoMed,DEPO,7.58,7.62,7.26,7.26,-0.28,-3.71,"1,097,894",11.89,4.31,...,...,...,-9.81,Monday,Monday,2018/05/14
243034,496,DepoMed,DEPO,7.27,7.48,7.27,7.36,0.10,1.38,"1,838,547",11.8,4.31,...,...,...,-8.57,Tuesday,Tuesday,2018/05/15
243035,499,DepoMed,DEPO,7.42,7.58,7.42,7.52,0.16,2.17,"1,712,008",11.27,4.31,...,...,...,-6.58,Wednesday,Wednesday,2018/05/16
243036,496,DepoMed,DEPO,7.53,7.66,7.43,7.58,0.06,0.80,"1,005,839",11.27,4.31,...,...,...,-5.84,Thursday,Thursday,2018/05/17
243037,498,DepoMed,DEPO,7.59,7.75,7.51,7.61,0.03,0.40,"1,859,672",11.27,4.31,...,...,...,-5.47,Friday,Friday,2018/05/18
243038,496,DepoMed,DEPO,7.61,7.74,7.31,7.32,-0.29,-3.81,"653,430",11.27,4.31,...,...,...,-9.07,Monday,Monday,2018/05/21
243039,496,DepoMed,DEPO,7.37,7.37,6.58,6.69,-0.63,-8.61,"3,730,086",11.27,4.31,...,...,...,-16.89,Tuesday,Tuesday,2018/05/22
243040,493,DepoMed,DEPO,6.65,6.97,6.65,6.7,0.01,0.15,"1,036,559",11.27,4.31,...,...,...,-16.77,Wednesday,Wednesday,2018/05/23
243041,496,DepoMed,DEPO,6.7,6.9,6.58,6.74,0.04,0.60,"1,542,040",11.27,4.31,...,...,...,-16.27,Thursday,Thursday,2018/05/24
243042,494,DepoMed,DEPO,6.71,6.75,6.28,6.34,-0.40,-5.93,"835,953",11.27,4.31,...,...,...,-21.24,Friday,Friday,2018/05/25
243043,492,DepoMed,DEPO,6.34,6.38,5.95,6.31,-0.03,-0.47,"1,912,800",11.27,4.31,...,...,...,-21.61,Tuesday,Tuesday,2018/05/29
243044,494,DepoMed,DEPO,6.31,6.49,6.19,6.41,0.10,1.58,"777,686",11.27,4.31,...,...,...,-20.37,Wednesday,Wednesday,2018/05/30
243045,491,DepoMed,DEPO,6.4,6.46,6.17,6.22,-0.19,-2.96,"1,249,682",11.27,4.31,...,...,...,-22.73,Thursday,Thursday,2018/05/31
243046,496,DepoMed,DEPO,6.25,6.41,6.21,6.37,0.15,2.41,"795,733",11.27,4.31,...,...,...,-20.87,Friday,Friday,2018/06/01
