,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
246709,554,Danaher,DHR,96.89,98.53,96.66,97.91,1.39,1.44,"2,163,736",104.82,78.97,0.64,0.65,27.74,5.48,Thursday,Thursday,2018/03/29
246710,552,Danaher,DHR,98.8,99.14,98.03,98.42,-1.10,-1.11,"1,714,925",104.82,78.97,0.64,0.65,27.88,6.03,Wednesday,Wednesday,2018/04/11
246711,553,Danaher,DHR,99.14,99.68,98.96,99.0,0.58,0.59,"1,457,235",104.82,78.97,0.64,0.65,28.05,6.66,Thursday,Thursday,2018/04/12
246712,550,Danaher,DHR,101.0,101.95,100.37,101.69,1.27,1.26,"2,312,853",104.82,78.97,0.64,0.63,28.81,9.56,Tuesday,Tuesday,2018/04/17
246713,552,Danaher,DHR,102.03,102.65,101.64,102.4,0.71,0.70,"2,038,589",104.82,78.97,0.64,0.63,29.01,10.32,Wednesday,Wednesday,2018/04/18
246714,552,Danaher,DHR,103.0,103.98,100.43,101.5,-0.90,-0.88,"3,356,625",104.82,78.97,0.64,0.63,28.75,9.35,Thursday,Thursday,2018/04/19
246715,549,Danaher,DHR,101.37,102.22,100.36,101.34,-0.16,-0.16,"3,506,847",104.82,78.97,0.64,0.63,28.07,9.18,Friday,Friday,2018/04/20
246716,551,Danaher,DHR,101.22,101.64,99.21,100.1,-1.10,-1.09,"2,527,809",104.82,78.97,0.64,0.64,27.73,7.84,Tuesday,Tuesday,2018/04/24
246717,554,Danaher,DHR,100.07,101.16,98.6,100.49,0.39,0.39,"2,826,854",104.82,78.97,0.64,0.64,27.84,8.26,Wednesday,Wednesday,2018/04/25
246718,553,Danaher,DHR,102.0,102.13,101.28,101.64,-0.14,-0.14,"1,475,052",104.82,78.97,0.64,0.63,28.16,9.50,Friday,Friday,2018/04/27
246719,553,Danaher,DHR,101.7,101.82,100.22,100.32,-1.32,-1.30,"2,102,686",104.82,78.97,0.64,0.64,27.79,8.08,Monday,Monday,2018/04/30
246720,556,Danaher,DHR,100.35,100.97,99.99,100.89,0.57,0.57,"2,251,779",104.82,78.97,0.64,0.63,27.95,8.69,Tuesday,Tuesday,2018/05/01
246721,555,Danaher,DHR,99.14,99.43,97.73,99.0,-0.56,-0.56,"2,913,034",104.82,78.97,0.64,0.65,27.42,6.66,Thursday,Thursday,2018/05/03
246722,553,Danaher,DHR,98.68,100.48,97.87,100.2,1.20,1.21,"2,641,973",104.82,78.97,0.64,0.64,27.76,7.95,Friday,Friday,2018/05/04
