,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
250444,237,Dolphin Entertainment,DLPN,3.57,3.57,3.33,3.52,0.12,3.53,"2,804",11.99,1.02,...,...,...,-2.22,Thursday,Thursday,2018/03/29
250445,236,Dolphin Entertainment,DLPN,2.77,2.88,2.64,2.64,-0.16,-5.71,"38,596",11.99,1.02,...,...,1466.67,-26.67,Wednesday,Wednesday,2018/04/11
250446,231,Dolphin Entertainment,DLPN,2.71,2.79,2.65,2.69,0.05,1.89,"57,109",11.99,1.02,...,...,1494.44,-25.28,Thursday,Thursday,2018/04/12
250447,232,Dolphin Entertainment,DLPN,2.68,3.0,2.68,2.92,0.17,6.18,"22,955",11.99,1.02,...,...,1622.22,-18.89,Tuesday,Tuesday,2018/04/17
250448,235,Dolphin Entertainment,DLPN,2.9,2.95,2.67,2.9,-0.02,-0.68,"11,350",11.99,1.02,...,...,1611.11,-19.44,Wednesday,Wednesday,2018/04/18
250449,227,Dolphin Entertainment,DLPN,2.72,2.95,2.7,2.95,0.05,1.72,"17,828",11.99,1.02,...,...,1638.89,-18.06,Thursday,Thursday,2018/04/19
250450,229,Dolphin Entertainment,DLPN,2.92,2.94,2.9,2.92,-0.03,-1.02,"15,728",11.99,1.02,...,...,1622.22,-18.89,Friday,Friday,2018/04/20
250451,238,Dolphin Entertainment,DLPN,2.88,3.3,2.74,3.26,0.40,13.99,"67,497",11.99,1.02,...,...,1811.11,-9.44,Tuesday,Tuesday,2018/04/24
250452,231,Dolphin Entertainment,DLPN,3.25,3.55,3.25,3.47,0.21,6.41,"67,393",11.99,1.02,...,...,1927.22,-3.64,Wednesday,Wednesday,2018/04/25
250453,225,Dolphin Entertainment,DLPN,3.33,3.33,3.31,3.32,0.01,0.30,"5,230",11.99,1.02,...,...,1844.44,-7.78,Friday,Friday,2018/04/27
250454,232,Dolphin Entertainment,DLPN,3.31,3.39,3.31,3.35,0.03,0.90,"20,521",11.99,1.02,...,...,1861.11,-6.94,Monday,Monday,2018/04/30
250455,224,Dolphin Entertainment,DLPN,3.44,3.44,3.32,3.38,0.03,0.90,"32,552",11.99,1.02,...,...,1877.78,-6.11,Tuesday,Tuesday,2018/05/01
250456,227,Dolphin Entertainment,DLPN,3.15,3.4,3.06,3.2,-0.20,-5.88,"42,578",11.99,1.02,...,...,1777.78,-11.11,Thursday,Thursday,2018/05/03
250457,226,Dolphin Entertainment,DLPN,3.26,3.34,3.25,3.25,0.05,1.56,"11,131",11.99,1.02,...,...,1805.56,-9.72,Friday,Friday,2018/05/04
250458,240,Dolphin Entertainment,DLPN,3.25,3.25,3.03,3.2,-0.05,-1.54,"30,126",11.99,1.02,...,...,1777.78,-11.11,Monday,Monday,2018/05/07
250459,229,Dolphin Entertainment,DLPN,3.02,3.2,3.0,3.02,-0.19,-5.78,"8,169",11.99,1.02,...,...,1675.00,-16.25,Tuesday,Tuesday,2018/05/08
250460,239,Dolphin Entertainment,DLPN,3.11,3.11,2.77,2.88,-0.14,-4.48,"37,081",11.99,1.02,...,...,1600.00,-20.00,Wednesday,Wednesday,2018/05/09
250461,228,Dolphin Entertainment,DLPN,2.86,3.34,2.84,3.11,0.23,7.99,"74,985",11.99,1.02,...,...,1727.78,-13.61,Thursday,Thursday,2018/05/10
250462,235,Dolphin Entertainment,DLPN,3.27,3.31,3.12,3.28,0.17,5.47,"2,509",11.99,1.02,...,...,1822.22,-8.89,Friday,Friday,2018/05/11
250463,228,Dolphin Entertainment,DLPN,3.27,3.48,3.11,3.2,-0.08,-2.44,"8,520",11.99,1.02,...,...,1777.78,-11.11,Monday,Monday,2018/05/14
250464,234,Dolphin Entertainment,DLPN,3.3,3.39,3.03,3.19,-0.01,-0.31,"12,924",11.99,1.02,...,...,1772.22,-11.39,Tuesday,Tuesday,2018/05/15
250465,231,Dolphin Entertainment,DLPN,3.4,3.64,2.96,3.09,-0.10,-3.13,"78,417",11.99,1.02,...,...,1716.67,-14.17,Wednesday,Wednesday,2018/05/16
250466,229,Dolphin Entertainment,DLPN,3.15,3.23,3.01,3.08,-0.01,-0.32,"4,153",11.99,1.02,...,...,...,-14.44,Thursday,Thursday,2018/05/17
250467,227,Dolphin Entertainment,DLPN,3.08,3.25,3.08,3.24,0.16,5.19,"12,248",11.99,1.02,...,...,...,-10.00,Friday,Friday,2018/05/18
250468,235,Dolphin Entertainment,DLPN,3.23,3.33,3.19,3.19,-0.05,-1.39,"7,677",11.99,1.02,...,...,...,-11.25,Monday,Monday,2018/05/21
250469,239,Dolphin Entertainment,DLPN,3.17,3.33,3.17,3.21,0.02,0.47,"4,742",11.99,1.02,...,...,...,-10.83,Tuesday,Tuesday,2018/05/22
250470,233,Dolphin Entertainment,DLPN,3.29,3.29,3.12,3.19,-0.02,-0.62,"2,353",11.99,1.02,...,...,...,-11.39,Wednesday,Wednesday,2018/05/23
250471,237,Dolphin Entertainment,DLPN,3.13,3.29,3.04,3.29,0.10,3.13,"11,749",11.99,1.02,...,...,...,-8.61,Thursday,Thursday,2018/05/24
250472,228,Dolphin Entertainment,DLPN,3.31,3.31,3.16,3.21,-0.08,-2.28,"6,516",11.99,1.02,...,...,...,-10.69,Friday,Friday,2018/05/25
250473,230,Dolphin Entertainment,DLPN,3.28,3.29,3.16,3.19,-0.02,-0.78,"2,089",11.99,1.02,...,...,...,-11.39,Tuesday,Tuesday,2018/05/29
250474,235,Dolphin Entertainment,DLPN,3.2,3.28,3.11,3.14,-0.05,-1.57,"9,974",11.99,1.02,...,...,...,-12.78,Wednesday,Wednesday,2018/05/30
250475,236,Dolphin Entertainment,DLPN,3.24,3.25,3.17,3.23,0.09,2.87,"2,768",11.99,1.02,...,...,...,-10.28,Friday,Friday,2018/06/01
250476,230,Dolphin Entertainment,DLPN,3.21,3.35,3.21,3.25,0.02,0.62,"13,424",11.99,1.02,...,...,...,-9.72,Monday,Monday,2018/06/04
250477,230,Dolphin Entertainment,DLPN,3.17,3.33,3.15,3.20,-0.05,-1.54,"4,868",11.99,1.02,...,...,...,-11.11,Tuesday,Tuesday,2018/06/05
250478,235,Dolphin Entertainment,DLPN,3.25,3.25,2.93,3.10,-0.10,-3.13,"6,353",11.99,1.02,...,...,...,-13.89,Wednesday,Wednesday,2018/06/06
250479,237,Dolphin Entertainment,DLPN,3.11,3.35,3.11,3.13,0.03,0.97,"8,991",11.99,1.02,...,...,...,-13.06,Thursday,Thursday,2018/06/07
250480,234,Dolphin Entertainment,DLPN,3.27,3.27,3.0,3.0,-0.13,-4.15,"18,789",11.99,1.02,...,...,...,-16.67,Friday,Friday,2018/06/08
250481,234,Dolphin Entertainment,DLPN,3.0,3.01,3.0,3.01,0.01,0.33,892,11.99,1.02,...,...,...,-16.39,Monday,Monday,2018/06/11
250482,234,Dolphin Entertainment,DLPN,3.08,3.26,3.05,3.26,0.25,8.31,"11,923",11.99,1.02,...,...,...,-9.44,Tuesday,Tuesday,2018/06/12
250483,233,Dolphin Entertainment,DLPN,3.11,3.26,3.1,3.2,-0.06,-1.84,"7,158",11.99,1.02,...,...,...,-11.11,Wednesday,Wednesday,2018/06/13
250484,235,Dolphin Entertainment,DLPN,3.22,3.31,3.15,3.24,0.04,1.25,"8,918",11.99,1.02,...,...,...,-10.00,Thursday,Thursday,2018/06/14
250485,224,Dolphin Entertainment,DLPN,3.3,3.3,3.2,3.29,0.05,1.54,"5,489",11.99,1.02,...,...,...,-8.61,Friday,Friday,2018/06/15
250486,230,Dolphin Entertainment,DLPN,3.3,3.7,3.3,3.63,0.34,10.33,"31,922",11.99,1.02,...,...,...,0.83,Monday,Monday,2018/06/18
250487,226,Dolphin Entertainment,DLPN,3.55,3.75,3.49,3.49,-0.14,-3.86,"7,969",11.99,1.02,...,...,...,-3.06,Tuesday,Tuesday,2018/06/19
250488,230,Dolphin Entertainment,DLPN,3.52,3.69,3.5,3.64,0.15,4.30,"2,824",11.99,1.02,...,...,...,1.11,Wednesday,Wednesday,2018/06/20
250489,232,Dolphin Entertainment,DLPN,3.6,3.63,3.5,3.55,-0.09,-2.47,"12,405",11.99,1.02,...,...,...,-1.39,Thursday,Thursday,2018/06/21
250490,234,Dolphin Entertainment,DLPN,3.55,3.8,3.55,3.75,0.20,5.63,"30,839",11.99,1.02,...,...,...,4.17,Friday,Friday,2018/06/22
250491,237,Dolphin Entertainment,DLPN,3.9,3.9,3.73,3.83,0.08,2.13,"19,335",11.99,1.02,...,...,...,6.39,Monday,Monday,2018/06/25
250492,244,Dolphin Entertainment,DLPN,3.68,3.78,3.68,3.7,-0.13,-3.39,"3,175",11.99,1.02,...,...,...,2.78,Tuesday,Tuesday,2018/06/26
250493,231,Dolphin Entertainment,DLPN,3.68,3.69,3.66,3.66,-0.04,-1.08,"3,091",11.99,1.02,...,...,...,1.67,Wednesday,Wednesday,2018/06/27
250494,236,Dolphin Entertainment,DLPN,3.66,3.68,3.53,3.64,-0.02,-0.55,"3,814",11.99,1.02,...,...,...,1.11,Thursday,Thursday,2018/06/28
250495,238,Dolphin Entertainment,DLPN,3.51,3.51,3.5,3.5,-0.14,-3.85,"1,838",11.99,1.02,...,...,...,-2.78,Friday,Friday,2018/06/29
250496,225,Dolphin Entertainment,DLPN,3.6,3.65,3.5,3.52,0.02,0.57,"2,111",11.99,1.02,...,...,...,-2.22,Monday,Monday,2018/07/02
250497,227,Dolphin Entertainment,DLPN,3.64,3.64,3.5,3.5,-0.02,-0.57,"7,127",11.99,1.02,...,...,...,-2.78,Tuesday,Tuesday,2018/07/03
250498,235,Dolphin Entertainment,DLPN,3.51,3.85,3.51,3.65,0.15,4.24,"13,942",11.99,1.02,...,...,...,1.34,Thursday,Thursday,2018/07/05
250499,238,Dolphin Entertainment,DLPN,3.59,3.79,3.56,3.67,0.02,0.59,"12,009",11.99,1.02,...,...,...,1.94,Friday,Friday,2018/07/06
250500,230,Dolphin Entertainment,DLPN,3.7,3.98,3.67,3.84,0.17,4.63,"26,227",11.99,1.02,...,...,...,6.67,Monday,Monday,2018/07/09
250501,236,Dolphin Entertainment,DLPN,3.86,3.97,3.72,3.8,-0.04,-1.04,"14,960",11.99,1.02,...,...,...,5.56,Tuesday,Tuesday,2018/07/10
250502,231,Dolphin Entertainment,DLPN,3.94,4.07,3.55,3.83,0.03,0.79,"61,978",11.99,1.02,...,...,...,6.39,Wednesday,Wednesday,2018/07/11
250503,236,Dolphin Entertainment,DLPN,3.83,3.83,3.7,3.7,-0.13,-3.39,"1,955",11.99,1.02,...,...,...,2.78,Thursday,Thursday,2018/07/12
250504,230,Dolphin Entertainment,DLPN,3.58,3.7,3.52,3.65,-0.05,-1.35,"10,942",11.99,1.02,...,...,...,1.39,Friday,Friday,2018/07/13
250505,233,Dolphin Entertainment,DLPN,3.51,3.62,3.51,3.62,-0.03,-0.85,"1,706",11.99,1.02,...,...,...,0.53,Monday,Monday,2018/07/16
250506,237,Dolphin Entertainment,DLPN,3.55,3.56,3.55,3.56,-0.06,-1.63,"2,454",11.99,1.02,...,...,...,-1.11,Tuesday,Tuesday,2018/07/17
250507,236,Dolphin Entertainment,DLPN,3.52,3.52,3.5,3.5,-0.06,-1.69,"3,851",11.99,1.02,...,...,...,-2.78,Wednesday,Wednesday,2018/07/18
