,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
262372,221,Datawatch,DWCH,8.25,8.8,8.20,8.65,0.45,5.49,"185,538",12.65,6.95,...,...,...,-8.95,Thursday,Thursday,2018/03/29
262373,222,Datawatch,DWCH,8.65,9.0,8.65,8.85,0.15,1.72,"47,436",12.65,6.95,...,...,...,-6.84,Wednesday,Wednesday,2018/04/11
262374,216,Datawatch,DWCH,8.95,9.05,8.75,9.0,0.15,1.69,"45,022",12.65,6.95,...,...,...,-5.26,Thursday,Thursday,2018/04/12
262375,217,Datawatch,DWCH,8.95,9.0,8.75,8.9,...,...,"53,676",12.65,6.95,...,...,...,-6.32,Tuesday,Tuesday,2018/04/17
262376,220,Datawatch,DWCH,8.95,9.49,8.95,9.3,0.40,4.49,"82,873",12.65,6.95,...,...,...,-2.11,Wednesday,Wednesday,2018/04/18
262377,212,Datawatch,DWCH,9.5,9.5,9.15,9.25,-0.05,-0.54,"67,244",12.65,7.4,...,...,...,-2.63,Thursday,Thursday,2018/04/19
262378,216,Datawatch,DWCH,9.15,9.5,9.15,9.4,0.15,1.62,"55,934",12.65,7.40,...,...,...,-1.05,Friday,Friday,2018/04/20
262379,223,Datawatch,DWCH,9.55,9.6,9.3,9.38,-0.13,-1.32,"70,258",12.65,7.4,...,...,...,-1.32,Tuesday,Tuesday,2018/04/24
262380,215,Datawatch,DWCH,9.3,9.8,9.2,9.6,0.23,2.40,"102,940",12.65,7.40,...,...,...,1.05,Wednesday,Wednesday,2018/04/25
262381,210,Datawatch,DWCH,9.95,10.1,9.4,9.5,-0.45,-4.52,"87,346",12.65,7.4,...,...,...,...,Friday,Friday,2018/04/27
262382,217,Datawatch,DWCH,9.45,9.45,8.95,9.2,-0.30,-3.16,"81,751",12.65,7.4,...,...,...,-3.16,Monday,Monday,2018/04/30
262383,211,Datawatch,DWCH,9.05,9.25,8.95,9.05,-0.15,-1.63,"69,177",12.65,7.40,...,...,...,-4.74,Tuesday,Tuesday,2018/05/01
262384,213,Datawatch,DWCH,9.0,9.05,8.85,9.05,0.05,0.56,"44,331",12.65,7.40,...,...,...,-4.74,Thursday,Thursday,2018/05/03
262385,211,Datawatch,DWCH,8.95,9.15,8.9,9.0,-0.05,-0.55,"36,853",12.65,7.40,...,...,...,-5.26,Friday,Friday,2018/05/04
262386,226,Datawatch,DWCH,9.08,9.3,9.0,9.15,0.15,1.67,"31,455",12.65,7.40,...,...,...,-3.68,Monday,Monday,2018/05/07
262387,213,Datawatch,DWCH,9.1,9.15,8.97,9.05,-0.10,-1.09,"69,601",12.65,7.4,...,...,...,-4.74,Tuesday,Tuesday,2018/05/08
262388,223,Datawatch,DWCH,9.1,9.3,9.0,9.1,0.05,0.55,"64,695",12.65,7.4,...,...,...,-4.21,Wednesday,Wednesday,2018/05/09
262389,213,Datawatch,DWCH,9.0,9.15,9.00,9.05,-0.05,-0.55,"49,193",12.65,7.40,...,...,...,-4.74,Thursday,Thursday,2018/05/10
262390,219,Datawatch,DWCH,9.1,9.15,8.95,9.05,...,...,"73,325",12.65,7.40,...,...,...,-4.74,Friday,Friday,2018/05/11
262391,212,Datawatch,DWCH,9.15,9.35,8.9,9.05,...,...,"53,585",12.65,7.40,...,...,...,-4.74,Monday,Monday,2018/05/14
262392,218,Datawatch,DWCH,8.75,9.2,8.75,9.1,0.05,0.55,"65,153",12.65,7.40,...,...,...,-4.21,Tuesday,Tuesday,2018/05/15
262393,216,Datawatch,DWCH,9.05,9.25,9.0,9.1,...,...,"46,985",12.65,7.40,...,...,...,-4.21,Wednesday,Wednesday,2018/05/16
262394,213,Datawatch,DWCH,9.25,9.25,9.0,9.0,-0.10,-1.10,"46,687",12.65,7.40,...,...,...,-5.26,Thursday,Thursday,2018/05/17
262395,213,Datawatch,DWCH,9.05,9.35,9.0,9.15,0.15,1.67,"39,541",12.65,7.40,...,...,...,-3.68,Friday,Friday,2018/05/18
262396,220,Datawatch,DWCH,9.2,9.35,9.20,9.25,0.10,1.09,"22,566",12.65,7.40,...,...,...,-2.63,Monday,Monday,2018/05/21
262397,223,Datawatch,DWCH,9.25,9.35,9.1,9.1,-0.15,-1.62,"37,947",12.65,7.40,...,...,...,-4.21,Tuesday,Tuesday,2018/05/22
262398,218,Datawatch,DWCH,9.1,9.15,9.0,9.05,-0.05,-0.55,"25,897",12.65,7.40,...,...,...,-4.74,Wednesday,Wednesday,2018/05/23
262399,222,Datawatch,DWCH,9.05,9.05,8.95,9.0,-0.05,-0.55,"53,204",12.65,7.40,...,...,...,-5.26,Thursday,Thursday,2018/05/24
262400,213,Datawatch,DWCH,9.0,9.1,8.95,9.0,...,...,"35,268",12.65,7.40,...,...,...,-5.26,Friday,Friday,2018/05/25
262401,214,Datawatch,DWCH,9.0,9.2,8.95,9.0,...,...,"53,852",12.65,7.40,...,...,...,-5.26,Tuesday,Tuesday,2018/05/29
262402,219,Datawatch,DWCH,9.05,9.2,9.0,9.1,0.10,1.11,"80,450",12.65,7.40,...,...,...,-4.21,Wednesday,Wednesday,2018/05/30
262403,218,Datawatch,DWCH,9.1,10.0,9.1,9.75,0.65,7.14,"191,019",12.65,7.40,...,...,...,2.63,Thursday,Thursday,2018/05/31
262404,220,Datawatch,DWCH,9.7,9.8,9.55,9.75,...,...,"82,079",12.65,7.40,...,...,...,2.63,Friday,Friday,2018/06/01
262405,214,Datawatch,DWCH,9.30,9.85,8.75,9.70,-0.05,-0.51,"47,163",12.65,7.40,...,...,...,2.11,Monday,Monday,2018/06/04
262406,215,Datawatch,DWCH,9.60,9.8,9.60,9.70,...,...,"64,798",12.65,7.40,...,...,...,2.11,Tuesday,Tuesday,2018/06/05
262407,220,Datawatch,DWCH,9.7,9.8,9.60,9.65,-0.05,-0.52,"58,347",12.65,7.40,...,...,...,1.58,Wednesday,Wednesday,2018/06/06
262408,222,Datawatch,DWCH,9.65,9.77,9.4,9.6,-0.05,-0.52,"58,570",12.65,7.4,...,...,...,1.05,Thursday,Thursday,2018/06/07
262409,218,Datawatch,DWCH,9.6,9.6,9.35,9.35,-0.25,-2.60,"45,027",12.65,7.4,...,...,...,-1.58,Friday,Friday,2018/06/08
262410,219,Datawatch,DWCH,9.3,9.45,9.15,9.3,-0.05,-0.53,"30,300",12.65,7.40,...,...,...,-2.11,Monday,Monday,2018/06/11
262411,217,Datawatch,DWCH,9.4,9.5,9.25,9.3,...,...,"57,205",12.65,7.45,...,...,...,-2.11,Tuesday,Tuesday,2018/06/12
262412,217,Datawatch,DWCH,9.35,9.5,9.35,9.35,0.05,0.54,"42,071",12.65,7.45,...,...,...,-1.58,Wednesday,Wednesday,2018/06/13
262413,218,Datawatch,DWCH,9.38,9.65,9.25,9.5,0.15,1.60,"60,198",12.65,7.45,...,...,...,...,Thursday,Thursday,2018/06/14
262414,209,Datawatch,DWCH,9.5,9.6,9.4,9.55,0.05,0.53,"69,343",12.65,7.65,...,...,...,0.53,Friday,Friday,2018/06/15
262415,214,Datawatch,DWCH,9.5,9.8,9.2,9.75,0.20,2.09,"65,321",12.65,7.7,...,...,...,2.63,Monday,Monday,2018/06/18
