,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
276892,538,Eagle Pharmaceuticals,EGRX,52.51,53.98,51.76,52.69,0.53,1.02,"154,287",97.15,45.05,...,...,16.16,-1.37,Thursday,Thursday,2018/03/29
276893,528,Eagle Pharmaceuticals,EGRX,52.13,53.93,52.13,53.1,0.79,1.51,"138,099",97.15,45.05,...,...,16.29,-0.60,Wednesday,Wednesday,2018/04/11
276894,531,Eagle Pharmaceuticals,EGRX,53.54,53.63,52.06,52.11,-0.99,-1.86,"144,773",97.15,45.05,...,...,15.98,-2.45,Thursday,Thursday,2018/04/12
276895,533,Eagle Pharmaceuticals,EGRX,53.88,54.95,53.6,53.76,0.20,0.37,"199,268",97.15,45.05,...,...,16.49,0.64,Tuesday,Tuesday,2018/04/17
276896,535,Eagle Pharmaceuticals,EGRX,53.74,56.0,53.74,55.86,2.10,3.91,"137,265",97.15,45.05,...,...,17.13,4.57,Wednesday,Wednesday,2018/04/18
276897,535,Eagle Pharmaceuticals,EGRX,55.5,56.68,55.06,55.16,-0.70,-1.25,"134,739",97.15,45.05,...,...,16.92,3.26,Thursday,Thursday,2018/04/19
276898,536,Eagle Pharmaceuticals,EGRX,55.15,55.7,54.25,54.94,-0.22,-0.40,"96,654",97.15,45.05,...,...,16.85,2.85,Friday,Friday,2018/04/20
276899,533,Eagle Pharmaceuticals,EGRX,55.26,55.6,54.2,55.01,-0.23,-0.42,"105,733",97.15,45.05,...,...,16.87,2.98,Tuesday,Tuesday,2018/04/24
276900,533,Eagle Pharmaceuticals,EGRX,55.13,55.82,54.15,55.12,0.11,0.20,"128,212",97.15,45.05,...,...,16.91,3.18,Wednesday,Wednesday,2018/04/25
276901,530,Eagle Pharmaceuticals,EGRX,53.03,54.36,52.6,53.99,0.97,1.83,"150,498",97.15,45.05,...,...,16.56,1.07,Friday,Friday,2018/04/27
276902,532,Eagle Pharmaceuticals,EGRX,54.29,54.64,51.99,52.01,-1.98,-3.67,"130,677",97.15,45.05,...,...,15.95,-2.64,Monday,Monday,2018/04/30
276903,529,Eagle Pharmaceuticals,EGRX,52.06,53.23,51.69,52.83,0.82,1.58,"94,856",97.15,45.05,...,...,16.21,-1.10,Tuesday,Tuesday,2018/05/01
276904,526,Eagle Pharmaceuticals,EGRX,52.36,53.5,51.84,52.81,0.34,0.65,"166,428",97.15,45.05,...,...,16.20,-1.14,Thursday,Thursday,2018/05/03
276905,532,Eagle Pharmaceuticals,EGRX,52.73,56.02,51.96,55.99,3.18,6.02,"303,434",97.15,45.05,...,...,17.17,4.81,Friday,Friday,2018/05/04
276906,534,Eagle Pharmaceuticals,EGRX,55.95,58.25,54.05,56.36,0.37,0.66,"217,905",97.15,45.05,...,...,17.29,5.50,Monday,Monday,2018/05/07
276907,538,Eagle Pharmaceuticals,EGRX,55.91,58.34,55.33,58.05,1.69,3.00,"219,889",97.15,45.05,...,...,17.81,8.67,Tuesday,Tuesday,2018/05/08
