,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
278415,554,Eiger BioPharmaceuticals,EIGR,9.35,9.95,9.35,9.85,0.50,5.35,"58,128",16.20,6.10,...,...,...,-29.39,Thursday,Thursday,2018/03/29
278416,544,Eiger BioPharmaceuticals,EIGR,10.15,10.25,10.03,10.05,0.05,0.50,"37,784",16.20,6.10,...,...,...,-27.96,Wednesday,Wednesday,2018/04/11
278417,547,Eiger BioPharmaceuticals,EIGR,10.1,10.3,10.0,10.2,0.15,1.49,"77,292",16.2,6.1,...,...,...,-26.88,Thursday,Thursday,2018/04/12
278418,549,Eiger BioPharmaceuticals,EIGR,11.05,11.45,10.8,10.85,-0.15,-1.36,"139,583",16.20,6.10,...,...,...,-22.22,Tuesday,Tuesday,2018/04/17
278419,551,Eiger BioPharmaceuticals,EIGR,10.75,11.4,10.75,11.15,0.30,2.76,"113,620",16.2,6.1,...,...,...,-20.07,Wednesday,Wednesday,2018/04/18
278420,551,Eiger BioPharmaceuticals,EIGR,11.2,11.25,10.2,10.3,-0.85,-7.62,"39,247",16.20,6.10,...,...,...,-26.16,Thursday,Thursday,2018/04/19
278421,552,Eiger BioPharmaceuticals,EIGR,10.25,10.6,10.15,10.45,0.15,1.46,"34,327",16.20,6.10,...,...,...,-25.09,Friday,Friday,2018/04/20
278422,549,Eiger BioPharmaceuticals,EIGR,10.0,10.04,8.9,8.9,-1.05,-10.55,"128,674",16.2,6.1,...,...,...,-36.20,Tuesday,Tuesday,2018/04/24
278423,549,Eiger BioPharmaceuticals,EIGR,8.95,9.54,8.95,9.4,0.50,5.62,"74,071",16.2,6.1,...,...,...,-32.62,Wednesday,Wednesday,2018/04/25
278424,546,Eiger BioPharmaceuticals,EIGR,9.45,9.6,8.95,9.15,0.05,0.55,"66,036",16.20,6.10,...,...,...,-34.41,Friday,Friday,2018/04/27
278425,548,Eiger BioPharmaceuticals,EIGR,9.1,9.4,8.6,8.8,-0.35,-3.83,"64,052",16.2,6.1,...,...,...,-36.92,Monday,Monday,2018/04/30
278426,545,Eiger BioPharmaceuticals,EIGR,8.85,8.85,8.3,8.75,-0.05,-0.57,"72,478",16.2,6.1,...,...,...,-37.28,Tuesday,Tuesday,2018/05/01
