,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
278611,641,Edison International,EIX,63.04,63.77,62.87,63.66,0.59,0.94,"2,486,892",83.38,57.63,2.42,3.80,37.34,0.66,Thursday,Thursday,2018/03/29
278612,635,Edison International,EIX,62.79,63.29,62.74,63.11,0.24,0.38,"1,201,636",83.38,57.63,2.42,3.83,37.01,-0.21,Wednesday,Wednesday,2018/04/11
278613,638,Edison International,EIX,63.13,63.58,62.6,62.84,-0.27,-0.43,"2,186,135",83.38,57.63,2.42,3.85,36.86,-0.63,Thursday,Thursday,2018/04/12
278614,633,Edison International,EIX,64.63,65.34,63.99,65.22,0.77,1.19,"2,313,055",83.38,57.63,2.42,3.71,38.25,3.13,Tuesday,Tuesday,2018/04/17
278615,635,Edison International,EIX,65.29,65.82,64.78,64.79,-0.43,-0.66,"1,742,432",83.38,57.63,2.42,3.74,38.00,2.45,Wednesday,Wednesday,2018/04/18
278616,636,Edison International,EIX,64.65,64.71,63.85,64.62,-0.17,-0.26,"1,611,789",83.38,57.63,2.42,3.74,37.90,2.18,Thursday,Thursday,2018/04/19
278617,633,Edison International,EIX,64.82,64.88,63.89,64.12,-0.50,-0.77,"1,362,877",83.38,57.63,2.42,3.77,37.61,1.39,Friday,Friday,2018/04/20
278618,634,Edison International,EIX,64.27,66.6,63.92,64.77,0.77,1.20,"2,412,967",83.38,57.63,2.42,3.74,37.99,2.42,Tuesday,Tuesday,2018/04/24
278619,638,Edison International,EIX,64.72,65.09,64.2,64.84,0.07,0.11,"1,225,994",83.38,57.63,2.42,3.73,38.03,2.53,Wednesday,Wednesday,2018/04/25
278620,636,Edison International,EIX,65.02,65.9,64.89,65.79,0.57,0.87,"1,321,432",83.38,57.63,2.42,3.68,38.59,4.03,Friday,Friday,2018/04/27
278621,635,Edison International,EIX,66.0,66.1,65.43,65.52,-0.27,-0.41,"1,120,525",83.38,57.63,2.42,3.69,38.43,3.61,Monday,Monday,2018/04/30
278622,641,Edison International,EIX,65.61,65.81,65.21,65.52,...,...,"1,347,612",83.38,57.63,2.42,3.69,38.43,3.61,Tuesday,Tuesday,2018/05/01
278623,639,Edison International,EIX,63.46,63.46,62.54,63.22,-0.41,-0.64,"2,117,178",83.38,57.63,2.42,3.83,49.58,-0.03,Thursday,Thursday,2018/05/03
278624,638,Edison International,EIX,63.43,64.06,63.29,63.69,0.47,0.74,"948,002",83.38,57.63,2.42,3.80,49.95,0.71,Friday,Friday,2018/05/04
278625,640,Edison International,EIX,63.55,63.74,62.98,63.09,-0.60,-0.94,"993,030",83.38,57.63,2.42,3.84,49.48,-0.24,Monday,Monday,2018/05/07
278626,639,Edison International,EIX,62.77,62.89,60.9,61.11,-1.98,-3.14,"2,001,736",83.38,57.63,2.42,3.96,47.93,-3.37,Tuesday,Tuesday,2018/05/08
