,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
288944,267,Essa Pharma,EPIX,0.18,0.2,0.16,0.19,0.01,6.10,"243,457",3.12,0.13,...,...,...,-12.77,Thursday,Thursday,2018/03/29
288945,263,Essa Pharma,EPIX,0.16,0.18,0.16,0.18,-0.01,-5.26,"22,378",2.55,0.10,...,...,...,-17.92,Wednesday,Wednesday,2018/04/11
288946,257,Essa Pharma,EPIX,0.17,0.18,0.17,0.17,-0.01,-3.67,"131,577",2.55,0.1,...,...,...,-20.93,Thursday,Thursday,2018/04/12
288947,257,Essa Pharma,EPIX,0.17,0.18,0.16,0.17,-0.01,-5.68,"105,505",2.55,0.1,...,...,...,-22.02,Tuesday,Tuesday,2018/04/17
288948,263,Essa Pharma,EPIX,0.17,0.17,0.16,0.16,-0.01,-6.43,"100,662",2.55,0.10,...,...,...,-27.04,Wednesday,Wednesday,2018/04/18
288949,252,Essa Pharma,EPIX,0.16,0.17,0.16,0.17,0.01,5.69,"49,670",2.55,0.1,...,...,...,-22.89,Thursday,Thursday,2018/04/19
288950,254,Essa Pharma,EPIX,0.17,0.18,0.15,0.16,-0.01,-5.38,"86,097",2.55,0.10,...,...,...,-27.04,Friday,Friday,2018/04/20
288951,265,Essa Pharma,EPIX,0.16,0.18,0.16,0.17,0.01,8.12,"400,744",2.55,0.1,...,...,...,-21.11,Tuesday,Tuesday,2018/04/24
288952,257,Essa Pharma,EPIX,4.2,5.1,2.94,3.6,0.14,4.05,"120,660",...,...,...,...,...,-17.92,Wednesday,Wednesday,2018/04/25
288953,252,Essa Pharma,EPIX,3.56,3.85,3.55,3.85,0.09,2.37,"7,664",51.0,2.0,...,...,...,-12.22,Friday,Friday,2018/04/27
288954,264,Essa Pharma,EPIX,3.9,4.02,3.49,3.67,-0.18,-4.68,"51,258",51.0,2.0,...,...,...,-16.32,Monday,Monday,2018/04/30
288955,252,Essa Pharma,EPIX,3.85,5.76,3.65,4.74,1.07,29.16,"128,941",51.00,2.00,...,...,...,8.07,Tuesday,Tuesday,2018/05/01
288956,254,Essa Pharma,EPIX,4.14,4.9,3.02,3.43,-0.63,-15.52,"108,290",51.00,2.00,...,...,...,-21.80,Thursday,Thursday,2018/05/03
288957,252,Essa Pharma,EPIX,4.0,4.06,3.5,3.97,0.54,15.82,"27,738",51.00,2.00,...,...,...,-9.43,Friday,Friday,2018/05/04
