,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
305536,608,eXp World Holdings,EXPI,19.3,19.3,18.05,18.55,-0.75,-3.89,"137,083",...,...,...,...,...,144.08,Monday,Monday,2018/05/21
305537,609,eXp World Holdings,EXPI,19.0,19.0,15.01,15.39,-3.16,-17.04,"235,446",19.3,2.57,...,...,...,102.50,Tuesday,Tuesday,2018/05/22
305538,606,eXp World Holdings,EXPI,15.45,18.0,15.45,17.7,2.31,15.01,"192,993",19.30,2.57,...,...,...,132.89,Wednesday,Wednesday,2018/05/23
305539,607,eXp World Holdings,EXPI,17.98,18.3,17.35,17.54,-0.16,-0.90,"72,283",19.30,2.57,...,...,...,130.79,Thursday,Thursday,2018/05/24
305540,606,eXp World Holdings,EXPI,17.6,17.8,15.6,17.23,-0.31,-1.77,"84,665",19.30,2.57,...,...,...,126.71,Friday,Friday,2018/05/25
305541,605,eXp World Holdings,EXPI,17.5,17.5,15.9,15.95,-1.28,-7.43,"69,944",19.30,2.57,...,...,...,109.87,Tuesday,Tuesday,2018/05/29
305542,608,eXp World Holdings,EXPI,16.14,16.91,16.14,16.68,0.73,4.58,"35,182",19.30,2.57,...,...,...,119.47,Wednesday,Wednesday,2018/05/30
305543,603,eXp World Holdings,EXPI,16.65,16.98,16.51,16.96,0.28,1.68,"27,341",19.3,2.57,...,...,...,123.16,Thursday,Thursday,2018/05/31
305544,609,eXp World Holdings,EXPI,16.98,16.98,16.37,16.94,-0.02,-0.12,"26,462",19.30,2.57,...,...,...,122.89,Friday,Friday,2018/06/01
305545,609,eXp World Holdings,EXPI,16.98,16.98,15.75,15.77,-1.17,-6.91,"124,598",19.30,2.57,...,...,...,107.50,Monday,Monday,2018/06/04
305546,606,eXp World Holdings,EXPI,15.78,16.25,15.6,15.6,-0.17,-1.08,"77,461",19.3,2.57,...,...,...,105.26,Tuesday,Tuesday,2018/06/05
305547,613,eXp World Holdings,EXPI,15.84,16.1,15.6,15.75,0.15,0.96,"43,997",19.30,2.57,...,...,...,107.24,Wednesday,Wednesday,2018/06/06
305548,615,eXp World Holdings,EXPI,15.93,16.26,15.6,15.77,0.02,0.10,"53,162",19.30,2.57,...,...,...,107.43,Thursday,Thursday,2018/06/07
305549,609,eXp World Holdings,EXPI,15.79,16.0,15.2,15.33,-0.44,-2.76,"86,675",19.30,2.57,...,...,...,101.71,Friday,Friday,2018/06/08
