,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
330669,675,FNB Bancorp,FNBG,36.85,37.07,36.6,36.79,-0.01,-0.03,"20,127",38.94,24.37,0.52,1.41,26.03,0.82,Thursday,Thursday,2018/03/29
330670,665,FNB Bancorp,FNBG,36.15,36.55,36.01,36.28,-0.11,-0.30,"24,534",38.94,25.52,0.52,1.43,25.67,-0.58,Wednesday,Wednesday,2018/04/11
330671,668,FNB Bancorp,FNBG,36.85,36.92,36.72,36.74,0.46,1.27,"2,604",38.94,25.52,0.52,1.42,26.00,0.69,Thursday,Thursday,2018/04/12
330672,670,FNB Bancorp,FNBG,36.72,36.84,36.36,36.36,-0.20,-0.55,"3,933",38.94,25.52,0.52,1.43,25.73,-0.36,Tuesday,Tuesday,2018/04/17
330673,672,FNB Bancorp,FNBG,36.51,36.53,35.93,36.07,-0.29,-0.80,"7,492",38.94,25.52,0.52,1.44,25.52,-1.15,Wednesday,Wednesday,2018/04/18
330674,674,FNB Bancorp,FNBG,35.98,36.48,35.98,36.4,0.33,0.91,"9,960",38.94,25.52,0.52,1.43,25.76,-0.25,Thursday,Thursday,2018/04/19
330675,672,FNB Bancorp,FNBG,36.16,36.64,36.16,36.36,-0.04,-0.11,"12,054",38.94,25.52,0.52,1.43,25.73,-0.36,Friday,Friday,2018/04/20
330676,671,FNB Bancorp,FNBG,36.54,37.1,36.54,36.83,0.29,0.79,"16,010",38.94,25.52,0.52,1.41,26.06,0.93,Tuesday,Tuesday,2018/04/24
330677,670,FNB Bancorp,FNBG,36.83,37.0,36.54,36.54,-0.29,-0.79,"9,047",38.94,25.52,0.52,1.42,25.85,0.14,Wednesday,Wednesday,2018/04/25
330678,668,FNB Bancorp,FNBG,37.1,37.25,36.89,36.89,0.10,0.27,"17,697",38.94,25.52,0.52,1.41,26.10,1.10,Friday,Friday,2018/04/27
330679,669,FNB Bancorp,FNBG,36.98,36.98,36.22,36.22,-0.67,-1.82,"9,269",38.94,25.52,0.52,1.44,23.52,-0.74,Monday,Monday,2018/04/30
330680,667,FNB Bancorp,FNBG,36.05,36.54,35.45,36.54,0.32,0.88,"8,293",38.94,25.52,0.52,1.42,23.73,0.14,Tuesday,Tuesday,2018/05/01
