,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
333554,299,Fonar,FONR,27.45,29.95,27.45,29.8,2.45,8.96,"98,465",33.90,17.20,...,...,10.19,22.38,Thursday,Thursday,2018/03/29
333555,292,Fonar,FONR,29.55,29.55,28.95,29.05,-0.55,-1.86,"22,665",33.90,17.40,...,...,9.93,19.30,Wednesday,Wednesday,2018/04/11
333556,290,Fonar,FONR,29.2,29.2,28.05,28.45,-0.60,-2.07,"41,639",33.9,17.55,...,...,9.73,16.84,Thursday,Thursday,2018/04/12
333557,290,Fonar,FONR,29.95,29.95,29.05,29.6,-0.10,-0.34,"42,535",33.9,18.25,...,...,10.12,21.56,Tuesday,Tuesday,2018/04/17
333558,294,Fonar,FONR,29.75,30.1,29.05,29.5,-0.10,-0.34,"59,591",33.90,18.30,...,...,10.09,21.15,Wednesday,Wednesday,2018/04/18
333559,283,Fonar,FONR,29.5,29.65,28.3,29.3,-0.20,-0.68,"45,233",33.9,18.4,...,...,10.02,20.33,Thursday,Thursday,2018/04/19
333560,286,Fonar,FONR,29.3,30.0,29.3,29.8,0.50,1.71,"51,973",33.90,18.40,...,...,10.19,22.38,Friday,Friday,2018/04/20
333561,295,Fonar,FONR,29.7,30.0,29.25,29.7,0.05,0.17,"20,648",33.9,18.8,...,...,10.16,21.97,Tuesday,Tuesday,2018/04/24
333562,286,Fonar,FONR,29.7,29.75,29.15,29.25,-0.45,-1.52,"20,981",33.90,18.80,...,...,10.00,20.12,Wednesday,Wednesday,2018/04/25
333563,280,Fonar,FONR,29.05,29.05,28.0,28.1,-0.90,-3.10,"20,919",33.9,18.8,...,...,9.61,15.40,Friday,Friday,2018/04/27
333564,295,Fonar,FONR,28.15,28.65,27.95,28.45,0.35,1.25,"34,583",33.9,18.8,...,...,9.73,16.84,Monday,Monday,2018/04/30
333565,285,Fonar,FONR,28.4,29.5,28.35,29.35,0.90,3.16,"33,773",33.90,18.80,...,...,10.04,20.53,Tuesday,Tuesday,2018/05/01
333566,288,Fonar,FONR,29.25,29.25,28.75,29.15,-0.25,-0.85,"16,069",33.90,18.80,...,...,9.97,19.71,Thursday,Thursday,2018/05/03
333567,281,Fonar,FONR,29.05,29.65,28.65,29.5,0.35,1.20,"18,914",33.90,18.80,...,...,10.09,21.15,Friday,Friday,2018/05/04
333568,304,Fonar,FONR,29.55,29.60,28.85,29.35,-0.15,-0.51,"17,306",33.90,19.15,...,...,10.04,20.53,Monday,Monday,2018/05/07
333569,287,Fonar,FONR,29.25,29.55,28.9,29.3,-0.05,-0.17,"12,621",33.9,19.2,...,...,10.02,20.33,Tuesday,Tuesday,2018/05/08
333570,299,Fonar,FONR,29.4,29.6,28.45,28.9,-0.40,-1.37,"38,677",33.9,20.4,...,...,9.88,18.69,Wednesday,Wednesday,2018/05/09
333571,291,Fonar,FONR,28.35,28.35,25.31,26.25,-2.65,-9.17,"150,988",33.9,20.80,...,...,8.98,7.80,Thursday,Thursday,2018/05/10
333572,293,Fonar,FONR,26.5,28.15,26.0,26.07,-0.18,-0.67,"48,987",33.90,20.87,...,...,10.20,7.08,Friday,Friday,2018/05/11
333573,290,Fonar,FONR,26.1,26.9,25.6,26.65,0.57,2.21,"36,919",33.9,21.10,...,...,10.43,9.45,Monday,Monday,2018/05/14
333574,292,Fonar,FONR,26.6,27.25,26.4,26.85,0.20,0.75,"18,843",33.9,21.10,...,...,10.51,10.27,Tuesday,Tuesday,2018/05/15
333575,293,Fonar,FONR,26.65,27.95,26.65,26.85,...,...,"48,572",33.90,21.10,...,...,10.51,10.27,Wednesday,Wednesday,2018/05/16
333576,286,Fonar,FONR,26.8,27.5,26.7,26.95,0.10,0.37,"15,016",33.90,21.10,...,...,10.55,10.68,Thursday,Thursday,2018/05/17
333577,287,Fonar,FONR,27.05,27.25,26.75,26.75,-0.20,-0.74,"23,872",33.9,21.10,...,...,10.47,9.86,Friday,Friday,2018/05/18
333578,295,Fonar,FONR,26.8,27.25,26.75,27.0,0.25,0.93,"11,355",33.9,21.10,...,...,10.57,10.88,Monday,Monday,2018/05/21
333579,297,Fonar,FONR,27.05,27.25,26.8,26.9,-0.10,-0.37,"15,412",33.90,21.10,...,...,10.53,10.47,Tuesday,Tuesday,2018/05/22
333580,289,Fonar,FONR,26.8,27.3,26.8,27.2,0.30,1.12,"20,749",33.9,21.10,...,...,10.65,11.70,Wednesday,Wednesday,2018/05/23
333581,296,Fonar,FONR,27.15,27.3,26.95,27.15,-0.05,-0.18,"11,124",33.90,21.10,...,...,10.63,11.50,Thursday,Thursday,2018/05/24
333582,284,Fonar,FONR,27.1,27.62,26.95,27.05,-0.10,-0.37,"15,143",33.90,21.10,...,...,10.59,11.09,Friday,Friday,2018/05/25
333583,293,Fonar,FONR,27.1,27.65,26.8,27.15,0.10,0.37,"30,124",33.90,21.10,...,...,10.63,11.50,Tuesday,Tuesday,2018/05/29
333584,295,Fonar,FONR,27.35,27.8,26.6,27.1,-0.05,-0.18,"38,021",33.90,21.10,...,...,10.61,11.29,Wednesday,Wednesday,2018/05/30
333585,293,Fonar,FONR,27.2,27.25,26.65,26.7,-0.40,-1.48,"33,177",33.90,21.10,...,...,10.45,9.65,Thursday,Thursday,2018/05/31
333586,293,Fonar,FONR,26.7,26.95,26.66,26.9,0.20,0.75,"11,534",33.90,21.10,...,...,10.53,10.47,Friday,Friday,2018/06/01
333587,290,Fonar,FONR,26.95,27.5,26.9,27.15,0.25,0.93,"15,050",33.90,21.10,...,...,10.63,11.50,Monday,Monday,2018/06/04
333588,291,Fonar,FONR,27.15,27.45,26.85,27.2,0.05,0.18,"22,241",33.9,21.10,...,...,10.65,11.70,Tuesday,Tuesday,2018/06/05
333589,296,Fonar,FONR,27.15,27.75,27.15,27.6,0.40,1.47,"19,562",33.90,21.10,...,...,10.80,13.35,Wednesday,Wednesday,2018/06/06
333590,296,Fonar,FONR,27.75,27.92,27.55,27.75,0.15,0.54,"13,882",33.9,21.1,...,...,10.86,13.96,Thursday,Thursday,2018/06/07
333591,295,Fonar,FONR,27.75,27.85,27.18,27.2,-0.55,-1.98,"23,135",33.9,21.1,...,...,10.65,11.70,Friday,Friday,2018/06/08
333592,290,Fonar,FONR,27.25,27.45,26.95,27.15,-0.05,-0.18,"14,626",33.90,21.10,...,...,10.63,11.50,Monday,Monday,2018/06/11
333593,291,Fonar,FONR,27.0,27.25,26.75,27.05,-0.10,-0.37,"15,544",33.9,21.1,...,...,10.59,11.09,Tuesday,Tuesday,2018/06/12
333594,289,Fonar,FONR,27.0,28.0,26.9,27.85,0.80,2.96,"29,746",33.9,21.1,...,...,10.90,14.37,Wednesday,Wednesday,2018/06/13
333595,294,Fonar,FONR,27.85,27.85,26.85,26.9,-0.95,-3.41,"18,884",33.9,21.1,...,...,10.53,10.47,Thursday,Thursday,2018/06/14
333596,281,Fonar,FONR,26.75,27.05,26.5,26.9,...,...,"29,038",33.9,21.1,...,...,10.53,10.47,Friday,Friday,2018/06/15
333597,286,Fonar,FONR,26.8,27.0,26.55,26.85,-0.05,-0.19,"33,714",33.9,21.1,...,...,10.51,10.27,Monday,Monday,2018/06/18
333598,284,Fonar,FONR,26.7,27.4,26.5,27.25,0.40,1.49,"50,706",33.90,21.10,...,...,10.67,11.91,Tuesday,Tuesday,2018/06/19
333599,287,Fonar,FONR,27.30,27.85,27.2,27.35,0.10,0.37,"23,733",33.90,21.10,...,...,10.71,12.32,Wednesday,Wednesday,2018/06/20
333600,292,Fonar,FONR,27.4,27.4,26.95,27.2,-0.15,-0.55,"16,963",33.90,21.10,...,...,10.65,11.70,Thursday,Thursday,2018/06/21
333601,293,Fonar,FONR,27.2,27.85,27.2,27.55,0.35,1.29,"78,784",33.9,21.1,...,...,10.78,13.14,Friday,Friday,2018/06/22
