,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
336529,667,Five Prime Therapeutics,FPRX,16.26,17.37,16.05,17.18,0.93,5.72,"500,229",48.87,15.66,...,...,...,-21.62,Thursday,Thursday,2018/03/29
336530,657,Five Prime Therapeutics,FPRX,17.15,17.5,16.28,17.38,0.20,1.16,"678,848",48.87,15.66,...,...,...,-20.71,Wednesday,Wednesday,2018/04/11
336531,660,Five Prime Therapeutics,FPRX,17.64,17.9,16.87,16.9,-0.48,-2.76,"352,021",48.87,15.66,...,...,...,-22.90,Thursday,Thursday,2018/04/12
336532,661,Five Prime Therapeutics,FPRX,17.12,17.47,16.75,17.35,0.29,1.70,"207,870",48.87,15.66,...,...,...,-20.85,Tuesday,Tuesday,2018/04/17
336533,663,Five Prime Therapeutics,FPRX,17.36,17.6,16.85,16.88,-0.47,-2.71,"175,312",48.87,15.66,...,...,...,-22.99,Wednesday,Wednesday,2018/04/18
336534,665,Five Prime Therapeutics,FPRX,16.77,17.1,16.0,16.04,-0.84,-4.98,"270,926",48.87,15.66,...,...,...,-26.82,Thursday,Thursday,2018/04/19
336535,663,Five Prime Therapeutics,FPRX,16.0,16.18,15.77,16.14,0.10,0.62,"262,689",48.87,15.66,...,...,...,-26.37,Friday,Friday,2018/04/20
336536,662,Five Prime Therapeutics,FPRX,16.5,17.4,16.5,17.0,0.55,3.34,"750,017",48.87,15.66,...,...,...,-22.45,Tuesday,Tuesday,2018/04/24
336537,661,Five Prime Therapeutics,FPRX,17.02,17.29,16.4,16.84,-0.16,-0.94,"346,192",48.87,15.66,...,...,...,-23.18,Wednesday,Wednesday,2018/04/25
336538,659,Five Prime Therapeutics,FPRX,16.71,17.06,16.28,16.72,-0.04,-0.24,"223,937",48.87,15.66,...,...,...,-23.72,Friday,Friday,2018/04/27
336539,660,Five Prime Therapeutics,FPRX,16.8,16.94,16.39,16.75,0.03,0.18,"363,738",48.87,15.66,...,...,...,-23.59,Monday,Monday,2018/04/30
336540,658,Five Prime Therapeutics,FPRX,16.7,17.12,16.52,17.09,0.34,2.03,"382,852",48.87,15.66,...,...,...,-22.03,Tuesday,Tuesday,2018/05/01
336541,654,Five Prime Therapeutics,FPRX,17.04,17.25,16.85,17.24,0.15,0.88,"701,425",48.87,15.66,...,...,...,-21.35,Thursday,Thursday,2018/05/03
336542,661,Five Prime Therapeutics,FPRX,17.12,18.14,17.12,17.74,0.50,2.90,"444,924",48.87,15.66,...,...,...,-19.07,Friday,Friday,2018/05/04
336543,664,Five Prime Therapeutics,FPRX,17.8,18.01,17.27,17.88,0.14,0.79,"765,677",48.87,15.66,...,...,...,-18.43,Monday,Monday,2018/05/07
336544,666,Five Prime Therapeutics,FPRX,17.92,18.31,16.65,16.86,-1.02,-5.70,"321,981",48.87,15.66,...,...,...,-23.08,Tuesday,Tuesday,2018/05/08
336545,664,Five Prime Therapeutics,FPRX,16.95,18.52,16.72,17.94,1.08,6.41,"668,811",48.87,15.66,...,...,...,-18.16,Wednesday,Wednesday,2018/05/09
336546,663,Five Prime Therapeutics,FPRX,17.95,18.1,17.2,17.27,-0.67,-3.73,"388,148",48.87,15.66,...,...,...,-21.21,Thursday,Thursday,2018/05/10
336547,663,Five Prime Therapeutics,FPRX,17.11,17.96,17.05,17.96,0.69,4.00,"714,459",48.87,15.66,...,...,...,-18.07,Friday,Friday,2018/05/11
336548,663,Five Prime Therapeutics,FPRX,18.08,18.38,17.61,17.79,-0.17,-0.95,"490,731",48.87,15.66,...,...,...,-18.84,Monday,Monday,2018/05/14
336549,664,Five Prime Therapeutics,FPRX,17.76,17.98,17.5,17.75,-0.04,-0.22,"389,764",48.87,15.66,...,...,...,-19.02,Tuesday,Tuesday,2018/05/15
