,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
344025,788,Fortis,FTS,33.74,33.88,33.58,33.77,0.09,0.27,"361,593",38.24,31.41,1.35,4.00,19.02,-7.91,Thursday,Thursday,2018/03/29
344026,781,Fortis,FTS,33.55,33.83,33.55,33.7,0.14,0.42,"144,941",38.24,31.41,1.35,4.01,18.98,-8.10,Wednesday,Wednesday,2018/04/11
344027,783,Fortis,FTS,33.65,33.65,33.17,33.32,-0.38,-1.13,"200,146",38.24,31.41,1.35,4.06,18.77,-9.14,Thursday,Thursday,2018/04/12
344028,777,Fortis,FTS,33.67,34.02,33.64,33.93,0.32,0.95,"179,429",38.24,31.41,1.35,3.98,19.11,-7.47,Tuesday,Tuesday,2018/04/17
344029,779,Fortis,FTS,33.98,34.16,33.72,33.88,-0.05,-0.15,"185,751",38.24,31.41,1.35,3.99,19.08,-7.61,Wednesday,Wednesday,2018/04/18
344030,783,Fortis,FTS,33.97,33.97,33.43,33.59,-0.29,-0.86,"148,284",38.24,31.41,1.35,4.02,18.92,-8.40,Thursday,Thursday,2018/04/19
344031,779,Fortis,FTS,33.57,33.6,33.26,33.3,-0.29,-0.86,"112,388",38.24,31.41,1.35,4.06,18.75,-9.19,Friday,Friday,2018/04/20
344032,780,Fortis,FTS,33.27,33.43,33.0,33.16,-0.04,-0.12,"249,123",38.24,31.41,1.35,4.08,18.68,-9.57,Tuesday,Tuesday,2018/04/24
344033,785,Fortis,FTS,32.94,33.22,32.83,32.93,-0.23,-0.69,"152,924",38.24,31.41,1.35,4.10,18.55,-10.20,Wednesday,Wednesday,2018/04/25
344034,782,Fortis,FTS,33.4,33.93,33.34,33.89,0.58,1.74,"145,046",38.24,31.41,1.35,3.99,19.09,-7.58,Friday,Friday,2018/04/27
344035,781,Fortis,FTS,33.84,33.96,33.49,33.49,-0.40,-1.18,"194,182",38.24,31.41,1.35,4.04,18.86,-8.67,Monday,Monday,2018/04/30
344036,786,Fortis,FTS,33.68,33.74,33.43,33.51,0.02,0.06,"213,125",38.24,31.41,1.35,4.03,18.87,-8.62,Tuesday,Tuesday,2018/05/01
344037,784,Fortis,FTS,33.04,33.51,32.95,33.48,0.47,1.42,"155,589",38.24,31.41,1.35,4.04,18.27,-8.70,Thursday,Thursday,2018/05/03
344038,783,Fortis,FTS,33.4,33.79,33.27,33.76,0.28,0.84,"143,295",38.24,31.41,1.35,4.00,18.42,-7.94,Friday,Friday,2018/05/04
344039,786,Fortis,FTS,33.77,33.77,33.54,33.63,-0.13,-0.39,"108,051",38.24,31.41,1.35,4.02,18.35,-8.29,Monday,Monday,2018/05/07
344040,782,Fortis,FTS,33.52,33.52,33.01,33.2,-0.43,-1.28,"166,763",38.24,31.41,1.35,4.07,18.12,-9.46,Tuesday,Tuesday,2018/05/08
344041,788,Fortis,FTS,33.29,33.32,32.87,33.05,-0.15,-0.45,"171,624",38.24,31.41,1.35,4.09,18.04,-9.87,Wednesday,Wednesday,2018/05/09
344042,785,Fortis,FTS,33.16,33.22,32.92,33.21,0.16,0.48,"147,557",38.24,31.41,1.35,4.07,18.12,-9.44,Thursday,Thursday,2018/05/10
344043,785,Fortis,FTS,33.19,33.28,32.96,33.03,-0.18,-0.54,"132,020",38.24,31.41,1.35,4.09,18.03,-9.93,Friday,Friday,2018/05/11
344044,785,Fortis,FTS,33.11,33.23,32.92,33.0,-0.03,-0.09,"147,727",38.24,31.41,1.35,4.10,18.01,-10.01,Monday,Monday,2018/05/14
344045,787,Fortis,FTS,32.8,32.83,32.4,32.69,-0.31,-0.94,"155,853",38.24,31.41,1.35,4.13,17.84,-10.85,Tuesday,Tuesday,2018/05/15
