,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
348931,730,Global Blood Therapeutics,GBT,48.1,49.1,46.6,48.3,0.60,1.26,"906,149",68.05,24.02,...,...,...,22.74,Thursday,Thursday,2018/03/29
348932,718,Global Blood Therapeutics,GBT,47.0,47.65,44.6,45.05,-2.10,-4.45,"628,764",68.05,24.02,...,...,...,14.49,Wednesday,Wednesday,2018/04/11
348933,720,Global Blood Therapeutics,GBT,45.65,47.05,45.35,46.7,1.65,3.66,"560,664",68.05,24.02,...,...,...,18.68,Thursday,Thursday,2018/04/12
348934,724,Global Blood Therapeutics,GBT,45.5,46.8,45.35,45.95,0.65,1.43,"453,390",68.05,24.02,...,...,...,16.77,Tuesday,Tuesday,2018/04/17
348935,725,Global Blood Therapeutics,GBT,46.25,46.83,45.55,45.65,-0.30,-0.65,"443,838",68.05,24.02,...,...,...,16.01,Wednesday,Wednesday,2018/04/18
348936,727,Global Blood Therapeutics,GBT,45.35,45.7,42.88,43.0,-2.65,-5.81,"474,866",68.05,24.02,...,...,...,9.28,Thursday,Thursday,2018/04/19
348937,725,Global Blood Therapeutics,GBT,42.8,44.15,42.7,43.35,0.35,0.81,"556,991",68.05,24.02,...,...,...,10.17,Friday,Friday,2018/04/20
348938,725,Global Blood Therapeutics,GBT,44.05,44.67,42.58,43.1,-0.70,-1.60,"434,683",68.05,24.02,...,...,...,9.53,Tuesday,Tuesday,2018/04/24
348939,725,Global Blood Therapeutics,GBT,43.25,45.55,41.7,44.6,1.50,3.48,"687,323",68.05,24.02,...,...,...,13.34,Wednesday,Wednesday,2018/04/25
348940,722,Global Blood Therapeutics,GBT,45.9,46.55,44.85,44.95,-1.05,-2.28,"563,127",68.05,24.02,...,...,...,14.23,Friday,Friday,2018/04/27
348941,723,Global Blood Therapeutics,GBT,45.3,45.4,44.0,44.15,-0.80,-1.78,"303,280",68.05,24.02,...,...,...,12.20,Monday,Monday,2018/04/30
348942,721,Global Blood Therapeutics,GBT,44.0,45.2,43.4,45.2,1.05,2.38,"378,434",68.05,24.02,...,...,...,14.87,Tuesday,Tuesday,2018/05/01
348943,716,Global Blood Therapeutics,GBT,44.8,45.47,43.1,43.35,-1.40,-3.13,"414,343",68.05,24.02,...,...,...,10.17,Thursday,Thursday,2018/05/03
348944,723,Global Blood Therapeutics,GBT,43.4,44.2,42.85,43.5,0.15,0.35,"406,036",68.05,24.02,...,...,...,10.55,Friday,Friday,2018/05/04
348945,726,Global Blood Therapeutics,GBT,43.95,45.5,43.29,45.2,1.70,3.91,"392,473",68.05,24.02,...,...,...,14.87,Monday,Monday,2018/05/07
348946,728,Global Blood Therapeutics,GBT,44.55,49.25,44.5,48.8,3.60,7.96,"1,403,567",68.05,24.02,...,...,...,24.02,Tuesday,Tuesday,2018/05/08
348947,727,Global Blood Therapeutics,GBT,48.8,48.8,45.95,47.6,-1.20,-2.46,"997,997",68.05,24.02,...,...,...,20.97,Wednesday,Wednesday,2018/05/09
348948,724,Global Blood Therapeutics,GBT,47.65,49.25,46.7,46.85,-0.75,-1.58,"541,104",68.05,24.02,...,...,...,19.06,Thursday,Thursday,2018/05/10
348949,726,Global Blood Therapeutics,GBT,47.0,49.5,46.85,49.5,2.65,5.66,"584,655",68.05,24.02,...,...,...,25.79,Friday,Friday,2018/05/11
348950,726,Global Blood Therapeutics,GBT,50.0,51.2,49.1,49.9,0.40,0.81,"598,137",68.05,24.02,...,...,...,26.81,Monday,Monday,2018/05/14
348951,726,Global Blood Therapeutics,GBT,49.65,49.8,48.4,49.3,-0.60,-1.20,"490,723",68.05,24.02,...,...,...,25.29,Tuesday,Tuesday,2018/05/15
348952,730,Global Blood Therapeutics,GBT,49.45,49.45,48.2,48.6,-0.70,-1.42,"411,974",68.05,24.02,...,...,...,23.51,Wednesday,Wednesday,2018/05/16
348953,726,Global Blood Therapeutics,GBT,48.25,48.65,47.3,48.1,-0.50,-1.03,"645,077",68.05,24.02,...,...,...,22.24,Thursday,Thursday,2018/05/17
348954,725,Global Blood Therapeutics,GBT,48.75,49.55,46.0,46.1,-2.00,-4.16,"723,061",68.05,24.02,...,...,...,17.15,Friday,Friday,2018/05/18
348955,726,Global Blood Therapeutics,GBT,46.45,47.45,45.15,45.65,-0.45,-0.98,"468,745",68.05,24.02,...,...,...,16.01,Monday,Monday,2018/05/21
348956,726,Global Blood Therapeutics,GBT,45.7,48.35,44.8,46.95,1.30,2.85,"910,552",68.05,24.02,...,...,...,19.31,Tuesday,Tuesday,2018/05/22
348957,724,Global Blood Therapeutics,GBT,46.9,49.2,46.85,47.2,0.25,0.53,"788,848",68.05,24.02,...,...,...,19.95,Wednesday,Wednesday,2018/05/23
348958,726,Global Blood Therapeutics,GBT,47.3,47.95,46.1,46.75,-0.45,-0.95,"672,586",68.05,24.02,...,...,...,18.81,Thursday,Thursday,2018/05/24
348959,725,Global Blood Therapeutics,GBT,46.8,47.15,45.75,46.65,-0.10,-0.21,"429,310",68.05,24.02,...,...,...,18.55,Friday,Friday,2018/05/25
348960,723,Global Blood Therapeutics,GBT,46.5,46.7,45.4,46.5,-0.15,-0.32,"615,724",68.05,24.02,...,...,...,18.17,Tuesday,Tuesday,2018/05/29
348961,727,Global Blood Therapeutics,GBT,46.95,48.42,46.2,46.8,0.30,0.65,"507,824",68.05,24.02,...,...,...,18.93,Wednesday,Wednesday,2018/05/30
348962,721,Global Blood Therapeutics,GBT,46.95,49.45,46.75,48.15,1.35,2.88,"829,468",68.05,24.02,...,...,...,22.36,Thursday,Thursday,2018/05/31
348963,727,Global Blood Therapeutics,GBT,48.60,50.15,48.55,49.75,1.60,3.32,"899,764",68.05,24.02,...,...,...,26.43,Friday,Friday,2018/06/01
348964,727,Global Blood Therapeutics,GBT,49.7,51.65,48.0,50.15,0.40,0.80,"735,209",68.05,24.02,...,...,...,27.45,Monday,Monday,2018/06/04
348965,724,Global Blood Therapeutics,GBT,49.9,51.45,49.75,49.95,-0.20,-0.40,"726,977",68.05,24.02,...,...,...,26.94,Tuesday,Tuesday,2018/06/05
348966,731,Global Blood Therapeutics,GBT,50.5,50.7,48.25,49.7,-0.25,-0.50,"680,017",68.05,24.02,...,...,...,26.30,Wednesday,Wednesday,2018/06/06
348967,734,Global Blood Therapeutics,GBT,49.7,50.5,48.0,48.05,-1.65,-3.32,"484,666",68.05,24.02,...,...,...,22.11,Thursday,Thursday,2018/06/07
348968,727,Global Blood Therapeutics,GBT,47.7,48.8,45.63,46.15,-1.90,-3.95,"881,872",68.05,24.02,...,...,...,17.28,Friday,Friday,2018/06/08
348969,728,Global Blood Therapeutics,GBT,46.4,46.7,45.05,45.8,-0.35,-0.76,"779,057",68.05,24.02,...,...,...,16.39,Monday,Monday,2018/06/11
348970,726,Global Blood Therapeutics,GBT,46.05,47.68,45.91,47.45,1.65,3.60,"588,949",68.05,24.02,...,...,...,20.58,Tuesday,Tuesday,2018/06/12
348971,724,Global Blood Therapeutics,GBT,47.4,48.7,46.27,47.55,0.10,0.21,"682,947",68.05,24.02,...,...,...,20.84,Wednesday,Wednesday,2018/06/13
