,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
351747,830,General Electric,GE,13.58,13.66,13.35,13.48,-0.20,-1.46,"68,417,386",30.54,12.73,0.48,3.56,...,-22.75,Thursday,Thursday,2018/03/29
351748,823,General Electric,GE,12.91,13.08,12.85,12.97,-0.08,-0.61,"49,105,884",30.54,12.73,0.48,3.70,...,-25.67,Wednesday,Wednesday,2018/04/11
351749,825,General Electric,GE,13.03,13.24,12.97,13.18,0.21,1.62,"61,456,747",30.54,12.73,0.48,3.64,...,-24.47,Thursday,Thursday,2018/04/12
351750,819,General Electric,GE,13.38,13.87,13.36,13.79,0.46,3.45,"65,574,089",30.54,12.73,0.48,3.48,...,-20.97,Tuesday,Tuesday,2018/04/17
351751,821,General Electric,GE,13.88,13.92,13.62,13.66,-0.13,-0.94,"41,184,782",30.54,12.73,0.48,3.51,...,-21.72,Wednesday,Wednesday,2018/04/18
351752,825,General Electric,GE,13.67,14.06,13.63,13.99,0.33,2.42,"83,148,569",30.54,12.73,0.48,3.43,...,-19.83,Thursday,Thursday,2018/04/19
351753,821,General Electric,GE,14.94,15.05,14.34,14.54,0.55,3.93,"186,790,157",30.38,12.73,0.48,3.30,...,-16.68,Friday,Friday,2018/04/20
351754,822,General Electric,GE,14.66,14.77,14.54,14.68,0.16,1.10,"73,844,610",29.60,12.73,0.48,3.27,...,-15.87,Tuesday,Tuesday,2018/04/24
351755,827,General Electric,GE,14.72,14.73,13.91,14.05,-0.63,-4.29,"104,392,816",29.55,12.73,0.48,3.42,...,-19.48,Wednesday,Wednesday,2018/04/25
351756,824,General Electric,GE,14.22,14.48,14.19,14.38,...,...,"47,982,574",29.47,12.73,0.48,3.34,...,-17.59,Friday,Friday,2018/04/27
351757,823,General Electric,GE,14.37,14.39,14.07,14.07,-0.31,-2.16,"45,194,723",29.47,12.73,0.48,3.41,...,-19.37,Monday,Monday,2018/04/30
351758,828,General Electric,GE,14.08,14.09,13.82,14.05,-0.02,-0.14,"45,336,315",29.47,12.73,0.48,3.42,...,-19.48,Tuesday,Tuesday,2018/05/01
351759,826,General Electric,GE,14.19,14.19,13.85,13.93,-0.25,-1.76,"57,031,112",29.47,12.73,0.48,3.45,...,-20.17,Thursday,Thursday,2018/05/03
351760,825,General Electric,GE,13.87,14.13,13.77,14.1,0.17,1.22,"39,965,325",29.47,12.73,0.48,3.40,...,-19.20,Friday,Friday,2018/05/04
351761,828,General Electric,GE,14.09,14.18,14.0,14.07,-0.03,-0.21,"32,256,819",29.47,12.73,0.48,3.41,...,-19.37,Monday,Monday,2018/05/07
351762,824,General Electric,GE,14.18,14.49,14.09,14.27,0.20,1.42,"57,618,600",29.47,12.73,0.48,3.36,...,-18.22,Tuesday,Tuesday,2018/05/08
351763,830,General Electric,GE,14.35,14.68,14.3,14.62,0.35,2.45,"50,065,006",29.47,12.73,0.48,3.28,...,-16.22,Wednesday,Wednesday,2018/05/09
351764,827,General Electric,GE,14.76,14.76,14.5,14.69,0.07,0.48,"36,499,497",29.47,12.73,0.48,3.27,...,-15.82,Thursday,Thursday,2018/05/10
351765,827,General Electric,GE,14.74,14.77,14.52,14.6,-0.09,-0.61,"27,828,267",29.47,12.73,0.48,3.29,...,-16.33,Friday,Friday,2018/05/11
351766,827,General Electric,GE,14.7,14.8,14.64,14.71,0.11,0.75,"35,751,662",29.47,12.73,0.48,3.26,...,-15.70,Monday,Monday,2018/05/14
351767,828,General Electric,GE,14.7,14.72,14.56,14.71,...,...,"32,689,353",29.47,12.73,0.48,3.26,...,-15.70,Tuesday,Tuesday,2018/05/15
351768,827,General Electric,GE,14.71,15.1,14.69,15.03,0.32,2.18,"49,773,677",29.47,12.73,0.48,3.19,...,-13.87,Wednesday,Wednesday,2018/05/16
351769,826,General Electric,GE,15.12,15.24,14.92,15.03,...,...,"49,892,637",29.47,12.73,0.48,3.19,...,-13.87,Thursday,Thursday,2018/05/17
351770,829,General Electric,GE,15.08,15.1,14.92,14.97,-0.06,-0.40,"33,128,118",29.47,12.73,0.48,3.21,...,-14.21,Friday,Friday,2018/05/18
351771,827,General Electric,GE,15.36,15.55,15.2,15.26,0.29,1.94,"76,016,674",29.47,12.73,0.48,3.15,...,-12.55,Monday,Monday,2018/05/21
351772,825,General Electric,GE,15.39,15.59,15.29,15.29,0.03,0.20,"63,745,559",29.47,12.73,0.48,3.14,...,-12.38,Tuesday,Tuesday,2018/05/22
351773,830,General Electric,GE,15.2,15.21,14.11,14.18,-1.11,-7.26,"140,637,746",29.47,12.73,0.48,3.39,...,-18.74,Wednesday,Wednesday,2018/05/23
351774,828,General Electric,GE,14.34,14.72,14.24,14.6,0.42,2.96,"103,785,906",29.47,12.73,0.48,3.29,...,-16.33,Thursday,Thursday,2018/05/24
351775,833,General Electric,GE,14.61,14.66,14.41,14.63,0.03,0.21,"49,025,284",29.47,12.73,0.48,3.28,...,-16.16,Friday,Friday,2018/05/25
351776,831,General Electric,GE,14.48,14.52,14.02,14.18,-0.45,-3.08,"73,298,690",29.47,12.73,0.48,3.39,...,-18.74,Tuesday,Tuesday,2018/05/29
351777,831,General Electric,GE,14.14,14.24,14.02,14.17,-0.01,-0.07,"50,824,082",29.47,12.73,0.48,3.39,...,-18.80,Wednesday,Wednesday,2018/05/30
351778,833,General Electric,GE,14.1,14.13,13.95,14.08,-0.09,-0.64,"51,266,203",29.47,12.73,0.48,3.41,...,-19.31,Thursday,Thursday,2018/05/31
351779,833,General Electric,GE,14.1,14.15,13.95,14.1,0.02,0.14,"56,457,298",29.47,12.73,0.48,3.40,...,-19.20,Friday,Friday,2018/06/01
351780,830,General Electric,GE,14.13,14.21,13.68,13.71,-0.39,-2.77,"81,440,299",29.47,12.73,0.48,3.50,...,-21.43,Monday,Monday,2018/06/04
351781,828,General Electric,GE,13.71,13.93,13.52,13.8,0.09,0.66,"68,110,143",29.47,12.73,0.48,3.48,...,-20.92,Tuesday,Tuesday,2018/06/05
351782,832,General Electric,GE,13.82,13.89,13.63,13.64,-0.16,-1.16,"60,147,298",29.47,12.73,0.48,3.52,...,-21.83,Wednesday,Wednesday,2018/06/06
351783,831,General Electric,GE,13.63,13.8,13.61,13.78,0.14,1.03,"68,838,298",29.47,12.73,0.48,3.48,...,-21.03,Thursday,Thursday,2018/06/07
351784,826,General Electric,GE,13.78,14.07,13.71,13.93,0.15,1.09,"49,357,769",29.47,12.73,0.48,3.45,...,-20.17,Friday,Friday,2018/06/08
351785,829,General Electric,GE,13.99,14.03,13.85,13.98,0.05,0.36,"40,714,615",29.47,12.73,0.48,3.43,...,-19.89,Monday,Monday,2018/06/11
351786,825,General Electric,GE,14.03,14.14,13.91,13.98,...,...,"39,792,083",29.16,12.73,0.48,3.43,...,-19.89,Tuesday,Tuesday,2018/06/12
351787,826,General Electric,GE,14.02,14.05,13.83,13.89,-0.09,-0.64,"34,507,314",29.01,12.73,0.48,3.46,...,-20.40,Wednesday,Wednesday,2018/06/13
351788,825,General Electric,GE,13.87,13.91,13.56,13.64,-0.25,-1.80,"59,617,275",29.01,12.73,0.48,3.52,...,-21.83,Thursday,Thursday,2018/06/14
351789,827,General Electric,GE,13.51,13.52,13.3,13.3,-0.22,-1.63,"91,011,736",29.01,12.73,0.48,3.61,...,-23.78,Friday,Friday,2018/06/15
351790,827,General Electric,GE,13.21,13.23,13.1,13.2,-0.10,-0.75,"63,534,572",29.00,12.73,0.48,3.64,...,-24.36,Monday,Monday,2018/06/18
351791,826,General Electric,GE,13.06,13.07,12.9,12.95,-0.25,-1.89,"73,013,961",28.72,12.73,0.48,3.71,...,-25.79,Tuesday,Tuesday,2018/06/19
351792,830,General Electric,GE,12.76,13.11,12.75,12.88,-0.07,-0.54,"94,164,699",28.19,12.73,0.48,3.73,...,-26.19,Wednesday,Wednesday,2018/06/20
351793,828,General Electric,GE,12.81,12.82,12.61,12.76,-0.12,-0.93,"68,997,488",27.83,12.61,0.48,3.76,...,-26.88,Thursday,Thursday,2018/06/21
351794,832,General Electric,GE,12.76,13.08,12.76,13.05,0.29,2.27,"66,320,196",27.79,12.61,0.48,3.68,...,-25.21,Friday,Friday,2018/06/22
351795,833,General Electric,GE,13.03,13.05,12.74,12.75,-0.30,-2.30,"68,168,604",27.68,12.61,0.48,3.76,...,-26.93,Monday,Monday,2018/06/25
