,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
351943,744,Great Elm Capital Group,GEC,3.75,4.05,3.75,4.0,0.25,6.67,"46,210",4.40,3.10,...,...,...,-1.23,Thursday,Thursday,2018/03/29
351944,732,Great Elm Capital Group,GEC,3.9,3.9,3.7,3.85,-0.05,-1.28,"53,011",4.40,3.10,...,...,...,-4.94,Wednesday,Wednesday,2018/04/11
351945,734,Great Elm Capital Group,GEC,3.8,3.9,3.75,3.9,0.05,1.30,"13,971",4.4,3.1,...,...,...,-3.70,Thursday,Thursday,2018/04/12
351946,738,Great Elm Capital Group,GEC,3.7,3.8,3.7,3.8,0.10,2.70,"23,697",4.40,3.10,...,...,...,-6.17,Tuesday,Tuesday,2018/04/17
351947,739,Great Elm Capital Group,GEC,3.75,3.8,3.75,3.75,-0.05,-1.32,"1,723",4.4,3.1,...,...,...,-7.41,Wednesday,Wednesday,2018/04/18
351948,741,Great Elm Capital Group,GEC,3.7,3.75,3.7,3.75,...,...,874,4.40,3.10,...,...,...,-7.41,Thursday,Thursday,2018/04/19
351949,739,Great Elm Capital Group,GEC,3.7,3.85,3.66,3.85,0.10,2.67,"5,243",4.40,3.10,...,...,...,-4.94,Friday,Friday,2018/04/20
351950,739,Great Elm Capital Group,GEC,3.85,3.85,3.75,3.8,-0.05,-1.30,"2,278",4.4,3.1,...,...,...,-6.17,Tuesday,Tuesday,2018/04/24
351951,739,Great Elm Capital Group,GEC,3.8,3.85,3.8,3.85,0.05,1.32,"2,012",4.4,3.1,...,...,...,-4.94,Wednesday,Wednesday,2018/04/25
351952,737,Great Elm Capital Group,GEC,3.85,3.85,3.75,3.85,...,...,953,4.40,3.10,...,...,...,-4.94,Friday,Friday,2018/04/27
351953,738,Great Elm Capital Group,GEC,3.8,3.9,3.8,3.9,0.05,1.30,"3,850",4.4,3.1,...,...,...,-3.70,Monday,Monday,2018/04/30
351954,736,Great Elm Capital Group,GEC,3.85,4.05,3.85,3.95,0.05,1.28,"39,326",4.4,3.1,...,...,...,-2.47,Tuesday,Tuesday,2018/05/01
351955,731,Great Elm Capital Group,GEC,3.8,3.85,3.7,3.8,-0.05,-1.30,"31,148",4.40,3.10,...,...,...,-6.17,Thursday,Thursday,2018/05/03
351956,738,Great Elm Capital Group,GEC,3.8,3.85,3.7,3.85,0.05,1.32,"10,167",4.40,3.20,...,...,...,-4.94,Friday,Friday,2018/05/04
351957,741,Great Elm Capital Group,GEC,3.8,3.8,3.75,3.75,-0.10,-2.60,"6,088",4.4,3.2,...,...,...,-7.41,Monday,Monday,2018/05/07
351958,743,Great Elm Capital Group,GEC,3.75,3.9,3.75,3.9,0.15,4.00,"4,923",4.40,3.20,...,...,...,-3.70,Tuesday,Tuesday,2018/05/08
351959,742,Great Elm Capital Group,GEC,3.82,3.85,3.75,3.85,-0.05,-1.28,"2,051",4.40,3.20,...,...,...,-4.94,Wednesday,Wednesday,2018/05/09
351960,739,Great Elm Capital Group,GEC,3.8,3.85,3.8,3.85,...,...,"4,884",4.4,3.2,...,...,...,-4.94,Thursday,Thursday,2018/05/10
351961,741,Great Elm Capital Group,GEC,3.8,3.85,3.75,3.8,-0.05,-1.30,"3,950",4.4,3.2,...,...,...,-6.17,Friday,Friday,2018/05/11
351962,741,Great Elm Capital Group,GEC,3.7,3.8,3.7,3.75,-0.05,-1.32,"7,456",4.4,3.2,...,...,...,-7.41,Monday,Monday,2018/05/14
351963,741,Great Elm Capital Group,GEC,3.75,3.85,3.75,3.85,0.10,2.67,"8,966",4.4,3.2,...,...,...,-4.94,Tuesday,Tuesday,2018/05/15
351964,745,Great Elm Capital Group,GEC,3.85,3.85,3.77,3.8,-0.05,-1.30,"10,905",4.4,3.2,...,...,...,-6.17,Wednesday,Wednesday,2018/05/16
351965,741,Great Elm Capital Group,GEC,3.75,3.8,3.75,3.8,...,...,"40,423",4.40,3.20,...,...,...,-6.17,Thursday,Thursday,2018/05/17
351966,740,Great Elm Capital Group,GEC,3.85,3.9,3.82,3.9,0.10,2.63,"6,101",4.4,3.2,...,...,...,-3.70,Friday,Friday,2018/05/18
351967,741,Great Elm Capital Group,GEC,3.85,3.9,3.85,3.85,-0.05,-1.28,"34,063",4.40,3.20,...,...,...,-4.94,Monday,Monday,2018/05/21
351968,741,Great Elm Capital Group,GEC,3.85,3.95,3.85,3.95,0.10,2.60,"4,261",4.4,3.2,...,...,...,-2.47,Tuesday,Tuesday,2018/05/22
351969,739,Great Elm Capital Group,GEC,3.95,3.95,3.86,3.86,-0.09,-2.18,"4,117",4.40,3.20,...,...,...,-4.59,Wednesday,Wednesday,2018/05/23
351970,741,Great Elm Capital Group,GEC,3.85,3.85,3.75,3.75,-0.11,-2.95,"238,368",4.40,3.20,...,...,...,-7.41,Thursday,Thursday,2018/05/24
