,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
369216,321,Gordon Pointe Acquisition Un,GPAQU,10.35,10.35,10.33,10.33,-0.02,-0.20,"2,100",10.35,9.97,...,...,...,...,Thursday,Thursday,2018/03/29
369217,314,Gordon Pointe Acquisition Un,GPAQU,10.3,10.3,10.2,10.2,-0.13,-1.26,"1,200",10.35,9.97,...,...,...,...,Wednesday,Wednesday,2018/04/11
369218,312,Gordon Pointe Acquisition Un,GPAQU,10.2,10.24,10.16,10.24,0.04,0.39,"7,200",10.35,9.97,...,...,...,...,Thursday,Thursday,2018/04/12
369219,312,Gordon Pointe Acquisition Un,GPAQU,10.2,10.2,10.2,10.2,0.03,0.30,120,10.35,9.97,...,...,...,...,Tuesday,Tuesday,2018/04/17
369220,317,Gordon Pointe Acquisition Un,GPAQU,10.17,10.17,10.15,10.17,-0.03,-0.30,"6,800",10.35,9.97,...,...,...,...,Wednesday,Wednesday,2018/04/18
369221,304,Gordon Pointe Acquisition Un,GPAQU,10.17,10.2,10.16,10.2,0.03,0.29,"68,779",10.35,9.97,...,...,...,...,Friday,Friday,2018/05/04
369222,308,Gordon Pointe Acquisition Un,GPAQU,10.17,10.17,10.15,10.15,-0.05,-0.49,"2,400",10.35,9.97,...,...,...,...,Tuesday,Tuesday,2018/05/08
369223,321,Gordon Pointe Acquisition Un,GPAQU,10.15,10.19,10.15,10.15,...,...,"8,700",10.35,9.97,...,...,...,...,Wednesday,Wednesday,2018/05/09
369224,314,Gordon Pointe Acquisition Un,GPAQU,10.15,10.15,10.09,10.1,-0.05,-0.49,"6,000",10.35,9.97,...,...,...,...,Thursday,Thursday,2018/05/10
369225,315,Gordon Pointe Acquisition Un,GPAQU,10.15,10.15,10.12,10.15,0.05,0.50,"6,846",10.35,9.97,...,...,...,...,Friday,Friday,2018/05/11
369226,315,Gordon Pointe Acquisition Un,GPAQU,10.11,10.13,10.11,10.13,-0.02,-0.24,"1,500",10.35,9.97,...,...,...,...,Tuesday,Tuesday,2018/05/15
369227,314,Gordon Pointe Acquisition Un,GPAQU,10.13,10.13,10.13,10.13,...,0.05,"65,700",10.35,9.97,...,...,...,...,Wednesday,Wednesday,2018/05/16
369228,309,Gordon Pointe Acquisition Un,GPAQU,10.14,10.14,10.12,10.12,-0.01,-0.10,"3,162",10.35,9.97,...,...,...,...,Thursday,Thursday,2018/05/17
369229,308,Gordon Pointe Acquisition Un,GPAQU,10.14,10.14,10.12,10.12,...,...,700,10.35,9.97,...,...,...,...,Friday,Friday,2018/05/18
369230,316,Gordon Pointe Acquisition Un,GPAQU,10.12,10.12,10.12,10.12,...,...,170,10.35,9.97,...,...,...,...,Monday,Monday,2018/05/21
369231,317,Gordon Pointe Acquisition Un,GPAQU,10.12,10.12,10.12,10.12,...,...,"3,000",10.35,9.97,...,...,...,...,Thursday,Thursday,2018/05/24
369232,305,Gordon Pointe Acquisition Un,GPAQU,10.12,10.13,10.12,10.12,...,...,"9,700",10.35,9.97,...,...,...,...,Friday,Friday,2018/05/25
369233,314,Gordon Pointe Acquisition Un,GPAQU,10.17,10.18,10.08,10.08,-0.04,-0.40,"7,546",10.35,9.97,...,...,...,...,Tuesday,Tuesday,2018/05/29
369234,315,Gordon Pointe Acquisition Un,GPAQU,10.12,10.12,10.08,10.1,0.02,0.20,"126,000",10.35,9.97,...,...,...,...,Thursday,Thursday,2018/05/31
369235,316,Gordon Pointe Acquisition Un,GPAQU,10.14,10.14,10.14,10.14,0.04,0.40,400,10.35,9.97,...,...,...,...,Friday,Friday,2018/06/01
369236,311,Gordon Pointe Acquisition Un,GPAQU,10.2,10.2,10.2,10.2,0.06,0.59,300,10.35,9.97,...,...,...,...,Monday,Monday,2018/06/11
369237,313,Gordon Pointe Acquisition Un,GPAQU,10.2,10.2,10.2,10.2,...,...,200,10.35,9.97,...,...,...,...,Tuesday,Tuesday,2018/06/12
369238,316,Gordon Pointe Acquisition Un,GPAQU,10.21,10.27,10.21,10.27,0.07,0.69,"105,000",10.35,9.97,...,...,...,...,Thursday,Thursday,2018/06/14
369239,316,Gordon Pointe Acquisition Un,GPAQU,10.22,10.22,10.21,10.21,-0.06,-0.58,"2,000",10.35,9.97,...,...,...,...,Monday,Monday,2018/06/25
369240,324,Gordon Pointe Acquisition Un,GPAQU,10.25,10.25,10.25,10.25,0.04,0.39,"1,000",10.35,9.97,...,...,...,...,Tuesday,Tuesday,2018/06/26
369241,321,Gordon Pointe Acquisition Un,GPAQU,10.3,10.3,10.3,10.3,0.05,0.49,"204,000",10.35,9.97,...,...,...,...,Friday,Friday,2018/07/06
369242,317,Gordon Pointe Acquisition Un,GPAQU,10.33,10.34,10.32,10.34,0.04,0.39,"115,800",10.35,9.97,...,...,...,...,Tuesday,Tuesday,2018/07/10
369243,317,Gordon Pointe Acquisition Un,GPAQU,10.35,10.35,10.35,10.35,0.01,0.10,"11,000",10.35,9.97,...,...,...,...,Thursday,Thursday,2018/07/12
369244,312,Gordon Pointe Acquisition Un,GPAQU,10.38,10.39,10.33,10.39,0.04,0.39,"3,464",10.39,9.97,...,...,...,...,Monday,Monday,2018/07/16
369245,323,Gordon Pointe Acquisition Un,GPAQU,10.4,10.4,10.4,10.4,0.01,0.10,"3,000",10.40,9.97,...,...,...,...,Thursday,Thursday,2018/07/19
369246,307,Gordon Pointe Acquisition Un,GPAQU,10.40,10.4,10.40,10.4,...,...,"24,637",10.4,9.97,...,...,...,...,Monday,Monday,2018/07/30
369247,319,Gordon Pointe Acquisition Un,GPAQU,10.4,10.4,10.4,10.4,...,...,"3,500",10.40,9.97,...,...,...,...,Thursday,Thursday,2018/08/02
369248,320,Gordon Pointe Acquisition Un,GPAQU,10.37,10.37,10.37,10.37,-0.03,-0.29,100,10.4,9.97,...,...,...,...,Friday,Friday,2018/08/24
369249,329,Gordon Pointe Acquisition Un,GPAQU,10.4,10.4,10.4,10.4,0.03,0.29,600,10.40,9.97,...,...,...,...,Thursday,Thursday,2018/09/13
369250,330,Gordon Pointe Acquisition Un,GPAQU,10.42,10.45,10.40,10.43,0.03,0.29,"150,851",10.45,9.97,...,...,...,...,Monday,Monday,2018/09/17
369251,328,Gordon Pointe Acquisition Un,GPAQU,10.45,10.46,10.45,10.45,0.02,0.19,"24,400",10.46,9.97,...,...,...,...,Tuesday,Tuesday,2018/09/18
369252,327,Gordon Pointe Acquisition Un,GPAQU,10.45,10.45,10.45,10.45,...,...,"10,015",10.46,9.97,...,...,...,...,Tuesday,Tuesday,2018/09/25
369253,319,Gordon Pointe Acquisition Un,GPAQU,10.5,10.5,10.5,10.5,...,...,"1,000",10.50,9.97,...,...,...,...,Thursday,Thursday,2018/09/27
369254,326,Gordon Pointe Acquisition Un,GPAQU,10.5,10.5,10.5,10.5,...,...,"1,000",10.5,9.97,...,...,...,...,Wednesday,Wednesday,2018/10/03
369255,333,Gordon Pointe Acquisition Un,GPAQU,10.45,10.45,10.45,10.45,-0.05,-0.48,"16,700",10.5,9.97,...,...,...,...,Wednesday,Wednesday,2018/10/10
369256,328,Gordon Pointe Acquisition Un,GPAQU,10.37,10.37,10.37,10.37,-0.08,-0.78,200,10.5,9.97,...,...,...,...,Friday,Friday,2018/10/12
369257,326,Gordon Pointe Acquisition Un,GPAQU,10.50,10.50,10.50,10.50,0.13,1.29,130,10.50,9.97,...,...,...,...,Monday,Monday,2018/10/15
369258,330,Gordon Pointe Acquisition Un,GPAQU,10.50,10.5,10.50,10.5,-0.00,-0.02,"3,300",10.50,9.97,...,...,...,...,Wednesday,Wednesday,2018/10/17
369259,323,Gordon Pointe Acquisition Un,GPAQU,10.48,10.48,10.48,10.48,-0.02,-0.19,"1,000",10.5,9.97,...,...,...,...,Friday,Friday,2018/10/19
369260,319,Gordon Pointe Acquisition Un,GPAQU,10.46,10.46,10.46,10.46,-0.02,-0.19,200,10.5,9.97,...,...,...,...,Monday,Monday,2018/10/22
369261,327,Gordon Pointe Acquisition Un,GPAQU,10.45,10.45,10.45,10.45,-0.01,-0.10,600,10.50,9.97,...,...,...,...,Tuesday,Tuesday,2018/10/23
369262,327,Gordon Pointe Acquisition Un,GPAQU,10.47,10.47,10.47,10.47,0.02,0.19,"1,000",10.5,9.97,...,...,...,...,Thursday,Thursday,2018/11/08
369263,327,Gordon Pointe Acquisition Un,GPAQU,10.45,10.45,10.45,10.45,-0.02,-0.19,300,10.5,9.97,...,...,...,...,Tuesday,Tuesday,2018/11/20
369264,338,Gordon Pointe Acquisition Un,GPAQU,10.44,10.44,10.44,10.44,-0.01,-0.10,400,10.5,9.97,...,...,...,...,Monday,Monday,2018/11/26
369265,341,Gordon Pointe Acquisition Un,GPAQU,10.46,10.46,10.45,10.45,0.01,0.10,400,10.5,9.97,...,...,...,...,Tuesday,Tuesday,2018/11/27
369266,331,Gordon Pointe Acquisition Un,GPAQU,10.43,10.43,10.43,10.43,-0.02,-0.19,400,10.50,9.97,...,...,...,...,Thursday,Thursday,2018/11/29
369267,360,Gordon Pointe Acquisition Un,GPAQU,10.35,10.48,10.35,10.48,0.05,0.48,"1,100",10.5,9.97,...,...,...,...,Friday,Friday,2018/11/30
369268,343,Gordon Pointe Acquisition Un,GPAQU,10.46,10.46,10.35,10.35,-0.13,-1.23,"4,485",10.50,9.97,...,...,...,...,Monday,Monday,2018/12/10
369269,340,Gordon Pointe Acquisition Un,GPAQU,10.35,10.35,10.35,10.35,-0.00,-0.01,"1,000",10.5,9.97,...,...,...,...,Tuesday,Tuesday,2018/12/11
369270,348,Gordon Pointe Acquisition Un,GPAQU,10.35,10.36,10.35,10.36,0.01,0.10,800,10.50,9.97,...,...,...,...,Wednesday,Wednesday,2018/12/12
369271,345,Gordon Pointe Acquisition Un,GPAQU,10.37,10.37,10.37,10.37,0.01,0.10,502,10.5,9.97,...,...,...,...,Thursday,Thursday,2018/12/13
369272,340,Gordon Pointe Acquisition Un,GPAQU,10.41,10.41,10.35,10.35,-0.02,-0.19,"1,200",10.5,9.97,...,...,...,...,Tuesday,Tuesday,2018/12/18
369273,342,Gordon Pointe Acquisition Un,GPAQU,10.36,10.36,10.36,10.36,0.01,0.10,200,10.5,9.97,...,...,...,...,Wednesday,Wednesday,2018/12/19
369274,349,Gordon Pointe Acquisition Un,GPAQU,10.36,10.36,10.36,10.36,...,...,200,10.5,9.97,...,...,...,...,Friday,Friday,2018/12/21
369275,348,Gordon Pointe Acquisition Un,GPAQU,10.34,10.34,10.34,10.34,-0.02,-0.19,500,10.5,9.97,...,...,...,...,Wednesday,Wednesday,2018/12/26
369276,341,Gordon Pointe Acquisition Un,GPAQU,10.34,10.34,10.28,10.34,...,...,"2,800",10.5,9.97,...,...,...,...,Friday,Friday,2018/12/28
369277,355,Gordon Pointe Acquisition Un,GPAQU,10.35,10.38,10.35,10.38,0.04,0.38,210,10.50,9.97,...,...,...,...,Monday,Monday,2018/12/31
369278,335,Gordon Pointe Acquisition Un,GPAQU,10.37,10.37,10.37,10.37,-0.01,-0.09,200,10.50,9.97,...,...,...,-0.09,Wednesday,Wednesday,2019/01/02
369279,341,Gordon Pointe Acquisition Un,GPAQU,10.34,10.34,10.34,10.34,-0.03,-0.34,200,10.50,9.97,...,...,...,-0.43,Tuesday,Tuesday,2019/01/08
369280,346,Gordon Pointe Acquisition Un,GPAQU,10.37,10.37,10.37,10.37,0.03,0.34,100,10.50,9.97,...,...,...,-0.09,Wednesday,Wednesday,2019/01/09
369281,337,Gordon Pointe Acquisition Un,GPAQU,10.36,10.36,10.36,10.36,-0.01,-0.10,"10,200",10.50,9.97,...,...,...,-0.19,Thursday,Thursday,2019/01/10
369282,334,Gordon Pointe Acquisition Un,GPAQU,10.38,10.38,10.38,10.38,0.02,0.19,100,10.50,9.97,...,...,...,...,Friday,Friday,2019/01/11
369283,340,Gordon Pointe Acquisition Un,GPAQU,10.38,10.38,10.35,10.35,-0.03,-0.29,"15,700",10.5,9.97,...,...,718.78,-0.28,Tuesday,Tuesday,2019/01/15
369284,338,Gordon Pointe Acquisition Un,GPAQU,10.36,10.38,10.36,10.38,0.03,0.29,"10,200",10.5,9.97,...,...,720.83,...,Thursday,Thursday,2019/01/17
369285,333,Gordon Pointe Acquisition Un,GPAQU,10.38,10.38,10.38,10.38,...,...,650,10.50,9.97,...,...,720.83,...,Wednesday,Wednesday,2019/01/23
