,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
371290,741,GoPro,GPRO,4.84,4.89,4.67,4.79,-0.05,-1.03,"1,808,709",11.89,4.56,...,...,...,-36.72,Thursday,Thursday,2018/03/29
371291,729,GoPro,GPRO,4.71,4.94,4.71,4.87,0.11,2.31,"1,872,841",11.89,4.42,...,...,...,-35.67,Wednesday,Wednesday,2018/04/11
371292,731,GoPro,GPRO,4.89,5.3,4.88,5.22,0.35,7.19,"8,216,545",11.89,4.42,...,...,...,-31.04,Thursday,Thursday,2018/04/12
371293,735,GoPro,GPRO,5.6,5.62,5.03,5.04,-0.54,-9.68,"7,916,747",11.89,4.42,...,...,...,-33.42,Tuesday,Tuesday,2018/04/17
371294,736,GoPro,GPRO,5.08,5.19,4.97,5.06,0.02,0.40,"4,516,240",11.89,4.42,...,...,...,-33.16,Wednesday,Wednesday,2018/04/18
371295,738,GoPro,GPRO,5.04,5.15,5.02,5.13,0.07,1.38,"2,241,137",11.89,4.42,...,...,...,-32.23,Thursday,Thursday,2018/04/19
371296,736,GoPro,GPRO,5.1,5.21,5.03,5.07,-0.06,-1.17,"2,714,623",11.89,4.42,...,...,...,-33.03,Friday,Friday,2018/04/20
371297,736,GoPro,GPRO,4.82,4.95,4.75,4.93,0.12,2.49,"2,600,018",11.89,4.42,...,...,...,-34.87,Tuesday,Tuesday,2018/04/24
371298,736,GoPro,GPRO,4.91,5.04,4.81,4.86,-0.07,-1.42,"2,717,974",11.89,4.42,...,...,...,-35.80,Wednesday,Wednesday,2018/04/25
371299,734,GoPro,GPRO,4.95,4.98,4.87,4.88,-0.06,-1.21,"1,445,153",11.89,4.42,...,...,...,-35.54,Friday,Friday,2018/04/27
371300,735,GoPro,GPRO,4.91,5.09,4.85,5.06,0.18,3.69,"2,658,653",11.89,4.42,...,...,...,-33.16,Monday,Monday,2018/04/30
371301,733,GoPro,GPRO,5.02,5.07,4.81,4.91,-0.15,-2.96,"4,093,847",11.89,4.42,...,...,...,-35.14,Tuesday,Tuesday,2018/05/01
371302,728,GoPro,GPRO,4.98,5.07,4.84,4.96,-0.01,-0.20,"3,879,036",11.89,4.42,...,...,...,-34.48,Thursday,Thursday,2018/05/03
371303,735,GoPro,GPRO,4.93,5.54,4.89,5.45,0.49,9.88,"12,686,570",11.89,4.42,...,...,...,-28.01,Friday,Friday,2018/05/04
371304,738,GoPro,GPRO,5.47,5.52,5.25,5.43,-0.02,-0.37,"4,866,678",11.89,4.42,...,...,...,-28.27,Monday,Monday,2018/05/07
371305,740,GoPro,GPRO,5.44,5.94,5.4,5.68,0.25,4.60,"6,939,947",11.89,4.42,...,...,...,-24.97,Tuesday,Tuesday,2018/05/08
371306,739,GoPro,GPRO,5.68,5.92,5.68,5.7,0.02,0.35,"3,894,562",11.89,4.42,...,...,...,-24.70,Wednesday,Wednesday,2018/05/09
371307,736,GoPro,GPRO,5.72,5.91,5.53,5.56,-0.14,-2.46,"4,575,217",11.89,4.42,...,...,...,-26.55,Thursday,Thursday,2018/05/10
371308,738,GoPro,GPRO,5.54,5.76,5.46,5.74,0.18,3.24,"2,730,651",11.89,4.42,...,...,...,-24.17,Friday,Friday,2018/05/11
371309,738,GoPro,GPRO,5.75,5.81,5.6,5.65,-0.09,-1.57,"2,644,781",11.89,4.42,...,...,...,-25.36,Monday,Monday,2018/05/14
371310,738,GoPro,GPRO,5.62,5.78,5.56,5.74,0.09,1.59,"2,630,486",11.89,4.42,...,...,...,-24.17,Tuesday,Tuesday,2018/05/15
371311,742,GoPro,GPRO,5.74,5.9,5.65,5.86,0.12,2.09,"2,062,932",11.89,4.42,...,...,...,-22.59,Wednesday,Wednesday,2018/05/16
371312,738,GoPro,GPRO,5.85,6.02,5.79,5.99,0.13,2.22,"3,409,042",11.89,4.42,...,...,...,-20.87,Thursday,Thursday,2018/05/17
371313,737,GoPro,GPRO,6.0,6.02,5.39,5.42,-0.57,-9.52,"4,905,037",11.89,4.42,...,...,...,-28.40,Friday,Friday,2018/05/18
371314,738,GoPro,GPRO,5.51,5.6,5.42,5.46,0.04,0.74,"1,802,718",11.89,4.42,...,...,...,-27.87,Monday,Monday,2018/05/21
371315,738,GoPro,GPRO,5.48,5.51,5.31,5.35,-0.11,-2.01,"2,360,194",11.89,4.42,...,...,...,-29.33,Tuesday,Tuesday,2018/05/22
371316,736,GoPro,GPRO,5.36,5.5,5.31,5.47,0.12,2.24,"2,035,070",11.89,4.42,...,...,...,-27.74,Wednesday,Wednesday,2018/05/23
371317,738,GoPro,GPRO,5.45,5.55,5.41,5.54,0.07,1.28,"1,563,416",11.89,4.42,...,...,...,-26.82,Thursday,Thursday,2018/05/24
371318,737,GoPro,GPRO,5.52,5.59,5.46,5.55,0.01,0.18,"1,667,480",11.89,4.42,...,...,...,-26.68,Friday,Friday,2018/05/25
