,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
375177,905,GS Acquisition Holdings WT,GSAH%,1.8,1.9,1.75,1.84,0.04,2.22,"22,700",...,...,...,...,...,...,Monday,Monday,2018/07/30
375178,906,GS Acquisition Holdings WT,GSAH%,1.75,1.75,1.75,1.75,-0.09,-4.89,"3,000",1.9,1.75,...,...,...,...,Wednesday,Wednesday,2018/08/01
375179,906,GS Acquisition Holdings WT,GSAH%,1.75,1.75,1.75,1.75,...,...,100,1.9,1.75,...,...,...,...,Thursday,Thursday,2018/08/02
375180,911,GS Acquisition Holdings WT,GSAH%,1.75,1.75,1.75,1.75,...,...,"2,000",1.9,1.75,...,...,...,...,Friday,Friday,2018/08/03
375181,906,GS Acquisition Holdings WT,GSAH%,1.97,2.15,1.89,2.0,0.25,14.29,"67,566",2.15,1.75,...,...,...,...,Tuesday,Tuesday,2018/08/07
375182,910,GS Acquisition Holdings WT,GSAH%,1.88,1.88,1.88,1.88,-0.12,-6.05,"3,900",2.15,1.75,...,...,...,...,Monday,Monday,2018/08/20
375183,910,GS Acquisition Holdings WT,GSAH%,1.9,1.9,1.9,1.9,0.02,1.12,"10,300",2.15,1.75,...,...,...,...,Thursday,Thursday,2018/08/23
375184,909,GS Acquisition Holdings WT,GSAH%,1.75,1.85,1.75,1.85,-0.05,-2.63,"3,133",2.15,1.75,...,...,...,...,Monday,Monday,2018/08/27
375185,901,GS Acquisition Holdings WT,GSAH%,1.9,1.9,1.9,1.9,0.05,2.70,500,2.15,1.75,...,...,...,...,Friday,Friday,2018/08/31
375186,904,GS Acquisition Holdings WT,GSAH%,1.8,1.85,1.79,1.85,-0.05,-2.63,500,2.15,1.75,...,...,...,...,Tuesday,Tuesday,2018/09/04
375187,900,GS Acquisition Holdings WT,GSAH%,1.7,1.88,1.7,1.85,...,...,"229,600",2.15,1.7,...,...,...,...,Thursday,Thursday,2018/09/06
375188,909,GS Acquisition Holdings WT,GSAH%,1.85,1.85,1.85,1.85,...,...,300,2.15,1.7,...,...,...,...,Tuesday,Tuesday,2018/09/11
375189,906,GS Acquisition Holdings WT,GSAH%,1.90,1.9,1.80,1.80,-0.05,-2.70,"2,100",2.15,1.70,...,...,...,...,Thursday,Thursday,2018/09/13
375190,907,GS Acquisition Holdings WT,GSAH%,1.75,1.80,1.72,1.80,...,...,"21,700",2.15,1.70,...,...,...,...,Monday,Monday,2018/09/17
375191,905,GS Acquisition Holdings WT,GSAH%,1.75,1.75,1.75,1.75,-0.05,-2.78,"7,900",2.15,1.70,...,...,...,...,Wednesday,Wednesday,2018/09/19
375192,910,GS Acquisition Holdings WT,GSAH%,1.75,1.75,1.75,1.75,...,...,200,2.15,1.70,...,...,...,...,Thursday,Thursday,2018/09/20
375193,905,GS Acquisition Holdings WT,GSAH%,1.65,1.71,1.65,1.71,-0.04,-2.29,"5,300",2.15,1.65,...,...,...,...,Thursday,Thursday,2018/09/27
375194,913,GS Acquisition Holdings WT,GSAH%,1.65,1.70,1.65,1.70,-0.01,-0.58,"7,600",2.15,1.65,...,...,...,...,Friday,Friday,2018/09/28
375195,910,GS Acquisition Holdings WT,GSAH%,1.65,1.73,1.65,1.65,-0.05,-2.94,"6,100",2.15,1.65,...,...,...,...,Thursday,Thursday,2018/10/04
375196,908,GS Acquisition Holdings WT,GSAH%,1.60,1.65,1.60,1.65,...,...,"1,100",2.15,1.60,...,...,...,...,Tuesday,Tuesday,2018/10/09
375197,907,GS Acquisition Holdings WT,GSAH%,1.64,1.64,1.64,1.64,-0.01,-0.61,500,2.15,1.60,...,...,...,...,Monday,Monday,2018/10/15
375198,907,GS Acquisition Holdings WT,GSAH%,1.60,1.65,1.60,1.65,0.01,0.61,"3,600",2.15,1.60,...,...,...,...,Monday,Monday,2018/10/22
375199,906,GS Acquisition Holdings WT,GSAH%,1.65,1.65,1.65,1.65,...,...,100,2.15,1.60,...,...,...,...,Friday,Friday,2018/10/26
375200,908,GS Acquisition Holdings WT,GSAH%,1.68,1.68,1.68,1.68,0.03,1.82,100,2.15,1.60,...,...,...,...,Monday,Monday,2018/10/29
375201,909,GS Acquisition Holdings WT,GSAH%,1.57,1.57,1.50,1.53,-0.15,-8.93,"13,200",2.15,1.50,...,...,...,...,Friday,Friday,2018/11/02
375202,909,GS Acquisition Holdings WT,GSAH%,1.56,1.56,1.56,1.56,0.03,1.96,100,2.15,1.50,...,...,...,...,Monday,Monday,2018/11/05
375203,911,GS Acquisition Holdings WT,GSAH%,1.70,1.70,1.54,1.54,-0.02,-1.28,"1,000",2.15,1.50,...,...,...,...,Tuesday,Tuesday,2018/11/06
375204,904,GS Acquisition Holdings WT,GSAH%,1.50,1.50,1.50,1.50,-0.04,-2.60,200,2.15,1.50,...,...,...,...,Friday,Friday,2018/11/09
375205,906,GS Acquisition Holdings WT,GSAH%,1.45,1.45,1.45,1.45,-0.05,-3.33,200,2.15,1.45,...,...,...,...,Monday,Monday,2018/11/12
375206,904,GS Acquisition Holdings WT,GSAH%,1.45,1.45,1.45,1.45,...,...,200,2.15,1.45,...,...,...,...,Tuesday,Tuesday,2018/11/13
375207,905,GS Acquisition Holdings WT,GSAH%,1.45,1.45,1.45,1.45,...,...,100,2.15,1.45,...,...,...,...,Thursday,Thursday,2018/11/15
375208,905,GS Acquisition Holdings WT,GSAH%,1.44,1.44,1.44,1.44,-0.01,-0.69,200,2.15,1.44,...,...,...,...,Friday,Friday,2018/11/16
375209,912,GS Acquisition Holdings WT,GSAH%,1.50,1.50,1.40,1.40,-0.04,-2.78,500,2.15,1.40,...,...,...,...,Monday,Monday,2018/11/19
375210,906,GS Acquisition Holdings WT,GSAH%,1.43,1.45,1.43,1.45,0.05,3.57,"1,100",2.15,1.40,...,...,...,...,Tuesday,Tuesday,2018/11/20
375211,910,GS Acquisition Holdings WT,GSAH%,1.55,1.55,1.42,1.47,0.02,1.38,"8,706",2.15,1.40,...,...,...,...,Monday,Monday,2018/11/26
375212,911,GS Acquisition Holdings WT,GSAH%,1.45,1.45,1.45,1.45,-0.02,-1.36,600,2.15,1.4,...,...,...,...,Friday,Friday,2018/11/30
375213,910,GS Acquisition Holdings WT,GSAH%,1.49,1.49,1.49,1.49,0.04,2.76,100,2.15,1.4,...,...,...,...,Tuesday,Tuesday,2018/12/04
375214,907,GS Acquisition Holdings WT,GSAH%,1.4,1.48,1.36,1.37,-0.12,-8.05,"14,933",2.15,1.36,...,...,...,...,Thursday,Thursday,2018/12/13
375215,904,GS Acquisition Holdings WT,GSAH%,1.4,1.4,1.22,1.38,0.01,0.73,"9,500",2.15,1.22,...,...,...,...,Friday,Friday,2018/12/14
375216,907,GS Acquisition Holdings WT,GSAH%,1.3,1.3,1.3,1.3,-0.08,-5.80,400,2.15,1.22,...,...,...,...,Monday,Monday,2018/12/17
375217,904,GS Acquisition Holdings WT,GSAH%,1.3,1.32,1.25,1.3,...,...,"14,302",2.15,1.22,...,...,...,...,Tuesday,Tuesday,2018/12/18
375218,910,GS Acquisition Holdings WT,GSAH%,1.27,1.32,1.25,1.32,0.02,1.54,"5,100",2.15,1.22,...,...,...,...,Wednesday,Wednesday,2018/12/26
375219,903,GS Acquisition Holdings WT,GSAH%,1.25,1.32,1.25,1.25,-0.07,-5.13,"3,933",2.15,1.22,...,...,...,...,Monday,Monday,2018/12/31
375220,899,GS Acquisition Holdings WT,GSAH%,1.27,1.27,1.25,1.25,-0.00,-0.18,300,2.15,1.22,...,...,...,-0.18,Wednesday,Wednesday,2019/01/02
375221,899,GS Acquisition Holdings WT,GSAH%,1.25,1.25,1.25,1.25,...,...,200,2.15,1.22,...,...,...,-0.18,Friday,Friday,2019/01/04
375222,900,GS Acquisition Holdings WT,GSAH%,1.25,1.25,1.25,1.25,...,...,"10,200",2.15,1.22,...,...,...,-0.18,Monday,Monday,2019/01/07
375223,900,GS Acquisition Holdings WT,GSAH%,1.25,1.25,1.24,1.24,-0.01,-0.48,"1,400",2.15,1.22,...,...,...,-0.66,Wednesday,Wednesday,2019/01/09
375224,896,GS Acquisition Holdings WT,GSAH%,1.22,1.25,1.22,1.24,-0.01,-0.72,"5,300",2.15,1.22,...,...,...,-1.38,Wednesday,Wednesday,2019/01/16
375225,899,GS Acquisition Holdings WT,GSAH%,1.2,1.2,1.2,1.2,-0.04,-2.83,200,2.15,1.20,...,...,...,-4.18,Thursday,Thursday,2019/01/17
375226,901,GS Acquisition Holdings WT,GSAH%,1.18,1.18,1.18,1.18,-0.02,-1.67,"2,600",2.15,1.18,...,...,...,-5.77,Friday,Friday,2019/01/18
375227,902,GS Acquisition Holdings WT,GSAH%,1.15,1.22,1.11,1.15,-0.03,-2.54,"10,300",2.15,1.11,...,...,...,-8.17,Tuesday,Tuesday,2019/01/22
375228,898,GS Acquisition Holdings WT,GSAH%,1.15,1.15,1.15,1.15,...,...,"10,000",2.15,1.11,...,...,...,-8.17,Wednesday,Wednesday,2019/01/23
375229,901,GS Acquisition Holdings WT,GSAH%,1.15,1.21,1.15,1.21,0.06,5.22,"323,911",2.15,1.11,...,...,...,-3.38,Thursday,Thursday,2019/01/24
375230,893,GS Acquisition Holdings WT,GSAH%,1.22,1.27,1.22,1.27,0.06,4.96,"179,950",2.15,1.11,...,...,...,1.41,Friday,Friday,2019/01/25
