,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
375934,323,Gores Holdings II Cl A,GSHT,10.01,10.03,10.00,10.00,-0.05,-0.50,"152,300",11.24,9.30,...,...,...,0.60,Thursday,Thursday,2018/03/29
375935,316,Gores Holdings II Cl A,GSHT,10.0,10.05,10.0,10.05,...,...,954,11.24,9.30,...,...,...,1.11,Wednesday,Wednesday,2018/04/11
375936,319,Gores Holdings II Cl A,GSHT,10.04,10.05,10.04,10.05,...,...,"20,377",11.24,9.30,...,...,...,1.11,Wednesday,Wednesday,2018/04/18
375937,304,Gores Holdings II Cl A,GSHT,10.02,10.02,10.02,10.02,-0.03,-0.30,154,11.24,9.3,...,...,...,0.80,Thursday,Thursday,2018/04/19
375938,307,Gores Holdings II Cl A,GSHT,10.04,10.08,10.02,10.08,0.06,0.60,"7,401",11.24,9.30,...,...,...,1.41,Friday,Friday,2018/04/20
375939,316,Gores Holdings II Cl A,GSHT,10.1,10.1,10.1,10.1,0.01,0.10,"8,153",11.24,9.3,...,...,...,1.61,Tuesday,Tuesday,2018/04/24
375940,308,Gores Holdings II Cl A,GSHT,10.09,10.09,10.09,10.09,-0.01,-0.10,"15,551",11.24,9.30,...,...,...,1.51,Wednesday,Wednesday,2018/04/25
375941,317,Gores Holdings II Cl A,GSHT,10.08,10.08,10.06,10.06,-0.03,-0.30,"4,213",11.24,9.3,...,...,...,1.21,Monday,Monday,2018/04/30
375942,306,Gores Holdings II Cl A,GSHT,10.06,10.06,10.06,10.06,...,...,430,11.24,9.30,...,...,...,1.21,Tuesday,Tuesday,2018/05/01
375943,306,Gores Holdings II Cl A,GSHT,10.03,10.05,10.03,10.05,-0.01,-0.10,"10,045",11.24,9.30,...,...,...,1.11,Friday,Friday,2018/05/04
375944,315,Gores Holdings II Cl A,GSHT,10.0,10.04,10.00,10.04,-0.01,-0.10,"2,724",11.24,9.30,...,...,...,1.01,Thursday,Thursday,2018/05/10
375945,317,Gores Holdings II Cl A,GSHT,10.03,10.03,10.03,10.03,-0.01,-0.10,"6,347",11.24,9.30,...,...,...,0.91,Friday,Friday,2018/05/11
375946,317,Gores Holdings II Cl A,GSHT,10.01,10.01,10.01,10.01,-0.02,-0.25,546,10.4,9.30,...,...,...,0.65,Tuesday,Tuesday,2018/05/15
375947,309,Gores Holdings II Cl A,GSHT,10.0,10.0,10.0,10.0,-0.01,-0.05,"1,033",10.4,9.85,...,...,...,0.60,Friday,Friday,2018/05/18
375948,317,Gores Holdings II Cl A,GSHT,10.02,10.02,10.02,10.02,0.02,0.20,153,10.4,9.85,...,...,...,0.80,Monday,Monday,2018/05/21
375949,318,Gores Holdings II Cl A,GSHT,10.12,10.12,10.02,10.02,...,...,"21,431",10.40,9.85,...,...,...,0.80,Tuesday,Tuesday,2018/05/22
375950,311,Gores Holdings II Cl A,GSHT,10.03,10.08,10.03,10.04,0.02,0.20,"18,305",10.4,9.85,...,...,...,1.01,Wednesday,Wednesday,2018/05/23
375951,319,Gores Holdings II Cl A,GSHT,10.08,10.12,10.07,10.12,0.08,0.80,"34,670",10.40,9.85,...,...,...,1.81,Thursday,Thursday,2018/05/24
375952,317,Gores Holdings II Cl A,GSHT,10.0,10.08,10.0,10.0,-0.12,-1.19,"11,661",10.40,9.85,...,...,240.96,0.60,Thursday,Thursday,2018/05/31
375953,314,Gores Holdings II Cl A,GSHT,10.00,10.04,10.04,10.04,0.04,0.40,552,10.4,9.85,...,...,241.93,1.01,Tuesday,Tuesday,2018/06/05
375954,318,Gores Holdings II Cl A,GSHT,10.04,10.04,10.04,10.04,...,...,250,10.40,9.85,...,...,241.93,1.01,Wednesday,Wednesday,2018/06/06
375955,318,Gores Holdings II Cl A,GSHT,10.08,10.08,10.07,10.07,0.03,0.30,406,10.4,9.85,...,...,242.65,1.31,Thursday,Thursday,2018/06/07
375956,315,Gores Holdings II Cl A,GSHT,10.05,10.05,10.05,10.05,-0.02,-0.20,202,10.4,9.85,...,...,242.17,1.11,Friday,Friday,2018/06/08
375957,312,Gores Holdings II Cl A,GSHT,10.05,10.05,10.05,10.05,...,...,"11,089",10.40,9.85,...,...,242.17,1.11,Monday,Monday,2018/06/11
375958,314,Gores Holdings II Cl A,GSHT,10.07,10.08,10.07,10.08,0.03,0.26,"2,247",10.4,9.85,...,...,242.81,1.37,Tuesday,Tuesday,2018/06/12
375959,310,Gores Holdings II Cl A,GSHT,10.1,10.1,10.01,10.01,-0.07,-0.66,"4,659",10.4,9.85,...,...,241.20,0.70,Wednesday,Wednesday,2018/06/13
375960,317,Gores Holdings II Cl A,GSHT,10.05,10.05,10.05,10.05,0.04,0.45,102,10.4,9.85,...,...,242.29,1.16,Thursday,Thursday,2018/06/14
375961,308,Gores Holdings II Cl A,GSHT,10.08,10.09,10.05,10.05,-0.00,-0.05,"4,896",10.4,9.85,...,...,242.17,1.11,Monday,Monday,2018/06/18
375962,306,Gores Holdings II Cl A,GSHT,10.09,10.09,10.04,10.04,-0.01,-0.10,964,10.40,9.85,...,...,241.93,1.01,Tuesday,Tuesday,2018/06/19
375963,309,Gores Holdings II Cl A,GSHT,10.07,10.08,10.06,10.08,0.04,0.40,969,10.40,9.85,...,...,242.89,1.41,Wednesday,Wednesday,2018/06/20
375964,314,Gores Holdings II Cl A,GSHT,10.24,10.35,10.15,10.17,0.09,0.89,"2,336,640",10.40,9.85,...,...,245.06,2.31,Thursday,Thursday,2018/06/21
375965,315,Gores Holdings II Cl A,GSHT,10.25,10.25,10.15,10.17,...,...,"2,906,376",10.4,9.85,...,...,245.06,2.31,Friday,Friday,2018/06/22
375966,318,Gores Holdings II Cl A,GSHT,10.15,10.18,10.15,10.15,-0.02,-0.20,"209,316",10.4,9.85,...,...,244.58,2.11,Monday,Monday,2018/06/25
375967,326,Gores Holdings II Cl A,GSHT,10.16,10.17,10.16,10.17,0.02,0.22,"7,101",10.4,9.85,...,...,245.11,2.34,Tuesday,Tuesday,2018/06/26
375968,308,Gores Holdings II Cl A,GSHT,10.15,10.2,10.13,10.18,0.01,0.08,"543,002",10.4,9.85,...,...,245.30,2.41,Wednesday,Wednesday,2018/06/27
375969,319,Gores Holdings II Cl A,GSHT,10.16,10.18,10.14,10.17,-0.01,-0.10,"11,693",10.40,9.85,...,...,245.06,2.31,Thursday,Thursday,2018/06/28
375970,325,Gores Holdings II Cl A,GSHT,10.18,10.18,10.16,10.16,-0.01,-0.14,"3,320",10.40,9.85,...,...,244.71,2.17,Friday,Friday,2018/06/29
375971,304,Gores Holdings II Cl A,GSHT,10.17,10.18,10.17,10.18,0.02,0.24,325,10.4,9.85,...,...,245.30,2.41,Monday,Monday,2018/07/02
375972,302,Gores Holdings II Cl A,GSHT,10.13,10.18,10.13,10.16,-0.02,-0.20,"2,056",10.40,9.85,...,...,244.82,2.21,Tuesday,Tuesday,2018/07/03
375973,314,Gores Holdings II Cl A,GSHT,10.16,10.35,10.16,10.35,0.19,1.87,"101,380",10.4,9.85,...,...,249.40,4.12,Thursday,Thursday,2018/07/05
375974,323,Gores Holdings II Cl A,GSHT,10.2,10.2,10.16,10.19,-0.16,-1.55,"36,425",10.4,9.85,...,...,245.54,2.52,Friday,Friday,2018/07/06
375975,313,Gores Holdings II Cl A,GSHT,10.14,10.19,10.1,10.15,-0.04,-0.39,"823,922",10.4,9.85,...,...,244.58,2.11,Monday,Monday,2018/07/09
375976,319,Gores Holdings II Cl A,GSHT,10.14,10.14,10.13,10.13,-0.02,-0.20,"155,900",10.4,9.85,...,...,244.10,1.91,Tuesday,Tuesday,2018/07/10
375977,314,Gores Holdings II Cl A,GSHT,10.12,10.14,10.12,10.14,0.01,0.10,"111,550",10.4,9.85,...,...,244.34,2.01,Wednesday,Wednesday,2018/07/11
375978,319,Gores Holdings II Cl A,GSHT,10.14,10.15,10.13,10.15,0.01,0.10,"1,300",10.4,9.85,...,...,244.58,2.11,Thursday,Thursday,2018/07/12
375979,311,Gores Holdings II Cl A,GSHT,10.15,10.17,10.14,10.16,0.01,0.10,"51,440",10.40,9.85,...,...,244.82,2.21,Friday,Friday,2018/07/13
375980,313,Gores Holdings II Cl A,GSHT,10.15,10.18,10.14,10.17,0.01,0.10,"652,050",10.40,9.85,...,...,245.06,2.31,Monday,Monday,2018/07/16
375981,321,Gores Holdings II Cl A,GSHT,10.14,10.18,10.14,10.14,-0.03,-0.29,"128,393",10.40,9.85,...,...,244.34,2.01,Tuesday,Tuesday,2018/07/17
375982,320,Gores Holdings II Cl A,GSHT,10.17,10.17,10.16,10.16,0.02,0.20,"2,581",10.40,9.85,...,...,244.82,2.21,Wednesday,Wednesday,2018/07/18
375983,324,Gores Holdings II Cl A,GSHT,10.16,10.18,10.14,10.16,...,...,"1,077,931",10.40,9.85,...,...,244.82,2.21,Thursday,Thursday,2018/07/19
375984,314,Gores Holdings II Cl A,GSHT,10.16,10.17,10.13,10.15,-0.01,-0.10,"9,248",10.4,9.85,...,...,244.58,2.11,Friday,Friday,2018/07/20
375985,318,Gores Holdings II Cl A,GSHT,10.16,10.17,10.15,10.16,0.01,0.10,"7,728",10.4,9.85,...,...,244.82,2.21,Monday,Monday,2018/07/23
375986,317,Gores Holdings II Cl A,GSHT,10.16,10.19,10.16,10.18,0.02,0.20,"121,104",10.40,9.85,...,...,245.30,2.41,Tuesday,Tuesday,2018/07/24
375987,312,Gores Holdings II Cl A,GSHT,10.17,10.17,10.17,10.17,-0.01,-0.10,"35,645",10.40,9.85,...,...,245.06,2.31,Wednesday,Wednesday,2018/07/25
375988,318,Gores Holdings II Cl A,GSHT,10.18,10.23,10.17,10.2,0.03,0.29,"732,373",10.40,9.85,...,...,245.78,2.62,Thursday,Thursday,2018/07/26
375989,311,Gores Holdings II Cl A,GSHT,10.20,10.25,10.20,10.24,0.04,0.39,"252,439",10.40,9.85,...,...,246.75,3.02,Friday,Friday,2018/07/27
375990,309,Gores Holdings II Cl A,GSHT,10.25,10.28,10.20,10.25,0.01,0.10,"3,063,903",10.4,9.85,...,...,246.99,3.12,Monday,Monday,2018/07/30
375991,322,Gores Holdings II Cl A,GSHT,10.25,10.3,10.25,10.26,0.01,0.10,"382,148",10.4,9.85,...,...,247.23,3.22,Tuesday,Tuesday,2018/07/31
375992,317,Gores Holdings II Cl A,GSHT,10.26,10.32,10.26,10.3,0.04,0.39,"587,593",10.4,9.85,...,...,248.19,3.62,Wednesday,Wednesday,2018/08/01
375993,321,Gores Holdings II Cl A,GSHT,10.3,10.3,10.26,10.26,-0.04,-0.39,"54,919",10.40,9.85,...,...,247.23,3.22,Thursday,Thursday,2018/08/02
375994,307,Gores Holdings II Cl A,GSHT,10.25,10.3,10.25,10.29,0.03,0.24,"3,065",10.40,9.85,...,...,247.83,3.47,Friday,Friday,2018/08/03
