,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
376946,626,Ferroglobe,GSM,10.66,10.89,10.61,10.73,0.12,1.13,"1,104,788",17.61,8.54,0.32,2.98,71.53,-33.77,Thursday,Thursday,2018/03/29
376947,617,Ferroglobe,GSM,10.83,10.96,10.73,10.9,0.06,0.55,"662,503",17.61,8.54,0.32,2.94,72.67,-32.72,Wednesday,Wednesday,2018/04/11
376948,620,Ferroglobe,GSM,11.0,11.1,10.74,10.99,0.09,0.83,"636,619",17.61,8.54,0.32,2.91,73.27,-32.16,Thursday,Thursday,2018/04/12
376949,621,Ferroglobe,GSM,11.31,11.44,11.29,11.34,0.08,0.71,"766,347",17.61,8.54,0.32,2.82,75.60,-30.00,Tuesday,Tuesday,2018/04/17
376950,623,Ferroglobe,GSM,11.34,11.45,11.18,11.19,-0.15,-1.32,"655,564",17.61,8.54,0.32,2.86,74.60,-30.93,Wednesday,Wednesday,2018/04/18
376951,624,Ferroglobe,GSM,11.12,11.21,10.97,11.05,-0.14,-1.25,"537,585",17.61,8.54,0.32,2.90,73.67,-31.79,Thursday,Thursday,2018/04/19
376952,622,Ferroglobe,GSM,11.04,11.17,10.9,11.09,0.04,0.36,"1,188,840",17.61,8.54,0.32,2.89,73.93,-31.54,Friday,Friday,2018/04/20
376953,621,Ferroglobe,GSM,11.1,11.24,10.88,11.02,...,...,"373,095",17.61,8.54,0.32,2.90,73.47,-31.98,Tuesday,Tuesday,2018/04/24
376954,620,Ferroglobe,GSM,11.04,11.4,10.88,11.23,0.21,1.91,"526,323",17.61,8.54,0.32,2.85,74.87,-30.68,Wednesday,Wednesday,2018/04/25
376955,619,Ferroglobe,GSM,11.17,11.26,10.96,11.2,...,...,"409,390",17.61,8.54,0.32,2.86,74.67,-30.86,Friday,Friday,2018/04/27
376956,620,Ferroglobe,GSM,11.25,11.49,11.21,11.3,0.10,0.89,"591,764",17.61,8.54,0.32,2.83,75.33,-30.25,Monday,Monday,2018/04/30
376957,618,Ferroglobe,GSM,11.24,11.36,11.05,11.32,0.02,0.18,"411,493",17.61,8.54,0.32,2.83,75.47,-30.12,Tuesday,Tuesday,2018/05/01
376958,613,Ferroglobe,GSM,11.4,11.5,11.23,11.48,0.12,1.06,"569,065",17.61,8.54,0.32,2.79,76.53,-29.14,Thursday,Thursday,2018/05/03
376959,620,Ferroglobe,GSM,11.5,11.77,11.5,11.69,0.21,1.83,"407,004",17.61,8.54,0.32,2.74,77.93,-27.84,Friday,Friday,2018/05/04
376960,623,Ferroglobe,GSM,11.66,11.67,11.47,11.54,-0.15,-1.28,"329,220",17.61,8.54,0.32,2.77,76.93,-28.77,Monday,Monday,2018/05/07
376961,626,Ferroglobe,GSM,11.54,11.6,11.01,11.23,-0.31,-2.69,"744,725",17.61,8.54,0.32,2.85,74.87,-30.68,Tuesday,Tuesday,2018/05/08
376962,624,Ferroglobe,GSM,11.29,11.35,11.02,11.3,0.07,0.62,"828,437",17.61,8.54,0.32,2.83,75.33,-30.25,Wednesday,Wednesday,2018/05/09
376963,623,Ferroglobe,GSM,11.31,11.31,11.19,11.21,-0.09,-0.80,"445,407",17.61,8.54,0.32,2.85,74.73,-30.80,Thursday,Thursday,2018/05/10
376964,623,Ferroglobe,GSM,11.22,11.28,11.07,11.19,-0.02,-0.18,"607,237",17.61,8.54,0.32,2.86,74.60,-30.93,Friday,Friday,2018/05/11
376965,623,Ferroglobe,GSM,11.16,11.24,10.93,11.07,-0.12,-1.07,"670,437",17.61,8.54,0.32,2.89,73.80,-31.67,Monday,Monday,2018/05/14
376966,623,Ferroglobe,GSM,11.0,11.08,10.8,11.06,-0.01,-0.09,"476,399",17.61,8.54,0.32,2.89,73.73,-31.73,Tuesday,Tuesday,2018/05/15
376967,626,Ferroglobe,GSM,11.03,11.25,10.98,11.24,0.18,1.63,"525,136",17.61,8.54,0.32,2.85,74.93,-30.62,Wednesday,Wednesday,2018/05/16
376968,623,Ferroglobe,GSM,11.19,11.28,10.62,10.69,-0.55,-4.89,"782,159",17.61,8.54,0.32,2.99,71.27,-34.01,Thursday,Thursday,2018/05/17
