,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
381920,823,Gazit-Globe,GZT,9.8,9.9,9.8,9.82,0.22,2.29,"1,172",11.0,9.01,0.40,4.03,3.94,-6.74,Thursday,Thursday,2018/03/29
381921,816,Gazit-Globe,GZT,9.58,9.7,9.47,9.7,-0.04,-0.44,"3,354",11.00,9.01,...,...,3.90,-7.88,Wednesday,Wednesday,2018/04/11
381922,818,Gazit-Globe,GZT,9.62,9.81,9.62,9.7,...,...,"20,522",11.00,9.01,...,...,3.90,-7.88,Thursday,Thursday,2018/04/12
381923,812,Gazit-Globe,GZT,9.89,9.99,9.82,9.9,0.10,1.02,"3,761",11.00,9.01,...,...,3.98,-5.98,Tuesday,Tuesday,2018/04/17
381924,814,Gazit-Globe,GZT,10.0,10.0,9.85,9.97,0.07,0.71,"1,053",11.0,9.01,...,...,4.00,-5.32,Wednesday,Wednesday,2018/04/18
381925,818,Gazit-Globe,GZT,10.03,10.03,10.03,10.03,0.06,0.60,336,11.00,9.01,...,...,4.03,-4.75,Thursday,Thursday,2018/04/19
381926,814,Gazit-Globe,GZT,9.89,9.89,9.76,9.76,-0.27,-2.69,"1,165",11.00,9.01,...,...,3.92,-7.31,Friday,Friday,2018/04/20
381927,815,Gazit-Globe,GZT,9.55,9.56,9.45,9.47,-0.16,-1.68,"4,822",11.00,9.01,...,...,3.80,-10.08,Tuesday,Tuesday,2018/04/24
381928,820,Gazit-Globe,GZT,9.5,9.5,9.35,9.4,-0.07,-0.72,"2,186",11.0,9.01,...,...,3.78,-10.73,Wednesday,Wednesday,2018/04/25
381929,817,Gazit-Globe,GZT,9.65,9.8,9.63,9.69,0.08,0.83,"14,180",11.00,9.01,...,...,3.89,-7.98,Friday,Friday,2018/04/27
381930,816,Gazit-Globe,GZT,9.68,9.68,9.44,9.44,-0.25,-2.58,"4,960",11.00,9.01,...,...,3.79,-10.35,Monday,Monday,2018/04/30
381931,821,Gazit-Globe,GZT,9.57,9.57,9.56,9.56,0.12,1.27,436,11.00,9.01,...,...,3.84,-9.21,Tuesday,Tuesday,2018/05/01
