,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
384698,825,Huntington Bancshares,HBAN,15.08,15.18,14.9,15.1,0.08,0.53,"7,647,108",16.60,12.14,0.44,2.91,15.18,3.71,Thursday,Thursday,2018/03/29
384699,811,Huntington Bancshares,HBAN,14.78,14.84,14.63,14.65,-0.22,-1.48,"6,673,385",16.60,12.14,0.44,3.00,14.73,0.62,Wednesday,Wednesday,2018/04/11
384700,814,Huntington Bancshares,HBAN,14.79,15.08,14.75,14.99,0.34,2.32,"8,601,642",16.6,12.14,0.44,2.94,15.07,2.95,Thursday,Thursday,2018/04/12
384701,817,Huntington Bancshares,HBAN,14.76,14.76,14.39,14.48,-0.19,-1.30,"8,066,042",16.60,12.14,0.44,3.04,14.56,-0.55,Tuesday,Tuesday,2018/04/17
384702,820,Huntington Bancshares,HBAN,14.49,14.63,14.38,14.49,0.01,0.07,"8,069,810",16.6,12.14,0.44,3.04,14.57,-0.48,Wednesday,Wednesday,2018/04/18
384703,821,Huntington Bancshares,HBAN,14.49,14.71,14.49,14.68,0.19,1.31,"6,821,477",16.60,12.14,0.44,3.00,14.76,0.82,Thursday,Thursday,2018/04/19
384704,820,Huntington Bancshares,HBAN,14.71,14.87,14.63,14.75,0.07,0.48,"7,368,991",16.60,12.14,0.44,2.98,14.83,1.30,Friday,Friday,2018/04/20
384705,819,Huntington Bancshares,HBAN,15.04,15.1,14.65,14.85,-0.16,-1.07,"11,230,120",16.6,12.14,0.44,2.96,14.93,1.99,Tuesday,Tuesday,2018/04/24
384706,819,Huntington Bancshares,HBAN,14.88,15.15,14.76,15.06,0.21,1.41,"8,054,898",16.6,12.14,0.44,2.92,13.63,3.43,Wednesday,Wednesday,2018/04/25
384707,816,Huntington Bancshares,HBAN,15.02,15.15,14.97,15.14,0.11,0.73,"5,545,901",16.60,12.14,0.44,2.91,13.70,3.98,Friday,Friday,2018/04/27
384708,819,Huntington Bancshares,HBAN,15.16,15.25,14.91,14.91,-0.23,-1.52,"5,837,767",16.6,12.14,0.44,2.95,13.50,2.40,Monday,Monday,2018/04/30
384709,817,Huntington Bancshares,HBAN,14.83,14.9,14.68,14.81,-0.10,-0.67,"6,743,666",16.6,12.14,0.44,2.97,13.41,1.72,Tuesday,Tuesday,2018/05/01
384710,809,Huntington Bancshares,HBAN,14.59,14.61,14.26,14.46,-0.20,-1.36,"7,434,225",16.60,12.14,0.44,3.04,13.09,-0.69,Thursday,Thursday,2018/05/03
384711,817,Huntington Bancshares,HBAN,14.52,14.8,14.26,14.7,0.24,1.66,"5,756,337",16.60,12.14,0.44,2.99,13.31,0.96,Friday,Friday,2018/05/04
384712,821,Huntington Bancshares,HBAN,14.74,14.84,14.6,14.73,0.03,0.20,"4,912,316",16.6,12.14,0.44,2.99,13.33,1.17,Monday,Monday,2018/05/07
384713,823,Huntington Bancshares,HBAN,14.72,15.02,14.69,14.86,0.13,0.88,"7,205,557",16.60,12.14,0.44,2.96,13.45,2.06,Tuesday,Tuesday,2018/05/08
384714,823,Huntington Bancshares,HBAN,14.94,15.18,14.88,15.09,0.23,1.55,"7,608,791",16.60,12.14,0.44,2.92,13.66,3.64,Wednesday,Wednesday,2018/05/09
384715,817,Huntington Bancshares,HBAN,15.07,15.22,14.97,15.14,0.05,0.33,"6,504,909",16.6,12.14,0.44,2.91,13.70,3.98,Thursday,Thursday,2018/05/10
384716,822,Huntington Bancshares,HBAN,15.16,15.23,15.08,15.13,-0.01,-0.07,"5,528,876",16.6,12.14,0.44,2.91,13.69,3.91,Friday,Friday,2018/05/11
384717,822,Huntington Bancshares,HBAN,15.17,15.2,15.04,15.11,-0.02,-0.13,"4,908,762",16.6,12.14,0.44,2.91,13.68,3.78,Monday,Monday,2018/05/14
384718,821,Huntington Bancshares,HBAN,15.09,15.3,15.05,15.15,0.04,0.26,"7,879,077",16.6,12.14,0.44,2.90,13.71,4.05,Tuesday,Tuesday,2018/05/15
384719,826,Huntington Bancshares,HBAN,15.12,15.23,15.06,15.1,-0.05,-0.33,"8,939,741",16.6,12.14,0.44,2.91,13.67,3.71,Wednesday,Wednesday,2018/05/16
384720,821,Huntington Bancshares,HBAN,15.1,15.36,15.02,15.35,0.25,1.66,"8,158,039",16.60,12.14,0.44,2.87,13.89,5.43,Thursday,Thursday,2018/05/17
384721,821,Huntington Bancshares,HBAN,15.28,15.34,15.12,15.12,-0.23,-1.50,"6,751,320",16.6,12.14,0.44,2.91,13.69,3.85,Friday,Friday,2018/05/18
384722,821,Huntington Bancshares,HBAN,15.08,15.36,15.08,15.22,0.10,0.66,"7,705,899",16.60,12.14,0.44,2.89,13.78,4.53,Monday,Monday,2018/05/21
384723,821,Huntington Bancshares,HBAN,15.22,15.51,15.22,15.36,0.14,0.92,"7,673,161",16.6,12.14,0.44,2.86,13.90,5.49,Tuesday,Tuesday,2018/05/22
384724,819,Huntington Bancshares,HBAN,15.32,15.38,15.08,15.18,-0.18,-1.17,"5,746,507",16.60,12.14,0.44,2.90,13.74,4.26,Wednesday,Wednesday,2018/05/23
384725,822,Huntington Bancshares,HBAN,15.18,15.19,14.87,15.15,-0.03,-0.20,"6,102,155",16.60,12.14,0.44,2.90,13.71,4.05,Thursday,Thursday,2018/05/24
384726,822,Huntington Bancshares,HBAN,15.06,15.17,15.02,15.1,-0.05,-0.33,"5,767,398",16.60,12.14,0.44,2.91,13.67,3.71,Friday,Friday,2018/05/25
