,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
389435,819,Hortonworks,HDP,19.85,20.64,19.54,20.37,0.63,3.19,"1,200,792",22.00,9.63,...,...,...,1.29,Thursday,Thursday,2018/03/29
389436,805,Hortonworks,HDP,17.77,18.4,17.66,18.06,0.23,1.29,"1,154,431",22.00,9.93,...,...,...,-10.19,Wednesday,Wednesday,2018/04/11
389437,808,Hortonworks,HDP,18.06,18.18,17.81,17.88,-0.18,-1.00,"1,089,153",22.0,9.93,...,...,...,-11.09,Thursday,Thursday,2018/04/12
389438,811,Hortonworks,HDP,17.76,18.49,17.76,18.4,0.70,3.95,"895,547",22.00,9.93,...,...,...,-8.50,Tuesday,Tuesday,2018/04/17
389439,814,Hortonworks,HDP,18.38,18.69,18.31,18.54,0.14,0.76,"610,215",22.0,9.93,...,...,...,-7.81,Wednesday,Wednesday,2018/04/18
389440,815,Hortonworks,HDP,18.51,18.64,18.17,18.35,-0.19,-1.02,"519,273",22.00,9.93,...,...,...,-8.75,Thursday,Thursday,2018/04/19
389441,814,Hortonworks,HDP,18.25,18.43,17.99,18.13,-0.22,-1.20,"441,291",22.00,9.93,...,...,...,-9.85,Friday,Friday,2018/04/20
389442,813,Hortonworks,HDP,18.07,18.12,16.93,17.03,-0.87,-4.86,"797,934",22.0,9.93,...,...,...,-15.32,Tuesday,Tuesday,2018/04/24
389443,813,Hortonworks,HDP,16.99,16.99,16.23,16.52,-0.51,-2.99,"1,150,260",22.0,9.93,...,...,...,-17.85,Wednesday,Wednesday,2018/04/25
389444,810,Hortonworks,HDP,16.78,17.02,16.55,16.88,0.08,0.48,"426,619",22.00,9.93,...,...,...,-16.06,Friday,Friday,2018/04/27
389445,813,Hortonworks,HDP,16.92,17.23,16.85,16.93,0.05,0.30,"437,112",22.0,9.93,...,...,...,-15.81,Monday,Monday,2018/04/30
389446,811,Hortonworks,HDP,16.87,17.22,16.66,17.18,0.25,1.48,"797,307",22.0,9.93,...,...,...,-14.57,Tuesday,Tuesday,2018/05/01
389447,803,Hortonworks,HDP,17.4,17.84,17.18,17.72,0.26,1.49,"546,138",22.00,9.93,...,...,...,-11.88,Thursday,Thursday,2018/05/03
