,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
393228,948,Hilton Grand Vacations,HGV,42.87,43.37,42.48,43.02,0.27,0.63,"947,855",47.75,28.49,...,...,13.14,2.55,Thursday,Thursday,2018/03/29
393229,943,Hilton Grand Vacations,HGV,42.61,43.41,42.58,42.89,0.18,0.42,"1,181,042",47.75,30.71,...,...,13.10,2.24,Wednesday,Wednesday,2018/04/11
393230,944,Hilton Grand Vacations,HGV,43.01,43.76,42.78,43.38,0.49,1.14,"1,137,857",47.75,30.71,...,...,13.25,3.41,Thursday,Thursday,2018/04/12
393231,937,Hilton Grand Vacations,HGV,43.5,43.67,42.96,43.35,0.20,0.46,"1,053,531",47.75,30.71,...,...,13.24,3.34,Tuesday,Tuesday,2018/04/17
393232,941,Hilton Grand Vacations,HGV,43.31,43.99,43.22,43.51,0.16,0.37,"896,067",47.75,30.71,...,...,13.29,3.72,Wednesday,Wednesday,2018/04/18
393233,946,Hilton Grand Vacations,HGV,43.57,43.96,43.36,43.9,0.39,0.90,"2,726,641",47.75,30.71,...,...,13.41,4.65,Thursday,Thursday,2018/04/19
393234,939,Hilton Grand Vacations,HGV,43.93,44.39,43.64,44.07,0.17,0.39,"749,878",47.75,30.93,...,...,13.46,5.05,Friday,Friday,2018/04/20
393235,942,Hilton Grand Vacations,HGV,44.45,44.49,43.28,43.56,-0.59,-1.34,"507,895",47.75,31.33,...,...,13.31,3.84,Tuesday,Tuesday,2018/04/24
393236,946,Hilton Grand Vacations,HGV,43.53,43.98,43.24,43.86,0.30,0.69,"626,510",47.75,31.97,...,...,13.40,4.55,Wednesday,Wednesday,2018/04/25
393237,945,Hilton Grand Vacations,HGV,43.43,43.65,43.18,43.37,0.02,0.05,"481,830",47.75,32.20,...,...,13.25,3.38,Friday,Friday,2018/04/27
393238,941,Hilton Grand Vacations,HGV,43.5,43.95,42.77,43.0,-0.37,-0.85,"1,152,036",47.75,32.20,...,...,13.14,2.50,Monday,Monday,2018/04/30
393239,949,Hilton Grand Vacations,HGV,42.95,43.06,42.66,42.99,-0.01,-0.02,"1,037,437",47.75,32.20,...,...,13.13,2.48,Tuesday,Tuesday,2018/05/01
393240,947,Hilton Grand Vacations,HGV,42.69,42.89,40.52,41.21,-1.54,-3.60,"2,487,914",47.75,32.20,...,...,12.59,-1.76,Thursday,Thursday,2018/05/03
393241,945,Hilton Grand Vacations,HGV,40.97,41.1,38.53,39.25,-1.96,-4.76,"3,348,748",47.75,32.20,...,...,12.79,-6.44,Friday,Friday,2018/05/04
393242,948,Hilton Grand Vacations,HGV,39.23,40.12,38.94,39.97,0.72,1.83,"2,272,376",47.75,32.20,...,...,13.02,-4.72,Monday,Monday,2018/05/07
393243,942,Hilton Grand Vacations,HGV,40.06,40.26,39.57,39.75,-0.22,-0.55,"991,947",47.75,32.2,...,...,12.95,-5.24,Tuesday,Tuesday,2018/05/08
393244,951,Hilton Grand Vacations,HGV,39.69,40.23,39.62,40.05,0.30,0.75,"1,171,931",47.75,32.20,...,...,13.05,-4.53,Wednesday,Wednesday,2018/05/09
393245,948,Hilton Grand Vacations,HGV,40.1,40.48,39.83,39.87,-0.18,-0.45,"860,478",47.75,32.20,...,...,12.99,-4.96,Thursday,Thursday,2018/05/10
393246,946,Hilton Grand Vacations,HGV,40.17,40.62,39.8,40.32,0.45,1.13,"1,045,261",47.75,32.20,...,...,13.13,-3.89,Friday,Friday,2018/05/11
393247,945,Hilton Grand Vacations,HGV,40.4,40.42,39.81,39.82,-0.50,-1.24,"559,568",47.75,32.20,...,...,12.97,-5.08,Monday,Monday,2018/05/14
393248,947,Hilton Grand Vacations,HGV,39.92,39.92,38.79,38.87,-0.95,-2.39,"1,743,005",47.75,32.20,...,...,12.66,-7.34,Tuesday,Tuesday,2018/05/15
