,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
405208,786,HealthEquity,HQY,60.76,61.2,59.58,60.54,0.06,0.10,"674,847",68.75,39.93,...,...,79.66,29.75,Thursday,Thursday,2018/03/29
405209,773,HealthEquity,HQY,63.4,64.19,63.03,63.43,-0.40,-0.63,"310,696",68.75,40.21,...,...,83.46,35.94,Wednesday,Wednesday,2018/04/11
405210,775,HealthEquity,HQY,63.79,64.63,63.28,64.24,0.81,1.28,"396,016",68.75,40.21,...,...,84.53,37.68,Thursday,Thursday,2018/04/12
405211,779,HealthEquity,HQY,64.83,66.33,64.78,65.91,1.71,2.66,"560,927",68.75,40.21,...,...,86.72,41.26,Tuesday,Tuesday,2018/04/17
405212,781,HealthEquity,HQY,65.97,66.64,65.22,66.09,0.18,0.27,"406,407",68.75,40.21,...,...,86.96,41.64,Wednesday,Wednesday,2018/04/18
405213,783,HealthEquity,HQY,65.93,66.99,65.52,66.19,0.10,0.15,"389,256",68.75,40.21,...,...,87.09,41.86,Thursday,Thursday,2018/04/19
405214,781,HealthEquity,HQY,65.87,66.2,65.03,65.32,-0.87,-1.31,"320,400",68.75,40.21,...,...,85.95,39.99,Friday,Friday,2018/04/20
405215,781,HealthEquity,HQY,66.45,66.57,64.31,65.11,-1.21,-1.82,"257,607",68.75,40.21,...,...,85.67,39.54,Tuesday,Tuesday,2018/04/24
405216,780,HealthEquity,HQY,65.26,65.81,64.0,65.56,0.45,0.69,"195,343",68.75,40.21,...,...,86.26,40.51,Wednesday,Wednesday,2018/04/25
405217,779,HealthEquity,HQY,66.32,66.88,65.73,66.74,0.24,0.36,"421,106",68.75,40.21,...,...,87.82,43.03,Friday,Friday,2018/04/27
405218,780,HealthEquity,HQY,66.97,67.42,65.27,65.67,-1.07,-1.60,"391,555",68.75,40.21,...,...,86.41,40.74,Monday,Monday,2018/04/30
405219,778,HealthEquity,HQY,65.37,66.17,65.02,66.03,0.36,0.55,"357,383",68.75,40.21,...,...,86.88,41.51,Tuesday,Tuesday,2018/05/01
405220,772,HealthEquity,HQY,67.05,68.09,66.64,67.92,0.64,0.95,"459,961",68.75,40.21,...,...,89.37,45.56,Thursday,Thursday,2018/05/03
405221,779,HealthEquity,HQY,67.9,70.0,67.56,69.34,1.42,2.09,"550,864",70.00,40.21,...,...,91.24,48.61,Friday,Friday,2018/05/04
405222,782,HealthEquity,HQY,69.99,70.14,69.18,69.3,-0.04,-0.06,"420,629",70.14,40.21,...,...,91.18,48.52,Monday,Monday,2018/05/07
405223,784,HealthEquity,HQY,69.38,70.28,69.14,69.92,0.62,0.89,"501,641",70.28,40.21,...,...,92.00,49.85,Tuesday,Tuesday,2018/05/08
405224,784,HealthEquity,HQY,69.96,70.89,69.58,70.46,0.54,0.77,"346,639",70.89,40.21,...,...,92.71,51.01,Wednesday,Wednesday,2018/05/09
405225,779,HealthEquity,HQY,70.46,70.63,69.64,70.24,-0.22,-0.31,"463,077",70.89,40.21,...,...,92.42,50.54,Thursday,Thursday,2018/05/10
405226,783,HealthEquity,HQY,70.24,71.62,70.24,71.48,1.24,1.77,"292,058",71.62,40.21,...,...,94.05,53.19,Friday,Friday,2018/05/11
405227,783,HealthEquity,HQY,71.62,72.27,70.35,70.85,-0.63,-0.88,"382,610",72.27,40.21,...,...,93.22,51.84,Monday,Monday,2018/05/14
405228,782,HealthEquity,HQY,70.85,71.64,70.23,71.28,0.43,0.61,"283,942",72.27,40.21,...,...,93.79,52.76,Tuesday,Tuesday,2018/05/15
405229,787,HealthEquity,HQY,71.5,72.0,71.0,71.69,0.41,0.58,"330,169",72.27,40.21,...,...,94.33,53.64,Wednesday,Wednesday,2018/05/16
405230,783,HealthEquity,HQY,71.71,72.44,71.45,72.24,0.55,0.77,"383,891",72.44,40.21,...,...,95.05,54.82,Thursday,Thursday,2018/05/17
405231,782,HealthEquity,HQY,72.62,73.83,72.43,73.72,1.48,2.05,"457,829",73.83,40.21,...,...,97.00,57.99,Friday,Friday,2018/05/18
405232,783,HealthEquity,HQY,74.0,76.76,73.45,74.35,0.63,0.85,"373,468",76.76,40.21,...,...,97.83,59.34,Monday,Monday,2018/05/21
