,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
408418,824,Hudson Global,HSON,1.96,1.99,1.94,1.94,-0.01,-0.51,"5,624",2.44,1.05,0.20,10.31,...,-13.78,Thursday,Thursday,2018/03/29
408419,810,Hudson Global,HSON,1.91,1.94,1.82,1.88,-0.05,-2.59,"44,710",2.44,1.23,0.20,10.64,...,-16.44,Wednesday,Wednesday,2018/04/11
408420,813,Hudson Global,HSON,1.86,1.94,1.86,1.92,0.04,2.13,"52,201",2.44,1.23,0.20,10.42,...,-14.67,Thursday,Thursday,2018/04/12
408421,816,Hudson Global,HSON,1.88,1.92,1.84,1.89,0.02,1.07,"5,662",2.44,1.23,0.20,10.58,...,-16.00,Tuesday,Tuesday,2018/04/17
408422,819,Hudson Global,HSON,1.89,1.94,1.86,1.93,0.04,2.12,"29,133",2.44,1.23,0.20,10.36,...,-14.22,Wednesday,Wednesday,2018/04/18
408423,820,Hudson Global,HSON,1.94,1.94,1.87,1.87,-0.06,-3.11,"1,986",2.44,1.24,0.20,10.70,...,-16.89,Thursday,Thursday,2018/04/19
408424,819,Hudson Global,HSON,1.86,1.88,1.82,1.85,-0.02,-1.07,"3,836",2.44,1.25,0.20,10.81,...,-17.78,Friday,Friday,2018/04/20
408425,818,Hudson Global,HSON,1.88,1.88,1.84,1.84,-0.05,-2.65,"3,370",2.44,1.26,0.20,10.87,...,-18.22,Tuesday,Tuesday,2018/04/24
408426,818,Hudson Global,HSON,1.85,1.86,1.82,1.82,-0.02,-1.09,"2,875",2.44,1.26,0.20,10.99,...,-19.11,Wednesday,Wednesday,2018/04/25
408427,815,Hudson Global,HSON,1.89,1.89,1.82,1.88,0.01,0.53,"30,404",2.44,1.26,0.20,10.64,...,-16.44,Friday,Friday,2018/04/27
408428,818,Hudson Global,HSON,1.87,1.9,1.82,1.88,...,...,"35,684",2.44,1.26,0.20,10.64,...,-16.44,Monday,Monday,2018/04/30
408429,816,Hudson Global,HSON,1.87,1.9,1.82,1.9,0.02,1.06,"2,495",2.44,1.26,0.20,10.53,...,-15.56,Tuesday,Tuesday,2018/05/01
408430,808,Hudson Global,HSON,1.82,1.99,1.82,1.83,0.01,0.55,"85,849",2.44,1.26,0.20,10.93,...,-18.67,Thursday,Thursday,2018/05/03
408431,816,Hudson Global,HSON,1.86,1.97,1.84,1.94,0.11,6.01,"12,399",2.44,1.26,0.20,10.31,...,-13.78,Friday,Friday,2018/05/04
408432,820,Hudson Global,HSON,1.97,1.98,1.89,1.94,...,...,"2,832",2.44,1.26,0.20,10.31,...,-13.78,Monday,Monday,2018/05/07
408433,822,Hudson Global,HSON,1.97,2.0,1.92,1.93,-0.01,-0.52,"35,583",2.44,1.26,0.20,10.36,...,-14.22,Tuesday,Tuesday,2018/05/08
408434,822,Hudson Global,HSON,1.93,1.93,1.74,1.77,-0.16,-8.29,"58,687",2.44,1.26,0.20,11.30,...,-21.33,Wednesday,Wednesday,2018/05/09
408435,816,Hudson Global,HSON,1.78,1.8,1.76,1.78,0.01,0.56,"14,225",2.44,1.26,0.20,11.24,...,-20.89,Thursday,Thursday,2018/05/10
408436,821,Hudson Global,HSON,1.77,1.81,1.74,1.8,0.02,1.13,"8,103",2.44,1.26,0.20,11.11,...,-20.00,Friday,Friday,2018/05/11
408437,821,Hudson Global,HSON,1.8,1.83,1.79,1.8,...,...,"27,940",2.44,1.26,0.20,11.11,...,-20.00,Monday,Monday,2018/05/14
408438,820,Hudson Global,HSON,1.78,1.83,1.78,1.79,-0.01,-0.56,"17,088",2.44,1.26,0.20,11.17,...,-20.44,Tuesday,Tuesday,2018/05/15
408439,825,Hudson Global,HSON,1.82,1.82,1.71,1.72,-0.07,-3.91,"74,477",2.44,1.26,0.20,11.63,6.14,-23.56,Wednesday,Wednesday,2018/05/16
408440,820,Hudson Global,HSON,1.69,1.74,1.66,1.72,...,...,"21,473",2.44,1.26,0.20,11.63,6.14,-23.56,Thursday,Thursday,2018/05/17
408441,820,Hudson Global,HSON,1.71,1.77,1.7,1.77,0.05,2.91,"9,185",2.44,1.26,0.20,11.30,...,-21.33,Friday,Friday,2018/05/18
408442,820,Hudson Global,HSON,1.75,1.79,1.7,1.75,-0.02,-1.13,"20,980",2.44,1.26,0.20,11.43,...,-22.22,Monday,Monday,2018/05/21
408443,820,Hudson Global,HSON,1.73,1.73,1.65,1.7,-0.05,-2.86,"127,867",2.44,1.26,0.20,11.76,...,-24.44,Tuesday,Tuesday,2018/05/22
408444,818,Hudson Global,HSON,1.65,1.68,1.65,1.68,-0.02,-1.18,"12,527",2.44,1.26,0.20,11.90,...,-25.33,Wednesday,Wednesday,2018/05/23
408445,821,Hudson Global,HSON,1.67,1.67,1.62,1.65,-0.03,-1.79,"25,512",2.44,1.26,0.20,12.12,...,-26.67,Thursday,Thursday,2018/05/24
408446,821,Hudson Global,HSON,1.64,1.64,1.6,1.61,-0.04,-2.42,"16,003",2.44,1.26,0.20,12.42,...,-28.44,Friday,Friday,2018/05/25
408447,818,Hudson Global,HSON,1.62,1.63,1.61,1.62,0.01,0.62,"22,530",2.44,1.26,0.20,12.35,...,-28.00,Tuesday,Tuesday,2018/05/29
408448,821,Hudson Global,HSON,1.62,1.68,1.62,1.62,...,...,"59,335",2.44,1.26,0.20,12.35,...,-28.00,Wednesday,Wednesday,2018/05/30
408449,816,Hudson Global,HSON,1.62,1.63,1.57,1.63,0.01,0.62,"42,371",2.44,1.26,0.20,12.27,...,-27.56,Thursday,Thursday,2018/05/31
408450,822,Hudson Global,HSON,1.63,1.68,1.62,1.68,0.05,3.07,"27,752",2.44,1.26,0.20,11.90,...,-25.33,Friday,Friday,2018/06/01
408451,821,Hudson Global,HSON,1.68,1.75,1.68,1.71,0.03,1.79,"11,652",2.44,1.26,0.20,11.70,...,-24.00,Monday,Monday,2018/06/04
408452,819,Hudson Global,HSON,1.71,1.78,1.71,1.75,0.04,2.63,"45,341",2.44,1.26,0.20,11.40,...,-22.00,Tuesday,Tuesday,2018/06/05
408453,826,Hudson Global,HSON,1.76,1.83,1.74,1.76,0.01,0.28,"110,592",2.44,1.26,0.20,11.36,...,-21.78,Wednesday,Wednesday,2018/06/06
408454,829,Hudson Global,HSON,1.74,1.76,1.73,1.74,-0.02,-1.14,"23,227",2.44,1.26,0.20,11.49,...,-22.67,Thursday,Thursday,2018/06/07
408455,822,Hudson Global,HSON,1.73,1.74,1.65,1.65,-0.09,-5.17,"7,159",2.44,1.26,0.20,12.12,...,-26.67,Friday,Friday,2018/06/08
408456,822,Hudson Global,HSON,1.68,1.74,1.61,1.63,-0.02,-1.52,"17,641",2.44,1.26,0.20,12.31,...,-27.78,Monday,Monday,2018/06/11
408457,820,Hudson Global,HSON,1.62,1.63,1.56,1.61,-0.01,-0.92,"56,632",2.44,1.26,0.20,12.42,...,-28.44,Tuesday,Tuesday,2018/06/12
408458,819,Hudson Global,HSON,1.64,1.64,1.56,1.56,-0.05,-3.11,"40,121",2.44,1.26,0.20,12.82,...,-30.67,Wednesday,Wednesday,2018/06/13
408459,821,Hudson Global,HSON,1.59,1.6,1.56,1.56,...,...,"47,169",2.44,1.26,0.20,12.82,...,-30.67,Thursday,Thursday,2018/06/14
408460,818,Hudson Global,HSON,1.57,1.63,1.55,1.6,0.04,2.56,"34,128",2.44,1.26,0.20,12.50,...,-28.89,Friday,Friday,2018/06/15
408461,821,Hudson Global,HSON,1.61,1.64,1.55,1.59,-0.01,-0.63,"47,569",2.44,1.26,0.20,12.58,...,-29.33,Monday,Monday,2018/06/18
408462,818,Hudson Global,HSON,1.59,1.59,1.55,1.55,-0.04,-2.52,"33,249",2.44,1.26,0.20,12.90,...,-31.11,Tuesday,Tuesday,2018/06/19
408463,817,Hudson Global,HSON,1.57,1.58,1.55,1.57,0.02,1.29,"68,195",2.44,1.26,0.20,12.74,...,-30.22,Wednesday,Wednesday,2018/06/20
408464,819,Hudson Global,HSON,1.57,1.6,1.53,1.55,-0.02,-1.27,"39,364",2.44,1.26,0.20,12.90,...,-31.11,Thursday,Thursday,2018/06/21
408465,823,Hudson Global,HSON,1.56,1.57,1.53,1.55,...,...,"39,624",2.44,1.26,0.20,12.90,...,-31.11,Friday,Friday,2018/06/22
408466,822,Hudson Global,HSON,1.54,1.57,1.53,1.56,0.01,0.65,"49,110",2.44,1.26,0.20,12.82,...,-30.67,Monday,Monday,2018/06/25
