,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
408614,961,Host Hotels&Resorts,HST,18.6,18.81,18.52,18.64,0.07,0.38,"6,101,041",21.53,17.26,0.80,4.29,24.85,-6.10,Thursday,Thursday,2018/03/29
408615,956,Host Hotels&Resorts,HST,18.21,18.61,18.16,18.48,0.23,1.26,"6,405,264",21.53,17.26,0.80,4.33,24.64,-6.90,Wednesday,Wednesday,2018/04/11
408616,957,Host Hotels&Resorts,HST,18.58,19.34,18.43,19.23,0.75,4.06,"12,488,543",21.53,17.26,0.80,4.16,25.64,-3.12,Thursday,Thursday,2018/04/12
408617,950,Host Hotels&Resorts,HST,19.46,19.71,19.39,19.67,0.22,1.13,"7,385,162",21.53,17.26,0.80,4.07,26.23,-0.91,Tuesday,Tuesday,2018/04/17
408618,954,Host Hotels&Resorts,HST,19.72,19.87,19.59,19.78,0.11,0.56,"4,913,565",21.53,17.26,0.80,4.04,26.37,-0.35,Wednesday,Wednesday,2018/04/18
408619,959,Host Hotels&Resorts,HST,19.73,19.78,19.36,19.46,-0.32,-1.62,"5,344,230",21.53,17.26,0.80,4.11,25.95,-1.96,Thursday,Thursday,2018/04/19
408620,952,Host Hotels&Resorts,HST,19.46,19.56,19.37,19.42,-0.04,-0.21,"4,425,344",21.53,17.26,0.80,4.12,25.89,-2.17,Friday,Friday,2018/04/20
408621,955,Host Hotels&Resorts,HST,19.59,19.59,19.18,19.3,-0.16,-0.82,"4,363,617",21.53,17.26,0.80,4.15,25.73,-2.77,Tuesday,Tuesday,2018/04/24
408622,959,Host Hotels&Resorts,HST,19.27,19.62,19.22,19.62,0.32,1.66,"6,282,068",21.53,17.26,0.80,4.08,26.16,-1.16,Wednesday,Wednesday,2018/04/25
408623,958,Host Hotels&Resorts,HST,19.58,19.86,19.52,19.75,0.15,0.77,"4,946,309",21.53,17.26,0.80,4.05,26.33,-0.50,Friday,Friday,2018/04/27
408624,954,Host Hotels&Resorts,HST,19.81,19.82,19.48,19.56,-0.19,-0.96,"6,205,230",21.53,17.26,0.80,4.09,26.08,-1.46,Monday,Monday,2018/04/30
408625,962,Host Hotels&Resorts,HST,19.58,19.64,19.34,19.53,-0.03,-0.15,"2,994,043",21.53,17.26,0.80,4.10,26.04,-1.61,Tuesday,Tuesday,2018/05/01
408626,960,Host Hotels&Resorts,HST,19.49,19.85,19.36,19.43,...,...,"8,494,038",21.53,17.26,0.80,4.12,25.91,-2.12,Thursday,Thursday,2018/05/03
408627,958,Host Hotels&Resorts,HST,19.46,19.99,19.4,19.84,0.41,2.11,"7,043,768",21.53,17.26,0.80,4.03,22.55,-0.05,Friday,Friday,2018/05/04
408628,961,Host Hotels&Resorts,HST,19.91,20.13,19.78,20.12,0.28,1.41,"5,536,871",21.53,17.26,0.80,3.98,22.86,1.36,Monday,Monday,2018/05/07
408629,955,Host Hotels&Resorts,HST,20.14,20.16,19.97,20.03,-0.09,-0.45,"5,548,449",21.53,17.26,0.80,3.99,22.76,0.91,Tuesday,Tuesday,2018/05/08
408630,964,Host Hotels&Resorts,HST,20.11,20.63,20.05,20.61,0.58,2.90,"6,757,039",21.53,17.26,0.80,3.88,23.42,3.83,Wednesday,Wednesday,2018/05/09
408631,961,Host Hotels&Resorts,HST,20.67,20.96,20.61,20.92,0.31,1.50,"6,952,657",21.53,17.26,0.80,3.82,23.77,5.39,Thursday,Thursday,2018/05/10
408632,959,Host Hotels&Resorts,HST,20.94,21.02,20.72,20.73,-0.19,-0.91,"5,383,408",21.53,17.26,0.80,3.86,23.56,4.43,Friday,Friday,2018/05/11
408633,958,Host Hotels&Resorts,HST,20.8,20.96,20.65,20.88,0.15,0.72,"5,880,588",21.53,17.26,0.80,3.83,23.73,5.19,Monday,Monday,2018/05/14
408634,960,Host Hotels&Resorts,HST,20.75,20.81,20.29,20.34,-0.54,-2.59,"8,433,607",21.53,17.26,0.80,3.93,23.11,2.47,Tuesday,Tuesday,2018/05/15
408635,961,Host Hotels&Resorts,HST,20.35,20.45,20.07,20.21,-0.13,-0.64,"9,328,647",21.53,17.26,0.80,3.96,22.97,1.81,Wednesday,Wednesday,2018/05/16
408636,960,Host Hotels&Resorts,HST,20.28,20.44,20.25,20.31,0.10,0.49,"5,083,302",21.53,17.26,0.80,3.94,23.08,2.32,Thursday,Thursday,2018/05/17
408637,960,Host Hotels&Resorts,HST,20.34,20.54,20.23,20.5,0.19,0.94,"5,895,602",21.53,17.26,0.80,3.90,23.30,3.27,Friday,Friday,2018/05/18
408638,960,Host Hotels&Resorts,HST,20.66,21.12,20.63,21.11,0.61,2.98,"7,618,981",21.53,17.26,0.80,3.79,23.99,6.35,Monday,Monday,2018/05/21
408639,957,Host Hotels&Resorts,HST,21.1,21.29,20.96,21.22,0.11,0.52,"6,323,980",21.53,17.26,0.80,3.77,24.11,6.90,Tuesday,Tuesday,2018/05/22
408640,963,Host Hotels&Resorts,HST,21.19,21.57,21.17,21.41,0.19,0.90,"5,615,725",21.57,17.26,0.80,3.74,24.33,7.86,Wednesday,Wednesday,2018/05/23
408641,963,Host Hotels&Resorts,HST,21.45,21.7,21.4,21.66,0.25,1.17,"9,623,594",21.70,17.26,0.80,3.69,24.61,9.12,Thursday,Thursday,2018/05/24
408642,966,Host Hotels&Resorts,HST,21.65,21.73,21.46,21.56,-0.10,-0.46,"4,158,148",21.73,17.26,0.80,3.71,24.50,8.61,Friday,Friday,2018/05/25
408643,964,Host Hotels&Resorts,HST,21.43,21.66,21.36,21.52,-0.04,-0.19,"6,182,148",21.73,17.26,0.80,3.72,24.45,8.41,Tuesday,Tuesday,2018/05/29
408644,966,Host Hotels&Resorts,HST,21.53,21.96,21.53,21.82,0.30,1.39,"4,865,728",21.96,17.26,0.80,3.67,24.80,9.92,Wednesday,Wednesday,2018/05/30
408645,966,Host Hotels&Resorts,HST,21.78,21.88,21.62,21.63,-0.19,-0.87,"8,179,451",21.96,17.26,0.80,3.70,24.58,8.97,Thursday,Thursday,2018/05/31
408646,966,Host Hotels&Resorts,HST,21.78,22.47,21.61,21.91,0.28,1.29,"4,637,071",22.47,17.26,0.80,3.65,24.90,10.38,Friday,Friday,2018/06/01
408647,960,Host Hotels&Resorts,HST,21.99,22.18,21.9,22.15,0.24,1.10,"4,921,993",22.47,17.26,0.80,3.61,25.17,11.59,Monday,Monday,2018/06/04
408648,960,Host Hotels&Resorts,HST,22.07,22.09,21.86,21.94,-0.21,-0.95,"5,420,094",22.47,17.26,0.80,3.65,24.93,10.53,Tuesday,Tuesday,2018/06/05
408649,964,Host Hotels&Resorts,HST,22.15,22.25,21.95,22.25,0.31,1.41,"6,105,554",22.47,17.26,0.80,3.60,25.28,12.09,Wednesday,Wednesday,2018/06/06
408650,963,Host Hotels&Resorts,HST,22.27,22.27,21.99,22.09,-0.16,-0.72,"4,497,301",22.47,17.26,0.80,3.62,25.10,11.28,Thursday,Thursday,2018/06/07
408651,959,Host Hotels&Resorts,HST,22.01,22.14,21.87,22.09,...,...,"6,189,657",22.47,17.26,0.80,3.62,25.10,11.28,Friday,Friday,2018/06/08
408652,964,Host Hotels&Resorts,HST,21.85,21.93,21.52,21.57,-0.52,-2.35,"6,988,763",22.47,17.26,0.80,3.71,24.51,8.66,Monday,Monday,2018/06/11
408653,958,Host Hotels&Resorts,HST,21.58,21.67,21.42,21.46,-0.11,-0.51,"7,234,793",22.47,17.26,0.80,3.73,24.39,8.11,Tuesday,Tuesday,2018/06/12
408654,957,Host Hotels&Resorts,HST,21.47,21.59,21.07,21.08,-0.38,-1.77,"5,276,547",22.47,17.26,0.80,3.80,23.95,6.20,Wednesday,Wednesday,2018/06/13
408655,959,Host Hotels&Resorts,HST,21.19,21.48,21.19,21.33,0.25,1.19,"6,089,098",22.47,17.26,0.80,3.75,24.24,7.46,Thursday,Thursday,2018/06/14
408656,959,Host Hotels&Resorts,HST,21.36,21.41,21.23,21.29,-0.04,-0.19,"7,812,113",22.47,17.26,0.80,3.76,24.19,7.25,Friday,Friday,2018/06/15
408657,958,Host Hotels&Resorts,HST,21.17,21.34,21.08,21.18,-0.11,-0.52,"4,505,899",22.47,17.26,0.80,3.78,24.07,6.70,Monday,Monday,2018/06/18
408658,958,Host Hotels&Resorts,HST,21.01,21.27,20.97,21.11,-0.07,-0.33,"4,828,705",22.47,17.26,0.80,3.79,23.99,6.35,Tuesday,Tuesday,2018/06/19
408659,964,Host Hotels&Resorts,HST,21.23,21.52,21.18,21.49,0.38,1.80,"4,960,183",22.47,17.26,0.80,3.72,24.42,8.26,Wednesday,Wednesday,2018/06/20
408660,960,Host Hotels&Resorts,HST,21.41,21.67,21.3,21.63,0.14,0.65,"7,434,505",22.47,17.26,0.80,3.70,24.58,8.97,Thursday,Thursday,2018/06/21
408661,963,Host Hotels&Resorts,HST,21.67,21.77,21.35,21.42,-0.21,-0.97,"6,793,460",22.47,17.26,0.80,3.73,24.34,7.91,Friday,Friday,2018/06/22
408662,967,Host Hotels&Resorts,HST,21.4,21.43,21.02,21.04,-0.38,-1.77,"7,625,683",22.47,17.26,0.80,3.80,23.91,5.99,Monday,Monday,2018/06/25
408663,963,Host Hotels&Resorts,HST,21.07,21.16,20.9,20.95,-0.09,-0.43,"6,757,288",22.47,17.26,0.80,3.82,23.81,5.54,Tuesday,Tuesday,2018/06/26
408664,970,Host Hotels&Resorts,HST,20.99,21.39,20.78,21.05,0.10,0.48,"14,591,257",22.47,17.26,0.80,3.80,23.92,6.05,Wednesday,Wednesday,2018/06/27
408665,971,Host Hotels&Resorts,HST,20.94,20.95,20.74,20.86,0.01,0.05,"7,069,309",22.47,17.26,0.80,3.84,23.70,5.09,Thursday,Thursday,2018/06/28
408666,971,Host Hotels&Resorts,HST,20.86,21.24,20.77,21.07,0.21,1.01,"7,697,611",22.47,17.26,0.80,3.80,23.94,6.15,Friday,Friday,2018/06/29
408667,969,Host Hotels&Resorts,HST,21.03,21.08,20.71,20.84,-0.23,-1.09,"5,806,955",22.47,17.26,0.80,3.84,23.68,4.99,Monday,Monday,2018/07/02
408668,962,Host Hotels&Resorts,HST,20.84,21.19,20.81,21.02,0.18,0.86,"4,462,467",22.47,17.26,0.80,3.81,23.89,5.89,Tuesday,Tuesday,2018/07/03
408669,970,Host Hotels&Resorts,HST,21.06,21.13,20.86,21.11,0.09,0.43,"4,377,482",22.47,17.26,0.80,3.79,23.99,6.35,Thursday,Thursday,2018/07/05
408670,971,Host Hotels&Resorts,HST,21.14,21.34,21.08,21.32,0.21,0.99,"4,089,379",22.47,17.26,0.80,3.75,24.23,7.41,Friday,Friday,2018/07/06
408671,975,Host Hotels&Resorts,HST,21.34,21.44,21.18,21.34,0.02,0.09,"5,752,066",22.47,17.26,0.80,3.75,24.25,7.51,Monday,Monday,2018/07/09
