,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
413449,914,Haverty Furniture,HVT,19.65,20.5,19.65,20.15,0.65,3.33,"158,911",27.23,18.60,0.72,3.57,20.15,-11.04,Thursday,Thursday,2018/03/29
413450,910,Haverty Furniture,HVT,18.35,18.55,18.15,18.3,-0.20,-1.08,"108,617",27.23,18.00,0.72,3.93,18.30,-19.21,Wednesday,Wednesday,2018/04/11
413451,911,Haverty Furniture,HVT,18.35,18.45,18.05,18.1,-0.20,-1.09,"78,413",27.23,18.00,0.72,3.98,18.10,-20.09,Thursday,Thursday,2018/04/12
413452,904,Haverty Furniture,HVT,18.55,18.55,18.35,18.45,0.05,0.27,"84,047",27.23,17.80,0.72,3.90,18.45,-18.54,Tuesday,Tuesday,2018/04/17
413453,908,Haverty Furniture,HVT,18.5,18.77,18.4,18.45,...,...,"71,015",27.23,17.8,0.72,3.90,18.45,-18.54,Wednesday,Wednesday,2018/04/18
413454,913,Haverty Furniture,HVT,18.35,18.35,17.85,18.0,-0.45,-2.44,"64,636",27.23,17.80,0.72,4.00,18.00,-20.53,Thursday,Thursday,2018/04/19
413455,905,Haverty Furniture,HVT,17.95,18.05,17.8,17.85,-0.15,-0.83,"67,820",27.23,17.80,0.72,4.03,17.85,-21.19,Friday,Friday,2018/04/20
413456,909,Haverty Furniture,HVT,17.95,18.5,17.85,18.25,0.40,2.24,"95,630",27.23,17.70,0.72,3.95,18.25,-19.43,Tuesday,Tuesday,2018/04/24
413457,913,Haverty Furniture,HVT,18.3,18.35,17.9,18.2,-0.05,-0.27,"136,652",27.23,17.70,0.72,3.96,18.20,-19.65,Wednesday,Wednesday,2018/04/25
413458,912,Haverty Furniture,HVT,18.35,18.6,18.3,18.55,0.20,1.09,"54,953",27.23,17.70,0.72,3.88,18.55,-18.10,Friday,Friday,2018/04/27
413459,909,Haverty Furniture,HVT,18.55,18.55,18.1,18.15,-0.40,-2.16,"65,261",27.23,17.70,0.72,3.97,18.15,-19.87,Monday,Monday,2018/04/30
413460,917,Haverty Furniture,HVT,18.05,18.15,17.7,17.9,-0.25,-1.38,"173,168",27.23,17.70,0.72,4.02,17.90,-20.97,Tuesday,Tuesday,2018/05/01
413461,914,Haverty Furniture,HVT,19.55,19.85,18.65,18.95,-0.85,-4.29,"129,861",27.23,17.70,0.72,3.80,19.53,-16.34,Thursday,Thursday,2018/05/03
413462,912,Haverty Furniture,HVT,18.8,19.6,18.8,19.45,0.50,2.64,"86,373",27.23,17.70,0.72,3.70,20.04,-14.13,Friday,Friday,2018/05/04
413463,916,Haverty Furniture,HVT,19.5,19.6,19.2,19.45,...,...,"108,977",27.23,17.70,0.72,3.70,20.04,-14.13,Monday,Monday,2018/05/07
413464,910,Haverty Furniture,HVT,19.2,19.5,19.05,19.35,-0.10,-0.51,"123,741",27.23,17.7,0.72,3.72,19.51,-14.57,Tuesday,Tuesday,2018/05/08
413465,919,Haverty Furniture,HVT,19.65,19.65,19.0,19.4,0.05,0.26,"131,795",27.23,17.70,0.72,3.71,19.56,-14.35,Wednesday,Wednesday,2018/05/09
413466,916,Haverty Furniture,HVT,19.35,19.6,19.3,19.35,-0.05,-0.26,"59,093",27.23,17.70,0.72,3.72,19.51,-14.57,Thursday,Thursday,2018/05/10
413467,914,Haverty Furniture,HVT,19.3,19.75,19.3,19.65,0.30,1.55,"83,292",27.23,17.70,0.72,3.66,19.81,-13.25,Friday,Friday,2018/05/11
413468,913,Haverty Furniture,HVT,19.75,19.75,19.52,19.6,-0.05,-0.25,"57,947",27.23,17.70,0.72,3.67,19.76,-13.47,Monday,Monday,2018/05/14
413469,915,Haverty Furniture,HVT,19.45,19.7,19.4,19.45,-0.15,-0.77,"34,856",27.23,17.70,0.72,3.70,19.61,-14.13,Tuesday,Tuesday,2018/05/15
413470,916,Haverty Furniture,HVT,19.5,19.65,19.35,19.35,-0.10,-0.51,"86,520",27.23,17.70,0.72,3.72,19.51,-14.57,Wednesday,Wednesday,2018/05/16
413471,915,Haverty Furniture,HVT,19.45,20.25,19.45,20.15,0.80,4.13,"117,323",27.23,17.70,0.72,3.57,20.31,-11.04,Thursday,Thursday,2018/05/17
413472,914,Haverty Furniture,HVT,20.1,20.4,19.9,20.15,...,...,"102,371",27.23,17.70,0.72,3.57,20.31,-11.04,Friday,Friday,2018/05/18
413473,915,Haverty Furniture,HVT,20.15,20.4,19.95,20.2,0.05,0.25,"108,272",27.23,17.70,0.72,3.56,20.36,-10.82,Monday,Monday,2018/05/21
413474,912,Haverty Furniture,HVT,20.05,20.05,19.5,19.55,-0.47,-2.35,"69,239",27.23,17.70,0.72,3.68,19.71,-13.69,Tuesday,Tuesday,2018/05/22
413475,917,Haverty Furniture,HVT,19.35,19.8,19.35,19.7,0.15,0.77,"94,466",27.23,17.70,0.72,3.65,19.91,-13.02,Wednesday,Wednesday,2018/05/23
413476,917,Haverty Furniture,HVT,19.65,20.35,19.65,20.25,0.55,2.79,"96,910",27.23,17.70,0.72,3.56,20.47,-10.60,Thursday,Thursday,2018/05/24
413477,921,Haverty Furniture,HVT,20.1,20.45,20.1,20.35,0.10,0.49,"79,514",27.23,17.70,0.72,3.54,20.57,-10.15,Friday,Friday,2018/05/25
413478,918,Haverty Furniture,HVT,20.15,20.75,20.15,20.4,0.05,0.25,"111,565",27.23,17.70,0.72,3.53,20.62,-9.93,Tuesday,Tuesday,2018/05/29
