,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
415238,323,Haymaker Acquisition WT,HYACW,0.78,0.78,0.78,0.78,...,...,"94,500",1.00,0.45,...,...,...,-2.50,Wednesday,Wednesday,2018/04/25
415239,325,Haymaker Acquisition WT,HYACW,0.78,0.78,0.78,0.78,...,...,"125,000",1.00,0.45,...,...,...,-2.50,Thursday,Thursday,2018/05/03
415240,339,Haymaker Acquisition WT,HYACW,0.78,0.78,0.78,0.78,...,...,"350,000",1.00,0.45,...,...,...,-2.50,Monday,Monday,2018/05/07
415241,337,Haymaker Acquisition WT,HYACW,0.8,0.81,0.8,0.81,0.03,3.85,"50,900",1.0,0.45,...,...,...,1.25,Wednesday,Wednesday,2018/05/09
415242,329,Haymaker Acquisition WT,HYACW,0.8,0.8,0.80,0.8,-0.01,-1.23,300,1.0,0.45,...,...,...,...,Thursday,Thursday,2018/05/10
415243,325,Haymaker Acquisition WT,HYACW,0.81,0.81,0.81,0.81,0.01,1.25,198,1.00,0.45,...,...,...,1.25,Wednesday,Wednesday,2018/05/16
415244,325,Haymaker Acquisition WT,HYACW,0.83,0.83,0.83,0.83,0.02,2.47,"5,798",1.0,0.45,...,...,...,3.75,Friday,Friday,2018/05/18
415245,335,Haymaker Acquisition WT,HYACW,0.74,0.8,0.74,0.8,-0.03,-3.61,"145,049",1.00,0.45,...,...,...,...,Friday,Friday,2018/06/01
415246,328,Haymaker Acquisition WT,HYACW,0.81,0.81,0.81,0.81,0.01,1.25,"11,899",1.00,0.45,...,...,...,1.25,Monday,Monday,2018/06/04
415247,329,Haymaker Acquisition WT,HYACW,0.76,0.89,0.76,0.89,0.08,9.88,"9,991",1.0,0.45,...,...,...,11.25,Tuesday,Tuesday,2018/06/05
415248,337,Haymaker Acquisition WT,HYACW,0.85,0.87,0.85,0.87,-0.02,-2.25,"101,000",1.00,0.45,...,...,...,8.75,Wednesday,Wednesday,2018/06/06
415249,335,Haymaker Acquisition WT,HYACW,0.89,0.89,0.89,0.89,0.02,2.30,391,1.0,0.45,...,...,...,11.25,Thursday,Thursday,2018/06/07
415250,336,Haymaker Acquisition WT,HYACW,0.85,0.89,0.85,0.89,...,...,900,1.0,0.45,...,...,...,11.25,Thursday,Thursday,2018/06/14
415251,327,Haymaker Acquisition WT,HYACW,0.87,0.87,0.87,0.87,-0.02,-2.25,"115,000",1.0,0.45,...,...,...,8.75,Monday,Monday,2018/06/18
415252,331,Haymaker Acquisition WT,HYACW,0.86,0.86,0.86,0.86,-0.01,-1.15,"118,000",1.00,0.45,...,...,...,7.50,Thursday,Thursday,2018/06/21
415253,332,Haymaker Acquisition WT,HYACW,0.83,0.83,0.83,0.83,-0.03,-3.49,"50,000",1.0,0.45,...,...,...,3.75,Friday,Friday,2018/06/22
415254,338,Haymaker Acquisition WT,HYACW,0.86,0.86,0.86,0.86,0.03,3.61,"100,000",1.0,0.45,...,...,...,7.50,Friday,Friday,2018/07/06
415255,331,Haymaker Acquisition WT,HYACW,0.9,0.91,0.9,0.91,0.05,5.81,"3,750",1.0,0.45,...,...,...,13.75,Monday,Monday,2018/07/09
415256,328,Haymaker Acquisition WT,HYACW,0.86,0.9,0.86,0.9,-0.01,-1.10,"1,000",1.00,0.45,...,...,...,12.50,Friday,Friday,2018/07/13
415257,337,Haymaker Acquisition WT,HYACW,0.9,0.95,0.9,0.95,0.05,5.56,"40,300",1.00,0.45,...,...,...,18.75,Tuesday,Tuesday,2018/07/17
415258,337,Haymaker Acquisition WT,HYACW,0.96,0.96,0.95,0.95,...,...,"22,700",1.00,0.45,...,...,...,18.75,Wednesday,Wednesday,2018/07/18
415259,340,Haymaker Acquisition WT,HYACW,0.94,0.95,0.94,0.95,...,...,"13,400",1.00,0.45,...,...,...,18.75,Thursday,Thursday,2018/07/19
415260,328,Haymaker Acquisition WT,HYACW,0.98,1.02,0.98,1.02,0.07,7.38,"76,944",1.02,0.45,...,...,...,27.51,Friday,Friday,2018/07/20
415261,333,Haymaker Acquisition WT,HYACW,1.0,1.09,1.00,1.09,0.07,6.85,"1,100",1.09,0.45,...,...,...,36.25,Monday,Monday,2018/07/23
415262,333,Haymaker Acquisition WT,HYACW,1.05,1.1,1.04,1.04,-0.05,-4.59,"21,750",1.10,0.45,...,...,...,30.00,Tuesday,Tuesday,2018/07/24
415263,326,Haymaker Acquisition WT,HYACW,1.0,1.0,1.0,1.0,-0.04,-3.85,"200,000",1.10,0.45,...,...,...,25.00,Wednesday,Wednesday,2018/07/25
415264,334,Haymaker Acquisition WT,HYACW,1.09,1.09,1.09,1.09,0.09,9.00,100,1.10,0.45,...,...,...,36.25,Thursday,Thursday,2018/07/26
415265,334,Haymaker Acquisition WT,HYACW,1.09,1.1,1.09,1.1,0.01,0.92,"203,000",1.1,0.45,...,...,...,37.50,Wednesday,Wednesday,2018/08/01
415266,321,Haymaker Acquisition WT,HYACW,0.9,1.15,0.9,1.15,0.05,4.55,"1,400",1.15,0.45,...,...,...,43.75,Friday,Friday,2018/08/03
415267,327,Haymaker Acquisition WT,HYACW,1.15,1.15,1.15,1.15,...,...,"10,200",1.15,0.45,...,...,...,43.75,Monday,Monday,2018/08/06
415268,342,Haymaker Acquisition WT,HYACW,1.18,1.2,1.18,1.19,0.04,3.48,"2,290",1.20,0.45,...,...,...,48.75,Tuesday,Tuesday,2018/08/14
415269,350,Haymaker Acquisition WT,HYACW,1.2,1.2,1.2,1.2,0.01,0.84,"10,000",1.20,0.45,...,...,...,50.00,Thursday,Thursday,2018/08/16
415270,335,Haymaker Acquisition WT,HYACW,1.05,1.25,1.05,1.25,0.05,4.17,"26,000",1.25,0.45,...,...,...,56.25,Wednesday,Wednesday,2018/08/22
415271,337,Haymaker Acquisition WT,HYACW,1.15,1.25,1.15,1.25,...,...,"459,600",1.25,0.45,...,...,...,56.25,Tuesday,Tuesday,2018/08/28
415272,334,Haymaker Acquisition WT,HYACW,1.2,1.29,1.20,1.29,0.04,3.20,"2,100",1.29,0.45,...,...,...,61.25,Wednesday,Wednesday,2018/08/29
415273,339,Haymaker Acquisition WT,HYACW,1.3,1.3,1.30,1.3,0.01,0.78,"1,000",1.3,0.45,...,...,...,62.50,Friday,Friday,2018/09/07
415274,345,Haymaker Acquisition WT,HYACW,1.21,1.24,1.2,1.2,-0.10,-7.69,"46,400",1.3,0.45,...,...,...,50.00,Wednesday,Wednesday,2018/10/03
415275,359,Haymaker Acquisition WT,HYACW,1.01,1.28,0.82,1.28,0.08,6.67,"3,400",1.3,0.45,...,...,...,60.00,Tuesday,Tuesday,2018/10/09
415276,347,Haymaker Acquisition WT,HYACW,1.15,1.2,1.15,1.2,-0.08,-6.25,800,1.3,0.45,...,...,...,50.00,Friday,Friday,2018/10/26
415277,351,Haymaker Acquisition WT,HYACW,1.05,1.28,1.05,1.15,-0.05,-4.17,"22,650",1.30,0.45,...,...,...,43.75,Thursday,Thursday,2018/11/01
415278,344,Haymaker Acquisition WT,HYACW,1.2,1.2,1.00,1.01,-0.14,-12.17,"1,004,101",1.30,0.45,...,...,...,26.25,Friday,Friday,2018/11/02
415279,353,Haymaker Acquisition WT,HYACW,1.0,1.05,0.93,1.0,-0.01,-0.99,"274,300",1.30,0.45,...,...,...,25.00,Monday,Monday,2018/11/05
415280,346,Haymaker Acquisition WT,HYACW,1.04,1.05,1.04,1.05,0.05,5.00,"1,000",1.3,0.45,...,...,...,31.25,Tuesday,Tuesday,2018/11/06
415281,338,Haymaker Acquisition WT,HYACW,0.97,1.02,0.95,1.02,-0.03,-2.86,"28,068",1.3,0.45,...,...,...,27.50,Wednesday,Wednesday,2018/11/07
415282,345,Haymaker Acquisition WT,HYACW,0.98,0.98,0.98,0.98,-0.05,-4.41,110,1.3,0.45,...,...,...,21.88,Thursday,Thursday,2018/11/08
415283,346,Haymaker Acquisition WT,HYACW,0.86,0.99,0.85,0.99,0.02,1.54,"8,924",1.30,0.45,...,...,...,23.75,Monday,Monday,2018/11/12
415284,343,Haymaker Acquisition WT,HYACW,0.9,0.95,0.90,0.9,-0.09,-9.09,"133,100",1.3,0.45,...,...,...,12.50,Wednesday,Wednesday,2018/11/14
415285,346,Haymaker Acquisition WT,HYACW,0.8,0.86,0.8,0.85,-0.05,-5.56,"559,950",1.30,0.45,...,...,...,6.25,Thursday,Thursday,2018/11/15
415286,358,Haymaker Acquisition WT,HYACW,0.83,0.86,0.83,0.86,0.01,1.18,"265,100",1.30,0.45,...,...,...,7.50,Friday,Friday,2018/11/16
415287,353,Haymaker Acquisition WT,HYACW,0.9,0.9,0.85,0.85,-0.01,-1.16,"2,300",1.30,0.45,...,...,...,6.25,Monday,Monday,2018/11/19
415288,354,Haymaker Acquisition WT,HYACW,0.84,0.84,0.84,0.84,-0.01,-1.18,808,1.30,0.45,...,...,...,5.00,Wednesday,Wednesday,2018/11/21
415289,323,Haymaker Acquisition WT,HYACW,0.84,0.84,0.84,0.84,...,...,100,1.30,0.45,...,...,...,5.00,Friday,Friday,2018/11/23
415290,358,Haymaker Acquisition WT,HYACW,0.82,0.82,0.82,0.82,-0.02,-2.38,"1,000",1.3,0.45,...,...,...,2.50,Monday,Monday,2018/11/26
415291,358,Haymaker Acquisition WT,HYACW,0.84,0.84,0.84,0.84,0.02,2.44,"1,000",1.3,0.45,...,...,...,5.00,Tuesday,Tuesday,2018/11/27
415292,358,Haymaker Acquisition WT,HYACW,0.85,0.85,0.83,0.83,-0.01,-1.19,"11,100",1.3,0.45,...,...,...,3.75,Wednesday,Wednesday,2018/11/28
415293,352,Haymaker Acquisition WT,HYACW,0.84,0.84,0.84,0.84,0.01,1.20,"10,100",1.30,0.45,...,...,...,5.00,Thursday,Thursday,2018/11/29
415294,380,Haymaker Acquisition WT,HYACW,0.83,0.83,0.80,0.82,-0.02,-2.38,"23,890",1.3,0.45,...,...,...,2.50,Friday,Friday,2018/11/30
415295,363,Haymaker Acquisition WT,HYACW,0.82,0.82,0.82,0.82,...,...,300,1.30,0.45,...,...,...,2.50,Monday,Monday,2018/12/03
415296,350,Haymaker Acquisition WT,HYACW,0.82,0.82,0.82,0.82,...,...,200,1.3,0.45,...,...,...,2.50,Tuesday,Tuesday,2018/12/04
415297,352,Haymaker Acquisition WT,HYACW,0.84,0.84,0.83,0.83,0.01,1.22,"2,100",1.3,0.45,...,...,...,3.75,Thursday,Thursday,2018/12/06
415298,348,Haymaker Acquisition WT,HYACW,0.84,0.9,0.84,0.9,0.07,8.43,"64,800",1.3,0.45,...,...,...,12.50,Friday,Friday,2018/12/07
415299,362,Haymaker Acquisition WT,HYACW,0.88,0.9,0.77,0.77,-0.13,-14.21,"105,190",1.30,0.45,...,...,...,-3.49,Monday,Monday,2018/12/10
415300,357,Haymaker Acquisition WT,HYACW,0.88,0.88,0.65,0.85,0.08,10.09,"5,518",1.3,0.45,...,...,...,6.25,Tuesday,Tuesday,2018/12/11
415301,368,Haymaker Acquisition WT,HYACW,0.85,0.89,0.85,0.89,0.04,4.71,355,1.30,0.45,...,...,...,11.25,Wednesday,Wednesday,2018/12/12
415302,363,Haymaker Acquisition WT,HYACW,0.88,1.0,0.88,0.94,0.05,5.62,"81,837",1.3,0.45,...,...,...,17.50,Thursday,Thursday,2018/12/13
415303,360,Haymaker Acquisition WT,HYACW,0.94,0.94,0.90,0.9,-0.04,-4.26,"100,200",1.3,0.45,...,...,...,12.50,Friday,Friday,2018/12/14
415304,367,Haymaker Acquisition WT,HYACW,0.88,0.88,0.88,0.88,-0.02,-1.77,600,1.3,0.45,...,...,...,10.51,Monday,Monday,2018/12/17
415305,356,Haymaker Acquisition WT,HYACW,0.88,0.88,0.88,0.88,-0.00,-0.46,"54,853",1.3,0.45,...,...,...,10.00,Tuesday,Tuesday,2018/12/18
415306,362,Haymaker Acquisition WT,HYACW,0.85,0.88,0.85,0.88,...,...,600,1.3,0.45,...,...,...,10.00,Wednesday,Wednesday,2018/12/19
415307,369,Haymaker Acquisition WT,HYACW,0.84,0.85,0.84,0.85,-0.03,-3.41,400,1.3,0.45,...,...,...,6.25,Friday,Friday,2018/12/21
