,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
419784,990,Independence Contract Drilling,ICD,3.69,3.85,3.65,3.78,0.11,3.00,"62,560",5.95,2.72,...,...,...,-5.03,Thursday,Thursday,2018/03/29
419785,984,Independence Contract Drilling,ICD,4.03,4.29,4.03,4.13,0.08,1.98,"126,097",5.64,2.72,...,...,...,3.77,Wednesday,Wednesday,2018/04/11
419786,986,Independence Contract Drilling,ICD,4.2,4.29,4.1,4.22,0.09,2.18,"90,156",5.48,2.72,...,...,...,6.03,Thursday,Thursday,2018/04/12
419787,979,Independence Contract Drilling,ICD,4.21,4.32,4.19,4.3,0.09,2.14,"68,746",5.48,2.72,...,...,...,8.04,Tuesday,Tuesday,2018/04/17
419788,982,Independence Contract Drilling,ICD,4.34,4.43,4.29,4.31,0.01,0.23,"85,466",5.48,2.72,...,...,...,8.29,Wednesday,Wednesday,2018/04/18
419789,988,Independence Contract Drilling,ICD,4.31,4.42,4.26,4.28,-0.03,-0.70,"69,415",5.48,2.72,...,...,...,7.54,Thursday,Thursday,2018/04/19
419790,980,Independence Contract Drilling,ICD,4.22,4.41,4.2,4.36,0.08,1.87,"51,487",5.48,2.72,...,...,...,9.55,Friday,Friday,2018/04/20
419791,984,Independence Contract Drilling,ICD,4.37,4.5,4.34,4.39,0.04,0.92,"74,833",5.48,2.72,...,...,...,10.30,Tuesday,Tuesday,2018/04/24
419792,987,Independence Contract Drilling,ICD,4.39,4.47,4.3,4.31,-0.08,-1.82,"92,109",5.48,2.72,...,...,...,8.29,Wednesday,Wednesday,2018/04/25
419793,987,Independence Contract Drilling,ICD,4.49,4.59,4.37,4.44,-0.02,-0.45,"209,809",5.48,2.72,...,...,...,11.56,Friday,Friday,2018/04/27
419794,983,Independence Contract Drilling,ICD,4.45,4.69,4.44,4.59,0.15,3.38,"297,493",5.48,2.72,...,...,...,15.33,Monday,Monday,2018/04/30
419795,991,Independence Contract Drilling,ICD,4.57,4.61,4.42,4.6,0.01,0.22,"66,204",5.48,2.72,...,...,...,15.58,Tuesday,Tuesday,2018/05/01
419796,988,Independence Contract Drilling,ICD,4.84,4.85,4.75,4.79,-0.06,-1.24,"90,651",5.48,2.72,...,...,...,20.35,Thursday,Thursday,2018/05/03
419797,986,Independence Contract Drilling,ICD,4.75,4.85,4.72,4.77,-0.02,-0.42,"134,256",5.48,2.72,...,...,...,19.85,Friday,Friday,2018/05/04
419798,990,Independence Contract Drilling,ICD,4.85,4.95,4.51,4.51,-0.26,-5.45,"201,645",5.48,2.72,...,...,...,13.32,Monday,Monday,2018/05/07
419799,984,Independence Contract Drilling,ICD,4.52,4.73,4.42,4.7,0.19,4.21,"204,072",5.48,2.72,...,...,...,18.09,Tuesday,Tuesday,2018/05/08
419800,993,Independence Contract Drilling,ICD,4.75,5.06,4.75,4.95,0.25,5.32,"119,867",5.48,2.72,...,...,...,24.37,Wednesday,Wednesday,2018/05/09
419801,990,Independence Contract Drilling,ICD,4.98,4.98,4.73,4.79,-0.16,-3.23,"83,730",5.48,2.72,...,...,...,20.35,Thursday,Thursday,2018/05/10
419802,989,Independence Contract Drilling,ICD,4.79,4.81,4.61,4.79,...,...,"137,491",5.48,2.72,...,...,...,20.35,Friday,Friday,2018/05/11
