,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
421352,886,Intercept Pharmaceuticals,ICPT,60.45,62.44,59.83,61.52,1.37,2.28,"461,635",135.59,51.05,...,...,...,5.31,Thursday,Thursday,2018/03/29
421353,872,Intercept Pharmaceuticals,ICPT,74.33,74.83,69.69,70.11,-4.98,-6.63,"1,661,508",135.59,51.05,...,...,...,20.01,Wednesday,Wednesday,2018/04/11
421354,875,Intercept Pharmaceuticals,ICPT,70.35,72.54,70.22,70.79,0.68,0.97,"734,672",135.59,51.05,...,...,...,21.17,Thursday,Thursday,2018/04/12
421355,878,Intercept Pharmaceuticals,ICPT,74.6,75.38,73.08,73.79,-0.31,-0.42,"910,641",135.59,51.05,...,...,...,26.31,Tuesday,Tuesday,2018/04/17
421356,881,Intercept Pharmaceuticals,ICPT,74.13,74.83,71.55,71.98,-1.81,-2.45,"636,711",135.59,51.05,...,...,...,23.21,Wednesday,Wednesday,2018/04/18
421357,882,Intercept Pharmaceuticals,ICPT,71.51,72.2,68.46,69.23,-2.75,-3.82,"670,955",135.59,51.05,...,...,...,18.50,Thursday,Thursday,2018/04/19
421358,881,Intercept Pharmaceuticals,ICPT,69.3,70.56,68.32,68.73,-0.50,-0.72,"654,263",135.59,51.05,...,...,...,17.65,Friday,Friday,2018/04/20
421359,880,Intercept Pharmaceuticals,ICPT,67.86,68.44,65.3,65.78,-1.92,-2.84,"581,020",135.59,51.05,...,...,...,12.60,Tuesday,Tuesday,2018/04/24
421360,880,Intercept Pharmaceuticals,ICPT,65.61,66.65,64.5,66.15,0.37,0.56,"597,464",135.59,51.05,...,...,...,13.23,Wednesday,Wednesday,2018/04/25
421361,877,Intercept Pharmaceuticals,ICPT,70.0,70.33,68.09,69.85,-0.22,-0.31,"375,824",135.59,51.05,...,...,...,19.57,Friday,Friday,2018/04/27
421362,880,Intercept Pharmaceuticals,ICPT,70.14,70.31,67.86,68.01,-1.84,-2.63,"344,895",135.59,51.05,...,...,...,16.42,Monday,Monday,2018/04/30
421363,878,Intercept Pharmaceuticals,ICPT,67.68,70.28,67.58,70.21,2.20,3.23,"530,724",135.59,51.05,...,...,...,20.18,Tuesday,Tuesday,2018/05/01
