,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
431970,861,Infinity Pharmaceuticals,INFI,2.12,2.22,2.08,2.1,-0.02,-0.94,"468,525",3.75,0.93,...,...,...,3.45,Thursday,Thursday,2018/03/29
431971,847,Infinity Pharmaceuticals,INFI,1.98,2.07,1.94,2.04,0.05,2.51,"669,758",3.75,0.93,...,...,...,0.49,Wednesday,Wednesday,2018/04/11
431972,850,Infinity Pharmaceuticals,INFI,2.08,2.34,2.06,2.24,0.20,9.80,"1,739,026",3.75,0.93,...,...,...,10.34,Thursday,Thursday,2018/04/12
431973,853,Infinity Pharmaceuticals,INFI,2.22,2.27,2.18,2.22,0.01,0.45,"369,463",3.75,0.93,...,...,...,9.36,Tuesday,Tuesday,2018/04/17
431974,856,Infinity Pharmaceuticals,INFI,2.23,2.28,2.19,2.19,-0.03,-1.35,"425,797",3.75,0.93,...,...,...,7.88,Wednesday,Wednesday,2018/04/18
431975,857,Infinity Pharmaceuticals,INFI,2.18,2.26,2.17,2.2,0.01,0.46,"368,291",3.75,0.93,...,...,...,8.37,Thursday,Thursday,2018/04/19
431976,856,Infinity Pharmaceuticals,INFI,2.24,2.25,2.16,2.24,0.04,1.82,"377,423",3.75,0.93,...,...,...,10.34,Friday,Friday,2018/04/20
431977,855,Infinity Pharmaceuticals,INFI,2.2,2.24,2.14,2.2,...,...,"284,800",3.75,0.93,...,...,...,8.37,Tuesday,Tuesday,2018/04/24
431978,855,Infinity Pharmaceuticals,INFI,2.18,2.21,2.14,2.16,-0.04,-1.82,"213,319",3.75,0.93,...,...,...,6.40,Wednesday,Wednesday,2018/04/25
431979,852,Infinity Pharmaceuticals,INFI,2.28,2.29,2.2,2.21,-0.05,-2.21,"316,977",3.75,0.93,...,...,...,8.87,Friday,Friday,2018/04/27
431980,855,Infinity Pharmaceuticals,INFI,2.21,2.24,2.16,2.2,-0.01,-0.45,"329,509",3.75,0.93,...,...,...,8.37,Monday,Monday,2018/04/30
431981,853,Infinity Pharmaceuticals,INFI,2.21,2.21,2.14,2.16,-0.04,-1.82,"207,629",3.75,0.93,...,...,...,6.40,Tuesday,Tuesday,2018/05/01
431982,845,Infinity Pharmaceuticals,INFI,2.18,2.23,2.15,2.19,...,0.23,"193,787",3.75,0.93,...,...,...,7.88,Thursday,Thursday,2018/05/03
431983,853,Infinity Pharmaceuticals,INFI,2.18,2.21,2.16,2.19,...,...,"177,274",3.75,0.93,...,...,...,7.88,Friday,Friday,2018/05/04
431984,856,Infinity Pharmaceuticals,INFI,2.19,2.24,2.17,2.2,0.01,0.46,"378,641",3.75,0.93,...,...,...,8.37,Monday,Monday,2018/05/07
431985,858,Infinity Pharmaceuticals,INFI,2.22,2.22,2.03,2.08,-0.12,-5.45,"701,877",3.75,0.93,...,...,...,2.46,Tuesday,Tuesday,2018/05/08
431986,858,Infinity Pharmaceuticals,INFI,2.01,2.06,1.96,1.99,-0.09,-4.33,"760,232",3.75,0.93,...,...,...,-1.97,Wednesday,Wednesday,2018/05/09
431987,852,Infinity Pharmaceuticals,INFI,2.01,2.11,2.0,2.04,0.05,2.51,"215,123",3.75,0.93,...,...,...,0.49,Thursday,Thursday,2018/05/10
431988,857,Infinity Pharmaceuticals,INFI,2.02,2.08,1.97,2.02,-0.02,-0.98,"341,399",3.75,0.93,...,...,...,-0.49,Friday,Friday,2018/05/11
431989,857,Infinity Pharmaceuticals,INFI,2.03,2.11,2.03,2.06,0.04,1.98,"442,876",3.75,0.93,...,...,...,1.48,Monday,Monday,2018/05/14
431990,856,Infinity Pharmaceuticals,INFI,2.05,2.11,2.0,2.1,0.04,1.94,"429,185",3.75,0.93,...,...,...,3.45,Tuesday,Tuesday,2018/05/15
431991,861,Infinity Pharmaceuticals,INFI,2.09,2.14,2.08,2.08,-0.02,-0.95,"398,542",3.75,0.93,...,...,...,2.46,Wednesday,Wednesday,2018/05/16
431992,856,Infinity Pharmaceuticals,INFI,2.08,2.13,1.99,1.99,-0.09,-4.33,"404,826",3.75,0.93,...,...,...,-1.97,Thursday,Thursday,2018/05/17
431993,856,Infinity Pharmaceuticals,INFI,2.01,2.04,1.97,1.99,...,...,"369,046",3.75,0.93,...,...,...,-1.97,Friday,Friday,2018/05/18
431994,856,Infinity Pharmaceuticals,INFI,2.01,2.05,1.92,1.96,-0.03,-1.51,"380,397",3.75,0.93,...,...,...,-3.45,Monday,Monday,2018/05/21
431995,856,Infinity Pharmaceuticals,INFI,1.95,2.07,1.93,2.03,0.07,3.57,"380,795",3.75,0.93,...,...,...,...,Tuesday,Tuesday,2018/05/22
431996,854,Infinity Pharmaceuticals,INFI,2.03,2.05,1.96,2.03,...,...,"229,401",3.75,0.93,...,...,...,...,Wednesday,Wednesday,2018/05/23
