,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
436400,899,INTL FCStone,INTL,42.07,43.6,41.99,42.68,0.68,1.62,"87,678",46.96,33.11,...,...,...,0.35,Thursday,Thursday,2018/03/29
436401,885,INTL FCStone,INTL,43.07,43.58,42.88,43.57,0.27,0.62,"57,255",46.96,33.11,...,...,...,2.45,Wednesday,Wednesday,2018/04/11
436402,888,INTL FCStone,INTL,43.75,44.43,43.32,43.74,0.17,0.39,"102,467",46.96,33.11,...,...,...,2.85,Thursday,Thursday,2018/04/12
436403,891,INTL FCStone,INTL,44.36,44.82,44.11,44.62,0.55,1.25,"67,709",46.96,33.11,...,...,...,4.91,Tuesday,Tuesday,2018/04/17
436404,894,INTL FCStone,INTL,44.77,45.62,44.17,45.34,0.72,1.61,"136,018",46.96,33.11,...,...,...,6.61,Wednesday,Wednesday,2018/04/18
436405,894,INTL FCStone,INTL,45.31,45.99,45.31,45.71,0.37,0.82,"68,076",46.96,33.11,...,...,...,7.48,Thursday,Thursday,2018/04/19
436406,893,INTL FCStone,INTL,45.55,45.93,42.6,45.73,0.02,0.04,"50,438",46.96,33.11,...,...,...,7.52,Friday,Friday,2018/04/20
436407,893,INTL FCStone,INTL,45.71,45.96,44.63,45.54,-0.03,-0.07,"46,835",46.96,33.11,...,...,...,7.08,Tuesday,Tuesday,2018/04/24
436408,893,INTL FCStone,INTL,45.61,46.04,45.14,45.43,-0.11,-0.24,"57,057",46.96,33.11,...,...,...,6.82,Wednesday,Wednesday,2018/04/25
436409,890,INTL FCStone,INTL,45.25,45.91,44.88,45.17,0.14,0.31,"42,688",46.96,33.11,...,...,...,6.21,Friday,Friday,2018/04/27
436410,893,INTL FCStone,INTL,45.17,45.68,44.82,44.82,-0.35,-0.77,"34,980",46.96,33.11,...,...,...,5.38,Monday,Monday,2018/04/30
436411,891,INTL FCStone,INTL,44.82,45.24,44.28,45.2,0.38,0.85,"48,622",46.96,33.11,...,...,...,6.28,Tuesday,Tuesday,2018/05/01
436412,883,INTL FCStone,INTL,45.58,45.58,44.57,44.94,-0.91,-1.98,"35,670",46.96,33.11,...,...,...,5.67,Thursday,Thursday,2018/05/03
436413,891,INTL FCStone,INTL,44.78,45.71,44.77,45.35,0.41,0.91,"34,700",46.96,33.11,...,...,...,6.63,Friday,Friday,2018/05/04
436414,894,INTL FCStone,INTL,45.39,46.11,44.73,45.97,0.62,1.37,"65,451",46.96,33.11,...,...,...,8.09,Monday,Monday,2018/05/07
436415,896,INTL FCStone,INTL,45.91,46.59,45.58,46.39,0.42,0.91,"41,955",46.96,33.11,...,...,...,9.08,Tuesday,Tuesday,2018/05/08
436416,896,INTL FCStone,INTL,46.69,47.05,44.47,46.88,0.49,1.06,"83,767",47.05,33.11,...,...,...,10.23,Wednesday,Wednesday,2018/05/09
436417,889,INTL FCStone,INTL,47.0,47.18,46.76,47.08,0.20,0.43,"73,245",47.18,33.11,...,...,206.40,10.70,Thursday,Thursday,2018/05/10
436418,895,INTL FCStone,INTL,47.08,47.29,46.5,46.79,-0.29,-0.62,"70,862",47.29,33.11,...,...,205.13,10.02,Friday,Friday,2018/05/11
436419,895,INTL FCStone,INTL,46.77,46.77,46.03,46.12,-0.67,-1.43,"44,368",47.29,33.11,...,...,202.19,8.44,Monday,Monday,2018/05/14
436420,894,INTL FCStone,INTL,45.98,46.73,45.76,46.24,0.12,0.26,"40,529",47.29,33.11,...,...,202.72,8.72,Tuesday,Tuesday,2018/05/15
436421,899,INTL FCStone,INTL,46.22,46.71,45.91,46.34,0.10,0.22,"48,507",47.29,33.11,...,...,203.16,8.96,Wednesday,Wednesday,2018/05/16
436422,894,INTL FCStone,INTL,46.43,46.99,46.24,46.4,0.06,0.13,"58,542",47.29,33.11,...,...,203.42,9.10,Thursday,Thursday,2018/05/17
436423,893,INTL FCStone,INTL,46.54,47.04,46.21,46.98,0.58,1.25,"57,436",47.29,33.11,...,...,205.96,10.46,Friday,Friday,2018/05/18
436424,893,INTL FCStone,INTL,47.24,48.16,47.0,48.15,1.17,2.49,"73,151",48.16,33.11,...,...,211.09,13.21,Monday,Monday,2018/05/21
436425,894,INTL FCStone,INTL,48.25,49.14,46.3,48.2,0.05,0.10,"54,207",49.14,33.11,...,...,211.31,13.33,Tuesday,Tuesday,2018/05/22
436426,892,INTL FCStone,INTL,48.12,48.64,47.31,48.6,0.40,0.83,"31,628",49.14,33.11,...,...,213.06,14.27,Wednesday,Wednesday,2018/05/23
436427,895,INTL FCStone,INTL,48.35,48.67,47.34,48.57,-0.03,-0.06,"28,082",49.14,33.11,...,...,212.93,14.20,Thursday,Thursday,2018/05/24
436428,895,INTL FCStone,INTL,48.31,49.48,48.31,49.28,0.71,1.46,"43,992",49.48,33.11,...,...,216.05,15.87,Friday,Friday,2018/05/25
