,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
462742,844,iKang Healthcare Group ADR,KANG,19.93,19.98,19.9,19.95,-0.03,-0.15,"793,474",20.04,11.70,...,...,80.25,26.27,Thursday,Thursday,2018/03/29
462743,830,iKang Healthcare Group ADR,KANG,20.04,20.06,20.0,20.02,-0.02,-0.10,"544,627",20.14,11.70,...,...,80.53,26.71,Wednesday,Wednesday,2018/04/11
462744,833,iKang Healthcare Group ADR,KANG,20.03,20.06,20.01,20.04,0.02,0.10,"415,242",20.14,11.7,...,...,80.61,26.84,Thursday,Thursday,2018/04/12
462745,836,iKang Healthcare Group ADR,KANG,20.02,20.08,19.68,19.85,-0.15,-0.75,"537,408",20.14,11.70,...,...,79.85,25.63,Tuesday,Tuesday,2018/04/17
462746,839,iKang Healthcare Group ADR,KANG,19.84,19.93,19.84,19.9,0.05,0.25,"227,860",20.14,11.7,...,...,80.05,25.95,Wednesday,Wednesday,2018/04/18
462747,840,iKang Healthcare Group ADR,KANG,19.89,19.97,19.88,19.9,...,...,"212,762",20.14,11.70,...,...,80.05,25.95,Thursday,Thursday,2018/04/19
462748,839,iKang Healthcare Group ADR,KANG,19.91,20.02,19.91,20.01,0.11,0.55,"445,119",20.14,11.70,...,...,80.49,26.65,Friday,Friday,2018/04/20
462749,838,iKang Healthcare Group ADR,KANG,19.96,20.0,19.9,19.94,-0.04,-0.20,"536,369",20.14,11.7,...,...,80.21,26.20,Tuesday,Tuesday,2018/04/24
462750,838,iKang Healthcare Group ADR,KANG,19.94,20.0,19.9,20.0,0.06,0.30,"656,196",20.14,11.7,...,...,80.45,26.58,Wednesday,Wednesday,2018/04/25
462751,835,iKang Healthcare Group ADR,KANG,20.0,20.0,19.93,19.93,-0.07,-0.35,"598,400",20.14,11.70,...,...,80.17,26.14,Friday,Friday,2018/04/27
462752,838,iKang Healthcare Group ADR,KANG,19.93,19.99,19.91,19.93,...,...,"639,818",20.14,11.7,...,...,80.17,26.14,Monday,Monday,2018/04/30
462753,836,iKang Healthcare Group ADR,KANG,19.94,19.99,19.94,19.99,0.06,0.30,"955,907",20.14,11.7,...,...,80.41,26.52,Tuesday,Tuesday,2018/05/01
